MesetaDenomination#0,"""メセタ"""
RenewConfirmMessage#0,"""<pict StarGem><c 1dedd7>SG消費コンテンツ<c><br><br>「$(0)」を購入し、<br>商品リストをすぐに更新することができます。<br>購入確認画面に進みますか？<br><br><yellow>※商品はランダムのため<br>\u3000同じ商品が選ばれる場合があります。<c><br><br>（所持SG:$(1)）"""
RenewBuyTitle#0,"""リストの手動更新"""
RenewBuyMessage#0,"""以下のアイテムを$(0)SG（通常$(1)SG）で購入し、<br>今すぐに商品リストを更新します。<br>よろしいですか？<br><br><yellow>※連続購入時、購入１回目～９回目までは<br>\u3000価格が割引されますが、回数が増えると<br>\u3000割引率が下がります。<c><br>※購入回数は、毎日朝5時にリセットされます。<br>（所持SG:$(2)）"""
RenewResultTitle#0,"""商品リスト更新結果"""
RenewResultMessage#0,"""商品リスト更新に成功しました。"""
RenewResultError#0,"""商品リスト更新に失敗しました。"""
RenewResultError2#0,"""スタージェムが不足しています。"""
RenewResultError3#0,"""すでに自動更新による商品リスト更新が行われました。"""
RenewResultError4#0,"""サーバーとの通信に失敗しました。<br><br>時間をおいて再度お試しください。"""
RenewResultError5#0,"""予期せぬ問題が発生しました。<br><br>時間をおいて再度お試しください。"""
RenewResultError6#0,"""データベースのアクセスに失敗しました。<br><br>時間をおいて再度お試しください。"""
RenewSgShop#0,"""ＳＧトレジャーショップ更新"""
RenewSgShop01#0,"""ＳＧトレジャーショップ更新（１回目）"""
RenewSgShop02#0,"""ＳＧトレジャーショップ更新（２回目）"""
RenewSgShop03#0,"""ＳＧトレジャーショップ更新（３回目）"""
RenewSgShop04#0,"""ＳＧトレジャーショップ更新（４回目）"""
RenewSgShop05#0,"""ＳＧトレジャーショップ更新（５回目）"""
RenewSgShop06#0,"""ＳＧトレジャーショップ更新（６回目）"""
RenewSgShop07#0,"""ＳＧトレジャーショップ更新（７回目）"""
RenewSgShop08#0,"""ＳＧトレジャーショップ更新（８回目）"""
RenewSgShop09#0,"""ＳＧトレジャーショップ更新（９回目）"""
RenewSgShop10#0,"""ＳＧトレジャーショップ更新（１０回目以上）"""
RenewMesetaShop#0,"""メセタトレジャーショップ更新"""
RenewMesetaShop01#0,"""メセタトレジャーショップ更新（１回目）"""
RenewMesetaShop02#0,"""メセタトレジャーショップ更新（２回目）"""
RenewMesetaShop03#0,"""メセタトレジャーショップ更新（３回目）"""
RenewMesetaShop04#0,"""メセタトレジャーショップ更新（４回目）"""
RenewMesetaShop05#0,"""メセタトレジャーショップ更新（５回目）"""
RenewMesetaShop06#0,"""メセタトレジャーショップ更新（６回目）"""
RenewMesetaShop07#0,"""メセタトレジャーショップ更新（７回目）"""
RenewMesetaShop08#0,"""メセタトレジャーショップ更新（８回目）"""
RenewMesetaShop09#0,"""メセタトレジャーショップ更新（９回目）"""
RenewMesetaShop10#0,"""メセタトレジャーショップ更新（１０回目以上）"""
InfoError_None#0,"""FailureReason_None<br>成功"""
InfoError_Error#0,"""商品リストの情報を取得できませんでした。<br>しばらくしてから、再度アクセスしてください。"""
InfoError_NotFound#0,"""商品リストの情報を取得できませんでした。<br>しばらくしてから、再度アクセスしてください。"""
InfoError_NoMoney#0,"""所持金が不足しています。"""
BuyError_OK#0,"""BlackMarketBuyAns_OK<br>交換成功"""
BuyError_LowPoint#0,"""スタージェムが不足しています。"""
BuyError_IllegalParam#0,"""購入することができませんでした。<br>しばらくしてから、再度アクセスしてください。"""
BuyError_NoSpace#0,"""アイテムパックの空き容量不足、<br>または所持数の限界を超えているため、<br>購入できません。"""
BuyError_ExchangeLimit#0,"""購入可能数を超えているため<br>購入することができませんでした。"""
BuyError_Other#0,"""購入することができませんでした。<br>しばらくしてから、再度アクセスしてください。"""
