IncidentJsApcBegin#0,"""APC共鬥開始"""
IncidentJsApcBeginEvo#12,"""/ci4 1 這、這個反應......是新的敵人！？<br>嗚嗚，真想趕快逃走......<br>我們還是趕快逃吧......"""
IncidentJsApcBegin#13,"""/ci2 1 あっああ！<br>いいところに来てくださいました！<br>助けて、助けてくださいーっ！"""
IncidentJsApcSuccess#13,"""うう……先生を探していただけなのに<br>どうしてこんなことに……<br>撤退させてもらいます……"""
IncidentJsApcFailure#13,"""/ci2 1 ふぅー……な、なんとか無事で<br>終わってくれたようで、よかったです。<br>ありがとうございます。助かりました。"""
IncidentJsApcBeginEvo#13,"""/ci4 1 こ、この反応って……新手！？<br>うう、早く逃げたい……<br>逃げちゃいましょうよ……"""
IncidentJsApcBegin#14,"""/ci2 1 真是的，看不下去了。<br>所謂有始有終嘛<br>就讓我幫你一把吧。"""
IncidentJsApcSuccess#14,"""嗯......使不出平常的實力。<br>是不是應該先回去一趟，<br>確認一下身體的狀況呢......"""
IncidentJsApcFailure#14,"""/ci2 3 哎，差不多就是這樣了吧<br>讓我省了不少力呢。<br>再會啦。"""
IncidentJsApcBeginEvo#14,"""/ci1 2 哎呀，都已經被打成這樣了<br>還是沒學乖啊。"""
IncidentJsApcBegin#15,"""/ci2 1 やれやれ、見ちゃいられないね。<br>乗りかかった船ってやつだ<br>少しばかり手伝ってあげるよ。"""
IncidentJsApcSuccess#15,"""うーん……調子が出ないね。<br>一度戻って、身体の調子を<br>確かめた方がいいか……"""
IncidentJsApcFailure#15,"""/ci2 3 ま、こんなものかな。<br>それなりに楽しませてもらったよ。<br>それじゃあね。"""
IncidentJsApcBeginEvo#15,"""/ci1 2 おや、これだけやられても<br>こりないようだね。"""
IncidentJsApcBegin#16,"""/toge /ci3 1 ......真是，我看不下去了！<br>我來幫你，快點<br>把這些傢伙解決掉吧！"""
IncidentJsApcSuccess#16,"""唔......看來我還太嫩呢。<br>對不起，我要先撤退了。"""
IncidentJsApcFailure#16,"""/ci2 2 解決乾淨了<br>......我要走了<br>不要太勉強自己喔。"""
IncidentJsApcBeginEvo#16,"""APC共鬥連線開始"""
IncidentJsApcBegin#17,"""/toge /ci3 1 ……まったく、見てられない！<br>手伝ってあげるから、さっさと<br>こいつら、片付けるわよ！"""
IncidentJsApcSuccess#17,"""むぅ……あたしもまだ未熟、か。<br>ごめんなさい、先に退くわ。"""
IncidentJsApcFailure#17,"""/ci2 2 一丁上がり、っと。<br>……あたし、もう行くから<br>あんまり無理しないようにね。"""
IncidentJsApcBeginEvo#17,"""APC共闘発展開始"""
IncidentJsApcBegin#18,"""/ci2 2 哦，來得正好<br>可以請你幫我一下嗎？"""
IncidentJsApcSuccess#18,"""那裡吧......<br>再打下去有點吃力<br>我要撤退囉"""
IncidentJsApcFailure#18,"""/ci2 2 好，結束了<br>謝啦，幫了我一個大忙"""
IncidentJsApcBeginEvo#18,"""/ci4 5 哎喲？<br>好像還有敵人要來呢"""
IncidentJsApcBegin#19,"""/ci2 2 おっ、丁度良いところに<br>少し手伝って貰えるかな？"""
IncidentJsApcSuccess#19,"""あっちゃあ……<br>これ以上は厳しいね<br>撤退させてもらうよ"""
IncidentJsApcFailure#19,"""/ci2 2 よーし、終わったっと<br>ありがとね、助かったよ"""
IncidentJsApcBeginEvo#19,"""/ci4 5 おやおや？<br>まだ来るみたいだねえ"""
IncidentJsApcBegin#20,"""/ci4 5 ......來得正是時候。<br>敵人數量有點多，幫幫我。"""
IncidentJsApcSuccess#20,"""......對不起，我不能再<br>打了。我撤退了。"""
IncidentJsApcFailure#20,"""/ci1 5 ……如果只有我一個人的話<br>我想一定很危險。<br>所以呢，我想好好道謝。<br>……謝謝你。"""
IncidentJsApcBeginEvo#20,"""/ci4 5 ......新的敵人要來了。<br>小心，做好準備。"""
IncidentJsApcBegin#21,"""/ci4 5 ……丁度良いところに来たわね。<br>少し敵の数が多いの、手伝って。"""
IncidentJsApcSuccess#21,"""……ごめんなさい、これ以上は<br>戦えない。撤退します。"""
IncidentJsApcFailure#21,"""/ci1 5 ……私一人じゃ危なかったと思う。<br>だから、ちゃんとお礼は言うわ。<br>……ありがとう。"""
IncidentJsApcBeginEvo#21,"""/ci4 5 ……新手が来そう。<br>注意して、しっかり準備を。"""
IncidentJsApcBegin#22,"""/ci2 1 喔喔，來得正是時候！<br>敵人數量有點多<br>快過來幫我吧。"""
IncidentJsApcSuccess#22,"""......唔，想不到事情會變成這樣。<br>抱歉，我先撤退了。"""
IncidentJsApcFailure#22,"""/ci2 1 好，差不多都解決了！<br>謝啦，多虧有你<br>才能撐過剛才的場面。"""
IncidentJsApcBeginEvo#22,"""/ci3 1 這個感覺......<br>也許會出現新的敵人。<br>別忘了做好準備，提高警覺。"""
IncidentJsApcBegin#23,"""/ci2 1 おお、いいところに来てくれた！<br>少しばかり敵の数が多くてな<br>手伝ってくれないか。"""
IncidentJsApcSuccess#23,"""……ぐっ、こんなことになるとは。<br>すまん、先に撤退する。"""
IncidentJsApcFailure#23,"""/ci2 1 よし、片付いたようだな！<br>感謝するぞ、お前のおかげで<br>なんとかなった。"""
IncidentJsApcBeginEvo#23,"""/ci3 1 この空気……<br>新手が来るかもしれないな。<br>準備と留意を忘れるなよ。"""
IncidentJsApcBegin#24,"""/toge /ci1 1 哦，哦哦，你是ARKS的人吧！<br>那麼，可以請你幫我點忙嗎。<br>數量太多，老骨頭應付不來啦。"""
IncidentJsApcSuccess#24,"""唔......果真是<br>歲月不饒人啊......<br>我得先撤退了。"""
IncidentJsApcFailure#24,"""/toge /ci2 1 嗯，這樣應該就結束了。<br>你做得很好，幫了我一個大忙。"""
IncidentJsApcBeginEvo#24,"""/toge /ci3 1 可惡，有新的敵人要出現了！<br>想整死我這把老骨頭嗎！"""
IncidentJsApcBegin#25,"""/toge /ci1 1 お、おおっ、君はアークスだな！<br>では、少し手伝ってくれないか。<br>数が多くて老体には厳しいのだ。"""
IncidentJsApcSuccess#25,"""ぐぬ……やはり<br>寄る年波には勝てんか……<br>先に撤退させてもらう。"""
IncidentJsApcFailure#25,"""/toge /ci2 1 うむ、これで終わりのはずだ。<br>よくやってくれた、助かったぞ。"""
IncidentJsApcBeginEvo#25,"""/toge /ci3 1 おのれ、新手の気配が！<br>老体にムチ打たせる気か！"""
IncidentJsApcBegin#26,"""/toge /mn9 /ci2 1 喂喂喂，這邊這邊這邊！<br>來得可真是時候！<br>幫我一下嘛，好嗎！"""
IncidentJsApcSuccess#26,"""嗚嗚......這是什麼狀況啊......<br>真的玩不下去了。<br>我要撤退囉。"""
IncidentJsApcFailure#26,"""/mn15 /ci2 4 很好，清潔溜溜！<br>嘿嘿，怎麼樣怎麼樣？<br>我也滿有一套的吧，是不是？"""
IncidentJsApcBeginEvo#26,"""/mn2 /ci2 1 給我等一下，這是什麼狀況啊！<br>新敵人的反應超強烈的耶！"""
IncidentJsApcBegin#27,"""/toge /mn9 /ci2 1 おおおっ、おいおいおい！<br>いいところにいるじゃんかよぉ！<br>ちょっと手伝ってくれよ、なっ！"""
IncidentJsApcSuccess#27,"""ぐううっ……なんだこりゃあ……<br>やってらんねーよホントに。<br>オレ、撤退させてもらうぜ。"""
IncidentJsApcFailure#27,"""/mn15 /ci2 4 よーっし、一丁上がりっと！<br>へへっ、どうよどうよ？<br>オレもいけるもんだろ、なっ？"""
IncidentJsApcBeginEvo#27,"""/mn2 /ci2 1 ちょっと待てってなんだこりゃ！<br>新手の反応がビンビンじゃねーか！"""
IncidentJsApcBegin#28,"""/ci5 2 哎呀哎呀哎呀？<br>為什麼有這麼多獵物，卻<br>沒有找莉莎一起來？"""
IncidentJsApcSuccess#28,"""......嗯─，莉莎好像有點<br>膩了。我要回去囉。<br>那麼掰囉，那麼掰囉掰囉。"""
IncidentJsApcFailure#28,"""/ci4 3 已經結束了嗎？<br>嗯......真想再多打一點呢。<br>所以莉莎要悄悄離開了。"""
IncidentJsApcBeginEvo#28,"""APC共鬥連線開始"""
IncidentJsApcBegin#29,"""/ci5 2 おやおやおやあー？<br>どうしてこんなに獲物がいるのに<br>リサを呼んでくれないんですかあ？"""
IncidentJsApcSuccess#29,"""……んー、リサはなんだか<br>飽きちゃいました。帰りますね。<br>それでは、それではでは。"""
IncidentJsApcFailure#29,"""/ci4 3 もう終わりなんですかあ？<br>うーん……もっと戦りたいですねえ。<br>だからリサは、ふらりと去りますよお。"""
IncidentJsApcBeginEvo#29,"""APC共闘発展開始"""
IncidentJsApcBegin#30,"""/mn10 /ci4 5 啊，不好意思......如果方便<br>可以請您幫幫我嗎。<br>......與其說是遇到危險，不如說是嫌麻煩。"""
IncidentJsApcSuccess#30,"""......還是謹慎一點比較好嘛。<br>抱歉，我要回去了。"""
IncidentJsApcFailure#30,"""/ci4 1 ......結、結束了嗎？<br>呼......啊，呃，謝謝您的幫助。<br>非到逼不得已，我實在不太想戰鬥......"""
IncidentJsApcBeginEvo#30,"""/mn10 /ci4 5 唉......好像又要來了。<br>為什麼會這樣接二連三地<br>出現呢......"""
IncidentJsApcBegin#31,"""/mn10 /ci4 5 あ、すみません……よければ<br>ちょっと手伝ってもらえませんか。<br>……危険というより、面倒くさくて。"""
IncidentJsApcSuccess#31,"""……無理は禁物ですもんね。<br>すみませんが、僕は帰還します。"""
IncidentJsApcFailure#31,"""/ci4 1 ……お、終わりましたか？<br>ふぅ……あ、えっと、助かりました。<br>僕、なるべく戦いたくないので……"""
IncidentJsApcBeginEvo#31,"""/mn10 /ci4 5 はぁ……まだ来そうですね。<br>どうしてこんなにぞくぞくと<br>現れるんだか……"""
IncidentJsApcBegin#32,"""/toge /ci1 3 既然ARKS遇到危機了<br>我怎能坐視不管。<br>讓我助你一臂之力吧。"""
IncidentJsApcSuccess#32,"""整天坐辦公桌，身體似乎僵硬了。<br>我得多想想才行......<br>抱歉，我得撤退了。"""
IncidentJsApcFailure#32,"""/ci1 3 嗯，算是不錯的運動。<br>那麼，我走了。<br>別忘了繼續磨練自己。"""
IncidentJsApcBeginEvo#32,"""/ci5 3 又要來了啊......<br>看來他們是活得不耐煩了。"""
IncidentJsApcBegin#33,"""/toge /ci1 3 アークスの危機とあらば<br>私が駆けつけない理由はない。<br>助太刀させてもらおう。"""
IncidentJsApcSuccess#33,"""デスクワークばかりでなまったか。<br>いろいろ考えねばならないな……<br>すまんが、退かせてもらうぞ。"""
IncidentJsApcFailure#33,"""/ci1 3 うむ、よい運動だった。<br>では、私は行くとしよう。<br>精進を怠らないようにな。"""
IncidentJsApcBeginEvo#33,"""/ci5 3 まだ来るか……<br>余程、命がいらないと見える。"""
IncidentJsApcBegin#34,"""/toge /ci2 2 哦，你！ 我說你啊你！<br>好像在做什麼很有趣的事情吶！<br>也讓我參一咖吧！"""
IncidentJsApcSuccess#34,"""/mn10 唔......什麼嘛，真沒意思。<br>開始打瞌睡了，我要回去了！"""
IncidentJsApcFailure#34,"""/mn15 /ci2 1 哼哼哼，你看到了沒？<br>看到我的實力了嗎？\u3000看到了吧！<br>嗯，很好很好，我很滿意！"""
IncidentJsApcBeginEvo#34,"""/mn15 /ci2 1 喔喔，你看你看！<br>敵人又出來了！<br>那個也可以炸掉沒關係吧？"""
IncidentJsApcBegin#35,"""/toge /ci2 2 おい、貴様！\u3000貴様だ貴様！<br>なんだかおもしろそうなことを<br>しているな！\u3000私も混ぜろ！"""
IncidentJsApcSuccess#35,"""/mn10  むぅ……なんだかつまらないな。<br>眠くなってもきたし、私は帰る！"""
IncidentJsApcFailure#35,"""/mn15 /ci2 1 ふっふっふ、見たか貴様？<br>私の実力を見たか？\u3000見ただろう！<br>うん、よしよし、満足した！"""
IncidentJsApcBeginEvo#35,"""/mn15 /ci2 1 おおっ、見ろ見ろ貴様！<br>また敵がでてきたぞ！<br>あれも爆破してしまっていいのだろう？"""
IncidentJsApcBegin#36,"""/ci1 3 ......這不在我的任務之內<br>但我不能置之不理。"""
IncidentJsApcSuccess#36,"""非常抱歉......<br>我要撤退了。"""
IncidentJsApcFailure#36,"""/ci1 5 ......幸好我們都沒事。<br>有緣再見。"""
IncidentJsApcBeginEvo#36,"""……好像還會來呢。<br>趕快清一清吧。 """
IncidentJsApcBegin#37,"""/ci1 3 ……任務外ですが<br>放ってはおけません。"""
IncidentJsApcSuccess#37,"""申し訳ありません……<br>私は撤退します。"""
IncidentJsApcFailure#37,"""/ci1 5 ……お互い、無事で何よりです。<br>それでは。"""
IncidentJsApcBeginEvo#37,"""……まだ来るようですね。<br>さっさと片付けましょう。 """
IncidentJsApcBegin#38,"""/toge /ci2 1 <br>能夠到這裡真的相當努力了呢！<br>和最終關卡相符的強敵呢！<br>讓我們合力加油吧！"""
IncidentJsApcSuccess#38,"""/toge /ci2 1 太好了太好了，完美啊！<br>這樣子復活節也能夠無後顧之憂的<br>順利進行了吧！ 感謝你的支援！"""
IncidentJsApcFailure#38,"""/toge /ci2 1 不可能，我居然會輸……！？<br>沒有成為大家的助力……居然……！<br>……對不起！ 讓我先回去吧！"""
IncidentJsApcBeginEvo#38,"""non"""
IncidentJsApcBegin#39,"""/toge /ci2 1 ここまでよく頑張ってくれたな！<br>最後に相応しい強敵のようだ！<br>力を合わせて、頑張るぞ！"""
IncidentJsApcSuccess#39,"""/toge /ci2 1 よしよし、カンペキだ！<br>これでイースターも滞りなく行うことが<br>できるだろう！\u3000協力、感謝するぞ！"""
IncidentJsApcFailure#39,"""/toge /ci2 1 バカな、オレが負けた……！？<br>皆の助けとなれなかった……だと……！<br>……すまない！\u3000退かせてもらう！"""
IncidentJsApcBeginEvo#39,"""non"""
IncidentJsApcBegin#40,"""/toge /ci3 2 你好像被包圍了啊<br>讓我來幫你！"""
IncidentJsApcSuccess#40,"""竟然這點程度的交戰都應付不來......<br>我的實力也大不如前了......"""
IncidentJsApcFailure#40,"""/ci2 2 好，你做得很好！<br>那麼，我該走了！"""
IncidentJsApcBeginEvo#40,"""嗯，新面孔嗎！<br>不要掉以輕心哦！"""
IncidentJsApcBegin#41,"""/toge /ci3 2 囲まれているようだな<br>手伝うぞ！"""
IncidentJsApcSuccess#41,"""この程度の交戦で……<br>私も衰えたな……"""
IncidentJsApcFailure#41,"""/ci2 2 よし、よくやったぞ！<br>では、私は行くとしよう！"""
IncidentJsApcBeginEvo#41,"""む、新手か！<br>気を抜くなよ！"""
IncidentJsApcBegin#42,"""/ci3 2 你好像被包圍了呢<br>我來幫你吧"""
IncidentJsApcSuccess#42,"""我竟然連這點程度都應付不來......？<br>對不起，我要撤退了"""
IncidentJsApcFailure#42,"""/ci2 2 好像結束了呢<br>那麼，我走了"""
IncidentJsApcBegin#43,"""/ci3 2 囲まれているようね<br>協力するわよ"""
IncidentJsApcSuccess#43,"""私がこの程度で……？<br>ごめんなさい、撤退するわ"""
IncidentJsApcFailure#43,"""/ci2 2 終わったみたいね<br>それじゃ、私は行くわ"""
IncidentJsApcBegin#44,"""/ci4 2 你出現得正好<br>來幫我一點忙吧"""
IncidentJsApcSuccess#44,"""......似乎有點太貪心了<br>我要先撤退了"""
IncidentJsApcFailure#44,"""/ci2 2 ......就跟你道個謝吧"""
IncidentJsApcBeginEvo#42,"""/ci5 2 ......這個感覺<br>嘖，又來了嗎"""
IncidentJsApcBegin#45,"""/ci4 2 いいところにいるね<br>ちょっと手伝いな"""
IncidentJsApcSuccess#45,"""……欲張りすぎたか<br>アタシは撤退させてもらうよ"""
IncidentJsApcFailure#45,"""/ci2 2 ……一応、感謝だけはしておくよ"""
IncidentJsApcBeginEvo#43,"""/ci5 2 ……この気配<br>ちっ、まだ来るか"""
IncidentJsApcBegin#46,"""/mn6 /ci2 2 前、前輩！<br>抱歉、請協助我！<br>好多敵人要過來了......！"""
IncidentJsApcSuccess#46,"""/mn7 嗚嗚......抱歉......<br>沒辦法再繼續下去了......"""
IncidentJsApcFailure#46,"""/mn15 /ci2 1 呼、總算還是做到了......<br>前輩、謝謝您！"""
IncidentJsApcBeginEvo#44,"""哇哇、哇哇哇……！<br>不覺得好像，還會出來的樣子……"""
IncidentJsApcBegin#47,"""/mn2 /ci4 3 せ、先輩っ！<br>すみません、助けて下さい！<br>敵がいっぱいやってきてて……！"""
IncidentJsApcSuccess#47,"""/mn7 うう……すみません……<br>これ以上は無理です……"""
IncidentJsApcFailure#47,"""/mn15 /ci2 1 ふぅ、なんとかなりました……<br>先輩、ありがとうございました！"""
IncidentJsApcBeginEvo#45,"""わわっ、わわわっ……！<br>なんだか、また出てくる気配が……"""
IncidentJsApcBegin#48,"""/ci2 1 教授！<br>自己一個人狀況有點太嚴苛了！<br>不好意思請幫個忙!"""
IncidentJsApcSuccess#48,"""......教授、萬分抱歉。<br>我先自己退下了"""
IncidentJsApcFailure#48,"""/ci2 1 成功了！<br>總算是擊退了！<br>都是多虧了教授！"""
IncidentJsApcBeginEvo#46,"""嗯嗯、哦哦哦！<br>新的氣息！<br>老師，好像還沒結束呢！"""
IncidentJsApcBegin#49,"""/ci2 1 せ、先生！<br>自分一人では厳しい状況です！<br>すみませんが手を貸して下さい！"""
IncidentJsApcSuccess#49,"""……先生、申し訳ありません。<br>自分、先に退かせてもらいます"""
IncidentJsApcFailure#49,"""/ci2 1 やりましたっ！<br>なんとか撃退完了です！<br>先生のおかげですよ！"""
IncidentJsApcBeginEvo#47,"""むむっ、おおおっ！<br>新しい気配がっ！<br>先生、まだ終わりじゃないみたいです！"""
IncidentJsApcBegin#50,"""/ci1 3 ......這不在我的任務之內<br>但我不能置之不理。"""
IncidentJsApcSuccess#50,"""非常抱歉......<br>我要撤退了。"""
IncidentJsApcFailure#50,"""/ci1 5 ......幸好我們都沒事。<br>有緣再見。"""
IncidentJsApcBegin#51,"""/ci1 3 ……任務外ですが<br>放ってはおけません。"""
IncidentJsApcSuccess#51,"""申し訳ありません……<br>私は撤退します。"""
IncidentJsApcFailure#51,"""/ci1 5 ……お互い、無事で何よりです。<br>それでは。"""
IncidentJsApcBegin#52,"""/ci1 3 ......還有很多敵人呢<br>我來幫您殲滅他們吧。"""
IncidentJsApcSuccess#52,"""......我，竟然如此慘敗......？<br>實在太難看了......"""
IncidentJsApcFailure#52,"""/ci1 5 那麼，我要前往下一個<br>戰場了......"""
IncidentJsApcBegin#53,"""/ci1 3 ……敵がたくさん居ますね。<br>手伝いますよ、殲滅を。"""
IncidentJsApcSuccess#53,"""……こんな、僕が……？<br>なんて、無様な……"""
IncidentJsApcFailure#53,"""/ci1 5 それでは、僕は次の<br>戦場に向かいますので……"""
IncidentJsApcBegin#54,"""/toge /ci1 1 只要一起加油<br>一定能贏的！"""
IncidentJsApcSuccess#54,"""/mn2 /ci4 1 嗚哇～！<br>結果還是不行喵～！！"""
IncidentJsApcFailure#54,"""/toge /mn37 /ci2 4 成功了喵！<br>謝謝喵～！！"""
IncidentJsApcBegin#55,"""/toge /ci1 1 いっしょにがんばれば<br>きっと勝てるのニャ！"""
IncidentJsApcSuccess#55,"""/mn2 /ci4 1 うわ～ん！<br>ダメだったのニャ～！！"""
IncidentJsApcFailure#55,"""/toge /mn37 /ci2 4 やったのニャ！<br>ありがとニャ～！！"""
IncidentJsApcBegin#56,"""/toge /ci1 1 幫手來了！<br>這下贏定了！"""
IncidentJsApcSuccess#56,"""/mn30 /ci4 1 這就是......<br>世界的選擇喵......"""
IncidentJsApcFailure#56,"""/toge /mn17 /ci2 4 成功了喵～！<br>我整隻貓都哭了！"""
IncidentJsApcBegin#57,"""/toge /ci1 1 味方きた！<br>これで勝つる！"""
IncidentJsApcSuccess#57,"""/mn30 /ci4 1 これが……<br>世界の選択かみャ……"""
IncidentJsApcFailure#57,"""/toge /mn17 /ci2 4 やったみャ～！<br>全オレっちが泣いた！"""
IncidentJsApcBegin#58,"""/ci2 1 啊，來得正好！<br>敵人數量有點多，打得好累<br>可以請你幫幫忙嗎？"""
IncidentJsApcSuccess#58,"""嗚嗚......我不行了......<br>對不起，讓我先<br>撤退吧......"""
IncidentJsApcFailure#58,"""/ci2 3 呼，總算是撐過去了......<br>我得向你道謝，你幫了我一個大忙。<br>那麼，下次見囉！"""
IncidentJsApcBeginEvo#48,"""/ci3 1 嗚哇......好像有種很不妙的<br>反應就在附近......<br>小心為上！"""
IncidentJsApcBegin#59,"""/ci2 1 あっ、いいところに！<br>ちょっと数が多くて大変だから<br>手伝って貰えないかな？"""
IncidentJsApcSuccess#59,"""うう……これ以上はムリ……<br>ごめんなさい、あたしは先に<br>撤退させてもらうわね……"""
IncidentJsApcFailure#59,"""/ci2 3 ふう、なんとかなったぁ……<br>素直にありがとね、助かったよ。<br>それじゃ、またね！"""
IncidentJsApcBeginEvo#49,"""/ci3 1 うわっ……なんか、やばそーな<br>反応がすっごい近くに……<br>気をつけましょう！"""
IncidentJsApcBegin#60,"""來得剛好！<br>可以幫我個忙嗎─！"""
IncidentJsApcSuccess#60,"""被打敗了......！<br>對不起，我要撤退了......"""
IncidentJsApcFailure#60,"""哎呀，真的很謝謝你！<br>多虧你的幫助，總算是撐過去了！<br>多謝多謝，萬分感謝！"""
IncidentJsApcBeginEvo#50,""" """
IncidentJsApcBegin#61,"""/mn15 /toge /ci2 1 ナイスタイミング！<br>ちょっと手伝ってくれないかなー！"""
IncidentJsApcSuccess#61,"""やられたーっ……！<br>ごめん、撤退するね……"""
IncidentJsApcFailure#61,"""/toge /ci2 1 いやー、どうもありがとー！<br>おかげでなんとかなったよ！<br>感謝感謝、大感謝！"""
IncidentJsApcBeginEvo#51,"""/ci4 5 おおっとぉ、まだ来る気配だね？"""
IncidentJsApcBegin#62,"""/toge /ci3 1 ......真是，我看不下去了！<br>我來幫你，快點<br>把這些傢伙解決掉吧！"""
IncidentJsApcSuccess#62,"""唔......看來我還太嫩呢。<br>對不起，我要先撤退了。"""
IncidentJsApcFailure#62,"""/ci2 2 解決乾淨了<br>......我要走了<br>不要太勉強自己喔。"""
