wh_mainhelp#0,"""遊戲內說明"""
wh_craft_card_recipe#0,"""手工製作 / 更新資料碟"""
wh_craft_card_create#0,"""手工製作 / 製作定時能力資料"""
wh_shipbattle_goods#0,"""ARKS戰艦對抗戰 / 獎勵商品"""
wh_shipbattle_mainmenu#0,"""任務 / ARKS戰艦對抗戰"""
wh_shipbattle_reward#0,"""ARKS戰艦對抗戰 / 最終排名獎勵"""
wh_shipbattle_points#0,"""ARKS戰艦對抗戰 / 累積得勝點"""
wh_shipbattle_roundinfo#0,"""ARKS戰艦對抗戰 / 回合情報"""
wh_eventchronicle#0,"""事件紀事"""
wh_tl_co_011014_v#0,"""關於『傳送裝置』"""
wh_tl_co_011020_v#0,"""關於『無法戰鬥』"""
wh_tl_co_011021_v#0,"""關於『狀態異常』"""
wh_tl_co_011024_v#0,"""關於『鎖定目標』"""
wh_tl_co_011025_v#0,"""關於『完美攻擊』"""
wh_tl_co_011064_v#0,"""關於『光子技能/術能光碟』"""
wh_tl_co_011169_v#0,"""關於『出發區』"""
wh_tl_co_011170_v#0,"""關於『商店區』"""
wh_tl_co_011187_v#0,"""關於『營地小船』"""
wh_tl_co_011190_v#0,"""關於『委託任務』"""
wh_tl_co_011196_v#0,"""關於『萬象盤』"""
wh_tl_co_011201_v#0,"""關於『公會』"""
wh_tl_co_011215_v#0,"""關於『返回用傳送裝置』"""
wh_tl_co_011221_v#0,"""關於『經驗值方塊』"""
wh_tl_co_011224_v#0,"""關於『進階任務』"""
wh_tl_co_011230_v#0,"""關於『角色操作』"""
wh_tl_co_011231_v#0,"""『AC(ARKS CASH)』"""
wh_tl_co_011232_v#0,"""『切換顯示地圖』"""
wh_tl_co_011233_v#0,"""『矚目操作』"""
wh_tl_co_011234_v#0,"""『拍圖方法』"""
wh_tl_co_011235_v#0,"""『玩家觸碰』"""
wh_tl_co_011237_v#0,"""『戰利品功能』"""
wh_tl_co_011238_v#0,"""『開始聊天的方法』"""
wh_tl_co_011240_v#0,"""『操作設定』"""
wh_tl_co_011242_v#0,"""『專用分流』和『共用分流』<br>"""
wh_tl_co_011243_v#0,"""關於『登入證』"""
wh_tl_co_011244_v#0,"""『角色肖像功能』"""
wh_tl_co_011245_v#0,"""『TORO』和『KURO』"""
wh_tl_co_011254_v#0,"""關於『極限任務』"""
wh_tl_co_011256_v#0,"""關於『極限任務』舞台"""
wh_tl_co_011257_v#0,"""關於『極限任務』道具"""
wh_tl_co_011258_v#0,"""關於『極限任務』突發事件"""
wh_tl_co_011259_v#0,"""關於『萬象盤的事件』"""
wh_tl_co_011261_v#0,"""關於『ARKS賓果卡』"""
wh_tl_co_012017_v#0,"""關於『武器的切換方法』"""
wh_tl_co_021262_v#0,"""關於『ARKS之路』"""
wh_tl_co_021279_v#0,"""關於『支援夥伴』"""
wh_tl_co_021280_v#0,"""關於『支援夥伴的管理』"""
wh_tl_co_021281_v#0,"""關於『採掘基地防衛戰』"""
wh_tl_co_021282_v#0,"""關於『採掘基地防衛戰：絕望』"""
wh_tl_co_021285_v#0,"""關於『手工製作』"""
wh_tl_co_021287_v#0,"""關於『採掘基地防衛戰：入侵』"""
wh_tl_mp_000239_v#0,"""關於『隊伍區域』"""
wh_tl_mp_000245_v#0,"""關於『PSE』"""
wh_tl_np_010490_v#0,"""關於『每日任務』"""
wh_tl_np_011041_v#0,"""關於『ARKS戰艦對抗戰』"""
end#0,"""END"""
wh_mainhelp#1,"""はじめに"""
wh_inventory#1,"""アイテムパック / アイテム"""
wh_pallet_customize#1,"""アイテムパック / カスタム"""
wh_mag#1,"""アイテムパック / マグ"""
wh_equip#1,"""装備 / 武器装備"""
wh_equip_protector#1,"""装備 / 防具装備"""
wh_equip_subpallet#1,"""装備 / サブパレット編集"""
wh_friendlist#1,"""コミュニティ / フレンドリスト"""
wh_team01#1,"""コミュニティ / チームコマンド"""
wh_party#1,"""コミュニティ / パーティーコマンド"""
wh_mail#1,"""コミュニティ / メール"""
wh_playerlist#1,"""コミュニティ / 周囲のキャラクター"""
wh_charainfo#1,"""マイデータ / キャラクター情報"""
wh_license#1,"""マイデータ / 称号リスト"""
wh_communicationlist#1,"""マイデータ / コミュニケーション履歴"""
wh_profile_info#1,"""マイデータ / アークスカード編集"""
wh_matterboard#1,"""クエスト / マターボード"""
wh_clientorder#1,"""クエスト / クライアントオーダー"""
wh_bingo#1,"""クエスト / アークスビンゴカード"""
wh_arcsload#1,"""クエスト / アークスロード"""
wh_questinfo#1,"""クエスト / クエスト情報"""
wh_qu_defense_friend#1,"""クエスト / 防衛結果"""
wh_symbolart#1,"""システム / シンボルアート"""
wh_macro#1,"""システム / チャット設定"""
wh_config#1,"""システム / オプション"""
wh_logwindow#1,"""システム / ログウィンドウ"""
wh_loginstamp#1,"""システム / ログインスタンプ"""
wh_es#1,"""システム / es連動"""
wh_acshop#1,"""ACメニュー / ACショップ"""
wh_gacha#1,"""ACメニュー / スクラッチ"""
wh_history#1,"""ACメニュー / 購入履歴"""
wh_expirationdate#1,"""ACメニュー / レンタル有効期限"""
wh_logout#1,"""ログアウト"""
wh_selectmenu#1,"""クイックメニュー"""
wh_visifon#1,"""ビジフォン"""
wh_myshop#1,"""ビジフォン / マイショップ"""
wh_myshop_sell#1,"""ビジフォン / マイショップ管理"""
wh_partner_registration#1,"""ビジフォン / フレンドパートナー登録"""
wh_profile#1,"""ビジフォン / アークスカード編集"""
wh_arcssearch#1,"""ビジフォン / アークスサーチ"""
wh_library#1,"""ビジフォン / 図鑑"""
wh_ranking#1,"""ビジフォン / ランキング"""
wh_item_code#1,"""ビジフォン / アイテムコード"""
wh_goodjob#1,"""キャラクターメニュー / グッジョブ"""
wh_trade#1,"""キャラクターメニュー / アイテムトレード"""
wh_questcounter#1,"""カウンター / クエストカウンター"""
wh_freefield#1,"""カウンター / フリーフィールド選択"""
wh_class_counter#1,"""カウンター / クラスカウンター"""
wh_skilltree#1,"""カウンター / クラススキルツリー"""
wh_license_counter#1,"""カウンター / 称号カウンター"""
wh_teamcounter01#1,"""カウンター / チームカウンター"""
wh_team_extension#1,"""カウンター / チーム拡張、チームルーム拡張"""
wh_medical#1,"""カウンター / メディカルセンター"""
wh_netcafe#1,"""カウンター / ネットカフェカウンター"""
wh_shop#1,"""ショップ / アイテムショップ"""
wh_rabo#1,"""ショップ / アイテムラボ"""
wh_exchange#1,"""ショップ / 交換ショップ"""
wh_recycling#1,"""ショップ / リサイクルショップ"""
wh_shop_simple#1,"""ショップ / 限定ショップ"""
wh_judgment#1,"""ショップ / 鑑定"""
wh_esthetic#1,"""ショップ / エステ"""
wh_funshop#1,"""ショップ / FUNショップ"""
wh_container#1,"""端末 / 倉庫"""
wh_guild_container#1,"""端末 / チーム倉庫"""
wh_partner_terminal#1,"""端末 / パートナー呼び出し端末"""
wh_myroom#1,"""端末 / マイルーム端末"""
wh_team_boost#1,"""端末 / フォトンツリー"""
wh_qu_eternal_terminal#1,"""端末 / エクストリーム端末"""
wh_qu_eternal_floorinfo#1,"""端末 / ステージ情報（エクストリームクエスト）"""
wh_qu_defense_console#1,"""端末 / 採掘基地端末"""
wh_charamake#1,"""キャラクタークリエイト"""
wh_faintingmenu#1,"""戦闘不能メニュー"""
wh_areamap#1,"""エリアマップ"""
wh_keybordhelp#1,"""キーボードヘルプ"""
wh_partner_list#1,"""パートナーリスト"""
wh_supportpartner_menu#1,"""サポートパートナー / メニュー"""
wh_supportpartner_custom#1,"""サポートパートナー / 装備カスタム"""
wh_supportpartner_search#1,"""サポートパートナー / 探索指示"""
wh_craft_top#1,"""クラフト / クラフトメニュー"""
wh_craft_extend#1,"""クラフト / 武装エクステンド"""
wh_craft_tec_custom#1,"""クラフト / テクニックカスタマイズ"""
wh_craft_orders_created#1,"""クラフト / 依頼リスト"""
wh_craft_signboard#1,"""クラフト / 看板設定"""
wh_craft_visifon_top#1,"""クラフト / クラフト情報"""
wh_craft_search#1,"""クラフト / クラフター検索"""
wh_craft_user_order#1,"""クラフト / 他のプレイヤーへの発注"""
wh_craft_card_recipe#1,"""クラフト / データドライブを更新"""
wh_craft_card_create#1,"""クラフト / 時限能力データ作成"""
wh_shipbattle_goods#1,"""アークスシップ対抗戦 / 賞品ショップ"""
wh_shipbattle_mainmenu#1,"""クエスト / アークスシップ対抗戦"""
wh_shipbattle_reward#1,"""アークスシップ対抗戦 / 最終順位報酬"""
wh_shipbattle_points#1,"""アークスシップ対抗戦 / 累計勝ち点"""
wh_shipbattle_roundinfo#1,"""アークスシップ対抗戦 / ラウンド情報"""
wh_eventchronicle#1,"""イベントクロニクル"""
wh_tl_co_011014_v#1,"""『テレパイプ』について"""
wh_tl_co_011020_v#1,"""『戦闘不能』について"""
wh_tl_co_011021_v#1,"""『状態異常』について"""
wh_tl_co_011024_v#1,"""『ロックオン』について"""
wh_tl_co_011025_v#1,"""『ジャストアタック』について"""
wh_tl_co_011064_v#1,"""『フォトンアーツ／テクニックディスク』について"""
wh_tl_co_011169_v#1,"""『ゲートエリア』について"""
wh_tl_co_011170_v#1,"""『ショップエリア』について"""
wh_tl_co_011187_v#1,"""『キャンプシップ』について"""
wh_tl_co_011190_v#1,"""『クライアントオーダー』について"""
wh_tl_co_011196_v#1,"""『マターボード』について"""
wh_tl_co_011201_v#1,"""『チーム』について"""
wh_tl_co_011215_v#1,"""『クリアテレパイプ』について"""
wh_tl_co_011221_v#1,"""『エクスキューブ』について"""
wh_tl_co_011224_v#1,"""『アドバンスクエスト』について"""
wh_tl_co_011230_v#1,"""『キャラクター操作』について"""
wh_tl_co_011231_v#1,"""『AC（アークスキャッシュ）』について"""
wh_tl_co_011232_v#1,"""『マップの表示切り替え』について"""
wh_tl_co_011233_v#1,"""『注目操作』について"""
wh_tl_co_011234_v#1,"""『スクリーンショットの撮影方法』について"""
wh_tl_co_011235_v#1,"""『プレイヤータッチ』について"""
wh_tl_co_011237_v#1,"""『トロフィー機能』について"""
wh_tl_co_011238_v#1,"""『チャットの始め方』について"""
wh_tl_co_011240_v#1,"""『操作設定』について"""
wh_tl_co_011242_v#1,"""『専用ブロック』と『共用ブロック』について"""
wh_tl_co_011243_v#1,"""『ログイン証』について"""
wh_tl_co_011244_v#1,"""『キャラクターポートレート機能』について"""
wh_tl_co_011245_v#1,"""『トロ』と『クロ』について"""
wh_tl_co_011254_v#1,"""『エクストリームクエスト』について"""
wh_tl_co_011256_v#1,"""『エクストリームクエスト』ステージについて"""
wh_tl_co_011257_v#1,"""『エクストリームクエスト』仮想アイテムについて"""
wh_tl_co_011258_v#1,"""『エクストリームクエスト』Ｅトライアルについて"""
wh_tl_co_011259_v#1,"""『マターボードのイベント』について"""
wh_tl_co_011261_v#1,"""『アークスビンゴカード』について"""
wh_tl_co_012017_v#1,"""『武器の切り替え方法』について"""
wh_tl_co_021262_v#1,"""『アークスロード』について"""
wh_tl_co_021279_v#1,"""『サポートパートナー』について"""
wh_tl_co_021280_v#1,"""『サポートパートナーの管理』について"""
wh_tl_co_021281_v#1,"""『採掘基地防衛戦』について"""
wh_tl_co_021282_v#1,"""『採掘基地防衛戦：絶望』について"""
wh_tl_co_021285_v#1,"""『クラフト』について"""
wh_tl_co_021287_v#1,"""『採掘基地防衛戦：侵入』について"""
wh_tl_mp_000239_v#1,"""『パーティーエリア』について"""
wh_tl_mp_000245_v#1,"""『PSE』について"""
wh_tl_np_010490_v#1,"""『デイリーオーダー』について"""
wh_tl_np_011041_v#1,"""『アークスシップ対抗戦』について"""
end#1,"""END"""
