CardSelect_Title#0,"""選擇賓果卡"""
Explain04#0,"""到新行星的航行解禁！<br>去玩新解放的「行星沃帕爾．海岸區域」並達成目標吧！"""
Explain05#0,"""紀念萬聖節活動的賓果卡！<br>去玩緊急任務「不給糖就搗蛋！」和「採掘場遺跡」<br>以賓果為目標吧！"""
Explain06#0,"""終於登場的難度「超級困難」！<br>可以給完成「萬聖節賓果」的你超難度的卡片！"""
Explain07#0,"""聖誕節快樂！<br>去玩緊急任務「冰上的聖誕節」和<br>「據點防衛」並以賓果為目標！"""
Explain08#0,"""可以給完成「聖誕節賓果」的你超難度的卡片！<br>稱霸海底區域吧！"""
Explain10001#0,"""台灣賓果卡片第一彈！<br>在七夕活動遊耍各種地圖，<br>並以賓果為目標吧！"""
Explain10002#0,"""為完成了「七夕賓果」的你<br>獻上高難度隱藏卡片的挑戰權。<br>一定要以完成為目標！"""
Explain20001#0,"""賓果卡片第一彈！<br>邊享受萬聖節活動，<br>並以賓果為目標吧！"""
Explain20002#0,"""完成「萬聖節賓果」的你，<br>獲得高難易度的隱藏卡片的挑戰權！<br>一定要以完成為目標！"""
Explain10003#0,"""賓果卡片第二彈！<br>在體驗萬聖節活動的同時，<br>也以賓果為目標吧！"""
Explain10004#0,"""完成「萬聖節賓果」的你，<br>獲得高難易度的隱藏卡片的挑戰權！<br>一定要以完成為目標！"""
Explain20003#0,"""賓果卡第二彈！<br>邊享受聖誕節活動，<br>並以賓果為目標吧！"""
Explain20004#0,"""完成「聖誕節賓果」的你，<br>獲得高難易度的隱藏卡片的挑戰權！<br>一定要以完成為目標！"""
Explain20005#0,"""ARKS感謝賓果卡第一彈！<br>邊在新區域．遺跡玩耍，<br>並以賓果為目標吧！"""
Explain10005#0,"""賓果卡片第三彈！<br>邊享受農曆新年活動，<br>並以賓果為目標吧！"""
Explain10006#0,"""完成「農曆新年賓果」的你，<br>獲得高難易度的隱藏卡片的挑戰權！<br>一定要以完成為目標！"""
Explain10007#0,"""ARKS感謝賓果卡第一彈！<br>邊在龍祭壇區域玩耍，<br>並以賓果為目標吧！"""
Explain20006#0,"""ARKS感謝賓果卡第一彈！<br>邊在龍祭壇區域玩耍，<br>並以賓果為目標吧！"""
Explain10008#0,"""ARKS感謝賓果卡第二彈！<br>一邊探索行星納貝流士，<br>並以賓果為目標吧！"""
Explain20009#0,"""ARKS感謝賓果卡第二彈！<br>一邊探索行星納貝流士，<br>並以賓果為目標吧！"""
Explain20007#0,"""test1"""
Explain20008#0,"""test2"""
Explain10010#0,"""test1"""
Explain10011#0,"""test2"""
Explain10013#0,"""賓果卡第十回！<br>去體驗聖誕節活動<br>邊以賓果為目標吧！"""
Explain10014#0,"""獻給完成「冬季賓果」的你<br>高難易度的隱藏卡片的挑戰權。<br>一定要以完成為目標！"""
Explain10015#0,"""賓果卡片第四彈！<br>邊享受期間限定任務，<br>並以賓果為目標吧！"""
Explain10016#0,"""為完成了「秋季賓果」的你<br>獻上高難度隱藏卡片的挑戰權。<br>一定要以完成為目標！"""
Explain01#1,"""アークスビンゴカード第一弾！<br>期間限定クエスト「境界を砕く混沌」を<br>遊んでビンゴを目指そう！ コンプリートすると……。"""
Explain02#1,"""「1周年記念ビンゴ」をコンプリートしたあなたには<br>高難易度の裏カードへの挑戦権が与えられます！<br>君はクリア出来るかな？"""
Explain03#1,"""1周年記念後半のビンゴカード！<br>緊急クエスト「アークスシップの炎渦」を遊んで<br>目標を達成しよう！"""
Explain04#1,"""新惑星への渡航解禁！<br>新たに解放された「惑星ウォパル・海岸エリア」<br>を遊んで目標を達成しよう！"""
Explain05#1,"""ハロウィンイベントを記念したビンゴカード！<br>緊急クエスト「トリックオアトリート２！」や<br>「採掘場跡」を遊んでビンゴを目指そう！"""
Explain06#1,"""ついに登場、難度「スーパーハード」！<br>「ハロウィンビンゴ」をコンプリートしたあなたには<br>超難度の裏カードへの挑戦権が与えられます！"""
Explain07#1,"""メリークリスマス！<br>緊急クエスト「氷上のメリークリスマス」や<br>「拠点防衛」を遊んでビンゴを目指そう！"""
Explain08#1,"""「クリスマスビンゴ」をコンプリートしたあなたには<br>高難易度の裏カードへの挑戦権が与えられます！<br>海底エリアを制覇しよう！"""
Explain10001#1,"""台湾ビンゴカード第一弾！<br>七夕イベントで色々なマップを遊びながら<br>ビンゴを目指そう！"""
Explain10002#1,"""「七夕ビンゴ」をコンプリートしたあなたには<br>高難易度な裏カードへの挑戦権を進呈します。<br>ぜひコンプリートを目指そう！"""
Explain20001#1,"""ビンゴカード第一弾！<br>ハロウィンイベントを遊びながら<br>ビンゴを目指そう！"""
Explain20002#1,"""「ハロウィンビンゴ」をコンプリートしたあなたには<br>高難易度な裏カードへの挑戦権を進呈します。<br>ぜひコンプリートを目指そう！"""
Explain10003#1,"""ビンゴカード第ニ弾！<br>ハロウィンイベントを遊びながら<br>ビンゴを目指そう！"""
Explain10004#1,"""「ハロウィンビンゴ」をコンプリートしたあなたには<br>高難易度な裏カードへの挑戦権を進呈します。<br>ぜひコンプリートを目指そう！"""
Explain20003#1,"""ビンゴカード第ニ弾！<br>クリスマスイベントを遊びながら<br>ビンゴを目指そう！"""
Explain20004#1,"""「クリスマスビンゴ」をコンプリートしたあなたには<br>高難易度な裏カードへの挑戦権を進呈します。<br>ぜひコンプリートを目指そう！"""
Explain20005#1,"""アークス感謝ビンゴカード第一弾！<br>新エリア・遺跡を遊びながら<br>ビンゴを目指そう！"""
Explain10005#1,"""ビンゴカード第三弾！<br>旧正月イベントを遊びながら<br>ビンゴを目指そう！"""
Explain10006#1,"""「旧正月ビンゴ」をコンプリートしたあなたには<br>高難易度な裏カードへの挑戦権を進呈します。<br>ぜひコンプリートを目指そう！"""
Explain10007#1,"""アークス感謝ビンゴカード第一弾！<br>龍祭壇エリアを遊びながら<br>ビンゴを目指そう！"""
Explain20006#1,"""アークス感謝ビンゴカード第二弾！<br>龍祭壇エリアを遊びながら<br>ビンゴを目指そう！"""
Explain10008#1,"""アークス感謝ビンゴカード第二弾！<br>惑星ナベリウスを探索しながら<br>ビンゴを目指そう！"""
Explain20009#1,"""アークス感謝ビンゴカード第三弾！<br>惑星ナベリウスを探索しながら<br>ビンゴを目指そう！"""
Explain20007#1,"""ビンゴカード第三弾！<br>ホワイトデーイベントを遊びながら<br>ビンゴを目指そう！"""
Explain20008#1,"""「クリスマスビンゴ」をコンプリートしたあなたには<br>高難易度な裏カードへの挑戦権を進呈します。<br>ぜひコンプリートを目指そう！"""
Explain10010#1,"""ビンゴカード第四弾！<br>期間限定クエストを遊びながら<br>ビンゴを目指そう！"""
Explain10011#1,"""「ソニックビンゴ」をコンプリートしたあなたには<br>高難易度な裏カードへの挑戦権を進呈します。<br>ぜひコンプリートを目指そう！"""
Explain10013#1,"""ビンゴカード第十弾！<br>クリスマスのイベントを遊びながら<br>ビンゴを目指そう！"""
Explain10014#1,"""「ウィンタービンゴ」をコンプリートしたあなたに<br>高難度な裏カードへの挑戦権を進呈します。<br>ぜひコンプリートを目指そう！"""
Explain10015#1,"""ビンゴカード第四弾！<br>期間限定クエストを遊びながら<br>ビンゴを目指そう！"""
Explain10016#1,"""「オータムビンゴ」をコンプリートしたあなたには<br>高難易度な裏カードへの挑戦権を進呈します。<br>ぜひコンプリートを目指そう！"""
09000326#0,"""賓果任務1"""
09000327#0,"""賓果任務2"""
09000328#0,"""賓果任務3"""
09000329#0,"""賓果任務4"""
09000330#0,"""賓果任務5"""
09000331#0,"""賓果任務6"""
09000332#0,"""賓果任務7"""
09000333#0,"""賓果任務8"""
09000334#0,"""賓果任務9"""
09000335#0,"""賓果任務10"""
09000336#0,"""賓果任務11"""
09000337#0,"""賓果任務12"""
09000338#0,"""賓果任務13"""
09000339#0,"""賓果任務14"""
09000340#0,"""賓果任務15"""
09000341#0,"""賓果任務16"""
09000342#0,"""賓果任務17"""
09000343#0,"""賓果任務18"""
09000344#0,"""賓果任務19"""
09000345#0,"""賓果任務20"""
09000346#0,"""賓果任務21"""
09000347#0,"""賓果任務22"""
09000348#0,"""賓果任務23"""
09000349#0,"""賓果任務24"""
09000350#0,"""賓果任務25"""
09000351#0,"""賓果任務1"""
09000352#0,"""賓果任務2"""
09000353#0,"""賓果任務3"""
09000354#0,"""賓果任務4"""
09000355#0,"""賓果任務5"""
09000356#0,"""賓果任務6"""
09000357#0,"""賓果任務7"""
09000358#0,"""賓果任務8"""
09000359#0,"""賓果任務9"""
09000360#0,"""賓果任務10"""
09000361#0,"""賓果任務11"""
09000362#0,"""賓果任務12"""
09000363#0,"""賓果任務13"""
09000364#0,"""賓果任務14"""
09000365#0,"""賓果任務15"""
09000366#0,"""賓果任務16"""
09000367#0,"""賓果任務17"""
09000368#0,"""賓果任務18"""
09000369#0,"""賓果任務19"""
09000370#0,"""賓果任務20"""
09000371#0,"""賓果任務21"""
09000372#0,"""賓果任務22"""
09000373#0,"""賓果任務23"""
09000374#0,"""賓果任務24"""
09000375#0,"""賓果任務25"""
00000051#0,"""「黄色コンテナを壊す」"""
00000052#0,"""「迫る漆黒の腕」"""
00000053#0,"""「PSEバーストを発生させる」"""
00000054#0,"""「ダイヤモンドダストの観察」"""
00000055#0,"""「任意のアイテムを1つ属性強化に成功」"""
00000056#0,"""「マルモス撃破」"""
00000057#0,"""「赤コンテナを壊す」"""
00000058#0,"""「ダガン撃破」"""
00000059#0,"""「任意のアイテムを1つ強化に成功」"""
00000060#0,"""「任意のプレイヤーにグッジョブを送信する」"""
00000061#0,"""「クリスマスのお邪魔虫！」"""
00000062#0,"""「ファンガルフル撃破」"""
00000063#0,"""「」"""
00000064#0,"""「氷上のメリークリスマス２」"""
00000065#0,"""「クリスマスのお手伝い！」"""
00000066#0,"""「カルターゴ撃破」"""
00000067#0,"""「任意のアイテムを1つ特殊能力追加に成功」"""
00000068#0,"""「エル・アーダ撃破」"""
00000069#0,"""「青コンテナを壊す」"""
00000070#0,"""「ブリアーダ撃破」"""
00000071#0,"""「FUNスクラッチを引く」"""
00000072#0,"""「イエーデ撃破」"""
00000073#0,"""「クラーダ撃破」"""
00000074#0,"""「ナウラのケーキ屋を守れ！」"""
00000075#0,"""「緑コンテナを壊す」"""
00000076#0,"""「グル・ソルダ撃破」"""
00000077#0,"""「セヴァニアン撃破」"""
00000078#0,"""「嵐の贈り物」"""
00000079#0,"""「タグ・セヴァニアン撃破」"""
00000080#0,"""「デコル・マリューダ討伐」"""
00000081#0,"""「ウォパル危機一髪！」"""
00000082#0,"""「ダーク・ビブラス撃破」"""
00000083#0,"""「ゴルドラーダ撃破」"""
00000084#0,"""「走破演習：ナベリウスⅡ」"""
00000085#0,"""「マターボード入手：忘却の彼方に在り」"""
00000086#0,"""「デコル・マリューダの弱点は!? 」"""
00000087#0,"""「タロベッコ撃破」"""
00000088#0,"""「」"""
00000089#0,"""「【仮面】撃破」"""
00000090#0,"""「ビオル・メデューナ撃破」"""
00000091#0,"""「ディープスノーの観察」"""
00000092#0,"""「凍土の新たな試練」"""
00000093#0,"""「採掘基地防衛戦：襲来」"""
00000094#0,"""「実地研修に付き合ってください」"""
00000095#0,"""「ちゃちゃっと海底地域生態調査」"""
00000096#0,"""「海底探索」"""
00000097#0,"""「ファルカボネ撃破」"""
00000098#0,"""「ブルトルボン撃破」"""
00000099#0,"""「ヴィド・ギロス撃破」"""
00000100#0,"""「ドゥエ・ソルダ撃破」"""
00000101#0,"""「造龍来たる魔の海域」"""
00000102#0,"""「ドリュアーダ撃破」"""
00000103#0,"""「セグレズン撃破」"""
00000104#0,"""「ファルカボネ撃破」"""
00000105#0,"""「戦闘機防衛」"""
00000106#0,"""「ヴィド・ギロス撃破」"""
00000107#0,"""「シュトゥラーダ撃破」"""
00000108#0,"""「リューダソーサラー撃破」"""
00000109#0,"""「共闘祭への乱入者！」"""
00000110#0,"""「自由探索許可申請・海岸」"""
00000111#0,"""「任意のアイテムの強化を成功させる」"""
00000112#0,"""「大雨の観察」"""
00000113#0,"""「」"""
00000114#0,"""「FUNスクラッチを引く」"""
00000115#0,"""「任意のプレイヤーにグッジョブを送信する」"""
00000116#0,"""「デ・マルモス撃破」"""
00000117#0,"""「共闘祭での一幕！」"""
00000118#0,"""「オルグブラン撃破」"""
00000119#0,"""「デコル・マリューダ撃破」"""
00000120#0,"""「ビオル・メデューナ撃破」"""
00000121#0,"""「共闘祭でも変わらずに！」"""
00000122#0,"""「みんな大好き、大人気！」"""
00000123#0,"""「ティラルーダ撃破」"""
00000124#0,"""「ドゥエ・ソルダ撃破」"""
00000125#0,"""「クローム・ドラゴン撃破」"""
00000126#0,"""「アイドルからの難題」"""
00000127#0,"""「プレディカーダ撃破」"""
00000128#0,"""「クラバーダ撃破」"""
00000129#0,"""「クラーダ撃破」"""
00000130#0,"""「ドラゴン・エクス撃破」"""
00000131#0,"""「フォードランサ撃破」"""
00000132#0,"""「マターボード：【涙のセトルメント】の入手」"""
00000133#0,"""「キングイエーデ撃破」"""
00000134#0,"""「ゼッシュレイダ撃破」"""
00000135#0,"""「破壊をもたらす黒曜」"""
00000136#0,"""「エネミー撃破」"""
00000137#0,"""「カルターゴの弱点は！？」"""
00000138#0,"""「」"""
00000139#0,"""「炎のANGEL」"""
00000140#0,"""「ダーク・ラグネ撃破」"""
00000141#0,"""「強力な侵食核！？」"""
00000142#0,"""「キャタドランサ撃破」"""
00000143#0,"""「シグノビート撃破」"""
00000144#0,"""「ダーガッシュ撃破」"""
00000145#0,"""「エクスタミネート・ジャーニー・Ⅱ」"""
00000146#0,"""「グル・ソルダ撃破」"""
00000147#0,"""「ファングバンシー撃破」"""
00000148#0,"""「PSEバーストを発生させる」"""
00000149#0,"""「ミクダ撃破」"""
00000150#0,"""「パートナーキャラクター同行【クーナ】」"""
00000151#0,"""「バレンタイン茶飯事！」"""
00000152#0,"""「ゴロンゾラン撃破」"""
00000153#0,"""「FUNスクラッチを引く」"""
00000154#0,"""「ヴィスボルトを回避せよ！」"""
00000155#0,"""「ダガン撃破」"""
00000156#0,"""「キャタドラン撃破」"""
00000157#0,"""「ノーディラン撃破」"""
00000158#0,"""「緑色のコンテナを破壊する」"""
00000159#0,"""「チョコレートの行方２」"""
00000160#0,"""「ディッグの撃破」"""
00000161#0,"""「チョコレートへの試練！」"""
00000162#0,"""「愛情たっぷり隠し味！？」"""
00000163#0,"""「」"""
00000164#0,"""「恋慕を後押すウワサ話！」"""
00000165#0,"""「今ここに、バレンタインは完成す！」"""
00000166#0,"""「ソル・ディーニアン撃破」"""
00000167#0,"""「ナウラのケーキ屋を守れ！」"""
00000168#0,"""「マグにアイテムを与える」"""
00000169#0,"""「ペンドラン撃破」"""
00000170#0,"""「サポートパートナー講習」"""
00000171#0,"""「ダーカイムを破壊せよ！」"""
00000172#0,"""「へっぽこぴーの溶岩石拾い」"""
00000173#0,"""「任意のアイテムの属性強化を成功させる」"""
00000174#0,"""「ヴォル・ドラゴンの肉の調達」"""
00000175#0,"""「ソル・ディランダール撃破」"""
00000176#0,"""「ディランダール撃破」"""
00000177#0,"""「ダークファルス・エルダー撃破」"""
00000178#0,"""「ブリュンダール撃破」"""
00000179#0,"""「ブリュー・リンガーダ撃破」"""
00000180#0,"""「アナタの手を借りたいの！」"""
00000181#0,"""「かすかに覚えし桃色の花」"""
00000182#0,"""「パートナーキャラクター同行【アザナミ】」"""
00000183#0,"""「フォードラン撃破」"""
00000184#0,"""「恩人を探して」"""
00000185#0,"""「ヒミツの特訓」"""
00000186#0,"""「ブルメガーラ撃破」"""
00000187#0,"""「バル・ロドス撃破」"""
00000188#0,"""「」"""
00000189#0,"""「実地研修に付き合ってください」"""
00000190#0,"""「シル・ディーニアン撃破」"""
00000191#0,"""「エル・ダガン撃破」"""
00000192#0,"""「猛る黒曜の暴腕」"""
00000193#0,"""「熱波の観察」"""
00000194#0,"""「パートナーキャラクター同行【リサ】」"""
00000195#0,"""「ディグナッツ撃破」"""
00000196#0,"""「サディニアン撃破」"""
00000197#0,"""「グワナーダ撃破」"""
00000198#0,"""「オル・ミクダ撃破」"""
00000199#0,"""「クォーツ・ドラゴン撃破」"""
00000200#0,"""「ディーニアン撃破」"""
00000201#0,"""「ブリアーダ撃破」"""
00000202#0,"""「グル・ソルダ撃破」"""
00000203#0,"""「『クエストクリア時』に設定したオートワードを発動させる」"""
00000204#0,"""「ガーディナン撃破」"""
00000205#0,"""「カストキンディッド撃破」"""
00000206#0,"""「イースターの幕開けは」"""
00000207#0,"""「お祭りで使うタマゴって？」"""
00000208#0,"""「おじゃま虫をやっつけろ！」"""
00000209#0,"""「機甲種にも大人気？」"""
00000210#0,"""「みんな揃ってお祭り気分！」"""
00000211#0,"""「FUNスクラッチを引く」"""
00000212#0,"""「マグにアイテムを与える」"""
00000213#0,"""「」"""
00000214#0,"""「緑色のコンテナを破壊する」"""
00000215#0,"""「任意のアイテムの強化を成功させる」"""
00000216#0,"""「シグノビート撃破」"""
00000217#0,"""「ゼッシュレイダ撃破」"""
00000218#0,"""「カルターゴ撃破」"""
00000219#0,"""「ダーク・ラグネ撃破」"""
00000220#0,"""「ギルナッチ撃破」"""
00000221#0,"""「サイクロネーダ撃破」"""
00000222#0,"""「任意のドリンクを飲む」"""
00000223#0,"""「ディンゲール撃破」"""
00000224#0,"""「ヴィントバルガー撃破」"""
00000225#0,"""「ファルス・ヒューナル撃破」"""
00000226#0,"""「狡猾なる黒翼の尖兵」"""
00000227#0,"""「特務先遣調査：海岸」"""
00000228#0,"""「ティラルーダ撃破」"""
00000229#0,"""「シュタークガン撃破」"""
00000230#0,"""「ジャストアタック特訓・Ⅰ」"""
00000231#0,"""「ヴィド・ギロス撃破」"""
00000232#0,"""「任意のプレイヤーにグッジョブを送信する」"""
00000233#0,"""「ソルダ・カピタ撃破」"""
00000234#0,"""「ティフリスに話しかける」"""
00000235#0,"""「極限訓練：遺跡と海王」"""
00000236#0,"""「ヴィドルーダ撃破」"""
00000237#0,"""「マターボード：【未来を迎えるため】の入手」"""
00000238#0,"""「」"""
00000239#0,"""「ダーカーの系統別分類調査」"""
00000240#0,"""「ドゥエ・ソルダ撃破」"""
00000241#0,"""「アークスGP2014予選」"""
00000242#0,"""「パーティー演習・Ⅰ」"""
00000243#0,"""「ブリュンダール撃破」"""
00000244#0,"""「赤色のコンテナを破壊する」"""
00000245#0,"""「ゴルドラーダ撃破」"""
00000246#0,"""「リューダソーサラー撃破」"""
00000247#0,"""「シュトゥラーダ撃破」"""
00000248#0,"""「デコル・マリューダ撃破」"""
00000249#0,"""「トランマイザー撃破」"""
00000250#0,"""「ドリュアーダ撃破」"""
00000251#0,"""「マザーシップに平穏を！\u3000Ⅰ」"""
00000252#0,"""「カルターゴ撃破」"""
00000253#0,"""「混乱誘うダーカーたち！」"""
00000254#0,"""「任意のアイテムの強化を成功させる」"""
00000255#0,"""「マザーシップに平穏を！\u3000Ⅱ」"""
00000256#0,"""「シル・ディーニアン撃破」"""
00000257#0,"""「ブルメガーラ撃破」"""
00000258#0,"""「リューダソーサラー撃破」"""
00000259#0,"""「アクルプス撃破」"""
00000260#0,"""「ディーニアン撃破」"""
00000261#0,"""「ダガン撃破」"""
00000262#0,"""「緑色のコンテナを破壊する」"""
00000263#0,"""「」"""
00000264#0,"""「ディッグ撃破」"""
00000265#0,"""「クラーダ撃破」"""
00000266#0,"""「スパルザイル撃破」"""
00000267#0,"""「ブリアーダ撃破」"""
00000268#0,"""「ガロンゴ撃破」"""
00000269#0,"""「エル・アーダ撃破」"""
00000270#0,"""「シグノビート撃破」"""
00000271#0,"""「マザーシップに平穏を！\u3000Ⅲ」"""
00000272#0,"""「ＦＵＮスクラッチを引く」"""
00000273#0,"""「静寂に生まれし混沌」"""
00000274#0,"""「ディカーダ撃破」"""
