ReturnText#0,"""Back"""
OrderSelect#0,"""Select Order"""
PartnerStart#0,"""Send on Search"""
PartnerCancel#0,"""Suspend Search"""
PartnerOverStartMessage#0,"""Your support partner can assist with<br>up to $(0) orders.<br>When selecting these orders,<br>please select more than one. """
PartnerStartMessage#0,"""No. of Orders: $(0) (MAX: $(1))<br>Planned Completion Time: $(2)<br><br>Your partner will be sent to search on these terms. <br>Is this okay?"""
PartnerStartMessage2#0,"""Your partner has been sent. """
PartnerFaliedMessage#0,"""Orders have not been selected. <br>Select the orders you would like your<br>support partner to assist with from the<br>orders you have received. """
PartnerCancelMessage#0,"""This allows you to suspend the current search<br>and return your partner to your quarters. <br><br>Suspending the search will prevent<br>you from receiving items and XP from it. <br><br>Suspend the search?"""
PartnerCancelMessage2#0,"""The search has been suspended."""
PartnerChangeJobMessage#0,"""The class of your support partner<br>will be changed to $(0) so<br>that they can equip this weapon. <br><br>Is this okay?"""
PartnerChangeJobError#0,"""Your partner cannot be changed to a class<br>that can equip this weapon."""
PartnerChangeEquipSuccess#0,"""Equipment changed. """
PartnerChangeEquipError1#0,"""Equipment change failed."""
PartnerChangeEquipError2#0,"""You cannot hand over an item<br>that's currently equipped. """
PartnerChangeEquipError3#0,"""You cannot hand over an item<br>that's currently locked."""
PartnerChangeEquipError4#0,"""The equipment cannot<br>be changed due to race restrictions. """
PartnerChangeEquipError5#0,"""The equipment cannot<br>be changed due to gender restrictions. """
PartnerChangeEquipError6#0,"""The equipment cannot<br>be changed due to class restrictions. """
PartnerChangeEquipError7#0,"""The equipment cannot<br>be changed due to class change restrictions. """
PartnerChangeEquipError8#0,"""You failed to change the class<br>of your support partner. """
PartnerChangeEquipError9#0,"""You failed to change the equipment<br>of your support partner. """
PartnerChangeEquipError10#0,"""Processing of your support partner's<br>equipment change<br>has failed. """
PartnerChangeEquipError11#0,"""You cannot hand over<br>a mystery item."""
PartnerChangeEquipError12#0,"""You cannot remove the equipment,<br>because there is not enough room in your inventory."""
Top_Title#1,"""サポートパートナーメニュー"""
Explain_Top#1,"""<c f0df60>サポートパートナーにいろいろな指示を出すことができます。<c>"""
Explain_Order#1,"""<c f0df60>あなたが受注しているオーダーの一部を手伝わせることができます。あと <c ff4f3f>$(0)件<c f0df60> 選択できます。<c>"""
Explain_Status#1,"""<c f0df60>サポートパートナーのステータスや装備情報を確認できます。<c>"""
Explain_Talk#1,"""<c f0df60>サポートパートナーと話をします。<c>"""
Explain_Equip#1,"""<c f0df60>装備を変更できます。装備品を選ぶと、それを<c ff4f3f>装備可能なクラスに変更させる<c f0df60>ことができます。<c>"""
Explain_Move#1,""" """
Explain_Return#1,"""<c f0df60>サポートパートナーに一時的に席を外させます。<c>"""
Explain_Back#1,""" """
AccessMenu_Title#1,"""サポートパートナーメニュー"""
AccessMenu_Order#1,"""探索指示を出す"""
AccessMenu_Status#1,"""パートナー情報を見る"""
AccessMenu_Talk#1,"""話をする"""
AccessMenu_Equip#1,"""装備をカスタムする"""
AccessMenu_Move#1,"""コンソール位置を移動させる"""
AccessMenu_Return#1,"""席を外させる"""
AccessMenu_Back#1,"""この場を離れる"""
MyRoomMenu_Order#1,"""探索指示を出す"""
MyRoomMenu_OrderCancel#1,"""探索を中止させる"""
MyRoomMenu_OrderResult#1,"""探索結果を報告させる"""
MyRoomMenu_Status#1,"""パートナー情報を見る"""
DictatePartner#1,"""探索指示を出す"""
OrderSelect#1,"""オーダーを選ぶ"""
PartnerStart#1,"""探索に出発させる"""
PartnerCancel#1,"""探索を中止させる"""
PartnerOverStartMessage#1,"""一度に手伝い可能なオーダー数は<br>$(0)件 までです。<br>このオーダーを選択する場合は、<br>1件以上選びなおしてください。"""
PartnerStartMessage#1,"""手伝うオーダー数： $(0)件　（最大 $(1)件）<br>終了予定時間： $(2)後<br><br>この内容で、探索に出発させます。<br>よろしいですか？"""
PartnerStartMessage2#1,"""出発させました。"""
PartnerFaliedMessage#1,"""オーダーが選択されていません。<br>あなたが受注しているオーダーから、<br>サポートパートナーに手伝わせたい<br>オーダーを選択してください。"""
PartnerCancelMessage#1,"""現在の探索を中止させ、<br>マイルームに戻らせることができます。<br><br>中止させた場合、探索による<br>アイテムや経験値などは得られません。<br><br>探索を中止させますか？"""
PartnerCancelMessage2#1,"""探索を中止させました。"""
PartnerChangeJobMessage#1,"""この武器を装備するために<br>サポートパートナーのクラスを<br>$(0)に変更させます。<br><br>よろしいですか？"""
PartnerChangeJobError#1,"""この武器を装備できるクラスには<br>変更できません。"""
PartnerChangeEquipSuccess#1,"""装備を変更しました。"""
PartnerChangeEquipError1#1,"""装備変更に失敗しました。"""
PartnerChangeEquipError2#1,"""あなたが装備中のアイテムは<br>渡すことができません。"""
PartnerChangeEquipError3#1,"""ロック中のアイテムは<br>渡すことができません。"""
PartnerChangeEquipError4#1,"""種族制限のため<br>装備を変更することができません。"""
PartnerChangeEquipError5#1,"""性別制限のため<br>装備を変更することができません。"""
PartnerChangeEquipError6#1,"""クラス制限のため<br>装備を変更することができません。"""
PartnerChangeEquipError7#1,"""クラス変更制限のため<br>装備を変更することができません。"""
PartnerChangeEquipError8#1,"""サポートパートナーの<br>クラス変更に失敗しました。"""
PartnerChangeEquipError9#1,"""サポートパートナーの<br>装備変更に失敗しました。"""
PartnerChangeEquipError10#1,"""サポートパートナーの<br>装備変更の処理に<br>失敗しました。"""
PartnerChangeEquipError11#1,"""未鑑定のアイテムは<br>渡すことができません。"""
PartnerChangeEquipError12#1,"""アイテムパックの空き容量不足のため<br>装備を外すことができません。"""
Leave#0,"""　（$(0)）"""
Leave#1,"""　（あと $(0)）"""
