name01#0,"""遊戲內 Help"""
text10#0,"""<yellow>【視窗模式的便利操作】（2/2）<c><br><br>\u3000．在分頁上滑鼠滾輪旋轉，即可切換分頁。<br><br>\u3000．在金額輸入等的「數字鍵盤」上<br>\u3000\u3000旋轉滑鼠滾輪，可上下調整位數的數值。<br><br>\u3000．在商店商品列表上以<yellow><%NextWidget><c><br>\u3000\u3000可在「購買」或「賣出」鍵移動游標。<br><br>\u3000．持有的滑鼠具有「側鍵」時，<br>\u3000\u3000可自設定分配2個功能。"""
text11#0,"""<yellow>【視窗模式的便利操作】（2/2）<c><br><br>\u3000・在分頁上滑鼠滾輪旋轉，即可切換分頁。<br><br>\u3000・在金額輸入等的「數字鍵盤」上<br>\u3000\u3000旋轉滑鼠滾輪，可上下調整位數的數值。<br><br>\u3000・在商店商品列表上以<yellow><%NextWidget><c><br>\u3000\u3000可在「購買」或「賣出」鍵移動游標。<br><br>\u3000・持有的滑鼠具有「側鍵」時，<br>\u3000\u3000可自選項分配2個功能。"""
text01#1,"""<yellow>【プレイヤーズサイトのご案内】<c><br><br>・「ファンタシースターオンライン2」のゲーム内容や<br>\u3000操作方法などを、以下のサイトでご案内しています。<br><br>\u3000<c 00ffff>「ファンタシースターオンライン2」プレイヤーズサイト<c><br>\u3000<&URL pso2_players_manual><br><br>\u3000バージョンアップ・キャンペーン告知なども行いますので、<br>\u3000定期的なご確認をおすすめします。<br><br>\u3000<yellow>※次のページから、便利な機能などをご紹介します。<c>"""
text02#1,"""<yellow>【便利なキーボードショートカット】（1/2）<c><br><br>\u3000<green>※キー表記は初期設定での状態です。<c><br><br>\u3000・メインメニューを開く：<yellow>[F1]キー、[Home]キー、[Esc]キー<c><br><br>\u3000・クイックメニューを開く：<yellow>[F9]キー、[End]キー<c><br><br>\u3000・アイテムを開く：<yellow>[F2]キー、[I]キー<c><br><br>\u3000・武器装備を開く：<yellow>[F5]キー、[U]キー(カスタム)<c><br>\u3000・防具装備を開く：<yellow>[F6]キー、[U]キー(カスタム)<c>"""
text03#1,"""<yellow>【便利なキーボードショートカット】（2/2）<c><br><br>\u3000・マグを開く：<yellow>[F4]キー、[Y]キー<c><br><br>\u3000・カメラの遠近：<yellow>[+]キー<c> / <yellow>[-]キー<c><br>\u3000・カメラの上下：<yellow>[/]キー<c> / <yellow>[*]キー<c><br><br>\u3000・ロビーアクション実行：<yellow>[Alt]+[A]～[Z]キー<c><br><br>\u3000・スクリーンショットの撮影：<yellow>[PrintScreen]キー<c>"""
text04#1,"""<yellow>【ログウィンドウについて】<c><br><br>\u3000「ファンタシースターオンライン2」は、<br>\u3000オンラインゲームです。たくさんの人と協力することで、<br>\u3000よりお楽しみいただけます。<br><br>\u3000そのコミュニケーションを助けるのが、「チャット」です。<br>\u3000<%ChatStart>でチャット入力を開始できます。<br><br>\u3000※<%ChatStart>を押さずに、直接キー入力がチャットになる<br>\u3000\u3000「ダイレクトチャット」モードもご利用頂けます。<br>\u3000\u3000（<yellow>[ScrollLock]キー<c>で ON/OFF できます）"""
text05#1,"""<yellow>【ログウィンドウ操作の便利機能】<c><br><br>\u3000・バックログ：<yellow>[PageUp]キー<c> / <yellow>[PageDown]キー<c><br>\u3000\u3000※アクション中も可能<br><br>\u3000・表示チャンネル変更：<yellow>[Ctrl]+[←]<c> または <yellow>[→]キー<c><br><br>\u3000・発言先の変更：<yellow>[Alt]+[←]<c> または <yellow>[→]キー<c><br><br>\u3000・チャット入力履歴：<yellow>[Ctrl]+[↑]<c> または <yellow>[↓]キー<c><br><br>\u3000・ダイレクトチャット切り替え：<yellow>[ScrollLock]キー<c>"""
text06#1,"""<yellow>【チャット入力時の文字列代入コマンド】（1/2）<c><br><br>\u3000・<green><lt>me<gt><c><br>\u3000\u3000自分のキャラクター名を代入。<br><br>\u3000・<green><lt>target<gt><c> または <green><lt>t<gt><c><br>\u3000\u3000現在ターゲット中の人や物の名前を代入。<br><br>\u3000・<green><lt>weapon<gt><c> または <green><lt>wp<gt><c><br>\u3000\u3000現在装備中の武器の名前を代入。<br>"""
text07#1,"""<yellow>【チャット入力時の文字列代入コマンド】（2/2）<c><br><br>\u3000・<green><lt>photonarts<gt><c> または <green><lt>pa<gt><c><br>\u3000\u3000直前に使用したフォトンアーツの名前を代入。<br><br>\u3000・<green><lt>technic<gt><c> または <green><lt>tc<gt><c><br>\u3000\u3000直前に使用したテクニックの名前を代入。<br><br>\u3000・<green><lt>pos<gt><c><br>\u3000\u3000現在のマップ座標を代入。<br> \u3000（クエスト中以外は使用できません）"""
text08#1,"""<yellow>【特別な状況でのみ使用できる文字列代入コマンド】<c><br><br>\u3000・<green><lt>basecolor<gt><c> または <green><lt>bc<gt><c><br>\u3000\u3000採掘基地防衛戦にて一番近い拠点の色を代入。"""
text09#1,"""<yellow>【アクション中の便利な操作】<c><br><br>\u3000・武器パレット（武器装備）の切り替え<br>\u3000\u3000<yellow>[R]キー<c> / <yellow>[F]キー<c><br><br>\u3000・サブパレットの左右選択と実行<br>\u3000\u3000<yellow>[G]キー<c> / <yellow>[H]キー<c>で選択、<yellow>[B]キー<c>で実行<br><br>\u3000・サブパレットの別パレット切り替え<br>\u3000\u3000武器パレットの切り替え中（上記参照）に、<br>\u3000\u3000<yellow>[G]キー<c> / <yellow>[H]キー<c>"""
text10#1,"""<yellow>【ウィンドウモードの便利な操作】（1/2）<c><br><br>\u3000・リスト表示中にページ単位で進める・戻す<br>\u3000\u3000<yellow>[PageDown]キー<c> / <yellow>[PageUp]キー<c><br><br>\u3000・アイテムを複数選択してまとめて操作<br>\u3000\u3000<yellow>[Ctrl]+クリック<c>で単体追加、<br>\u3000\u3000<yellow>[Shift]+クリック<c>で範囲追加<br><br>\u3000・タブの切り替え<br>\u3000\u3000<yellow>[Ctrl]+[PageUp]キー<c> / <yellow>[Ctrl]+[PageDown]キー<c>"""
text11#1,"""<yellow>【ウィンドウモードの便利な操作】（2/2）<c><br><br>\u3000・タブ上でマウスホイール回転で、タブ切り替えができます。<br><br>\u3000・金額入力などの「キーダイヤル」上で<br>\u3000\u3000マウスホイールの回転で、桁の数値を上下できます。<br><br>\u3000・ショップ商品リスト上で<yellow><%NextWidget><c>で<br>\u3000\u3000「購入」や「売却」ボタンにカーソル移動できます。<br><br>\u3000・「サイドボタン」が存在するマウスをお持ちの場合は、<br>\u3000\u3000オプションから２つまで機能を割り当てられます。"""
