f2#0,"""이머전시 트라이얼 「$(0)」 발생!"""
time_outline_40040#0,"""최심부로 향해라!"""
time_outline_40050#0,"""최심부로 향해라!"""
time_outline_40060#0,"""최심부로 향해라!"""
urgency_outline_50010#0,"""퀘스트 포인트를 모아라!"""
urgency_outline_50020#0,"""퀘스트 포인트를 모아라!"""
urgency_outline_50030#0,"""최심부로 향해라!"""
urgency_outline_50035#0,"""최심부로 향해라!"""
urgency_outline_50040#0,"""빅 버더를 격파하라!"""
urgency_outline_50050#0,"""시간이 되는대로 에너미를 격퇴하라!"""
urgency_outline_50060#0,"""나우라 케이크 가게를 찾아라!"""
urgency_outline_50070#0,"""시간이 되는대로 에너미를 격퇴하라!"""
urgency_outline_50080#0,"""펄스 암을 격파하라!"""
urgency_outline_50090#0,"""다크 펄스 엘더의 격파"""
urgency_outline_50100#0,"""나우라 케이크 가게를 찾아라!"""
urgency_outline_50110#0,"""발렌타인 Pt를 모아라!"""
urgency_outline_50120#0,"""화이트 데이 Pt를 모아라!"""
urgency_outline_50130#0,"""최심부로 향해라!"""
urgency_outline_50140#0,"""최심부로 향해라!"""
urgency_outline_50160#0,"""퀘스트 포인트를 모아라!"""
escape_outline_030010#0,"""회수 포인트를 목표로 하라!"""
escape_outline_030020#0,"""회수 포인트를 목표로 하라!"""
tgs2012vita_outline_00000#0,"""볼 드래곤을 쓰러뜨려라!"""
tgs2013_outline_00000#0,"""최심부로 향해라!"""
cost_outline_010010#0,"""최심부로 향해라!"""
cost_outline_020010#0,"""최심부로 향해라!"""
cost_outline_030010#0,"""최심부로 향해라!"""
cost_outline_040010#0,"""최심부로 향해라!"""
cost_outline_050010#0,"""최심부로 향해라!"""
cost_outline_060010#0,"""최심부로 향해라!"""
cost_outline_070010#0,"""최심부로 향해라!"""
cost_outline_080010#0,"""최심부로 향해라!"""
cost_outline_090010#0,"""최심부로 향해라!"""
cost_outline_100010#0,"""최심부로 향해라!"""
cost_outline_110010#0,"""최심부로 향해라!"""
cost_outline_120010#0,"""최심부로 향해라!"""
event_outline_80010#0,"""최심부로 향해라!"""
event_outline_80020#0,"""최심부로 향해라!"""
event_outline_80030#0,"""다크 펄스 엘더의 격파"""
event_outline_80040#0,"""퀘스트 포인트를 모아라!"""
event_outline_80060#0,"""퀘스트 포인트를 모아라!"""
event_outline_80070#0,"""최심부로 향해라!"""
event_outline_80080#0,"""에너미를 100마리 쓰러뜨려라!"""
event_outline_80100#0,"""퀘스트 포인트를 모아라!"""
event_outline_80110#0,"""퀘스트 포인트를 모아라!"""
tower_outline_90010#0,"""다섯 개의 스테이지를 제패하라!"""
tower_outline_90020#0,"""다섯 개의 스테이지를 제패하라!"""
tower_outline_90030#0,"""다섯 개의 스테이지를 제패하라!"""
defense_outline_010010#0,"""채굴 기지를 방어하라!"""
defense_outline_010030#0,"""채굴 기지를 방어하라!"""
urgency_outline_100010#0,"""비치 Pt를 모아라!"""
urgency_outline_100015#0,"""비치 Pt를 모아라!"""
urgency_outline_060020#0,"""수수께끼의 적성 기계 적 격파"""
urgency_outline_50210#0,"""나우라 케이크 가게를 찾아라!"""
urgency_outline_50200#0,"""최심부로 향해라!"""
urgency_outline_50220#0,"""나우라 케이크 가게를 찾아라!"""
urgency_outline_50230#0,"""퀘스트 포인트를 모아라!"""
urgency_outline_50240#0,"""발렌타인 Pt를 모아라!"""
urgency_outline_50250#0,"""화이트 데이 Pt를 모아라!"""
urgency_outline_50260#0,"""스위치를 기동하여 에너미를 섬멸"""
urgency_outline_50270#0,"""아포스 도리오스를 격파하라!"""
urgency_outline_50280#0,"""다크 펄스 루서 격파"""
urgency_outline_50290#0,"""다크 펄스 루서 격파"""
urgency_outline_50300#0,"""퀘스트 포인트를 모아라!"""
urgency_outline_50310#0,"""최심부로 향해라!"""
urgency_outline_100020#0,"""비치 Pt를 모아라!"""
story_outline_10190_01#0,"""코토시로 곁으로 향해라!"""
story_outline_10200_01#0,"""부상 시설을 조사하라!"""
story_outline_10210_01#0,"""봉인의 장소로 향해라!"""
story_outline_10220_01#0,"""【어프렌티스】를 찾아라!"""
story_outline_10230#0,"""【더블】의 내적 우주를 탈출하라!"""
story_outline_10240_01#0,"""【더블】의 근원을 향해라!"""
story_outline_10250_01#0,"""【페르소나】와 결말을 내라!"""
story_outline_10250_02#0,"""마토이를 격파하라!"""
story_outline_10250_03#0,"""마토이 곁으로 향해라!"""
story_outline_10270_01#0,"""괴세구역을 조사하라!"""
story_outline_10280_01#0,"""히츠기와 행동을 함께하라!"""
story_outline_10290_01#0,"""하기토의 군세를 격퇴하라!"""
story_outline_10300_01#0,"""히츠기와 함께 상황을 타개하라!"""
story_outline_10310_01#0,"""신속히 환창종을 격파하라!"""
story_outline_10320_01#0,"""베토르를 멈춰라!"""
story_outline_10330_01#0,"""마인 파레그를 격퇴하라!"""
story_outline_10330_02#0,"""모든 환창종을 섬멸하라!"""
story_outline_10340#0,"""앞을 가로막는 환창종을 격파하라!"""
story_outline_10350_99#0,"""마인 파레그를 격퇴하라!"""
story_outline_10350_01#0,"""붙잡힌 히츠기를 구출하라!"""
story_outline_10350_02#0,"""침입한 외적을 격퇴하라!"""
story_outline_10380_99#0,"""다커같은 환창종을 쓰러뜨려라!"""
story_outline_10390_99#0,"""히츠기 일행과 함께 학교를 지켜라!"""
story_outline_10400_01#0,"""아라토론을 격퇴하라!"""
story_outline_10400_02#0,"""알을 구출하라!"""
story_outline_10400_03#0,"""마더를 멈춰라!"""
story_outline_10410_99#0,"""이상 진화한 환창종을 쓰러뜨려라!"""
story_outline_10430_01#0,"""세계 재편을 저지하라!"""
story_outline_10420_99#0,"""마인 파레그를 쓰러뜨려라!"""
story_outline_10440_01#0,"""【페르소나】를 구해라!"""
story_outline_10440_02#0,"""적을 모두 쓰러뜨려라!"""
story_outline_300020_01#0,"""마신성을 파괴하라!"""
story_outline_300020_02#0,"""마나를 회수해 개전을 준비하라!"""
story_outline_300020_03#0,"""적 부대의 공격에서 버스터 탑을 지켜라!"""
story_outline_300020_04#0,"""버스터 병기를 엄호해 적 결계를 공격하라!"""
story_outline_300020_05#0,"""마신성의 복부 코어를 파괴하라!"""
story_outline_300330_01#0,"""다커를 섬멸하라!"""
story_outline_300410_01#0,"""마인병을 모두 격퇴하라!"""
story_outline_300430_01#0,"""오메가 휴날을 격파하라!"""
story_outline_300650_01#0,"""마신성을 격파하라!"""
story_outline_300700_01#0,"""오메가 앙겔을 격파하라!"""
story_outline_300870_01#0,"""마신성을 격파하라!"""
story_outline_300880_01#0,"""다크 엠페 랍피를 격파하라!"""
story_outline_300900_01#0,"""SOROKING・D를 격파하라!"""
story_outline_300940_01#0,"""오메가 아프렌지나를 격파하라!"""
story_outline_300890_01#0,"""도망치지 못한 시민을 구출하라!"""
story_outline_300890_02#0,"""시가지의 평화를 되찾아라!"""
story_outline_301130_01#0,"""마신성을 격파하라!"""
story_outline_301160_01#0,"""오메가 다릴을 격파하라!"""
story_outline_301180_01#0,"""오메가 더럼블을 격파하라!"""
story_outline_301300_01#0,"""검은 고치로 향해라!"""
story_outline_301310_01#0,"""검은 고치로 향해라!"""
story_outline_301350_01#0,"""에르밀을 쓰러뜨려라!"""
tutorial_outline_699999_01#0,"""회수 포인트를 목표로 하라!"""
omnibus_outline_15000_01#0,"""히 로가를 진정시켜라!"""
omnibus_outline_15010_01#0,"""【가면】을 격퇴하라!"""
omnibus_outline_15020_01#0,"""트랜마이저를 격파하라!"""
omnibus_outline_15030_01#0,"""코 레라를 격퇴하라!"""
omnibus_outline_15040_01#0,"""침입한 다커를 섬멸하라!"""
omnibus_outline_15050_01#0,"""유적의 비밀을 알아내라!"""
omnibus_outline_15060_01#0,"""다크 펄스 엘더를 격파하라!"""
omnibus_outline_15070_01#0,"""하드레드를 격퇴하라!"""
omnibus_outline_15080_01#0,"""하드레드를 격퇴하라!"""
omnibus_outline_15080_02#0,"""안쪽에 있는 쿠나와 합류하라!"""
omnibus_outline_15090_01#0,"""멜폰시나와 함께 가라!"""
omnibus_outline_15100_01#0,"""스코어 포인트를 벌어라!"""
omnibus_outline_15110_01#0,"""브류 링가다를 격퇴하라!"""
omnibus_outline_15120_02#0,"""오그 블랑을 격퇴하라!"""
omnibus_outline_15130_02#0,"""데콜 마류다를 격퇴하라!"""
omnibus_outline_15140_02#0,"""펄스 휴날을 격퇴하라!"""
omnibus_outline_15150_02#0,"""비올 메듀나를 격퇴하라!"""
omnibus_outline_15160_02#0,"""거주 지구로 가라!"""
omnibus_outline_15170_02#0,"""서둘러 시온에게 가라!"""
omnibus_outline_15180_02#0,"""아포스 도리오스를 격파하라!"""
omnibus_outline_15180_03#0,"""다크 펄스 루서 격파"""
omnibus_outline_15190_02#0,"""서둘러 최심부에서 혼자 싸우는 그녀에게 가라!"""
omnibus_outline_15200_02#0,"""【어프렌티스】를 찾아라!"""
omnibus_outline_15210_02#0,"""부상 시설을 조사하라!"""
omnibus_outline_15220_03#0,"""기구르 군네감을 격파하라!"""
omnibus_outline_15230_03#0,"""봉인된 장소를 방어하라!"""
omnibus_outline_15240_03#0,"""『마가츠』를 격파하라!"""
omnibus_outline_15250_03#0,"""【더블】의 내적 우주를 탈출하라!"""
omnibus_outline_15260_03#0,"""【더블】을 격파하라!"""
omnibus_outline_15270_03#0,"""【페르소나】와 결말을 내라!"""
omnibus_outline_15280_03#0,"""마토이를 격파하라!"""
omnibus_outline_15290_03#0,"""마토이를 구해라!"""
omnibus_outline_15300_03#0,"""【심원의 어둠】 격파"""
omnibus_outline_15310_03#0,"""괴세 구역을 조사하라!"""
omnibus_outline_15320_03#0,"""DF 어프렌티스 지아를 격파하라!"""
freefield_outline_20120#0,"""최심부로 향해라!"""
freefield_outline_20130#0,"""최심부로 향해라!"""
freefield_outline_20140#0,"""퀘스트 포인트를 모아라!"""
freefield_outline_20160#0,"""퀘스트 포인트를 모아라!"""
freefield_outline_20170#0,"""최심부로 향해라!"""
arks_outline_30350#0,"""퀘스트 포인트를 모아라!"""
arks_outline_30360#0,"""안쟈두리리를 토벌하라!"""
arks_outline_30370#0,"""퀘스트 포인트를 모아라!"""
arks_outline_30380#0,"""레오마두라드를 토벌하라!"""
arks_outline_30390#0,"""퀘스트 포인트를 모아라!"""
arks_outline_30400#0,"""코닷타 이뎃타를 토벌하라!"""
time_outline_40070#0,"""에너미를 100마리 쓰러뜨려라!"""
time_outline_40080#0,"""최심부로 향해라!"""
event_outline_40090#0,"""최심부로 향해라!"""
event_outline_40100#0,"""최심부로 향해라!"""
training_outline_00010#0,"""1개의 과제를 달성하라!"""
training_outline_00020#0,"""2개의 과제를 달성하라!"""
training_outline_00030#0,"""3개의 과제를 달성하라!"""
arks_begin_30380#0,"""레오마두라드를 토벌하라!"""
training_outline_00050#0,"""5개의 과제를 달성하라!"""
training_outline_00060#0,"""6개의 과제를 달성하라!"""
training_outline_00080#0,"""8개의 과제를 달성하라!"""
training_outline_00090#0,"""9개의 과제를 달성하라!"""
training_outline_00100#0,"""10개의 과제를 달성하라!"""
urgency_outline_50360#0,"""최심부로 향해라!"""
tgs2015_outline_00000#0,"""최심부로 향해라!"""
cost_outline_140010#0,"""최심부로 향해라!"""
cost_outline_150010#0,"""최심부로 향해라!"""
cost_outline_170010#0,"""최심부로 향해라!"""
event_outline_80090#0,"""다크 펄스 루서 격파"""
defense_outline_010040#0,"""채굴 기지를 방어하라!"""
defense_outline_010050#0,"""채굴 기지를 방어하라!"""
challenge_outline_120000#0,"""5가지 미션을 클리어 하라!"""
challenge_outline_121000#0,"""제한시간 내에 점수를 획득하라!"""
riding_outline_180010#0,"""에너미를 격파해 스코어를 모아라!"""
riding_outline_180020#0,"""에너미를 격파해 스코어를 모아라!"""
riding_outline_180030#0,"""에너미를 격파해 스코어를 모아라!"""
riding_outline_180040#0,"""에너미를 격파해 스코어를 모아라!"""
riding_outline_180050#0,"""에너미를 격파해 스코어를 모아라!"""
riding_outline_180060#0,"""에너미를 격파해 스코어를 모아라!"""
urgency_outline_50330#0,"""퀘스트 포인트를 모아라!"""
urgency_outline_50350#0,"""퀘스트 포인트를 모아라!"""
urgency_outline_50340#0,"""퀘스트 포인트를 모아라!"""
urgency_outline_50370#0,"""크리스마스 Pt를 모아라!"""
urgency_outline_50380#0,"""발렌타인 Pt를 모아라!"""
urgency_outline_50390#0,"""『마가츠』를 격파하라!"""
ultimate_outline_130000#0,"""최심부로 향해라!"""
event_outline_80120#0,"""퀘스트 포인트를 모아라!"""
urgency_outline_50400#0,"""화이트 데이 Pt를 모아라!"""
urgency_outline_50430#0,"""퀘스트 포인트를 모아라!"""
urgency_outline_50410#0,"""장애물을 없애며 최심부를 향해라!"""
urgency_outline_50420#0,"""『마가츠』를 격파하라!"""
ultimate_outline_130010#0,"""최심부로 향해라!"""
event_outline_80140#0,"""이변을 일으키는 원흉을 격파하라!"""
urgency_outline_50450#0,"""다크 펄스 두 녀석을 격파하라!"""
urgency_outline_50460#0,"""비치 Pt를 모아라!"""
event_outline_80130#0,"""퀘스트 포인트를 모아라!"""
urgency_outline_50470#0,"""퀘스트 포인트를 모아라!"""
challenge_outline_120010#0,"""5가지 미션을 클리어 하라!"""
event_outline_80150#0,"""최심부로 향해라!"""
urgency_outline_50490#0,"""퀘스트 포인트를 모아라!"""
urgency_outline_50480#0,"""【심원의 어둠】의 격파"""
urgency_outline_50500#0,"""크리스마스 Pt를 모아라!"""
contest_outline_140010#0,"""에너미를 100마리 쓰러뜨려라!"""
contest_outline_140020#0,"""【심원의 어둠】의 격파"""
event_outline_80180#0,"""퀘스트 포인트를 모아라!"""
event_outline_80190#0,"""퀘스트 포인트를 모아라!"""
bonusgame_outline_150010#0,"""시간 내로 에너미를 모두 격퇴하라!"""
bonusgame_outline_150030#0,"""시간 내로 에너미를 모두 격퇴하라!"""
bonusgame_outline_150040#0,"""시간 내로 에너미를 모두 격퇴하라!"""
arks_outline_30410#0,"""퀘스트 포인트를 모아라!"""
arks_outline_30420#0,"""트레인 기도란을 토벌하라!"""
freefield_outline_20150#0,"""퀘스트 포인트를 모아라!"""
urgency_outline_50520#0,"""화이트 데이 Pt를 모아라!"""
tower_outline_90040#0,"""다섯 개의 스테이지를 제패하라!"""
urgency_outline_50540#0,"""환창전함 야마토를 격퇴하라!"""
urgency_outline_50530#0,"""장애물을 없애며 최심부를 향해라!"""
urgency_outline_50510#0,"""발렌타인 Pt를 모아라!"""
urgency_outline_50550#0,"""퀘스트 포인트를 모아라!"""
time_outline_40110#0,"""최심부로 향해라!"""
escape_outline_030030#0,"""회수 포인트를 목표로 하라!"""
urgency_outline_50570#0,"""【심원의 어둠】의 격파"""
urgency_outline_50560#0,"""비치 Pt를 모아라!"""
urgency_outline_50700#0,"""최심부로 향해라!"""
event_outline_80200#0,"""이변을 일으키는 원흉을 격파하라!"""
event_outline_80210#0,"""퀘스트 포인트를 모아라!"""
time_outline_40120#0,"""최심부로 향해라!"""
urgency_outline_50580#0,"""퀘스트 포인트를 모아라!"""
urgency_outline_50590#0,"""할로윈 Pt를 모아라!"""
event_outline_80220#0,"""퀘스트 포인트를 모아라!"""
urgency_outline_50610#0,"""크리스마스 Pt를 모아라!"""
ultimate_outline_130020#0,"""용족을 진압하여 최심부로 도달하라!"""
urgency_outline_50600#0,"""에스카 펄스 마더를 격파하라!"""
tower_outline_90050#0,"""다섯 개의 스테이지를 제패하라!"""
urgency_outline_50620#0,"""최심부로 향해라!"""
urgency_outline_50650#0,"""퀘스트 포인트를 모아라!"""
event_outline_80230#0,"""각 행성에 나타난 적을 격퇴하라!"""
bonusgame_outline_150060#0,"""시간 내로 에너미를 모두 격퇴하라!"""
basnet_outline_9674#0,"""마신성을 격파하라!"""
urgency_outline_50660#0,"""데우스・에스카를 격퇴하라!"""
urgency_outline_50690#0,"""데우스・에스카를 격퇴하라!"""
event_outline_80250#0,"""각 행성에 나타난 적을 격퇴하라!"""
urgency_outline_50670#0,"""환창전함 야마토를 격퇴하라!"""
urgency_outline_50680#0,"""환창전함 야마토를 격퇴하라!"""
event_outline_80260#0,"""각 행성에 나타난 적을 격퇴하라!"""
event_outline_80270#0,"""각 행성에 나타난 적을 격퇴하라!"""
event_outline_80280#0,"""각 행성에 나타난 적을 격퇴하라!"""
event_outline_80290#0,"""각 행성에 나타난 적을 격퇴하라!"""
urgency_outline_50710#0,"""장애물을 없애며 최심부를 향해라!"""
urgency_outline_50730#0,"""퀘스트 포인트를 모아라!"""
urgency_outline_50720#0,"""크리스마스 Pt를 모아라!"""
urgency_outline_50750#0,"""마신성을 격파하라!"""
urgency_outline_50740#0,"""에너미를 격파해 스코어를 모아라!"""
event_outline_80300#0,"""마신성을 격파하라!"""
event_outline_80310#0,"""하리엣을 구출하라!"""
urgency_outline_50760#0,"""무너진 성을 떠도는 붉은 사룡"""
urgency_outline_50770#0,"""무너진 성에 되살아나는 검은 갑옷의 사룡"""
urgency_outline_50780#0,"""최심부로 향해라!"""
urgency_outline_50790#0,"""최심부로 향해라!"""
urgency_outline_50800#0,"""오메가 펄스 루서 격파"""
urgency_outline_50810#0,"""오메가 펄스 루서 격파"""
bonusgame_outline_150070#0,"""시간 내로 에너미를 모두 격퇴하라!"""
urgency_outline_50820#0,"""시간 내로 에너미를 모두 격퇴하라!"""
urgency_outline_50830#0,"""최심부로 향해라!"""
tower_outline_90060#0,"""다섯 개의 스테이지를 제패하라!"""
tower_outline_90070#0,"""다섯 개의 스테이지를 제패하라!"""
urgency_outline_50840#0,"""가능한 많은 에너미를 격퇴하라!"""
urgency_outline_50850#0,"""【어프렌티스】를 격퇴하라!"""
trigger_outline_170440#0,"""작령룡 엘제리온을 토벌하라!"""
urgency_outline_50930#0,"""장애물을 없애며 최심부를 향해라!"""
urgency_outline_50860#0,"""【어프렌티스】를 격퇴하라!"""
urgency_outline_50920#0,"""최심부로 향해라!"""
urgency_outline_50870#0,"""마신성을 격파하라!"""
ultimate_outline_130030#0,"""영역 조사 : 이세계의 잔재"""
urgency_outline_50950#0,"""최심부로 향해라!"""
urgency_outline_50960#0,"""최심부로 향해라!"""
event_outline_80350#0,"""적성반응을 섬멸하라!"""
event_outline_80360#0,"""최심부로 향해라!"""
event_outline_80370#0,"""퀘스트 포인트를 모아라!"""
urgency_outline_50900#0,"""다크 펄스 페르소나 격파"""
urgency_outline_50910#0,"""다크 펄스 페르소나 격파"""
urgency_outline_50980#0,"""최심부로 향해라!"""
story_outline_130010#0,"""최심부로 향해라!"""
story_outline_390010#0,"""자옥룡 묘 최심부로 향해라!"""
urgency_outline_51060#0,"""적 함대 기함을 격침하라!"""
urgency_outline_51040#0,"""적 전함군을 돌파하라!"""
urgency_outline_51050#0,"""동력로를 파괴하라!"""
event_outline_80390#0,"""가상 표적을 파괴하라!"""
urgency_outline_51030#0,"""A.I.S 교란 장치를 3기 파괴하라!"""
urgency_outline_51010#0,"""아군함을 구조하라!"""
urgency_outline_51000#0,"""갑판 위의 적을 제거하라!"""
urgency_outline_51020#0,"""A.I.S 교란 장치를 파괴하라!"""
event_outline_80380#0,"""각 에어리어에 나타난 적을 격퇴하라!"""
training_outline_161500#0,"""5회 데미지 측정을 하라!"""
urgency_outline_250040#0,"""퀘스트 포인트를 모아라!"""
ultimate_outline_410010#0,"""최심부로 향해라!"""
event_outline_140040#0,"""하루코탄을 구해라!"""
urgency_outline_51070#0,"""최심부로 향해라!"""
freefield_outline_20250#0,"""최심부로 향해라!"""
freefield_outline_20260#0,"""최심부로 향해라!"""
freefield_outline_20270#0,"""최심부로 향해라!"""
urgency_outline_51080#0,"""최심부로 향해라!"""
story_outline_030010#0,"""신속하게 섬기종을 섬멸하라!"""
story_outline_140009#0,"""섬기종을 쓰러뜨려라!"""
story_outline_140010#0,"""시바를 쓰러뜨려라!"""
omnibus_outline_700035#0,"""정체불명의 적을 물리쳐라!"""
urgency_outline_51100#0,"""장애물을 없애며 최심부를 향해라!"""
freefield_outline_20280#0,"""최심부로 향해라!"""
freefield_outline_20290#0,"""최심부로 향해라!"""
trigger_outline_170690#0,"""아바르 네메시스를 격파하라!"""
urgency_outline_51090#0,"""***"""
urgency_outline_51110#0,"""가능한 많은 에너미를 격퇴하라!"""
urgency_outline_51120#0,"""최심부로 향해라!"""
urgency_outline_51130#0,"""최심부로 향해라!"""
event_outline_80430#0,"""적성반응을 섬멸하라!"""
story_outline_190010#0,"""지구를 지켜라!"""
training_outline_00040#0,"""4가지 과제를 달성하라!"""
mack_outline_Explore#0,"""장치를 공작하고 탈출하라!"""
mack_outline_Defence#0,"""결정을 회수하고 팟을 보충하라!"""
mack_outline_SpreadBomb#0,"""시간 내에 더 많이 적을 격파하라!"""
mack_outline_Boss#0,"""시간 내에 강적을 격파하라!"""
mack_outline_FloorBoss#0,"""최종 표적을 격파하라!"""
mack_outline_RestArea#0,"""5개의 스텝을 탑파하라!"""
urgency_outline_51140#0,"""최심부로 향해라!"""
story_outline_260010#0,"""영맥을 향해라!"""
story_outline_260020#0,"""바르나를 쓰러뜨려라!"""
urgency_outline_430010#0,"""【원초의 어둠】을 격파하라!"""
event_outline_80440#0,"""적 주력 함대를 진압하라!"""
story_outline_302290#0,"""시바를 쓰러트려라!"""
urgency_outline_51170#0,"""최심부로 향해라!"""
story_outline_302295#0,"""【원초의 어둠】을 격파하라!"""
bonusgame_outline_150080#0,"""시간 내로 에너미를 모두 격퇴하라!"""
