OrderList#0,"""Ежидневный крафт лист"""
CraftAchievementMessage#0,"""$(0)Получено<br>$(1)достижение<br><br>Терминал мой номер или визифон<br>Крафт -> Достижения<br>для повышения уровня крафта.<br>Вы можете проверить."""
CraftLevelUpMessage#0,"""<yellow>$(0)<c> Уровень повышен! <yellow>$(1)<c>."""
GetCraftRecipeMessage#0,"""Были изучены следующие рецепты:"""
Rarity#0,"""Редкие"""
Element#0,"""Специальные способности"""
ReviseParameter#0,"""Модификация стат"""
FullSizeTitleExtend#0,"""Улучшение показателей"""
FullSizeTitleTechnicCustomize#0,"""Кастомизация техники"""
FullSizeTitleMaterialComp#0,"""-----"""
FullSizeTitleDecomp#0,"""Уничтожить предмет"""
FullSizeTitleFarm#0,"""-----"""
FullSizeTitleMakePotion#0,"""-----"""
FullSizeTitleEnchant#0,"""Установить временные способности"""
FullSizeTitlePaCustomize#0,"""Кастомизация Фатон Артов"""
FullSizeTitleCreateStamp#0,"""Обновление настроек"""
FullSizeTitleCreateStampItem#0,"""Создание временных способностей"""
RecipeSelectItemErrorMessage#0,"""Необходимый материал отсутствует.<br><br>Материалы для крафта можно преобрести<br> путем разложения ★ ７+ оружия<br> а также Ур.11+ техник или дисков"""
RecipeSelectItemErrorMessage2#0,"""У вас нет необходимых материалов."""
RecipeSelectMesetaErrorMessage#0,"""Недостаточно средст \""Месет\"""""
MenuTitleRecipe#0,"""Выучить рецепт"""
TabTitleWeapon1_3#0,"""1～3★ Оружие"""
TabTitleWeapon4_6#0,"""4～6★ Оружие"""
TabTitleWeapon7_9#0,"""7～9★ Оружие"""
TabTitleWeapon10#0,"""10★ Оружие"""
TabTitleWeapon11#0,"""11★ Оружие"""
TabTitleWeapon12#0,"""12★ Оружие"""
TabTitleWeapon13#0,"""13★ Оружие"""
TabTitleWeapon14#0,"""14★ Оружие"""
TabTitleWeapon15#0,"""15★ Оружие"""
TabTitleAddonDFStrike#0,"""Юниты S-защиты"""
TabTitleAddonDFFirearm#0,"""Юниты R-защиты"""
TabTitleAddonDFTechnic#0,"""Юниты T-защиты"""
EquipTypeWeaponStrike#0,"""Оружие ближнего боя"""
EquipTypeWeaponFirearm#0,"""Стрелковое оружие"""
EquipTypeWeaponTechnic#0,"""Оружие Техник"""
EquipTypeAddonBack#0,"""Юниты тела"""
EquipTypeAddonArm#0,"""Юниты на руки"""
EquipTypeAddonLeg#0,"""Юниты на ноги"""
RemoveNoEffectSupportItemMessage#0,"""Вы не можете использовать предмет, никакого эффекта не будет."""
AchieveAll#0,"""Нет условий"""
AchieveWeapon#0,"""Категория: оружие"""
AchieveWeaponStrike#0,"""Категория: Оружие ближнего боя"""
AchieveWeaponFirearm#0,"""Категория: Стрелковое оружие"""
AchieveWeaponTechnic#0,"""Категория: Оружие Техник"""
AchieveAddonUnit#0,"""Категория: Юнит"""
AchieveAddonBack#0,"""Категория: Тело Юнит"""
AchieveAddonArm#0,"""Категория: Arm Юнит"""
AchieveAddonLeg#0,"""Категория: Ноги Юнит"""
AchieveRecipeNoLevel#0,"""Нет условий"""
AchieveRecipeLevel#0,"""Рецепт разблокирован только для одного коробля $(0)."""
AchieveExtendNoLevel#0,"""Нет условий"""
AchieveExtendLevel#0,"""Выполнить крафт уровень: $(0) или выше"""
AchieveWeaponRareAll#0,"""Нет условий"""
AchieveWeapon1_3#0,"""Редкость: 1～3★ """
AchieveWeapon4_6#0,"""Редкость: 4～6★ """
AchieveWeapon7_9#0,"""Редкость: 7～9★ """
AchieveWeapon10#0,"""Редкость: 10★ """
AchieveWeapon11#0,"""Редкость: 11★ """
AchieveWeapon12#0,"""Редкость: 12★ """
AchieveWeapon13#0,"""Редкость: 13★ """
AchieveWeapon14#0,"""Редкость: 14★ """
AchieveWeapon15#0,"""Редкость: 15★ """
AchieveAddonAll#0,"""Нет условий"""
AchieveAddonStrike#0,"""Состояние экипировки: Защита от ударов"""
AchieveAddonFirearm#0,"""Состояние экипировки:: Защита от обстрела"""
AchieveAddonTechnic#0,"""Состояние экипировки:: Защита от техник"""
AchieveResultAll#0,"""Нет условий"""
AchieveResultSuccess#0,"""Состояние: Только с большим успехом"""
AchieveMakeAll#0,"""Нет условий"""
AchieveMakeReceive#0,"""Запросы на крафт"""
AchieveWeaponAtpTec#0,"""Ближнее/Стрелковое оружие T-Атака: +$(0)"""
AchieveWeaponMinAtp#0,"""Минимальная Атака оружия： +$(0)"""
AchieveAddonAttribute#0,"""Юнит Атрибут. Резистентность: +$(0)"""
AchieveAddonHp#0,"""Юнит ХП: +$(0)"""
AchieveAddonPp#0,"""Юнит ПП: +$(0)"""
AchieveNumber#0,"""Выполнено: $(0)/ $(1)"""
CategoryTabForwardText#0,"""Далее"""
CategoryTabForward#0,"""<pict Sign_SQUARE>"""
DetailTabForward#0,"""<%NextTabDetails>"""
AchieveIconLevel#0,"""Уровень $(0)"""
LevelCheckTitle#0,"""Предупреждение о улучшении мощного оборудования"""
LevelCheckMessage#0,"""Если изначальные характеристики оборудования были высокие возможно что результат <yellow>не будудет выше чем изначально<c>.<br><br>А таже стат требования могут оказться ниже изначальных.<br><br>что сделает ее более доступной начать крафт?"""
ReleaseContentsTitle#0,"""Разблокирован крафт способностей"""
ReleaseContentsMessage#0,"""Достижение открыто и уровень повышен.<br>Приобретено следующее:"""
ReleaseContentsRecipe#0,"""Рецепт: $(0)"""
ReleaseContentsBonus#0,"""Лицензия: $(0)"""
ReleaseContentsCraftLine#0,"""машина: $(0)"""
GetCraftBonusMessage#0,"""Заработано следующие Крафт лицензии: """
MenuStampSave#0,"""Сохранить в успешную копию накопителя данных"""
MenuStampCall#0,"""Загрузка резервного копирования данных"""
BackupChange#0,"""Резервное копирование данных"""
CraftInfo#0,"""Информация о крафте"""
Search#0,"""Методы поиска"""
SearchConstituent#0,"""Поиск выбранной цели"""
SearchOrderWorkman#0,"""Выбор крафтера"""
Technic#0,"""Выбранные техники"""
CustomizeType#0,"""Выбор кастомизации типа"""
SearchExtend#0,"""Поиск улучшений оружия"""
SearchCustomize#0,"""Поиск техник кастомизаций"""
SearchMaterialComp#0,"""-----"""
SearchItemDecomp#0,"""-----"""
SearchFarm#0,"""-----"""
SearchMakePotion#0,"""-----"""
SearchEnchant#0,"""Поиск Временных способностей"""
SearchPaCustomize#0,"""Поиск Кастомизации Фотон Артов"""
SearchItem#0,"""Поиск по пунктам"""
SearchRecipe#0,"""Поиск по рецептам"""
CharacterName#1,"""Ник крафтера"""
Acquire#0,"""Только известные рецепты"""
AcquireVita#0,"""<pict Sign_SQUARE>Только изученые"""
FullSize_Title_CraftSearchTarget#0,"""Поиск крафтера"""
FullSize_Title_CraftSearchType#0,"""Поиск крафтера"""
FullSize_Title_CraftSearchExtend#0,"""Поиск Улучшения"""
FullSize_Title_CraftSearchTechnic#0,"""Кастомизация техник Поиск"""
FullSize_Title_CraftSearchMaterial#0,"""Поиск крафтера"""
FullSize_Title_CraftSearchPotion#0,"""Поиск крафтера"""
FullSize_Title_CraftSearchEnchant#0,"""Поиск крафтера"""
FullSize_Title_CraftSearchPaCustomize#0,"""Поиск крафтера"""
FullSize_Title_CraftSearchRecipe#0,"""Проcмотр изученых рецептов"""
FullSize_Title_CraftSearchAchievement#0,"""Крафт достижения"""
FullSize_Title_CraftSearchBonus#0,"""Крафт Лицензия"""
FullSize_Title_CraftSearchStampList#0,"""Проверить настройки"""
FullSize_Help_CraftSearchTarget#0,"""<c f0df61>Найти Крафтера, который зарегистрировал этот крафт Рецепт.<c>"""
FullSize_Help_CraftSearchType#0,"""<c f0df61>Найти Крафтера, который зарегистрировал этот крафт Рецепт.<c>"""
FullSize_Help_CraftSearchExtend#0,"""<c f0df61>Найти Крафтера, который зарегистрировал улучшение выбранного оборудования Рецепт.<c>"""
FullSize_Help_CraftSearchTechnic#0,"""<c f0df61>Найти Крафтера, который зарегистрировал выбранную технику Кастомизации Рецепт.<c>"""
FullSize_Help_CraftSearchMaterial#0,"""<c f0df61>Найти Крафтера, который зарегистрировал этот крафт Рецепт.<c>"""
FullSize_Help_CraftSearchPotion#0,"""<c f0df61>Найти Крафтера, который зарегистрировал этот крафт Рецепт.<c>"""
FullSize_Help_CraftSearchEnchant#0,"""<c f0df61>Найти Крафтера, который зарегистрировал этот крафт Рецепт.<c>"""
FullSize_Help_CraftSearchPaCustomize#0,"""<c f0df61>Найти Крафтера, который зарегистрировал этот крафт Рецепт.<c>"""
FullSize_Help_CraftSearchRecipe#0,"""<c f0df61>Вы можете проверить, какие рецепты вы знаете. Изучайте рецепты, открыв их в достижениях.<c>"""
FullSize_Help_CraftSearchAchievement#0,"""<c f0df61>Вы можете улучшить свой крафт уровень, открывая различные виды достижений в крафте.<c>"""
FullSize_Help_CraftSearchBonus#0,"""<c f0df61>Вы можете проверить бонус зффектов лицензий на обработку, которые вы заработали, увеличив свой уровень крафта.<c>"""
FullSize_Help_CraftSearchStampList#0,"""<c f0df61>Проверьте настройки, которыми вы владеете.<c>"""
Craft_List_Nothing#0,"""Нет соответствующих персонажей"""
Craft_List_Error#0,"""Не удалось найти подходящих персонажей"""
RoomMove_Title#0,"""Потверждение перемещение в \""моя комната\"""""
RoomMove_Cant#0,"""Вы в настоящее время вы находитесь в выбранной \""моя комната\"".<br><br>Чтобы отправить запрос на крафт, выберите <yellow>Крафт<c> опция в вашей комнате <yellow>Терминал моя комната<c>, выберети доступную \""Крафт линию\"", и выберите персонажа, с которого вы хотите сделать заказ."""
RoomMove_Message#0,"""Чтобы разместить заказ, вы должны перейти к<br>$(0)'в комнату. Продолжить?<br><br>при переходи вас исключат из \""пати\"".<br>а также отменит квест.<br><br>※После перемещения в комнату, пожалуйста, используйте<br><yellow>Терминал моя комната<c> чтобы разместить заказ."""
RoomMoveInMyRoom_Message#0,"""Чтобы разместить заказ, вы должны перейти к<br>$(0)'в комнату.. Продолжить?<br><br>※После перемещения в комнату, пожалуйста, используйте<br><yellow>Терминал моя комната<c> чтобы разместить заказ."""
RoomMove_Result_Title#0,"""Моя комната"""
RoomMove_Result_OK#0,"""Успешно перемещение в комнату."""
RoomMove_Result_DB#0,"""Из-за ошибки базы данных,<br>перемещение в комнату не удалось."""
RoomMove_Result_SystemError#0,"""Из-за системной ошибки,<br>перемещение в комнату не удалось."""
RoomMove_Result_Error#0,"""Перемещение в комнату не удалось."""
ResultInfo#0,"""Информация о достижениях"""
CraftResult#0,"""Достижения в крафте"""
CraftLine#0,"""Крафт линии"""
CraftRecipe#0,"""Проверить известные рецепты"""
ResultFavor#0,"""Достижение Разблокировано"""
ResultCondition#0,"""Состояние достижения"""
Level#0,"""До следующего уровня: """
ResultNum#0,"""Разблокированные достижения: """
Charge#0,"""Охлаждение"""
Line#0,"""Доступен"""
Lock#0,"""Недоступен"""
Expire#0,"""Завершено"""
Line01#0,"""Крафт машина 01"""
Line02#0,"""Крафт машина 02"""
Line03#0,"""Крафт машина 03"""
PremiumLine01#0,"""Премиум Крафт машина 04"""
PremiumLine02#0,"""Премиум Крафт машина 05"""
PremiumLine03#0,"""Премиум Крафт машина 06"""
ExpansionLine01#0,"""Улучшение Крафт машина 07"""
ExpansionLine02#0,"""Улучшение Крафт машина 08"""
ExpansionLine03#0,"""Улучшение Крафт машина 09"""
PremiumRelease#0,"""Требуется Премиум"""
ACRelease#0,"""Открыть за АС"""
ConditionRelease#0,"""Разблокируется через крафт"""
Shortening#0,"""Не снижена"""
NotReleaseMessage#0,"""Вы не можете выбрать Крафт Линию, потому что она не разблокированна."""
NotReleaseConditionMessage#0,"""Вы не можете использовать крафт линию так как она<br>недоступна.<br>вы сможете ее использовать на $(0) уровне."""
ChargeMessage#0,"""У вас нет не одного Lilliparium,<br>машина не будет охлаждена.<br><br>Lilliparium доступен в AC магазине,<br>а также на разных квестах."""
AddLineDisableMessage#0,"""Вы не можете использовать крафт линию.<br>так как ее нужно разблокировать $(0)."""
LineChargeTimeRemain#0,"""$(0) Осталось"""
LineChargeTimeSecond#0,"""Меньше 1 минуты(а)"""
ChargeItemUseConfirmMessage#0,"""<pict Arcscash><c 5fdf00>Используя покупку предметов<c><br>вы купите <yellow>Lilliparium<c>,<br>вы уменьшите откат крафта.<br><br>вы можете получить Lilliparium при выполнении квеста или же в AC магазине. Larger Lilliparium произведет откат всех машин.<br><br>выберить Lilliparium size и откатить машины?"""
ChargeItemSelectTitle#0,"""Выбор предметов охлаждения машин"""
ChargeItemSelectMessage#0,"""Пожалуйста выберите Lilliparium каторый вы хотите."""
SelectChargeItemUseConfirmMessage#0,"""Это уменьшит время охлождения использовать $(0).<br>Продолжить?"""
AddLinePassBuyConfirmMessage#0,"""<pict Arcscash><c ff4f3f>AC Контент<c><br>Вы можете купить крафт линию.<br>процес <yellow>[покупки крафт линии]<c><br>к экрану покупки?<br><br><yellow>※Добовление крафт линии<br>добовляет для всех персонажей.<c><br><br><yellow>(Счет AC: $(0))<c>"""
ConditionLineReleaseMessage#0,"""Разблокированна крафт машина [$(0)]."""
