YesText#0,"""Да"""
CPInsufficient#0,"""Недостаточно боевых монет."""
BuyResultMessage2#0,"""Не удалось завершить покупку."""
BuyResultTitle#0,"""Покупка предмета"""
CancelTitle#0,"""Подтверждение отмены покупки"""
CancelMessage#0,"""Вы отменяете покупку. Продолжить?"""
SelectItemInputVita#0,"""Пожалуйста, введите сумму."""
MenuErrorTitle#0,"""Сообщение"""
MenuErrorMessage#0,"""[Обменник боевых монет 2]<br><yellow>станет доступен как только<br>квест будет пройден.<c><br><br>Вы не можете получить доступ к этому магазину,<br>потому что квест ещё не пройден."""
PokaQuest_SummaryName#0,"""Боевая арена"""
PokaRanking_Title#0,"""Боевые ранговые награды"""
PokaRanking_RewardConfirm#0,"""Вы получили следующие предметы<br>как награду за бой."""
PokaRanking_Date#0,"""Дата и время"""
PokaRanking_Caption#0,"""$(1) [$(0)] награда"""
PokaRanking_Rule_BattleRoyal#0,"""Схватка"""
PokaRanking_Rule_BattleCrystal#0,"""Соревнование эмблем"""
PokaRanking_PrizeMessage#0,"""Заберите награду у администратора Лиги ARKS Мими."""
Confirm_Title#1,"""Подтверждение перехода на корабль"""
Confirm_Message#1,"""При переходе в общий корабль испытаний<br>следующие условия вступят в силу:<br>\u3000・Ваш класс сменится на [Челленджер]<br>\u3000・ФА, техники, классовые скиллы станут недоступны<br>\u3000・Валюта и предметы станут недоступны<br>\u3000・Все склады станут недоступны<br>\u3000・Срочные задания будут скрыты<br>\u3000・Друзья будут скрыты<br>\u3000・Для данного корабля будет создан отдельный список друзей<br><red>※После выхода с общего корабля все вышеупомянутые пункты вернутся в норму.<c><br><red>※NetCafé премиум эффект дополнительных командных станет очков недоступен.<c><br><red>※Ваш персонаж сможет попасть на лайв трансляцию.<c><br><br>Отравиться на общий корабль испытаний?"""
Confirm_Title_InBlock#1,"""Подтверждение перехода на блок"""
Confirm_Message_InBlock#1,"""При переходе в блок испытаний<br>следующие условия вступят в силу:<br>\u3000・Ваш класс сменится на [Челленджер].<br>\u3000・ФА, техники, классовые скиллы станут недоступны<br>\u3000・Валюта и предметы станут недоступны<br>\u3000・Все склады станут недоступны<br>\u3000・Срочные задания будут скрыты<br>\u3000・Друзья будут скрыты<br>\u3000・Для данного корабля будет создан отдельный список друзей<br><red>※После выхода с общего корабля все вышеупомянутые пункты вернутся в норму.<c><br><red>※NetCafé премиум эффект дополнительных командных станет очков недоступен.<c><br><red>※Ваш персонаж сможет попасть на лайв трансляцию.<c><br><br>Отравиться на блок испытаний?"""
Confirm_Title_InNormal#1,"""Подтверждение перехода на корабль"""
Confirm_Message_InNormal#1,"""Вы собираетесь вернуться на свой корабль.<br>Нижеупомянутые пункты вернутся в норму:<br>\u3000・Ваш класс сменится к исходному.<br>\u3000・ФА, техники, классовые скиллы станут доступны<br>\u3000・Валюта и предметы станут доступны<br>\u3000・Все склады вновь станут доступны<br>\u3000・Срочные задания вновь будут показываться<br>\u3000・Список друзей вернётся к исходному<br><br>Вернуться на ваш корабль?"""
ShopTitleText#1,"""Магазин обмена ЧМ"""
ShopGuideText#1,"""<c f0df60>Обменник челендж-милей.<c>"""
ShopListTitle#1,"""Меню магазина"""
PluralityMenuGuide#1,"""<c f0df60>Пожалуйста, выберите магазин.<c>"""
Exit#1,"""Выйти из магазина"""
Buy#1,"""Купить"""
NameNumber#1,"""$(0) x$(1)"""
BuyTitle#1,"""Подтверждение покупки"""
BuyCheck#1,"""Эти предметы будут стоить $(1) $(0).<br>Продолжить покупку?"""
CPDenomination#1,"""ЧМ"""
BuyResultMessage1#1,"""Завершение покупки."""
BuyErrorMessage2#1,"""У вас недостаточно свободного места в инвентаре,<br>или вы покупаете слишком много предметов.<br>Покупка не может быть завершена."""
CPInsufficient#1,"""Недостаточно ЧМ."""
BuyResultMessage2#1,"""Не удалось завершить покупку."""
BuyResultTitle#1,"""Покупка предмета"""
CancelTitle#1,"""Подтверждение отмены покупки"""
CancelMessage#1,"""Вы отменяете покупку. Продолжить?"""
SelectItemInputVita#1,"""個数を入力してください"""
MenuErrorTitle#1,"""Сообщение"""
MenuErrorMessage#1,"""「CM交換ショップ2」は、<br><yellow>チャレンジクエスト「MISSION：決断」を<br>ミッション3までクリアすることで利用可能となります。<c><br><br>チャレンジクエスト「MISSION：決断」のミッション3を<br>クリアしていないため、利用することができません。"""
BlackbordCharaName#0,"""Имя персонажа"""
BlackbordPlayerIDname#0,"""Имя Player ID"""
BlackbordTime#0,"""Время публикации"""
BlackbordMessage#0,"""Написать сообщение"""
BlackbordTitleText#0,"""Доска сообщений"""
BlackbordTitleTextTeam#0,"""Командная доска объявлений"""
Blackbord_InputMessage#0,"""Сообщение будет отправлено на доску.<br>Пожалуйста, введите его ниже."""
Blackbord_InputMessageTeam#0,"""Сообщение будет отправлено на доску.<br>Пожалуйста, введите его ниже."""
Blackbord_NoMessage#0,"""メッセージが入力されていません。<br>何かメッセージを入力して、<br>「決定」を選択してください。"""
Blackbord_MessageWriteError#0,"""Вы не смогли опубликовать свое сообщение.<br><br>Пожалуйста, подождите немного,<br>и попробуйте еще раз."""
Blackbord_WriteToast#0,"""Сообщение написано."""
Blackbord_DeleteMessage#0,"""Вы собираетесь удалить выбранное сообщение<br>Продолжить?"""
Blackbord_DeleteToast#0,"""Удалить сообщение"""
Blackbord_MessageDeleteError#0,"""Вы собираетесь удалить сообщение,<br>но произошла ошибка<br><br>Попытайтесь снова<br>через несколько минут."""
Blackbord_NoMessageTitle#0,"""Нет сообщений"""
Blackbord_MessageWriteErrorTitle#0,"""Ошибка отправления сообщения"""
Blackbord_DeleteMessageTitle#0,"""Подтвердите удаление сообщения"""
Blackbord_MessageDeleteErrorTitle#0,"""Ошибка удаления сообщения"""
Blackbord_InputMessage_Announce#0,"""※[Alt]+[Enter] - Добавить линию"""
Logout_Title#0,"""Выйти"""
Logout_GameEnd#0,"""Выйти из игры"""
Logout_GotoTitle#0,"""На стартовый экран"""
Logout_GotoShipSelect#0,"""К выбору корабля"""
Logout_Cancel#0,"""Назад"""
Logout_Close_Title#0,"""Выйти из игры"""
Logout_Close_Message#0,"""Вы действительно хотите выйти на рабочий стол?"""
TargetInfo_WeakPoint#0,"""Слаб.:"""
TargetInfo_Level#0,"""Lv.$(0)"""
TargetInfo_Ability#0,"""×$(0)"""
TargetInfo_Resist#0,"""Resists: """
INTERRUPT_CODE_ATTACK#0,"""[ATTACK]"""
INTERRUPT_CODE_PROTECTION#0,"""[PROTECTION]"""
INTERRUPT_CODE_ELIMINATION#0,"""[ELIMINATION]"""
INTERRUPT_CODE_COLLECT#0,"""[COLLECT]"""
INTERRUPT_CODE_DUEL#0,"""[DUEL]"""
INTERRUPT_CODE_CHASE#0,"""[CHASE]"""
INTERRUPT_CODE_ARREST#0,"""[ARREST]"""
INTERRUPT_CODE_RESCUE#0,"""[RESCUE]"""
INTERRUPT_CODE_DESTRUCTION#0,"""[DESTRUCTION]"""
INTERRUPT_CODE_AVOID#0,"""[AVOID]"""
INTERRUPT_CODE_CAPTURE#0,"""[CAPTURE]"""
INTERRUPT_CODE_ESCORT#0,"""[ESCORT]"""
INTERRUPT_CODE_PRESENT#0,"""[PRESENT]"""
INTERRUPT_CODE_CLONE#0,"""[CLONE]"""
INTERRUPT_CODE_GESTURE#0,"""[GESTURE]"""
INTERRUPT_CODE_VANISH#0,"""[VANISH]"""
INTERRUPT_CODE_OFFENSIVE#0,"""[OFFENSIVE]"""
INTERRUPT_CODE_INTERCEPT#0,"""[INTERCEPT]"""
INTERRUPT_CODE_FOLLOW#0,"""[FOLLOW]"""
INTERRUPT_CODE_UNITE#0,"""[UNITE]"""
INTERRUPT_CODE_SEARCH#0,"""[SEARCH]"""
INTERRUPT_CODE_HIDE#0,"""[HIDE]"""
INTERRUPT_CODE_BASH#0,"""[BASH]"""
INTERRUPT_CODE_TEST#0,"""[TEST]"""
INTERRUPT_CODE_UNKNOWN#0,"""[UNKNOWN]"""
INTERRUPT_CODE_QUICK#0,"""[QUICK]"""
INTERRUPT_CODE_PERSONA#0,"""[PERSONA]"""
INTERRUPT_CODE_JUDGEMENT#0,"""[JUDGEMENT]"""
INTERRUPT_CODE_FORTUNE#0,"""[FORTUNE]"""
INTERRUPT_CODE_JOKER#0,"""[JOKER]"""
INTERRUPT_CODE_ABYSS#0,"""[ABYSS]"""
INTERRUPT_CODE_EXPLOSION#0,"""[EXPLOSION]"""
INTERRUPT_CODE_VARIANT#0,"""[VARIANT]"""
INTERRUPT_CODE_DISASTER#0,"""[DISASTER]"""
INTERRUPT_CODE_CHALLENGE#0,"""[CHALLENGE]"""
INTERRUPT_CODE_CONTROL#0,"""[CONTROL]"""
INTERRUPT_CODE_DEFEAT#0,"""[DEFEAT]"""
INTERRUPT_CODE_FEAR#0,"""[FEAR]"""
INTERRUPT_CODE_FUSION#0,"""[FUSION]"""
INTERRUPT_CODE_JAMMER#0,"""[JAMMER]"""
INTERRUPT_CODE_KEEP#0,"""[KEEP]"""
INTERRUPT_CODE_KILLER#0,"""[KILLER]"""
INTERRUPT_CODE_MANAGE#0,"""[MANAGE]"""
INTERRUPT_CODE_NEGOTIATION#0,"""[NEGOTIATION]"""
INTERRUPT_CODE_REGIST#0,"""[REGIST]"""
INTERRUPT_CODE_SACRIFICE#0,"""[SACRIFICE]"""
INTERRUPT_CODE_SNIPE#0,"""[SNIPE]"""
INTERRUPT_SUCCESS_CODE_ATTACK#0,"""code [ATTACK]"""
INTERRUPT_SUCCESS_CODE_PROTECTION#0,"""code [PROTECTION]"""
INTERRUPT_SUCCESS_CODE_ELIMINATION#0,"""code [ELIMINATION]"""
INTERRUPT_SUCCESS_CODE_COLLECT#0,"""code [COLLECT]"""
INTERRUPT_SUCCESS_CODE_DUEL#0,"""code [DUEL]"""
INTERRUPT_SUCCESS_CODE_CHASE#0,"""code [CHASE]"""
INTERRUPT_SUCCESS_CODE_ARREST#0,"""code [ARREST]"""
INTERRUPT_SUCCESS_CODE_RESCUE#0,"""code [RESCUE]"""
INTERRUPT_SUCCESS_CODE_DESTRUCTION#0,"""code [DESTRUCTION]"""
INTERRUPT_SUCCESS_CODE_AVOID#0,"""code [AVOID]"""
INTERRUPT_SUCCESS_CODE_CAPTURE#0,"""code [CAPTURE]"""
INTERRUPT_SUCCESS_CODE_ESCORT#0,"""code [ESCORT]"""
INTERRUPT_SUCCESS_CODE_PRESENT#0,"""code [PRESENT]"""
INTERRUPT_SUCCESS_CODE_CLONE#0,"""code [CLONE]"""
INTERRUPT_SUCCESS_CODE_GESTURE#0,"""code [GESTURE]"""
INTERRUPT_SUCCESS_CODE_VANISH#0,"""code [VANISH]"""
INTERRUPT_SUCCESS_CODE_OFFENSIVE#0,"""code [OFFENSIVE]"""
INTERRUPT_SUCCESS_CODE_INTERCEPT#0,"""code [INTERCEPT]"""
INTERRUPT_SUCCESS_CODE_FOLLOW#0,"""code [FOLLOW]"""
INTERRUPT_SUCCESS_CODE_UNITE#0,"""code [UNITE]"""
INTERRUPT_SUCCESS_CODE_SEARCH#0,"""code [SEARCH]"""
INTERRUPT_SUCCESS_CODE_HIDE#0,"""code [HIDE]"""
INTERRUPT_SUCCESS_CODE_BASH#0,"""code [BASH]"""
INTERRUPT_SUCCESS_CODE_TEST#0,"""code [TEST]"""
INTERRUPT_SUCCESS_CODE_UNKNOWN#0,"""code [UNKNOWN]"""
INTERRUPT_SUCCESS_CODE_QUICK#0,"""code [QUICK]"""
INTERRUPT_SUCCESS_CODE_PERSONA#0,"""code [PERSONA]"""
INTERRUPT_SUCCESS_CODE_JUDGEMENT#0,"""code [JUDGEMENT]"""
INTERRUPT_SUCCESS_CODE_FORTUNE#0,"""code [FORTUNE]"""
INTERRUPT_SUCCESS_CODE_JOKER#0,"""code [JOKER]"""
INTERRUPT_SUCCESS_CODE_EXPLOSION#0,"""code [EXPLOSION]"""
INTERRUPT_SUCCESS_CODE_VARIANT#0,"""code [VARIANT]"""
INTERRUPT_SUCCESS_CODE_DISASTER#0,"""code [DISASTER]"""
INTERRUPT_SUCCESS_CODE_CHALLENGE#0,"""code [CHALLENGE]"""
INTERRUPT_SUCCESS_CODE_CONTROL#0,"""code [CONTROL]"""
INTERRUPT_SUCCESS_CODE_DEFEAT#0,"""code [DEFEAT]"""
INTERRUPT_SUCCESS_CODE_FEAR#0,"""code [FEAR]"""
INTERRUPT_SUCCESS_CODE_FUSION#0,"""code [FUSION]"""
INTERRUPT_SUCCESS_CODE_JAMMER#0,"""code [JAMMER]"""
INTERRUPT_SUCCESS_CODE_KEEP#0,"""code [KEEP]"""
INTERRUPT_SUCCESS_CODE_KILLER#0,"""code [KILLER]"""
INTERRUPT_SUCCESS_CODE_MANAGE#0,"""code [MANAGE]"""
INTERRUPT_SUCCESS_CODE_NEGOTIATION#0,"""code [NEGOTIATION]"""
INTERRUPT_SUCCESS_CODE_REGIST#0,"""code [REGIST]"""
INTERRUPT_SUCCESS_CODE_SACRIFICE#0,"""code [SACRIFICE]"""
INTERRUPT_SUCCESS_CODE_SNIPE#0,"""code [SNIPE]"""
QUEST_CLEAR_CODE#0,"""QUEST CLEAR"""
INTERRUPT_TITLE_EMERGENCY#0,"""EMERGENCY CODE"""
INTERRUPT_TITLE_CHANGE#0,"""CHANGE OVER CODE"""
INTERRUPT_TITLE_COMPLETE#0,"""COMPLETED"""
INTERRUPT_TITLE_EXCEPTION#0,"""EXCEPTION CODE"""
QuestEndForm_Title#0,"""Подтверждение завершения квеста"""
QuestEndForm_Exp#0,"""Завершить квест и <br>вернуться в лобби ARKS?"""
QuestEndForm_Button_Next#0,"""Перейти к следующему квесту"""
QuestEndForm_Button_Back#0,"""Возврат в лобби"""
QuestEndForm_Button_Retry#0,"""Повторить квест"""
QuestEndForm_Button_Cancel#0,"""Назад"""
QuestEndForm_Button_ExitParty#0,"""Возврат в лобби, выход из группы"""
Chat_Kakin_LobyAction#0,"""Используйте соответствующий билет что бы использовать это действие."""
Chat_Lobby_Only_Action#0,"""Не может быть использован на челноке или в бою."""
Chat_Use_Public_Chair_Info#0,"""Прыгайте с <%Jump>, стойте с <%PhotonArts>."""
Chat_Monomane_Error#0,"""Невозможно выполнить потому что [$(0)] ещё не изучено."""
FormView_Incident_Title#0,"""Цель испытания"""
FormView_Quest_Title#0,"""Цель задания"""
MailList_Ship_Title#0,"""Почта"""
MailList_Account_Title#0,"""-"""
MailList_MessageForm_Title#0,"""Почта"""
Mail_Normal_Title#0,"""Почта"""
Mail_Read_Title#0,"""Детали почты"""
Mail_Send_Title#0,"""Написать письмо"""
Mail_Edit_Time#0,"""Отправлено"""
Mail_Edit_Time2#0,"""Получено"""
Mail_Edit_To#0,"""Для"""
Mail_Edit_From#0,"""От"""
Mail_Edit_Subject#0,"""Тема"""
Mail_Edit_Body#0,"""Текст"""
Mail_Help_ToList#0,"""Выберите получателя"""
Mail_Init_Mes_ToList#0,"""<gray>Выберите получателя<c>"""
Mail_Init_Mes_EditList_PC#0,"""<gray>Введите текст<br>※Используйте [Alt]+[Enter] для перехода на следующую строку.<c>"""
Mail_Init_Mes_EditList_vita#0,"""<gray>本文を入力してください<c>"""
Mail_Button_ToList#0,"""..."""
Mail_Button_Reply#0,"""Ответить"""
Mail_Button_Send#0,"""Отправить"""
Mail_Button_Item#0,"""-"""
Mail_Button_Close#0,"""Закрыть"""
Mail_Result_ReplyText#0,"""$(0) написал:<br>"""
Mail_Result_Reply#0,""">"""
Mail_Result_ReplyTitle#0,"""Re"""
Mail_Result_ReplySplit#0,""":"""
MailAddress_MessageForm_Title#0,"""Член"""
MailAddress_Create_Title#0,"""Изменить получателя"""
MailAddress_Button_Reload#0,"""Обновить"""
MailAddress_Radio_None#0,"""Отсутствуют"""
MailAddress_Radio_ListFriend#0,"""Список друзей"""
MailAddress_Radio_ListMember#0,"""Список команды"""
MailList_Tab_All#0,"""1. Отображать все"""
MailList_Tab_System#0,"""2. Системные"""
MailList_Tab_Chara#0,"""3. От персонажей"""
MailList_Tab_ShipFriend#0,"""4. От друзей и команды"""
MailList_Tab_DailyOrder#0,"""-"""
MailList_Tab_ClientOrder#0,"""-"""
MailList_Tab_Scenario#0,"""-"""
MailList_Tab_Reward#0,"""-"""
MailList_Tab_Transmission#0,"""5. Отправленные"""
MailList_Button_Reload#0,"""Обновить"""
VITA_Mail_Button_Reply#0,"""Ответить с цитатой"""
VITA_MailList_CreateMail#0,"""<pict Sign_TRIANGLE>Написать новое письмо"""
MailList_Button_CreateNormalMail#0,"""Написать письмо"""
MailList_Button_Delete#0,"""Удалить письмо"""
MailList_Button_Next#0,"""Прочесть следующее"""
MailList_Menu_Open#0,"""Открыть"""
MailList_Menu_Delete#0,"""Удалить"""
MailList_Menu_MultiDelete#0,"""Удалить несколько"""
MailList_Menu_MarkRead#0,"""Пометить прочтенным"""
MailList_Menu_MarkUnRead#0,"""Пометить не прочтенным"""
MailList_Sort_Receive#0,"""По дате"""
MailList_Sort_From#0,"""По отправителю/получателю"""
MailList_Sort_Subject#0,"""По теме"""
MailList_Sort_Read#0,"""По состоянию"""
MailList_Mail_None#0,"""У вас нет писем"""
Mail_Player_None#0,"""Выберите получателя"""
MailList_List_Remove_Exp#0,"""Хотите удалить письмо?"""
MailList_Error_Command_LISTED#0,"""Ошибка получения почты.<br><br>[No.1003]"""
MailList_Error_Command_REMOVED#0,"""Ошибка удаления письма.<br><br>[No.1004]"""
MailList_Error_Command_UPDATED#0,"""Ошибка обновления почты.<br><br>[No.1047]"""
MailList_Error_Command_BODY_GOT#0,"""Ошибка при отправке почты.<br><br>[No.1005]"""
MailList_Error_Command_CHARA_SENT#0,"""Ошибка отправки.<br><br>[No.1006]"""
MailList_Error_Command_SHIP_SENT#0,"""Ошибка отправки.<br><br>[No.1007]"""
MailList_Error_Command_SHIP_RECEIVE#0,"""Ошибка отправки.<br><br>[No.1008]"""
MailList_Error_Command_Default#0,"""Ошибка обработки сообщения.<br><br>[No.1009]"""
