TEST#0,"""Тест."""
Code911_Message#0,"""ファンタシースターオンライン2の動作環境と、<br>お客様のプレイ環境を再度ご確認いただき、<br>不明な点がありましたら、<br>ご使用のPCのメーカーや販売元にお問い合わせください。"""
SignOut_PS4#0,"""“PlayStation Network”からサインアウトしました。<br>タイトルへ戻ります。"""
TokuteiURL#0,"""<&URL pso2_players_support_rule_tokutei>"""
TokuteiURL_v#0,"""<&URL pso2_players_support_rule_tokutei_vita>"""
TokuteiURL_c#0,"""<&URL pso2_players_support_rule_tokutei_cloud>"""
Code661_Title#0,"""チームルーム選択"""
Code661_Code#0,"""Не удалось перейти в комнату команды."""
Code661_Message#0,"""Не удалось перейти в комнату команды. Не соблюдены условия входа."""
Code662_Title#0,"""サーバー移動"""
Code662_Code#0,"""Перенос на выбранный сервер не удался."""
Code662_Message#0,"""クエストが開始されているため、<br>サーバーに移動できませんでした。"""
Code704_Title#0,"""Смена блока"""
Code704_Code#0,"""Не удалось перейти в выбранный блок."""
Code704_Message#0,"""<yellow>1. Получите титул, завершив квест [Solo Training: Heaven and Hell]<c>.<br><br><yellow>2. Получите титул, прокачав оружие ★13+ редкости до +35 <br>или вырастите питомца ★13 редкости до Ур.120, если вы [саммонер].<c>"""
Code730_Title#0,"""Смена сервера"""
Code730_Code#0,"""Перенос на выбранный сервер не удался."""
Code730_Message#0,"""選択したサーバーが混雑しているため<br>移動に失敗しました"""
Code731_Title#0,"""Смена сервера"""
Code731_Code#0,"""Перенос на выбранный сервер не удался."""
Code731_Message#0,"""Выбранный сервер не найден.<br>Не удалось перейти."""
Code732_Title#0,"""Перенос на другой сервер"""
Code732_Code#0,"""Перенос на выбранный сервер не удался."""
Code732_Message#0,"""選択したサーバー側に制限されている為、<br>移動できませんでした。"""
Code733_Title#0,"""Перенос на другой сервер"""
Code733_Code#0,"""Перенос на выбранный сервер не удался."""
Code733_Message#0,"""システムの問題により選択したサーバーへ<br>移動できませんでした。"""
SystemMesSegaID#0,"""Проверка SEGA ID..."""
SystemMesSegaID_v#0,"""SEGA ID の認証を行っています。"""
SystemMesAtherID#0,"""Проверка SEGA ID..."""
SystemMesLobbyWait#0,"""Ожидание ответа от сервера лобби."""
SystemMesServerWait#0,"""Ожидание ответа от сервера."""
SystemMesGameDataWait#0,"""Игровые данные"""
SystemMesCharaDataWait#0,"""Данные о персонаже"""
SystemMesGameShut#0,"""Потеряно соединение с сервером."""
SystemMesServerShut#0,"""Доступ запрещён сервером."""
SystemMesNetWorkShut#0,"""Время ожидания истекло. Пожалуйста, проверьте наличие соединения и настройки вашей сети."""
SystemMesBusy#0,"""Загрузка..."""
SystemGmAlertFormMessage#0,"""Принять сообщение."""
SystemGmAlertFormMessageTitle#0,"""Предупреждение от администрации"""
SystemGmMessageFormMessageTitle#0,"""Сообщение от администрации"""
EmergencyStopMessage#0,"""Существует проблема с вабранной функцией.<br>Её использование ограничено.<br>Пожалуйста, перейдите на Bumped.org или<br>игровой сайт для уточнения подробностей."""
EmergencyStopMessageTitle#0,"""Ограничение пользованием"""
EmergencyStopItemMessage#0,"""現在、選択したアイテムに問題が発生しており<br>調査のため取引を制限しています。<br>詳しくはプレイヤーズサイトをご確認ください。"""
EmergencyStopItemMessageTitle#0,"""特定アイテムの取引制限"""
Toast_StoryQuestAnnounce#0,"""Пожалуйста, запустите [ЭПИЗОД 1] - Сюжетный квест \""Встреча с Сион\""."""
RestrictionTitle#0,"""機能制限"""
RestrictionMessageInfo#0,"""この機能のご利用には、SEGA IDとの連携が必要です。<br><br>SEGA IDと連携すると<br>\u3000・他のプラットフォームでのゲームプレイ<br>\u3000・ワンタイムパスワードの利用<br>ほか、便利なサービスをご利用頂けます。<br><br>ログインメニューの「SEGA IDと連携する」から<br>SEGA IDの取得と連携ができます。"""
Yes#0,"""Да"""
No#0,"""Нет"""
Decide#0,"""Подтвердить"""
Cancel#0,"""Отмена"""
Next#0,"""Вперёд"""
Prev#0,"""Назад"""
Close#0,"""Закрыть"""
Return#0,"""Вернуться"""
CloseHint#0,"""Закрыть"""
HelpHint#0,"""Помощь"""
Level#0,"""Ур."""
Colon#0,""":"""
Slash#0,"""/"""
Hyphen#0,"""-"""
Asterisk#0,"""*"""
Plus#0,"""+"""
Greater#0,""">"""
Less#0,"""<"""
WaveDash#0,"""～"""
Cross#0,"""×"""
MultiSelecting#0,"""Выбрать..."""
MultiDrop#0,""" - ($(0))"""
DropText#0,"""$(0)"""
MultiDropText#0,"""$(1) - ($(0))"""
SubmenuType_StyleChange#0,"""Выбрать другой формат отображения"""
SubmenuType_Help#0,"""Помощь"""
Title#0,"""Сообщение"""
CaptureMessage#0,"""Скриншот сохранён."""
CaptureMessage2#0,"""Скриншот сохранён."""
CaptureMessage3#0,"""Скриншот сохранён."""
CaptureErrorMessage01#0,"""Не удалось сохранить скриншот. Недостаточно места на диске."""
MovieStartMessage#0,"""Запись видео началась."""
MovieEndMessage#0,"""Запись видео окончена."""
MovieErrorMessage01#0,"""Не удалось записать видео. Недостаточно места на диске."""
MovieErrorMessage02#0,"""Запись видео прервана. Недостаточно места на диске."""
Bubble_Chatter1#0,"""・・・"""
Bubble_Chatter2#0,"""・・・"""
Bubble_Chatter3#0,"""・・・"""
Bubble_Chatter4#0,"""・・・"""
Bubble_Chatter5#0,"""・・・"""
Bubble_Chatter6#0,"""・・・"""
Bubble_Chatter7#0,"""・・・"""
Bubble_Chatter8#0,"""・・・"""
Bubble_Chatter9#0,"""・・・"""
Bubble_Chatter10#0,"""・・・"""
CheckTextOpen#0,"""Больше не показывать это окно."""
ClosableMessageTitle#0,"""Сообщение"""
ClosableMessageButton#0,"""Закрыть"""
PlayerIDName#0,"""Имя Player ID"""
PlayerID#0,"""プレイヤーID"""
CharaName#0,"""Имя персонажа"""
LevelNum#0,"""Ур.$(0)"""
SubmenuType_Edit#0,"""Кастомизация"""
SubmenuType_SearchMode#0,"""Смен. режим поиска"""
BeginLookAtCamera#0,"""Взгляд в камеру."""
EndLookAtCamera#0,"""Взгляд мимо камеры."""
NoName#0,"""Не выбран"""
Percent#0,"""％"""
PercentNum#0,"""$(0)％"""
Title#1,"""Раса"""
Human#0,"""Хьюман"""
Newman#0,"""Ньюман"""
Cast#0,"""Каст"""
Dewman#0,"""Дьюман"""
All#0,"""Все расы"""
NoHuman#0,"""Не Хьюман"""
NoNewman#0,"""Не Ньюман"""
NoCast#0,"""Не Каст"""
NoDewman#0,"""Не Дьюман"""
Title#2,"""Пол"""
Male#0,"""Мужской"""
Female#0,"""Женский"""
All#1,"""Все"""
Class#0,"""Класс"""
Main#0,"""Основной класс"""
Sub#0,"""Подкласс"""
None#0,"""Не выбран"""
Job00#0,"""Хантер"""
Job01#0,"""Рейнджер"""
Job02#0,"""Форс"""
Job03#0,"""Файтер"""
Job04#0,"""Ганнер"""
Job05#0,"""Тектер"""
Job06#0,"""Брейвер"""
Job07#0,"""Баунсер"""
Job08#0,"""Челленджер"""
Job09#0,"""Саммонер"""
Job10#0,"""Батл Вориор"""
Job11#0,"""Герой"""
Job12#0,"""Фантом"""
Job13#0,"""エトワール"""
All#2,"""Все классы"""
SaveAccount#0,"""Сохранить имя учётной записи"""
SavePassword#0,"""Сохранить пароль"""
Logout_Title#0,"""Выйти из игры"""
Logout_Message#0,"""Вы уверены, что хотите выйти?"""
Logout_Wait_Message#0,"""Выход..."""
AutoLogoutWarning_Title#0,"""Предупреждение"""
AutoLogoutWarning_Message#0,"""<c ff9c70>■Предупреждение об автоматическом выходе■<c><br><br>Вы некоторое время<br>не начинали проходить испытание.<br><br>Еоли не закроете <br>это окно в течение <yellow>$(0)<c>,<br>выход будет произведён автоматически.<br><br><yellow>※Данная функция актуальна<br>только для корабля испытаний.<c>"""
AutoLogoutDone_Title#0,"""Объявление"""
AutoLogoutDone_Message#0,"""<yellow>Вы не начали проходить квест<br>в определённое время, и поэтому автоматически<br>покинули корабль испытаний.<c><br><br>Перенос на стартовый экран."""
AutoLogoutWarning_Message_InChallengeShip#0,"""<c ff9c70>■Предупреждение об автоматическом выходе■<c><br><br>Вы некоторое время<br>не начинали проходить испытание.<br><br>Если не закроете <br>это окно в течение <yellow>$(0)<c>,<br>выход будет произведён автоматически.<br><br><yellow>※Данная функция актуальна<br>только для корабля испытаний.<c>"""
AutoLogoutDone_Message_InChallengeShip#0,"""<yellow>Вы не начали проходить квест<br>в определённое время, и поэтому автоматически<br>покинули корабль испытаний.<c><br><br>Перенос на стартовый экран."""
AutoLogoutWarning_Message_InPokaShip#0,"""<c ff9c70>■Предупреждение об автоматическом выходе■<c><br>Если вы некоторое время находитесь на корабле битв, но не вступаете в сражение, вы автоматически покинете корабль.<c><br><br>Чтобы продолжить игру, вы можете закрыть это окно в течение <yellow>$(0)<c>."""
AutoLogoutDone_Message_InPokaShip#0,"""<yellow>Вы не вступали в сражение<br>некоторое время, и поэтому автоматически<br>покинули корабль битв.<c><br><br>Перенос на стартовый экран."""
LogKind_All#0,"""Лог: все"""
LogKind_Custom#0,"""Лог: показать все"""
LogKind_Public#0,"""Лог: локация"""
LogKind_Party#0,"""Лог: группа"""
LogKind_Guild#0,"""Лог: команда"""
LogKind_System#0,"""Лог: система"""
LogKind_NPC#0,"""Лог: персонаж"""
LogKind_Whisper#0,"""Лог: шёпот"""
LogKind_Channel#0,"""-"""
LogBalloon_All#0,"""0. Показать все"""
LogBalloon_Custom#0,"""0. Показать все"""
LogBalloon_Public#0,"""1. Локация"""
LogBalloon_Party#0,"""<pict Party>2. Группа"""
LogBalloon_Guild#0,"""<pict Guild>3. Команда"""
LogBalloon_System#0,"""6. Система"""
LogBalloon_NPC#0,"""5. Персонаж"""
LogBalloon_Whisper#0,"""<pict Whisper>4. Шёпот"""
LogRange_Public#0,"""1. Локация"""
LogRange_Party#0,"""<pict Party>2. Группа"""
LogRange_Guild#0,"""<pict Guild>3. Команда"""
LogRange_Whisper#0,"""<pict Whisper>4. Шёпот"""
LogRangeTab_Public#0,"""1. Локация"""
LogRangeTab_Party#0,"""<pict Party>2. Группа"""
LogRangeTab_Guild#0,"""<pict Guild>3. Команда"""
LogRangeTab_Whisp#0,"""<pict Whisper>4. Шёпот"""
WhisperSendTo#0,"""Послать $(0)"""
LogName_System#0,"""Система"""
LogButton_Send#0,"""Послать"""
LogButton_Input#0,"""Начать переписку с <%ChatStart>"""
LogButton_Input_ooo#0,"""-"""
LogButton_DirectChat#0,"""Привязать клавиатуру к чату"""
LogButton_Range_Vita#0,"""発言先"""
LogButton_Log_Vita#0,"""ログ"""
LogButton_Reset_Vita#0,"""全削除"""
LogToast_ShortLog#0,"""ショートログ表示開始。自分をタッチすると非表示になります。"""
LogShortCutEdit#0,"""Редактирование завершено"""
LogButton_Balloon#0,"""Баллон"""
LogButton_Manpu#0,"""Манга-пиктограммы"""
LogButton_Cutin#0,"""Врезки"""
LogButton_SE#0,"""-"""
LogButton_Voice#0,"""-"""
LogButton_Color#0,"""-"""
LogButton_Emoji#0,"""-"""
LogButton_Twitter#0,"""-"""
LogButton_LobbyAction#0,"""Лобби-экшны"""
LogButton_Symbol#0,"""Символ Арты"""
LogButton_ContinuousInput#0,"""Не выходить из чата"""
DirectChatBegin#0,"""Клавиатура привязана к чату."""
DirectChatEnd#0,"""Клавиатура отвязана от чата."""
DirectChatEndTmp#0,"""Клавиатура временно отвязана от чата."""
