PartyJoin#0,"""/toge /ci2 1 ボク、がんばります！"""
EnemyRareRareW#3,"""(仮)レア武器装備時にレアエネミーが出現した"""
EnemyBoostRareW#3,"""(仮)レア武器装備時にブーストEが出現した"""
PartyJoin#4,"""/mn16 /ci2 1 はーい、よろしくっ！"""
IncidentJsApcBegin#4,"""/mn17 /ci2 1 来てくれたんだ！<br>ありがとー、これでなんとか！"""
IncidentJsApcFailure#4,"""……うう、あたし未熟すぎ。<br>ごめん、先に撤退しちゃうね。"""
IncidentJsApcSuccess#4,"""/ci2 2 やたーっ！\u3000なんとかしのげたよ！<br>あなたのお陰！\u3000ありがとう！"""
IncidentJsApcBeginEvo#4,"""/mn19 /ci2 1 あれあれあれれっ？<br>なんかおっきな反応が<br>近づいてくるよ！"""
AbilityExeRareU#4,"""(仮)レアユニット装備時のポテンシャル発動"""
EnemyLargeRareW#4,"""(仮)レア武器装備時に大型エネミーが出現した"""
EnemyBossRareW#4,"""(仮)レア武器装備時にボスが出現した"""
EnemyRareRareW#4,"""(仮)レア武器装備時にレアエネミーが出現した"""
EnemyBoostRareW#4,"""(仮)レア武器装備時にブーストEが出現した"""
PartyJoin#5,"""/ci1 4 では、よろしく頼む"""
IncidentJsApcBegin#5,"""/ci1 2 すまない、お前には<br>世話になってばかりだな。"""
IncidentJsApcFailure#5,"""……ここまでか。<br>すまない、先に撤退させてもらう。"""
IncidentJsApcSuccess#5,"""/ci2 5 制圧……完了。<br>お前のおかげだ、感謝する。"""
IncidentJsApcBeginEvo#5,"""/ci3 2 ……気を抜くな。<br>とびきりのヤツが来るようだぞ。"""
AbilityExeRareU#5,"""(仮)レアユニット装備時のポテンシャル発動"""
EnemyLargeRareW#5,"""(仮)レア武器装備時に大型エネミーが出現した"""
EnemyBossRareW#5,"""(仮)レア武器装備時にボスが出現した"""
EnemyRareRareW#5,"""(仮)レア武器装備時にレアエネミーが出現した"""
EnemyBoostRareW#5,"""(仮)レア武器装備時にブーストEが出現した"""
PartyJoin#6,"""/ci1 1 よろしくお願いします"""
IncidentJsApcBegin#6,"""/ci1 1 すみません、マスター。<br>状況不利につき、協力を要請します。"""
IncidentJsApcFailure#6,"""……戦闘継続、不可能。<br>申し訳ありません、撤退します。"""
IncidentJsApcSuccess#6,"""/ci1 1 状況、終了。<br>協力、ありがとうございました。"""
IncidentJsApcBeginEvo#6,"""/ci1 4 さらに巨大な反応を確認。<br>……来ます。"""
AbilityExeRareU#6,"""良いものを身に着けていると<br>いつもより調子がいいですね！"""
EnemyLargeRareW#6,"""マスターに頂いた<br><weapon>なら<br>勝てます！"""
EnemyBossRareW#6,"""マスターに頂いた<br><weapon>で<br>決着をつけます！"""
EnemyRareRareW#6,"""珍種を発見しました。<br>私の武器とどちらが珍しいでしょうか？"""
EnemyBoostRareW#6,"""雰囲気が異なるようですが……<br><weapon>なら<br>やれます！"""
PartyJoin#7,"""/ci1 2 ……さっさと終わらせよう"""
IncidentJsApcBegin#7,"""/ci4 3 ……迷惑をかけてしまって<br>ごめん。"""
IncidentJsApcFailure#7,"""……くそ、迷惑かけっぱなしだ。<br>わたしは退く……ごめん！"""
IncidentJsApcSuccess#7,"""/ci2 5 ……その、なんていうか<br>ごめんなさい。あと、ありがとう。"""
IncidentJsApcBeginEvo#7,"""/moya /ci5 2 ……まだだ。<br>まだ、終わりじゃない。"""
AbilityExeRareU#7,"""(仮)レアユニット装備時のポテンシャル発動"""
EnemyLargeRareW#7,"""(仮)レア武器装備時に大型エネミーが出現した"""
EnemyBossRareW#7,"""(仮)レア武器装備時にボスが出現した"""
EnemyRareRareW#7,"""(仮)レア武器装備時にレアエネミーが出現した"""
EnemyBoostRareW#7,"""(仮)レア武器装備時にブーストEが出現した"""
PartyJoin#8,"""/ci2 3 それでは、よろしくお願いします"""
IncidentJsApcBegin#8,"""/ci4 1 すみません……<br>貴方に頼ってばかりで……"""
IncidentJsApcFailure#8,"""……これ以上は、もちません。<br>申し訳ありません、撤退させて<br>いただきます。"""
IncidentJsApcSuccess#8,"""/ci2 1 ふぅ……無事、終わりましたね。<br>貴方のおかげです<br>ありがとうございました。"""
IncidentJsApcBeginEvo#8,"""/ci5 3 ……まだ、終わらないようです。<br>巨大な反応が近づいています。"""
AbilityExeRareU#8,"""(仮)レアユニット装備時のポテンシャル発動"""
EnemyLargeRareW#8,"""(仮)レア武器装備時に大型エネミーが出現した"""
EnemyBossRareW#8,"""(仮)レア武器装備時にボスが出現した"""
EnemyRareRareW#8,"""(仮)レア武器装備時にレアエネミーが出現した"""
EnemyBoostRareW#8,"""(仮)レア武器装備時にブーストEが出現した"""
DestroyEnemy1#0,"""やったね！"""
DestroyEnemy2#0,"""いい感じだね。"""
DestroyEnemy3#0,"""すごい！"""
CondFreeze#0,"""つ、つめた……！"""
CondBurn#0,"""あ、あちち……！"""
CondShock#0,"""しびびび……！"""
CondPoison#0,"""うぅ……。"""
CondPanic#0,"""あ、あれれ……？"""
CondStan#0,"""う、うぅ……。"""
CondMirage#0,"""ね、狙いが……。"""
CondInjury#0,"""いたっ！"""
Die#0,"""ごめん……みんな……。"""
ThankHeal#0,"""ありがとう！"""
ThankBuff#0,"""助かるよ！"""
ThankCure#0,"""ありがとう！"""
DefeatEnemy#0,"""やったね！"""
LevelUp#0,"""おめでとう！また強くなったね！"""
InvokeSkill1#0,"""はあっ！"""
InvokeSkill2#0,"""そこだ！"""
InvokeSkill3#0,"""当たれっ！"""
TechFire#0,"""はあっ！"""
TechIce#0,"""えいっ！"""
TechThunder#0,"""やあっ！"""
TechWind#0,"""やっ！"""
TechLight#0,"""たあっ！"""
TechDark#0,"""たっ！"""
PBFull#0,"""よし、準備オーケー！"""
PBRelease#0,"""もう負けないんだから！"""
Avoid#0,"""わっと……！"""
HealSelf#0,"""回復っと！"""
BuffSelf#0,"""これでよし！"""
HealOther#0,"""大丈夫？\u3000回復するね。"""
BuffOther#0,"""はい、どうぞ！"""
HP30#0,"""まだまだ、これから……！"""
HP10#0,"""なんとかしないと……。"""
ItemRare#0,"""わぁ、よかったね！"""
DamageSmall#0,"""いたっ！"""
DamageMiddle#0,"""うっ！"""
DamageLarge#0,"""うわっ！"""
MemberDamaged#0,"""大丈夫!?"""
MemberDead#0,"""え！\u3000そんな……。"""
Resurrect#0,"""まだまだ行くよ！"""
PartyJoin#9,"""よろしくね！"""
DestroyEnemy1#1,"""やったわね。"""
DestroyEnemy2#1,"""さすがね。"""
DestroyEnemy3#1,"""順調ね。"""
CondFreeze#1,"""うぅ……。"""
CondBurn#1,"""くっ！"""
CondShock#1,"""あ……あぁ。"""
CondPoison#1,"""うぐぅ……。"""
CondPanic#1,"""はあ……はあ……。"""
CondStan#1,"""くっ……うぅ。"""
CondMirage#1,"""……当たらない……。"""
CondInjury#1,"""ぐうぅ……。"""
Die#1,"""こんなところで……。"""
ThankHeal#1,"""ありがとう。"""
ThankBuff#1,"""助かるわ。"""
ThankCure#1,"""助かったわ。"""
DefeatEnemy#1,"""なんとかなったわね。"""
LevelUp#1,"""ふふっ、強くなったようね。"""
InvokeSkill1#1,"""はっ！"""
InvokeSkill2#1,"""やあっ！"""
InvokeSkill3#1,"""これでっ！"""
TechFire#1,"""はあっ！"""
TechIce#1,"""やあっ！"""
TechThunder#1,"""はあぁ！"""
TechWind#1,"""ふっ！"""
TechLight#1,"""やあっ！"""
TechDark#1,"""はあぁ……！"""
PBFull#1,"""離れてて。"""
PBRelease#1,"""これならどうかしら？"""
Avoid#1,"""……っと。"""
HealOther#1,"""回復するわね。"""
BuffOther#1,"""これを。"""
HP30#1,"""……まだまだ。"""
HP10#1,"""このままだと危険……ね。"""
ItemRare#1,"""あら、いいわね。"""
DamageSmall#1,"""くっ！"""
DamageMiddle#1,"""くぅ！"""
DamageLarge#1,"""うっ！"""
MemberDamaged#1,"""大丈夫!?"""
MemberDead#1,"""し……しっかりして！"""
Resurrect#1,"""行きましょう。"""
PartyJoin#10,"""よろしく。"""
DestroyEnemy1#2,"""やったね！"""
DestroyEnemy2#2,"""いい感じだね。"""
DestroyEnemy3#2,"""すごい！"""
CondFreeze#2,"""つ、つめた……！"""
CondBurn#2,"""あ、あちち……！"""
CondShock#2,"""しびびび……！"""
CondPoison#2,"""うぅ……。"""
CondPanic#2,"""あ、あれれ……？"""
CondStan#2,"""う、うぅ……。"""
CondMirage#2,"""ね、狙いが……。"""
CondInjury#2,"""いたっ！"""
Die#2,"""ごめん……みんな……。"""
ThankHeal#2,"""ありがとう！"""
ThankBuff#2,"""助かるよ！"""
ThankCure#2,"""ありがとう！"""
DefeatEnemy#2,"""やったね！"""
LevelUp#2,"""おめでとう！また強くなったね！"""
InvokeSkill1#2,"""はあっ！"""
InvokeSkill2#2,"""そこだ！"""
InvokeSkill3#2,"""当たれっ！"""
TechFire#2,"""はあっ！"""
TechIce#2,"""えいっ！"""
TechThunder#2,"""やあっ！"""
TechWind#2,"""やっ！"""
TechLight#2,"""たあっ！"""
TechDark#2,"""たっ！"""
PBFull#2,"""よし、準備オーケー！"""
PBRelease#2,"""もう負けないんだから！"""
Avoid#2,"""わっと……！"""
HealSelf#1,"""回復っと！"""
BuffSelf#1,"""これでよし！"""
HealOther#2,"""大丈夫？\u3000回復するね。"""
BuffOther#2,"""はい、どうぞ！"""
HP30#2,"""まだまだ、これから……！"""
HP10#2,"""なんとかしないと……。"""
ItemRare#2,"""わぁ、よかったね！"""
DamageSmall#2,"""いたっ！"""
DamageMiddle#2,"""うっ！"""
DamageLarge#2,"""うわっ！"""
MemberDamaged#2,"""大丈夫!?"""
MemberDead#2,"""え！\u3000そんな……。"""
Resurrect#2,"""まだまだ行くよ！"""
PartyJoin#11,"""よろしくね！"""
DestroyEnemy1#3,"""やるじゃないか。"""
DestroyEnemy2#3,"""なかなかいいぞ。"""
DestroyEnemy3#3,"""いい腕だ。"""
CondFreeze#3,"""ぬう……！"""
CondBurn#3,"""くっ……！"""
CondShock#3,"""うぐっ……。"""
CondPoison#3,"""むう……。"""
CondPanic#3,"""う……うぅ。"""
CondStan#3,"""ぐぬう……！"""
CondMirage#3,"""くっ、目が……。"""
CondInjury#3,"""ぐぬぅ。"""
Die#3,"""しまったな……。"""
ThankHeal#3,"""悪いな！"""
ThankBuff#3,"""助かるぜ！"""
ThankCure#3,"""悪いな！"""
DefeatEnemy#3,"""よし、さっぱりしたな。"""
LevelUp#3,"""おう、腕を上げたな。"""
InvokeSkill1#3,"""はああっ！"""
InvokeSkill2#3,"""手加減なしだ！"""
InvokeSkill3#3,"""とらえた！"""
TechFire#3,"""うぉっ！"""
TechIce#3,"""ふんっ！"""
TechThunder#3,"""はあっ！"""
TechWind#3,"""おりゃ！"""
TechLight#3,"""うらあっ！"""
TechDark#3,"""おりゃああ！"""
PBFull#3,"""そろそろいいだろう。"""
PBRelease#3,"""オレに全部……任せとけ！"""
Avoid#3,"""おっと……！"""
HealSelf#2,"""ふう。"""
BuffSelf#2,"""よし。"""
HealOther#3,"""無理はするなよ。"""
BuffOther#3,"""ほらよ。"""
HP30#3,"""ここからが本番だ！"""
HP10#3,"""ちょっとシャレにならんな……。"""
ItemRare#3,"""ほう、ついてるな。"""
DamageSmall#3,"""うっ！"""
DamageMiddle#3,"""くっ！"""
DamageLarge#3,"""ぐっ！"""
MemberDamaged#3,"""おい、大丈夫か!?"""
MemberDead#3,"""なんてこった！"""
Resurrect#3,"""よっしゃ！やろうぜ！"""
PartyJoin#12,"""よろしくな！"""
DestroyEnemy1#4,"""問題ないな。"""
DestroyEnemy2#4,"""上出来だ。"""
DestroyEnemy3#4,"""うむ、見事だ。"""
CondFreeze#4,"""くっ……！"""
CondBurn#4,"""うぐっ……！"""
CondShock#4,"""うっ……うぅ。"""
CondPoison#4,"""む……くっ……。"""
CondPanic#4,"""ぐぬ……。"""
CondStan#4,"""むう……！"""
CondMirage#4,"""し、視界が……。"""
CondInjury#4,"""うぅ。"""
Die#4,"""すまない、離脱する。"""
ThankHeal#4,"""感謝する。"""
ThankBuff#4,"""助かる。"""
ThankCure#4,"""すまない。"""
DefeatEnemy#4,"""よし、片付いたな。"""
LevelUp#4,"""どんどん強くなるな。"""
InvokeSkill1#4,"""はあっ！"""
InvokeSkill2#4,"""いくぞ！"""
InvokeSkill3#4,"""覚悟するんだな！"""
TechFire#4,"""たあっ！"""
TechIce#4,"""はっ！"""
TechThunder#4,"""ふんっ！"""
TechWind#4,"""とうっ！"""
TechLight#4,"""せいっ！"""
TechDark#4,"""はあっ……！"""
PBFull#4,"""ここは任せてくれ。"""
PBRelease#4,"""私の前に立ったこと、後悔するがいい。"""
Avoid#4,"""ふっ！"""
HealOther#4,"""回復しておくぞ。"""
BuffOther#4,"""役立ててくれ。"""
HP30#4,"""戦況を変えなければ……。"""
HP10#4,"""まずいな……。"""
ItemRare#4,"""うむ、いいものだな。"""
DamageSmall#4,"""くっ！"""
DamageMiddle#4,"""うっ！"""
DamageLarge#4,"""ちっ！"""
MemberDamaged#4,"""大丈夫か!?"""
MemberDead#4,"""私としたことが……。"""
Resurrect#4,"""借りは返すぞ！"""
PartyJoin#13,"""私も同行させてもらう。"""
DestroyEnemy1#5,"""やったわね。"""
DestroyEnemy2#5,"""さすがね。"""
DestroyEnemy3#5,"""順調ね。"""
CondFreeze#5,"""うぅ……。"""
CondBurn#5,"""くっ！"""
CondShock#5,"""あ……あぁ。"""
CondPoison#5,"""うぐぅ……。"""
CondPanic#5,"""はあ……はあ……。"""
CondStan#5,"""くっ……うぅ。"""
CondMirage#5,"""……当たらない……。"""
CondInjury#5,"""ぐうぅ……。"""
Die#5,"""こんなところで……。"""
ThankHeal#5,"""ありがとう。"""
ThankBuff#5,"""助かるわ。"""
ThankCure#5,"""助かったわ。"""
DefeatEnemy#5,"""なんとかなったわね。"""
LevelUp#5,"""ふふっ、強くなったようね。"""
InvokeSkill1#5,"""はっ！"""
InvokeSkill2#5,"""やあっ！"""
InvokeSkill3#5,"""これでっ！"""
TechFire#5,"""はあっ！"""
TechIce#5,"""やあっ！"""
TechThunder#5,"""はあぁ！"""
TechWind#5,"""ふっ！"""
TechLight#5,"""やあっ！"""
TechDark#5,"""はあぁ……！"""
PBFull#5,"""離れてて。"""
PBRelease#5,"""これならどうかしら？"""
Avoid#5,"""……っと。"""
HealOther#5,"""回復するわね。"""
BuffOther#5,"""これを。"""
HP30#5,"""……まだまだ。"""
HP10#5,"""このままだと危険……ね。"""
ItemRare#5,"""あら、いいわね。"""
DamageSmall#5,"""くっ！"""
DamageMiddle#5,"""くぅ！"""
DamageLarge#5,"""うっ！"""
MemberDamaged#5,"""大丈夫!?"""
MemberDead#5,"""し……しっかりして！"""
Resurrect#5,"""行きましょう。"""
PartyJoin#14,"""よろしく。"""
DestroyEnemy1#6,"""やったわね。"""
DestroyEnemy2#6,"""さすがね。"""
DestroyEnemy3#6,"""順調ね。"""
CondFreeze#6,"""うぅ……。"""
CondBurn#6,"""くっ！"""
CondShock#6,"""あ……あぁ。"""
CondPoison#6,"""うぐぅ……。"""
CondPanic#6,"""はあ……はあ……。"""
CondStan#6,"""くっ……うぅ。"""
CondMirage#6,"""……当たらない……。"""
CondInjury#6,"""ぐうぅ……。"""
Die#6,"""こんなところで……。"""
ThankHeal#6,"""ありがとう。"""
ThankBuff#6,"""助かるわ。"""
ThankCure#6,"""助かったわ。"""
DefeatEnemy#6,"""なんとかなったわね。"""
LevelUp#6,"""ふふっ、強くなったようね。"""
InvokeSkill1#6,"""はっ！"""
InvokeSkill2#6,"""やあっ！"""
InvokeSkill3#6,"""これでっ！"""
TechFire#6,"""はあっ！"""
TechIce#6,"""やあっ！"""
TechThunder#6,"""はあぁ！"""
TechWind#6,"""ふっ！"""
TechLight#6,"""やあっ！"""
TechDark#6,"""はあぁ……！"""
PBFull#6,"""離れてて。"""
PBRelease#6,"""これならどうかしら？"""
Avoid#6,"""……っと。"""
HealOther#6,"""回復するわね。"""
BuffOther#6,"""これを。"""
HP30#6,"""……まだまだ。"""
HP10#6,"""このままだと危険……ね。"""
ItemRare#6,"""あら、いいわね。"""
DamageSmall#6,"""くっ！"""
DamageMiddle#6,"""くぅ！"""
DamageLarge#6,"""うっ！"""
MemberDamaged#6,"""大丈夫!?"""
MemberDead#6,"""し……しっかりして！"""
Resurrect#6,"""行きましょう。"""
PartyJoin#15,"""よろしく。"""
DestroyEnemy1#7,"""やったわね。"""
DestroyEnemy2#7,"""さすがね。"""
DestroyEnemy3#7,"""順調ね。"""
CondFreeze#7,"""うぅ……。"""
CondBurn#7,"""くっ！"""
CondShock#7,"""あ……あぁ。"""
CondPoison#7,"""うぐぅ……。"""
CondPanic#7,"""はあ……はあ……。"""
CondStan#7,"""くっ……うぅ。"""
CondMirage#7,"""……当たらない……。"""
CondInjury#7,"""ぐうぅ……。"""
Die#7,"""こんなところで……。"""
ThankHeal#7,"""ありがとう。"""
ThankBuff#7,"""助かるわ。"""
ThankCure#7,"""助かったわ。"""
DefeatEnemy#7,"""なんとかなったわね。"""
LevelUp#7,"""ふふっ、強くなったようね。"""
InvokeSkill1#7,"""はっ！"""
InvokeSkill2#7,"""やあっ！"""
InvokeSkill3#7,"""これでっ！"""
TechFire#7,"""はあっ！"""
TechIce#7,"""やあっ！"""
TechThunder#7,"""はあぁ！"""
TechWind#7,"""ふっ！"""
TechLight#7,"""やあっ！"""
TechDark#7,"""はあぁ……！"""
PBFull#7,"""離れてて。"""
PBRelease#7,"""これならどうかしら？"""
Avoid#7,"""……っと。"""
HealOther#7,"""回復するわね。"""
BuffOther#7,"""これを。"""
HP30#7,"""……まだまだ。"""
HP10#7,"""このままだと危険……ね。"""
ItemRare#7,"""あら、いいわね。"""
DamageSmall#7,"""くっ！"""
DamageMiddle#7,"""くぅ！"""
DamageLarge#7,"""うっ！"""
MemberDamaged#7,"""大丈夫!?"""
MemberDead#7,"""し……しっかりして！"""
Resurrect#7,"""行きましょう。"""
PartyJoin#16,"""よろしく。"""
DestroyEnemy1#8,"""やったね！"""
DestroyEnemy2#8,"""いい感じだね。"""
DestroyEnemy3#8,"""すごい！"""
CondFreeze#8,"""つ、つめた……！"""
CondBurn#8,"""あ、あちち……！"""
CondShock#8,"""しびびび……！"""
CondPoison#8,"""うぅ……。"""
CondPanic#8,"""あ、あれれ……？"""
CondStan#8,"""う、うぅ……。"""
CondMirage#8,"""ね、狙いが……。"""
CondInjury#8,"""いたっ！"""
Die#8,"""ごめん……みんな……。"""
ThankHeal#8,"""ありがとう！"""
ThankBuff#8,"""助かるよ！"""
ThankCure#8,"""ありがとう！"""
DefeatEnemy#8,"""やったね！"""
LevelUp#8,"""おめでとう！また強くなったね！"""
InvokeSkill1#8,"""はあっ！"""
InvokeSkill2#8,"""そこだ！"""
InvokeSkill3#8,"""当たれっ！"""
TechFire#8,"""はあっ！"""
TechIce#8,"""えいっ！"""
TechThunder#8,"""やあっ！"""
TechWind#8,"""やっ！"""
TechLight#8,"""たあっ！"""
TechDark#8,"""たっ！"""
PBFull#8,"""よし、準備オーケー！"""
PBRelease#8,"""もう負けないんだから！"""
Avoid#8,"""わっと……！"""
HealSelf#3,"""回復っと！"""
BuffSelf#3,"""これでよし！"""
HealOther#8,"""大丈夫？\u3000回復するね。"""
BuffOther#8,"""はい、どうぞ！"""
HP30#8,"""まだまだ、これから……！"""
HP10#8,"""なんとかしないと……。"""
ItemRare#8,"""わぁ、よかったね！"""
DamageSmall#8,"""いたっ！"""
DamageMiddle#8,"""うっ！"""
DamageLarge#8,"""うわっ！"""
MemberDamaged#8,"""大丈夫!?"""
MemberDead#8,"""え！\u3000そんな……。"""
Resurrect#8,"""まだまだ行くよ！"""
PartyJoin#17,"""よろしくね！"""
DestroyEnemy1#9,"""やりますね。"""
DestroyEnemy2#9,"""お見事です。"""
DestroyEnemy3#9,"""流石です。"""
CondFreeze#9,"""うあっ！"""
CondBurn#9,"""ああっ！"""
CondShock#9,"""くっ……！"""
CondPoison#9,"""うぐぁ……！"""
CondPanic#9,"""うああ!?"""
CondStan#9,"""……ああ！"""
CondMirage#9,"""んっ!?"""
CondInjury#9,"""むぅ……！"""
Die#9,"""うっ……力及ばず……。"""
ThankHeal#9,"""감사합니다."""
ThankBuff#9,"""助かります。"""
ThankCure#9,"""덕분에 살았어요."""
DefeatEnemy#9,"""付近に反応なし。"""
LevelUp#9,"""また、強くなりましたね。"""
InvokeSkill1#9,"""やぁ！"""
InvokeSkill2#9,"""とぅ！"""
InvokeSkill3#9,"""大人しくしなさい！"""
PBFull#9,"""準備は整いました。"""
PBRelease#9,"""これが私の力です！"""
Avoid#9,"""よっと！"""
HealSelf#4,"""回復！"""
BuffSelf#4,"""備えあれば憂いなし。"""
HealOther#9,"""大丈夫ですか。"""
BuffOther#9,"""これで、いかがでしょう。"""
HP30#9,"""まだまだ行けます。"""
HP10#9,"""危険な状態です……。"""
ItemRare#9,"""おや、珍しいですね。"""
DamageSmall#9,"""たいしたことありません。"""
DamageMiddle#9,"""なんのこれしき！"""
DamageLarge#9,"""これはさすがに！"""
MemberDamaged#9,"""気をつけてください。"""
MemberDead#9,"""私の力及ばず……。"""
Resurrect#9,"""ご恩に報いましょう。"""
PartyJoin#18,"""よろしくお願いします。"""
DestroyEnemy1#10,"""いいわね。"""
DestroyEnemy2#10,"""その調子よ。"""
DestroyEnemy3#10,"""上々ね。"""
CondFreeze#10,"""なっ……。"""
CondBurn#10,"""うっ……。"""
CondShock#10,"""くっ……。"""
CondPoison#10,"""うぐっ……。"""
CondPanic#10,"""く……うぅ。"""
CondStan#10,"""うぐっ……。"""
CondMirage#10,"""ぐっ……。"""
CondInjury#10,"""くうぅ……。"""
Die#10,"""私としたことが……。"""
ThankHeal#10,"""礼を言うわ。"""
ThankBuff#10,"""ああ、助かるわ。"""
ThankCure#10,"""礼を言うわ。"""
DefeatEnemy#10,"""こんなものかしら。"""
LevelUp#10,"""まだまだ伸びしろがありそうね。"""
InvokeSkill1#10,"""はっ！"""
InvokeSkill2#10,"""ふっ！"""
InvokeSkill3#10,"""くらいなさい！"""
PBFull#10,"""いいものを見せてあげるわ。"""
PBRelease#10,"""覚悟しなさい。"""
Avoid#10,"""はあっ……！"""
HealOther#10,"""しっかりしなさい。"""
BuffOther#10,"""役立ててちょうだい。"""
HP30#10,"""なかなか厄介ね……。"""
HP10#10,"""このままじゃ終わらないわ。"""
ItemRare#10,"""大事に使うのよ。"""
DamageSmall#10,"""うっ……。"""
DamageMiddle#10,"""くっ……。"""
DamageLarge#10,"""なっ……!?"""
MemberDamaged#10,"""攻撃をよく見て。"""
MemberDead#10,"""なんてこと……。"""
Resurrect#10,"""借りは返すわよ。拳が唸るわ。"""
PartyJoin#19,"""よろしく。"""
DestroyEnemy1#11,"""やるな。"""
DestroyEnemy2#11,"""ほう。"""
DestroyEnemy3#11,"""負けてられんな。"""
CondFreeze#11,"""ちっ！"""
CondBurn#11,"""くそっ！"""
CondShock#11,"""うわっ！"""
CondPoison#11,"""うぇっ！"""
CondPanic#11,"""あぁぁ！"""
CondStan#11,"""マジかよっ！"""
CondMirage#11,"""なん……だと！"""
CondInjury#11,"""ちっ、マズいな。"""
Die#11,"""まさかっ……油断したぜ……。"""
ThankHeal#11,"""助かる。"""
ThankBuff#11,"""成果で返すぜ。"""
ThankCure#11,"""すまないな。"""
DefeatEnemy#11,"""こんなものか。"""
LevelUp#11,"""その調子で派手にいこうぜ。"""
InvokeSkill1#11,"""おりゃ！"""
InvokeSkill2#11,"""遅いんだよ！"""
InvokeSkill3#11,"""消えなっ！"""
PBFull#11,"""いつでもやれるぜ？"""
PBRelease#11,"""食らいやがれ！"""
Avoid#11,"""甘いっ！"""
HealSelf#5,"""どうにか凌ぐぜ。"""
BuffSelf#5,"""ここは慎重に……。"""
HealOther#11,"""まだやれるだろ？"""
BuffOther#11,"""まだまだ働いてもらうぜ。"""
HP30#11,"""まだまだ！"""
HP10#11,"""こいつぁ……。"""
ItemRare#11,"""いいもん出たな！"""
DamageSmall#11,"""かすり傷だ。"""
DamageMiddle#11,"""ぐはぁ……！"""
DamageLarge#11,"""ぐっ……マズいかもしれん。"""
MemberDamaged#11,"""しっかりしろ！"""
MemberDead#11,"""おいおい、ウソだろ!?"""
Resurrect#11,"""信じていたぜ。"""
PartyJoin#20,"""俺が必要だろ？"""
DestroyEnemy1#12,"""いいですね！"""
