r01_gd_flo_wi#0,"""Фван"""
r03_gd_sol_ri#0,"""Стрелок Замус"""
r03_gd_sol_lu#0,"""Замус с п. установкой"""
r03_gd_sol_gs#0,"""Замус Слэш"""
r03_gd_gor_ba#0,"""Сноу Ророн"""
r03_gd_gor_bald#0,"""Сноу Роронкс"""
r03_gd_for_ba#0,"""Фриц"""
r03_gd_bkt_ba#0,"""Риншан"""
r03_gd_abn_ba#0,"""Проктас Эар"""
r03_gd_abn_ba2#0,"""Проктас Ритена"""
r03_gd_hum_cl#0,"""Амс Кроне"""
r03_gd_phe_ba#0,"""Снорк"""
r03_gd_wic_ba#0,"""Рерин"""
r03_gd_pan_ba#0,"""Пангоран"""
r03_gd_gia_ice#0,"""Рейдар с мечом"""
r03_gd_tur_ba#0,"""Крокодарас"""
r03_gd_tur_rai#0,"""Крокодарас Вера"""
r03_gd_hum_ba#0,"""Амс Кварис"""
r03_gd_hum_rai#0,"""Амс Вера"""
r02_gd_god2_ex#0,"""Дарк Фальц"""
r03_alt_sin_ba#0,"""Чирди-дог"""
r03_alt_sin_ba2#0,"""Фридзи-дог"""
r03_alt_dks_ba#0,"""Хиергеро"""
r03_alt_dks_ba2#0,"""Чибетагеро"""
r03_alt_wlf_ba#0,"""Чилдрон"""
r03_alt_wlf_ba2#0,"""Фридзирон"""
r03_alt_cli_ba#0,"""Чилди Курио"""
r03_alt_cli_ba2#0,"""Фриджи Курио"""
r03_alt_hog_ba#0,"""Чилди Хоггу"""
r03_alt_hog_ba2#0,"""Фриджи Хоггу"""
r03_alt_snk_ba#0,"""Чилди Снегг"""
r03_alt_snk_ba2#0,"""Фриджи Снегг"""
r03_alt_tig_ba#0,"""Чилди Роупа"""
r03_alt_tig_ba2#0,"""Фриджи Роупа"""
r03_alt_tao_ba#0,"""Макарайдо"""
r03_ani_rbt_a#0,"""Луми Сани"""
r03_ani_bis_a#0,"""Луми Патт"""
r03_ani_bir_a#0,"""Луми Бади"""
r03_ani_sli_a#0,"""Луми Отарика"""
r03_ani_kit_a#0,"""Луми Фокс"""
r03_ani_rei_a#0,"""Пороро"""
r03_ani_fih_a#0,"""Комманта"""
r03_non_rob_a#0,"""Хобак"""
r01_unk_emp_ba#0,"""Имперэппи"""
r01_unk_emp_babi#0,"""Греторэппи"""
r01_unk_emp_10av#0,"""Церемон. Имперэппи"""
r01_unk_emp_10avbi#0,"""Церемон. Греторэппи"""
r02_gd_kpy_ba#0,"""Икса Буджин"""
r02_alt_cli_ba#0,"""Сава Курио"""
r02_alt_wlf_ba#0,"""Саваурон"""
r02_alt_tis_ba#0,"""Савуди Сайз"""
r01_unk_rap_wi#0,"""Норди Рэппи"""
r02_alt_hog_ba#0,"""Саваин Хогг"""
r02_nat_gdn_ba#0,"""Гардинан Роа"""
r02_nat_wol_sm#0,"""Гальф Дероа"""
r02_nat_wol_bi#0,"""Фонгальф Дероа"""
r02_nat_bir_ba#0,"""Агинис Дероа"""
r02_nat_gma_ba#0,"""Спардан А Роа"""
r02_nat_gma_gu#0,"""Спарган Роа"""
r02_nat_gma_bo#0,"""Спарзайл Роа"""
r02_nat_armma_ba#0,"""Алмаронг"""
r02_nat_can_gu#0,"""Сигноган Роа"""
r02_nat_zmr_rs#0,"""Гилнач Роа"""
r02_nat_hmc_ba#0,"""Дингелл Роа"""
r02_nat_bea_ba#0,"""Дюнбер"""
r01_nat_fan_tmsp#0,"""Санд Банса"""
r02_nat_trf_ba#0,"""Гранмайза"""
r01_unk_tan_ba#0,"""Капитан"""
r01_unk_rap_1ng#0,"""Рэппи годовщины"""
r03_nat_bea_mon#0,"""Йедэ Роа"""
r03_nat_wol_sm#0,"""Гальфур Роа"""
r03_nat_wol_bi#0,"""Фонгальфур Роа"""
r03_nat_bir_ba#0,"""Агинис Зароа"""
r03_nat_armma_ba#0,"""Бризаронго"""
r03_nat_bea_ice#0,"""Кенигс Йедэ"""
r03_nat_fan_icem#0,"""Айс Банса"""
r03_nat_fan_icef#0,"""Айс Банши"""
r03_alt_hog_sm#0,"""Чирудин Хенджи"""
r03_alt_hog_sm2#0,"""Фриджин Хенджи"""
r03_alt_tao_ba2#0,"""Макарайдер"""
r01_nat_bea_robi#0,"""Рокбер Гео"""
r03_gd_mrt_ba#0,"""Римоотас"""
r04_gd_zrf_ba#0,"""Нилс Стиа"""
r04_gd_zrf_rai#0,"""Нилс Вера"""
r01_gd_dra_cm#0,"""Некс"""
r04_gd_flo_fl#0,"""Лава Фван"""
r04_gd_pyc_ba#0,"""Лава Тинос"""
r03_nat_mam_sm#0,"""Мармос Роа"""
r03_nat_mam_de#0,"""Зо Мармос"""
r03_gd_ksg_ba#0,"""Вардиас"""
r03_gd_rkt_ba#0,"""Биттс"""
r04_gd_mtl_ba#0,"""Лава Метиус"""
r04_gd_leg_ba#0,"""Страдис"""
r04_gd_sip_ba#0,"""Брезентос"""
r04_ani_rbt_a#0,"""Флам Сани"""
r04_ani_brs_a#0,"""Флам Патт"""
r04_ani_bir_a#0,"""Флам Бади"""
r04_ani_sli_a#0,"""Флам Отарика"""
r04_ani_kit_a#0,"""Флам Фокс"""
r04_ani_rei_a#0,"""Флам Пороро"""
r04_ani_fih_a#0,"""Флам Комманта"""
r04_gd_god3_ba#0,"""Дарк Фальц Эджис"""
r04_gd_ufo_gr#0,"""Даретт Атакер"""
r04_gd_ufo_fl#0,"""Даретт Шутер"""
r04_alt_bat_ba#0,"""Фрейрей"""
r04_alt_bat_ba2#0,"""Санда Рей"""
r04_alt_chk_ba#0,"""Коваадори"""
r04_alt_crb_ba#0,"""Базальпион"""
r04_alt_nod_ba#0,"""Слагхед"""
r04_alt_shp_ba#0,"""Рокханд"""
r04_alt_shp_ba2#0,"""Штайнханд"""
r04_alt_slm_ba#0,"""Бовакрору"""
r04_alt_slm_th#0,"""Бигакрору"""
r04_alt_tat_ba#0,"""Криснакл"""
r04_alt_vdr_ba#0,"""Дарк Ремнас"""
r04_alt_vdr_ba2#0,"""Волт Ремнас"""
r04_gd_mog_ba#0,"""Дордрис"""
r04_gd_mog_rai#0,"""Дордрис Вера"""
r04_gd_nyb_ba#0,"""Энгоку"""
r04_gd_pun_ba#0,"""Бустас"""
r04_gd_sol_ax#0,"""Газас мечник"""
r04_gd_sol_ri#0,"""Газас стрелок"""
r04_gd_sol_lu#0,"""Газас с п. установкой"""
r04_gd_sol_gs#0,"""Газас Слэш"""
r04_gd_gor_ba#0,"""Лава Ророн"""
r04_gd_gor_bald#0,"""Лава Ророкс"""
r04_gd_for_ba#0,"""Ваниц"""
r04_gd_akm_ba#0,"""Дарк Магирус"""
r02_gd_kic_wi#0,"""Керкунд"""
r01_gd_ktn_wi#0,"""Буджин"""
r04_gd_box_ba#0,"""Блазнаглс"""
r03_gd_sol_swbo#0,"""Бользамус мечник"""
r03_gd_sol_ribo#0,"""Бользамус стрелок"""
r01_unk_emp_mo#0,"""Цукими Имперэппи"""
r01_unk_emp_mobi#0,"""Цукими Греторэппи"""
r01_gd_dra_old#0,"""Некс Эарио"""
r01_unk_emp_atm#0,"""Яоро Имперэппи"""
r01_unk_emp_atmbi#0,"""Яоро Греторэппи"""
r01_unk_tan_kn#0,"""Кинг Капитан"""
r04_alt_nod_ba2#0,"""Маггхэд"""
r04_alt_wlf_ba#0,"""Даск Рон"""
r04_alt_tis_ba#0,"""Даск Сайз"""
r04_alt_dvs_ba#0,"""Даск Краб"""
r04_alt_tkm_ba#0,"""Гринбер"""
r04_nat_armma_ba#0,"""Волгаронго"""
r01_unk_rap_atm#0,"""Яоро Рэппи"""
r01_unk_rap_ud1#0,"""DOLLS Рэппи"""
r01_unk_rap_ud2#0,"""Спеку Рэппи"""
r04_gd_nyb_ex#0,"""Икса Энгоку"""
r04_nat_rpt_ba#0,"""Дигг Роа"""
r04_nat_frp_sh#0,"""Сол Дигалла Роа"""
r04_nat_dwl_sm#0,"""Нодиран Роа"""
r04_nat_dwl_ba#0,"""Фодоран Роа"""
r04_nat_dbt_ba#0,"""Баридран Роа"""
r04_gd_gia_fl#0,"""Фрейдал Мечник"""
r05_stl_sls_ba#0,"""Дарк Фальц Соулс"""
r04_nat_bea_ba#0,"""Волгбер"""
r04_nat_gdn_ba#0,"""Гардинан Вороа"""
r04_nat_wol_sm#0,"""Гальф Вороа"""
r04_nat_wol_bi#0,"""Фонгальф Вороа"""
r04_nat_bir_ba#0,"""Агинис Вороа"""
r04_nat_gma_ba#0,"""Спардан А Вороа"""
r04_nat_gma_gu#0,"""Спарган Вороа"""
r04_nat_can_gu#0,"""Сигноган Вороа"""
r01_unk_emp_ch#0,"""Санта Имперэппи"""
r04_non_scr_a#0,"""Скаут Васп"""
r04_non_trt_a#0,"""БиихайвＥ"""
r01_unk_emp_chbi#0,"""Санта Греторэппи"""
r01_unk_emp_wi#0,"""Норди Имперэппи"""
r01_unk_emp_wibi#0,"""Норди Греторэппи"""
r05_stl_mtl_ba1#0,"""Усиленные металлами"""
r04_nat_cry_ba#0,"""Кварц. Скордин"""
r01_unk_emp_ea#0,"""Фуруру Имперэппи"""
r01_unk_emp_eabi#0,"""Фуруру Греторэппи"""
r05_gd_gho_ba#0,"""Марионес"""
r05_stl_solri_ba#0,"""Барог стрелок"""
r05_stl_solsw_ba#0,"""Барог мечник"""
r01_alt_wlf_bi#0,"""Ваурон Гео"""
r01_nat_armma_bi#0,"""Гаронго Гео"""
r04_non_dro_a#0,"""Хай-Дром"""
r05_stl_pnr_ba#0,"""Халварди"""
r05_stl_mrt_ba1#0,"""Бал Бреда"""
r05_stl_bbd_ba#0,"""Анзу"""
r03_gd_hum_1ng#0,"""Амс"""
r03_gd_hum_cm#0,"""Амс"""
r05_stl_box_ba1#0,"""Равид"""
r05_gd_zft_ba#0,"""Веногия"""
r05_gd_zft_str#0,"""Джепетто Веногия"""
r05_gd_zft_rai#0,"""Веногия Вера"""
r04_gd_god3_str#0,"""Дарк Фальц Эджис"""
r05_stl_bkt_ba1#0,"""Граджибон"""
r05_rem_spi_ba#0,"""Руино Ранга"""
r05_rem_dhu_ba#0,"""Руино Хунар"""
r05_stl_leg_ba1#0,"""Дрангерад"""
r05_stl_cas_el1#0,"""Варзагга"""
r05_stl_mzc_ba#0,"""Зеревин"""
r05_stl_krb_ba#0,"""Драйверуз"""
r05_rem_bhu_ba#0,"""Руино Ангел"""
r05_rem_ctl_ba#0,"""Руион Рингада"""
r05_stl_ktn_ba1#0,"""Расэцу"""
r05_stl_gia_ba1#0,"""Херзиг"""
r05_stl_ins_ba1#0,"""Элиминейда"""
r05_non_myt_a#0,"""Волгарис"""
r05_stl_pyc_ba#0,"""Волга"""
r00_unknownenemy#0,"""？？？？？"""
r05_stl_sip_ba1#0,"""Максванг"""
r05_stl_pnr_rai#0,"""Халварди Вера"""
r01_unk_emp_ha#0,"""Торито Имперэппи"""
r01_unk_emp_habi#0,"""Торито Греторэппи"""
r03_nat_bea_icbi#0,"""Кенигс Йедэ Гео"""
r01_unk_rap_wi2#0,"""Сном Рэппи"""
r01_unk_emp_wi2#0,"""Сном Имперэппи"""
r01_unk_emp_wi2bi#0,"""Сном Греторэппи"""
r05_stl_kic_ba1#0,"""Рингэджи"""
r05_stl_pan_ba1#0,"""Гирузейва"""
r05_stl_wic_ba1#0,"""Прутинед"""
EnemyTitleRareEnemyGti#0,"""Золотой """
EnemyTitleRareEnemySti#0,"""Серебрянный """
EnemyTitleStrongEnemy#0,"""Отчаявшийся """
EnemyTitleRegionBossEnemy#0,"""Ветеран """
EnemyTitleHighRankEnemy#0,"""Элитный """
EnemyTitleSeasonEaster1#0,"""Танцующий танец цветов """
EnemyTitleSeasonAnnivNGS1#0,"""Сверкающий словно звезда """
EnemyTitleFrozenAncientEnemy#0,"""Вечный """
EnemyTitleSeasonMoon1#0,"""Древних времён """
EnemyTitleSeasonWinter1#0,"""Подснежник """
EnemyTitleMobileForceEnemy#0,"""Отчаявшийся """
EnemyTitleNightmareBoss#0,"""Неукротимый """
EnemyTitleSeasonAnnivPSO21#0,"""Годовой """
EnemyTitleGrowUpFloorBoss#0,"""Странно-вторгнувшийся """
EnemyTitleGrowUpBuffEnemy#0,"""Вторгнувшийся с изменениями """
EnemyTitleHighDread#0,"""Внезапно-атаковавший """
EnemyTitleStrongRaidEnemy#0,"""Глубокого бедствия """
All#0,"""Один из врагов"""
Generic#0,"""Враги"""
God#0,"""*DOLLS"""
Alter#0,"""Альтеры"""
Another#0,"""Супер пространственно-временные"""
Animal#0,"""Теймз"""
Natural#0,"""Фомаз"""
Independent#0,"""Без принадлежности"""
Starless#0,"""Старлессы"""
Remnants#0,"""Руинусы"""
SwordPA01#0,"""*Spiral Edge """
SwordPA02#0,"""*Twist Zapper """
SwordPA03#0,"""*Streak Calibur """
WlancePA01#0,"""*Cutting Layer """
WlancePA02#0,"""*Vane Mixture """
WlancePA03#0,"""*Turbulence Train """
PartisanPA01#0,"""*Scythe Ripper """
PartisanPA02#0,"""*Stab Javelin """
PartisanPA03#0,"""*Fatal Tornado """
TdaggerPA01#0,"""*Vulture Moment """
TdaggerPA02#0,"""*Hell's Escort """
TdaggerPA03#0,"""*Pirouette Ripper """
DsaberPA01#0,"""*Julienne Dance """
DsaberPA02#0,"""*Unchained Circle """
DsaberPA03#0,"""*Quick Gash """
KnucklePA01#0,"""*Swift Rush """
KnucklePA02#0,"""*Thousand Blows """
KnucklePA03#0,"""*Tri-Drive """
RiflePA01#0,"""*Raging Shot """
RiflePA02#0,"""*Homing Dart """
RiflePA03#0,"""*Blaze Shot """
LauncherPA01#0,"""*Fallen Impact """
LauncherPA02#0,"""*Fear Eraser """
LauncherPA03#0,"""*Multiple Launch """
MachinegunPA01#0,"""*Bullet Rave """
MachinegunPA02#0,"""*Aimless Rain """
MachinegunPA03#0,"""*Close Bullet """
Fire01#0,"""*Foie """
Fire02#0,"""*Gifoie """
Ice01#0,"""*Barta """
Ice02#0,"""*Gibarta """
Thunder01#0,"""*Zonde """
Thunder02#0,"""*Gizonde """
Wind01#0,"""*Zan """
Wind02#0,"""*Gizan """
Light01#0,"""*Grants """
Light02#0,"""*Gigrants """
Dark01#0,"""*Megid """
Dark02#0,"""*Gimegid """
WandPA01#0,"""*Rapid Smash """
WandPA02#0,"""*Wave Hit """
TalisPA01#0,"""*Perforated Shoot """
TalisPA02#0,"""*Spread Feather """
KatanaPA01#0,"""*Hayate-tsuwabuki """
KatanaPA02#0,"""*Ayame-reppu """
KatanaPA03#0,"""*Fuyo-tenrai """
CompoundBowPA01#0,"""*Flex Arrow """
CompoundBowPA02#0,"""*Frenzy Squib """
CompoundBowPA03#0,"""*Dimensional Ray """
JetBootsPA01#0,"""*Spinning Gust """
JetBootsPA02#0,"""*Violent Gale """
JetBootsPA03#0,"""*Fierce Wave """
DbladePA01#0,"""*Stork Distraction """
DbladePA02#0,"""*Harrier Rampage """
DbladePA03#0,"""*Rolling Pheasant """
SwordPA04#0,"""*Relentless Cleave """
WlancePA04#0,"""*Hellish Fall """
PartisanPA04#0,"""*Triumph Shift """
TdaggerPA04#0,"""*Limber Figure """
DsaberPA04#0,"""*Sky Climb """
KnucklePA04#0,"""*Backhand Strike """
RiflePA04#0,"""*Revolt Aim """
LauncherPA04#0,"""*Divine Impact """
MachinegunPA04#0,"""*Infinite Richochet """
KatanaPA04#0,"""*Hyuga-sendan """
CompoundBowPA04#0,"""*Ceaseless Draw """
JetBootsPA04#0,"""*Surging Impulse """
DbladePA04#0,"""*Raving Falcon """
TaktPA01#0,"""*Fredran Brace """
TaktPA02#0,"""*Fredran Riding """
TaktPA03#0,"""*Wulfer Demolition """
TaktPA04#0,"""*Wulfer Raid """
GunslashPA01#0,"""*Shifting Spica """
GunslashPA02#0,"""*Flowing Sirius """
GunslashPA03#0,"""*Leaping Regulus """
GunslashPA04#0,"""*Waving Rigel """
SwordPA01#1,"""Фотон Арт меча.<br>С вращением меча поднимаетесь вверх и наносите<br>рубящий удар.<br>При зарядке увеличивается мощность."""
SwordPA02#1,"""Фотон Арт меча.<br>Атакуете, вращаясь в сторону врага.<br>При зарядке количество вращений увеличивается."""
SwordPA03#1,"""Фотон Арт меча.<br>При активации, можно выпускать мощные рубящие<br>атаки до 3х раз.<br>При зарядке увеличится количество ударов."""
WlancePA01#1,"""Фотон Арт цепных лэнсов.<br>Запускает лэнсы прямо перед собой во всех<br>направлениях, многократно пронизывая цели на<br>обширной области."""
WlancePA02#1,"""Фотон Арт цепных лэнсов.<br>Вращается и прорубает врагов, прежде чем нанести<br>мощный финальный удар."""
WlancePA03#1,"""Фотон Арт цепных лэнсов.<br>С помощью атаки поднимается в воздух и наносит<br>восходящие и низходящие удары за счёт центробежной<br>силы."""
PartisanPA01#1,"""Фотон Арт протазанов.<br>Стремительная горизонтальная атака, косящая врагов.<br>Зарядка увеличивает силу."""
PartisanPA02#1,"""Фотон Арт протазанов.<br>Совершает большой бросок по дуге, который запускает<br>протазан в цель.<br>Нажмите и удерживайте для непрерывного толчка и<br>закончите броском, когда ваше РР истощится."""
PartisanPA03#1,"""Фотон Арт протазанов.<br>С помощью атаки поднимается в воздух и наносит удары<br>за счёт центрабежной силы."""
TdaggerPA01#1,"""Фотон Арт парных кинжалов.<br>Проводит молниеносную серию атак.<br>Атака меняется в зависимости от ветки Фотон Арта."""
TdaggerPA02#1,"""Фотон Арт парных кинжалов.<br>Совершает выпад и пронзает врагов перед собой, а<br>затем переворачивается, чтобы нанести удар сзади.<br>Атака меняется в зависимости от ветки Фотон Арта."""
TdaggerPA03#1,"""Фотон Арт парных кинжалов.<br>Спиральный подъём, пронзающий ближайших врагов."""
DsaberPA01#1,"""Фотон Арт двойной глефы.<br>Вращаясь в неистовом танце серией атак наносит удары<br>по врагам.<br>Атака меняется в зависимости от ветки Фотон Арта."""
DsaberPA02#1,"""Фотон Арт двойной глефы.<br>Ваше оружие кружит вокруг вас, уничтожая окружающих<br>врагов.<br>Атака меняется в зависимости от ветки Фотон Арта."""
DsaberPA03#1,"""Фотон Арт двойной глефы.<br>Обрушивает перед собой молниеносную серию ударов.<br>Атака меняется в зависимости от ветки Фотон Арта."""
KnucklePA01#1,"""Фотон Арт кастетов.<br>С мгновенным сокращением расстояния до противника,<br>наносите мощные непрерывные атаки."""
KnucklePA02#1,"""Фотон Арт кастетов.<br>Бьёте бесчисленными ударами кулаков перед собой, и,<br>в завершение, наносите мощный удар."""
KnucklePA03#1,"""Фотон Арт кастетов.<br>Прорываетесь и наносите мощные удары."""
RiflePA02#1,"""Фотон Арт винтовки.<br>Выпускаете особые пули, летящих прицельно в<br>нескольких врагов в поле зрения."""
RiflePA03#1,"""Фотон Арт винтовки.<br>Избегая вражеских атак, ведёте огонь по цели на<br>большой скорости.<br>При зажатии, пока есть РР, продолжается непрерывная<br>стрельба."""
LauncherPA01#1,"""Фотон Арт пусковой установки.<br>Запускает взрывной снаряд, падающий с неба на точку<br>взятую в прицел (lock-on) после заданного времени."""
LauncherPA02#1,"""Фотон Арт пусковой установки.<br>Выпускает мощный фотонный лазер.<br>При нажатии и зажатии кнопки, запускается непрерывный<br>луч, который становится самонаводящимся лазером,<br>пока не иссякнут РР."""
LauncherPA03#1,"""Фотон Арт пусковой установки.<br>Стреляет по противнику непрерывным сосредоточенным<br>залпом разрывных снарядов.<br>При нажатии и зажатии активируется непрерывный<br>огонь, пока не иссякнут РР."""
MachinegunPA01#1,"""Фотон Арт парных ПП.<br>Стреляете по врагу очередями и, под конец,<br>выстреливает мощным концентрированным снарядом."""
MachinegunPA02#1,"""Фотон Арт парных ПП.<br>При скоростном вращении тела, стреляет пулями<br>в окружающих врагов."""
MachinegunPA03#1,"""Фотон Арт парных ПП.<br>Быстро подступает в плотную к врагу и поражает<br>мощной пулей."""
Fire01#1,"""Техника огня.<br>Реагируя на окружающие фотоны, формирует огненный<br>шар и стреляет им.<br>При зарядке меняется поведение техники."""
Fire02#1,"""Техника огня.<br>Реагируя на окружающие фотоны, формирует вокруг<br>себя вихрь пламени.<br>При зарядке меняется поведение техники."""
Ice01#1,"""Техника льда.<br>Реагируя на окружающие фотоны, формирует кусок<br>льда и стреляете им.<br>При зарядке меняется поведение техники."""
Ice02#1,"""Техника льда.<br>Реагируя на окружающие фотоны, формирует спереди<br>ледяной заслон.<br>При зарядке увеличивается мощность."""
Thunder01#1,"""Техника молнии.<br>Реагируя на окружающие фотоны, в выбранном месте<br>вызывает молнию.<br>При зарядке увеличивается мощность."""
Thunder02#1,"""Техника молнии.<br>Реагируя на окружающие фотоны, создаёт область,<br>которая периодически вызывает удары грозы по одному<br>из врагов.<br>При зарядке меняется поведение техники."""
Wind01#1,"""Техника ветра.<br>Выстреливавет лезвием ветра.<br>При зарядке меняется поведение техники."""
Wind02#1,"""Техника ветра.<br>Создаёт торнадо.<br>При зарядке увеличивается мощность."""
Light01#1,"""Техника света.<br>Сбрасывает меч света.<br>При зарядке меняется поведение техники."""
Light02#1,"""Техника света.<br>Рассекает вокруг себя световым мечом.<br>При зарядке меняется поведение техники."""
Dark01#1,"""Техника тьмы.<br>Выпускает вперёд заряд тёмных фотонов.<br>При зарядке меняется поведение техники."""
Dark02#1,"""Техника тьмы.<br>Создаёт взрыв тёмных фотонов.<br>При зарядке увеличивается мощность."""
WandPA01#1,"""Фотон Арт ванда.<br>Быстро приближается к врагу и наносит мощный удар.<br>При зарядке увеличивается сила удара."""
WandPA02#1,"""Фотон Арт ванда.<br>Ударяет по земле, нанося ударными волнами урон<br>по врагам.<br>При зарядке увеличивается сила удара."""
TalisPA01#1,"""Фотон Арт талиса.<br>Выпускает фотоны перед собой и развёртывает талис.<br>Во время развёртывания талиса поведение техник<br>изменится."""
TalisPA02#1,"""Фотон Арт талиса.<br>Высвобождает фотоны вокруг себя и развёртывает талис.<br>Во время развёртывания талиса поведение техник<br>изменится."""
KatanaPA01#1,"""Фотон Арт катаны.<br>При постоянном использовании действие меняется.<br>Вытаскивает клинок и наносит удар. Дважды вперёд,<br>а затем ещё 2 раза. Следом завершающий удар."""
