Title_Partyselect#0,"""Selección de Grupo"""
BattlePointNum#0,"""$(0)～"""
Title_Quest_Reward_3#0,"""Recompensa de misión"""
AttentionNewRoom#0,"""クエストを受注します。<br><br>クエストのマッチングはキャンセルされ、<br>受注中のクエストは破棄されます。<br>よろしいですか？"""
OrdersOptionBlock3#0,"""マッチングを開始する"""
NoMust_Quest_Conditions#0,"""Ninguno"""
Title_TargetEnemy_Unknown#0,"""？？？"""
BattlePoint_Limit#0,"""Nivel de poder: $(0) o +"""
level#0,"""Lv."""
Title_Quest_Clear_Failure_dot#0,"""クリア条件：$(0)<br>失敗条件：$(1)"""
BattlePoint_Limit_Red#0,"""<yellow>戦闘力$(0)以上<c>"""
Level_Limit#0,"""Lv.$(0)以上"""
Level_Limit_Red#0,"""<yellow>Lv.$(0)以上<c>"""
Must_Parem_Text_Red#0,"""<yellow>推奨能力値以上<c>"""
Must_Parem_Text#0,"""推奨能力値以上"""
Btn_Quest_Order_Leader#0,"""クエストを開始する"""
Btn_Quest_Order_Member#0,"""ひとりでクエストを開始する"""
EnemyLvTitle#0,"""出現エネミーLv."""
EnemyLv#0,"""Lv.$(0)"""
EnemyLvWarning#0,"""<yellow>Lv.$(0)<c>"""
EnemyLvATTENTIONTitle#0,"""クエスト受注の確認"""
EnemyLvATTENTION#0,"""クエスト中に出現するエネミーよりも、<br>レベルが５以上低いメンバーがいます。<br><br>クエストを開始してもよろしいですか？<br><br><yellow>※エネミーレベルよりも<br>\u3000プレイヤーレベルが５以上低い場合は、<br>\u3000与えるダメージが大きく減少します。<c>"""
EnemyLvATTENTION2#0,"""クエスト中に出現するエネミーよりも、<br>レベルが$(0)以上低いメンバーがいます。<br><br>クエストを開始してもよろしいですか？<br><br><yellow>※エネミーレベルよりも<br>\u3000プレイヤーレベルが$(0)以上低い場合は、<br>\u3000与えるダメージが大きく減少します。<c>"""
None#0,"""不明なエラーです。<br><br>[No.3000]"""
NotReceptQuestPartyGuest#0,"""あなたはパーティーリーダーではないため<br>クエストを受注できません。"""
NotReceptQuestAlreadyQuest#0,"""あなたはパーティーリーダーではないため<br>クエストを受注できません。<br>（すでにクエストが始まっています。<br>出発ゲートに向かうことをおすすめします）"""
NotFoundQuestSearch#0,"""条件に当てはまるクエストが<br>見つかりませんでした。"""
NotFoundRoomSearch#0,"""条件に当てはまるルームが<br>見つかりませんでした。"""
NotFoundPartyList#0,"""パーティーが見つかりませんでした。"""
NotFoundQuestType#0,"""受注可能なクエストがありません。"""
NotFoundQuestList#0,"""受注可能なクエストがありません。"""
CantStartQuestNotFoundRoom#0,"""対象ルームが見つからなかったため<br>クエストを開始できません。"""
CantStartQuestCapacityOverRoom#0,"""ルームの人数オーバーのため参加できません。"""
CantStartQuestCapacityOverRoom2#0,"""\u3000ルームの人数オーバーのため参加できません。<br>\u3000人数にはルームに参加予定のプレイヤーも含んでおり、<br>\u3000参加人数に反映されていない場合があります。<br>\u3000<br>\u3000<yellow>※参加予定の有効期限は1分ですので、<br>\u3000\u3000時間を置いて再度お試しいただくことで、<br>\u3000\u3000参加可能となる場合もあります。<c>"""
CantStartQuestNewRaidQuest#0,"""パーティーメンバーが<br>参加条件であるエネミーを倒していないため、<br>クエストを受注できません。"""
CantStartQuestNotNotFoundParty#0,"""対象パーティーが見つからなかったため、<br>クエストを開始できません。"""
CantStartQuestCapacityOverParty#0,"""パーティーの人数オーバーのため参加できません。"""
CantStartQuestDifferencePasswordParty#0,"""パスワードが間違っているため参加できません。"""
CantStartQuestAlreadyFinished#0,"""このパーティーは<br>すでにクエストを終了しているため、<br>参加できません。"""
CautionNotSoloParty#0,"""現在パーティーを組んでいるため<br>他のブロックに移動することはできません。"""
CantStartQuestDifferenceCondition#0,"""このパーティーの参加条件を満たしていないため、<br>参加できません。"""
CantStartQuestDifferenceConditionLine1#0,"""Debido a las siguientes razones a continuación,<br>no puedes unirte a un grupo ni recibir misiones:<br><br>・$(0)"""
CantStartQuestDifferenceConditionLine2#0,"""Debido a las siguientes razones a continuación,<br>no puedes unirte a un grupo ni recibir misiones:<br><br>・$(0)<br>・$(1)"""
CantStartQuestDifferenceConditionLine3#0,"""Debido a las siguientes razones a continuación,<br>no puedes unirte a un grupo ni recibir misiones:<br><br>・$(0)<br>・$(1)<br>・$(2)"""
CantStartQuestDifferenceConditionLine4#0,"""Debido a las siguientes razones a continuación,<br>no puedes unirte a un grupo ni recibir misiones:<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)"""
CantStartQuestDifferenceConditionLine5#0,"""Debido a las siguientes razones a continuación,<br>no puedes unirte a un grupo ni recibir misiones:<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)<br>・$(4)"""
CantStartQuestDifferenceConditionLine6#0,"""Debido a las siguientes razones a continuación,<br>no puedes unirte a un grupo ni recibir misiones:<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)<br>・$(4)<br>・$(5)"""
CantStartQuestDifferenceConditionLine7#0,"""Debido a las siguientes razones a continuación,<br>no puedes unirte a un grupo ni recibir misiones:<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)<br>・$(4)<br>・$(5)<br>・$(6)"""
CantStartQuestDifferenceConditionLine8#0,"""Debido a las siguientes razones a continuación,<br>no puedes unirte a un grupo ni recibir misiones:<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)<br>・$(4)<br>・$(5)<br>・$(6)<br>・$(7)"""
QuestLevel#0,"""<pict mainclass_icon>Lv.$(0)～"""
PartyLevel#0,"""Condicion de nivel de participación/Nv.$(1)～$(0)"""
FriendOnly#0,"""Solo Amigos"""
GuildOnly#0,"""Solo Team"""
PasswordNG#0,"""Contraseña incorrecta"""
BurstIntoNG#0,"""Participación restringida"""
ReasonEventFlag#0,"""Condiciones especiales de pedido"""
RareAreaNG#0,"""El grupo se encuentra en una zona especial"""
CantStartQuestTimeLimitOver#0,"""El período de la orden de misión ha expirado."""
CapacityOverParty#0,"""Límite de Grupo alcanzado"""
PlatformError#0,"""Restricciones de la plataforma"""
RaidQuestDisable#0,"""参加条件であるエネミーを倒していない"""
NotFoundPartyListtInBasnet#0,"""パーティーが見つかりませんでした。"""
CantStartQuestClearCountLimit#0,"""パーティーメンバーが<br>クエストのクリア回数制限を超えているため、<br>参加できません。"""
QuestSubLevel#0,"""<pict subclass_icon>Lv.$(0)～"""
ClearCountLimit#0,"""クエストのクリア回数制限を超えている"""
CantStartQuestIgnoreQuest#0,"""このクエストは現在、受注できません。 <br>詳しくはプレイヤーズサイトをご確認ください。"""
IgnoreQuest#0,"""このクエストは現在、受注できません。 <br>詳しくはプレイヤーズサイトをご確認ください。"""
QuestDropPenalty#0,"""「破棄ペナルティー」を受けているメンバーがいます。"""
CantStartQuestDropPenalty#0,"""Debido a las siguientes razones a continuación, no puedes unirte a un grupo ni recibir misiones:<br><br>・Un miembro de tu grupo ha recibido una penalización por abandonar una misión."""
CantStartProhibitQuestDropTitleCnt#0,"""Terminal del menú de pedidos de misiones"""
CantStartProhibitQuestDropTitleTlp#0,"""Teletransportador"""
CantStartProhibitQuestDropForStart#0,"""actualmente no disponible"""
TitleConfirmForQuest#0,"""Confirmación del pedido de la misión"""
CautionNon#0,"""Error desconocido"""
CautionQuestLimitTimeOver#0,"""クエストの受注可能期間が過ぎています。"""
CautionQuestLevelNG#0,"""クエスト受注条件を満たしていません。"""
CautionQuestLevelNG2#0,"""パーティーメンバー全員が<br>以下の条件を満たしていないため<br>このクエストは受注できません。<br><br>・Lv.$(0)～"""
CautionQuestPartyMemberMax#0,"""パーティーメンバーが$(0)人以上いるため<br>このクエストは受注できません。"""
CautionQuestPartyMemberJoinMax#0,"""参加可能人数が$(0)人以内の<br>クエストを受注中のため<br>このパーティーに参加できません。"""
CautionQuestPlatform#0,"""パーティーメンバー全員が<br>以下の受注条件を満たしていないため<br>このクエストは受注できません。<br><br>・$(0)"""
CautionQuestRaidQuest#0,"""クエスト条件を満たしていないため、<br>受注できません。"""
CautionMultiConditionLine1#0,"""パーティーメンバー全員が<br>以下の条件を満たしていないため<br>このクエストは受注できません。<br><br>・$(0)"""
CautionMultiConditionLine2#0,"""パーティーメンバー全員が<br>以下の条件を満たしていないため<br>このクエストは受注できません。<br><br>・$(0)<br>・$(1)"""
CautionMultiConditionLine3#0,"""パーティーメンバー全員が<br>以下の条件を満たしていないため<br>このクエストは受注できません。<br><br>・$(0)<br>・$(1)<br>・$(2)"""
CautionMultiConditionLine4#0,"""パーティーメンバー全員が<br>以下の条件を満たしていないため<br>このクエストは受注できません。<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)"""
CautionMultiConditionLine5#0,"""パーティーメンバー全員が<br>以下の条件を満たしていないため<br>このクエストは受注できません。<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)<br>・$(4)"""
CautionQuestClearCountLimit#0,"""クエストのクリア回数制限を超えているため、<br>このクエストは受注できません。"""
CautionNothingQuest#0,"""このクエストタイプのクエストは現在１つもありません。"""
NotFoundQuestRecord#0,"""クエストレコードが存在しません。"""
CantStartQuestNewNetCafeQuest#0,"""パーティーメンバーが<br>ネットカフェプレミアムではないため、<br>クエストを受注できません。"""
CantStartQuestOutExtraQuest#0,"""このクエストのキャンペーン対象期間は終了しました。<br>クエストを再受注してください。"""
CantStartQuestInExtraQuest#0,"""このクエストがキャンペーン対象期間になりました。<br>クエストを再受注してください。"""
CantStartCapacityOverInTraning#0,"""練習クエストを開始できませんでした。<br>移動先のブロックが混雑している場合は<br>しばらく時間をあけてからお試しください。<br><br>※練習クエストは所属シップの<br>\u3000\u3000チャレンジブロックで行われます。"""
