IncidentJsApcBegin#0,"""APC共闘開始"""
IncidentJsApcBegin#4,"""/mn6 /ci2 2 す、すみません。<br>ここ、敵さんがいっぱいなんです。<br>手伝ってもらえませんか！"""
IncidentJsApcSuccess#4,"""/mn15 /ci2 1 やったぁ！\u3000やりましたねっ！<br>ありがとうございました！<br>本当に助かりましたっ！"""
IncidentJsApcFailure#4,"""/mn7 Sorry... It's impossible to continue the battle. Let me retreat. Porfavor forgive me!"""
IncidentJsApcBeginEvo#4,"""/mn2 /ci2 2 うわわっ、すっごい反応です！<br>これはおっきな敵さんが<br>出てきそうですよ！"""
IncidentJsApcSuccessEvo#4,"""/mn15 /ci2 1 やったぁ！\u3000やりましたねっ！<br>ありがとうございました！<br>本当に助かりましたっ！"""
IncidentJsApcBegin#5,"""/ci4 5 ああ、キミか。<br>よければ手伝ってくれないかな？<br>何分数が多くて面倒でね。"""
IncidentJsApcSuccess#5,"""/ci2 1 よし、これで終わりだな。<br>いいデータも取れた、感謝するよ。"""
IncidentJsApcFailure#5,"""すまないが、撤退させてもらうよ。<br>こんなところで無理をしても<br>何の得にもならないだろうからね。"""
IncidentJsApcBeginEvo#5,"""/ci4 5 ふむ……この反応は、新手か。<br>まあ、気をつけていこうじゃないか。"""
IncidentJsApcSuccessEvo#5,"""/ci2 1 よし、これで終わりだな。<br>いいデータも取れた、感謝するよ。"""
IncidentJsApcBegin#6,"""/ci2 1 A-aaah! You came at the perfect time! Help, Porfavor help me!"""
IncidentJsApcSuccess#6,"""/ci2 1 ふぅー……な、なんとか無事で<br>終わってくれたようで、よかったです。<br>ありがとうございます。助かりました。"""
IncidentJsApcFailure#6,"""うう……先生を探していただけなのに<br>どうしてこんなことに……<br>撤退させてもらいます……"""
IncidentJsApcBeginEvo#6,"""/ci4 1 こ、この反応って……新手！？<br>うう、早く逃げたい……<br>逃げちゃいましょうよ……"""
IncidentJsApcSuccessEvo#6,"""/ci2 1 ふぅー……な、なんとか無事で<br>終わってくれたようで、よかったです。<br>ありがとうございます。助かりました。"""
IncidentJsApcBegin#7,"""/ci2 1 やれやれ、見ちゃいられないね。<br>乗りかかった船ってやつだ<br>少しばかり手伝ってあげるよ。"""
IncidentJsApcSuccess#7,"""/ci2 3 ま、こんなものかな。<br>それなりに楽しませてもらったよ。<br>それじゃあね。"""
IncidentJsApcFailure#7,"""うーん……調子が出ないね。<br>一度戻って、身体の調子を<br>確かめた方がいいか……"""
IncidentJsApcBeginEvo#7,"""/ci1 2 おや、これだけやられても<br>こりないようだね。"""
IncidentJsApcSuccessEvo#7,"""/ci2 3 ま、こんなものかな。<br>それなりに楽しませてもらったよ。<br>それじゃあね。"""
IncidentJsApcBegin#8,"""/toge /ci3 1 ……まったく、見てられない！<br>手伝ってあげるから、さっさと<br>こいつら、片付けるわよ！"""
IncidentJsApcSuccess#8,"""/ci2 2 一丁上がり、っと。<br>……あたし、もう行くから<br>あんまり無理しないようにね。"""
IncidentJsApcFailure#8,"""むぅ……あたしもまだ未熟、か。<br>ごめんなさい、先に退くわ。"""
IncidentJsApcBeginEvo#8,"""APC共闘発展開始"""
IncidentJsApcSuccessEvo#8,"""/ci2 2 一丁上がり、っと。<br>……あたし、もう行くから<br>あんまり無理しないようにね。"""
IncidentJsApcBegin#9,"""/ci2 2 おっ、丁度良いところに<br>少し手伝って貰えるかな？"""
IncidentJsApcSuccess#9,"""/ci2 2 よーし、終わったっと<br>ありがとね、助かったよ"""
IncidentJsApcFailure#9,"""あっちゃあ……<br>これ以上は厳しいね<br>撤退させてもらうよ"""
IncidentJsApcBeginEvo#9,"""/ci4 5 おやおや？<br>まだ来るみたいだねえ"""
IncidentJsApcSuccessEvo#9,"""/ci2 2 よーし、終わったっと<br>ありがとね、助かったよ"""
IncidentJsApcBegin#10,"""/ci4 5 ……丁度良いところに来たわね。<br>少し敵の数が多いの、手伝って。"""
IncidentJsApcSuccess#10,"""/ci1 5 ……私一人じゃ危なかったと思う。<br>だから、ちゃんとお礼は言うわ。<br>……ありがとう。"""
IncidentJsApcFailure#10,"""……ごめんなさい、これ以上は<br>戦えない。撤退します。"""
IncidentJsApcBeginEvo#10,"""/ci4 5 ……新手が来そう。<br>注意して、しっかり準備を。"""
IncidentJsApcSuccessEvo#10,"""/ci1 5 ……私一人じゃ危なかったと思う。<br>だから、ちゃんとお礼は言うわ。<br>……ありがとう。"""
IncidentJsApcBegin#11,"""/ci2 1 おお、いいところに来てくれた！<br>少しばかり敵の数が多くてな<br>手伝ってくれないか。"""
IncidentJsApcSuccess#11,"""/ci2 1 よし、片付いたようだな！<br>感謝するぞ、お前のおかげで<br>なんとかなった。"""
IncidentJsApcFailure#11,"""……ぐっ、こんなことになるとは。<br>すまん、先に撤退する。"""
IncidentJsApcBeginEvo#11,"""/ci3 1 Esta atmosfera... Maybe a newcomer appeared... Porfavor presta atencion y preparate."""
IncidentJsApcSuccessEvo#11,"""/ci2 1 よし、片付いたようだな！<br>感謝するぞ、お前のおかげで<br>なんとかなった。"""
IncidentJsApcBegin#12,"""/toge /ci1 1 We can do this! We're Arks! I might be old, but I can't be stopped!"""
IncidentJsApcSuccess#12,"""/toge /ci2 1 うむ、これで終わりのはずだ。<br>よくやってくれた、助かったぞ。"""
IncidentJsApcFailure#12,"""ぐぬ……やはり<br>寄る年波には勝てんか……<br>先に撤退させてもらう。"""
IncidentJsApcBeginEvo#12,"""/toge /ci3 1 おのれ、新手の気配が！<br>老体にムチ打たせる気か！"""
IncidentJsApcSuccessEvo#12,"""/toge /ci2 1 うむ、これで終わりのはずだ。<br>よくやってくれた、助かったぞ。"""
IncidentJsApcBegin#13,"""/toge /mn9 /ci2 1 おおおっ、おいおいおい！<br>いいところにいるじゃんかよぉ！<br>ちょっと手伝ってくれよ、なっ！"""
IncidentJsApcSuccess#13,"""/mn15 /ci2 4 よーっし、一丁上がりっと！<br>へへっ、どうよどうよ？<br>オレもいけるもんだろ、なっ？"""
IncidentJsApcFailure#13,"""ぐううっ……なんだこりゃあ……<br>やってらんねーよホントに。<br>オレ、撤退させてもらうぜ。"""
IncidentJsApcBeginEvo#13,"""/mn2 /ci2 1 ちょっと待てってなんだこりゃ！<br>新手の反応がビンビンじゃねーか！"""
IncidentJsApcSuccessEvo#13,"""/mn15 /ci2 4 よーっし、一丁上がりっと！<br>へへっ、どうよどうよ？<br>オレもいけるもんだろ、なっ？"""
IncidentJsApcBegin#14,"""/ci5 2 おやおやおやあー？<br>どうしてこんなに獲物がいるのに<br>リサを呼んでくれないんですかあ？"""
IncidentJsApcSuccess#14,"""/ci4 3 もう終わりなんですかあ？<br>うーん……もっと戦りたいですねえ。<br>だからリサは、ふらりと去りますよお。"""
IncidentJsApcFailure#14,"""...Hmmm, Lisa se aburre<br>quizas. Es hora de regresar...<br>bueno entonces, ten cuidado!"""
IncidentJsApcBeginEvo#14,"""APC共闘発展開始"""
IncidentJsApcSuccessEvo#14,"""/ci4 3 もう終わりなんですかあ？<br>うーん……もっと戦りたいですねえ。<br>だからリサは、ふらりと去りますよお。"""
IncidentJsApcBegin#15,"""/mn10 /ci4 5 あ、すみません……よければ<br>ちょっと手伝ってもらえませんか。<br>……危険というより、面倒くさくて。"""
IncidentJsApcSuccess#15,"""/ci4 1 ……お、終わりましたか？<br>ふぅ……あ、えっと、助かりました。<br>僕、なるべく戦いたくないので……"""
IncidentJsApcFailure#15,"""……無理は禁物ですもんね。<br>すみませんが、僕は帰還します。"""
IncidentJsApcBeginEvo#15,"""/mn10 /ci4 5 はぁ……まだ来そうですね。<br>どうしてこんなにぞくぞくと<br>現れるんだか……"""
IncidentJsApcSuccessEvo#15,"""/ci4 1 ……お、終わりましたか？<br>ふぅ……あ、えっと、助かりました。<br>僕、なるべく戦いたくないので……"""
IncidentJsApcBegin#16,"""/toge /ci1 3 アークスの危機とあらば<br>私が駆けつけない理由はない。<br>助太刀させてもらおう。"""
IncidentJsApcSuccess#16,"""/ci1 3 うむ、よい運動だった。<br>では、私は行くとしよう。<br>精進を怠らないようにな。"""
IncidentJsApcFailure#16,"""デスクワークばかりでなまったか。<br>いろいろ考えねばならないな……<br>すまんが、退かせてもらうぞ。"""
IncidentJsApcBeginEvo#16,"""/ci5 3 まだ来るか……<br>余程、命がいらないと見える。"""
IncidentJsApcSuccessEvo#16,"""/ci1 3 うむ、よい運動だった。<br>では、私は行くとしよう。<br>精進を怠らないようにな。"""
IncidentJsApcBegin#17,"""/toge /ci2 2 Hey! Looks like you managed to stumble onto something fun! me hare cargo de esto!"""
IncidentJsApcSuccess#17,"""/mn15 /ci2 1 ふっふっふ、見たか貴様？<br>私の実力を見たか？\u3000見ただろう！<br>うん、よしよし、満足した！"""
IncidentJsApcFailure#17,"""/mn10  むぅ……なんだかつまらないな。<br>眠くなってもきたし、私は帰る！"""
IncidentJsApcBeginEvo#17,"""/mn15 /ci2 1 おおっ、見ろ見ろ貴様！<br>また敵がでてきたぞ！<br>あれも爆破してしまっていいのだろう？"""
IncidentJsApcSuccessEvo#17,"""/mn15 /ci2 1 ふっふっふ、見たか貴様？<br>私の実力を見たか？\u3000見ただろう！<br>うん、よしよし、満足した！"""
IncidentJsApcBegin#18,"""/ci1 3 ……任務外ですが<br>放ってはおけません。"""
IncidentJsApcSuccess#18,"""/ci1 5 ……お互い、無事で何よりです。<br>それでは。"""
IncidentJsApcFailure#18,"""申し訳ありません……<br>私は撤退します。"""
IncidentJsApcBeginEvo#18,"""……まだ来るようですね。<br>さっさと片付けましょう。 """
IncidentJsApcSuccessEvo#18,"""/ci1 5 ……お互い、無事で何よりです。<br>それでは。"""
IncidentJsApcBegin#19,"""/toge /ci2 1 ふはははっ！\u3000六芒均衡ヒューイ推参！<br>存外に苦戦しているようだな！<br>大丈夫だ！\u3000ここはオレに任せろ！"""
IncidentJsApcSuccess#19,"""/toge /ci2 1 オレにかかればこの程度造作もない！<br>また困ったことがあれば呼んでくれ！<br>オレはいつでも、そばにいるぞ！"""
IncidentJsApcFailure#19,"""/toge /ci2 1 オレが負ける……オレが敗北……！？<br>申し訳ない、先に退かせてもらう！"""
IncidentJsApcBeginEvo#19,"""/toge /ci2 むむっ……さらなる悪意の気配！<br>おかわりというやつだな！<br>いいだろう、オレが相手をしてやろう！"""
IncidentJsApcSuccessEvo#19,"""/toge /ci2 1 オレにかかればこの程度造作もない！<br>また困ったことがあれば呼んでくれ！<br>オレはいつでも、そばにいるぞ！"""
IncidentJsApcBegin#20,"""/toge /ci3 2 囲まれているようだな<br>手伝うぞ！"""
IncidentJsApcSuccess#20,"""/ci2 2 よし、よくやったぞ！<br>では、私は行くとしよう！"""
IncidentJsApcFailure#20,"""この程度の交戦で……<br>私も衰えたな……"""
IncidentJsApcBeginEvo#20,"""む、新手か！<br>気を抜くなよ！"""
IncidentJsApcSuccessEvo#20,"""/ci2 2 よし、よくやったぞ！<br>では、私は行くとしよう！"""
IncidentJsApcBegin#21,"""/ci3 2 囲まれているようね<br>協力するわよ"""
IncidentJsApcSuccess#21,"""/ci2 2 終わったみたいね<br>それじゃ、私は行くわ"""
IncidentJsApcFailure#21,"""私がこの程度で……？<br>ごめんなさい、撤退するわ"""
IncidentJsApcSuccessEvo#21,"""/ci2 2 終わったみたいね<br>それじゃ、私は行くわ"""
IncidentJsApcBegin#22,"""/ci4 2 いいところにいるね<br>ちょっと手伝いな"""
IncidentJsApcSuccess#22,"""/ci2 2 ……一応、感謝だけはしておくよ"""
IncidentJsApcFailure#22,"""……欲張りすぎたか<br>アタシは撤退させてもらうよ"""
IncidentJsApcBeginEvo#21,"""/ci5 2 ……この気配<br>ちっ、まだ来るか"""
IncidentJsApcSuccessEvo#22,"""/ci2 2 ……一応、感謝だけはしておくよ"""
IncidentJsApcBegin#23,"""/mn2 /ci4 3 せ、先輩っ！<br>すみません、助けて下さい！<br>敵がいっぱいやってきてて……！"""
IncidentJsApcSuccess#23,"""/mn15 /ci2 1 ふぅ、なんとかなりました……<br>先輩、ありがとうございました！"""
IncidentJsApcFailure#23,"""/mn7 うう……すみません……<br>これ以上は無理です……"""
IncidentJsApcBeginEvo#22,"""わわっ、わわわっ……！<br>なんだか、また出てくる気配が……"""
IncidentJsApcSuccessEvo#23,"""/mn15 /ci2 1 ふぅ、なんとかなりました……<br>先輩、ありがとうございました！"""
IncidentJsApcBegin#24,"""/ci2 1 せ、先生！<br>自分一人では厳しい状況です！<br>すみませんが手を貸して下さい！"""
IncidentJsApcSuccess#24,"""/ci2 1 やりましたっ！<br>なんとか撃退完了です！<br>先生のおかげですよ！"""
IncidentJsApcFailure#24,"""……先生、申し訳ありません。<br>自分、先に退かせてもらいます"""
IncidentJsApcBeginEvo#23,"""むむっ、おおおっ！<br>新しい気配がっ！<br>先生、まだ終わりじゃないみたいです！"""
IncidentJsApcSuccessEvo#24,"""/ci2 1 やりましたっ！<br>なんとか撃退完了です！<br>先生のおかげですよ！"""
IncidentJsApcBegin#25,"""/ci1 3 ……任務外ですが<br>放ってはおけません。"""
IncidentJsApcSuccess#25,"""/ci1 5 ……お互い、無事で何よりです。<br>それでは。"""
IncidentJsApcFailure#25,"""申し訳ありません……<br>私は撤退します。"""
IncidentJsApcSuccessEvo#25,"""/ci1 5 ……お互い、無事で何よりです。<br>それでは。"""
IncidentJsApcBegin#26,"""/ci1 3 ……敵がたくさん居ますね。<br>手伝いますよ、殲滅を。"""
IncidentJsApcSuccess#26,"""/ci1 5 Bueno entonces, ire a la siguiente mision."""
IncidentJsApcFailure#26,"""……こんな、僕が……？<br>なんて、無様な……"""
IncidentJsApcSuccessEvo#26,"""/ci1 5 Bueno entonces, ire a la siguiente mision."""
IncidentJsApcBegin#27,"""/toge /ci1 1 いっしょにがんばれば<br>きっと勝てるのニャ！"""
IncidentJsApcSuccess#27,"""/toge /mn37 /ci2 4 やったのニャ！<br>ありがとニャ～！！"""
IncidentJsApcFailure#27,"""/mn2 /ci4 1 うわ～ん！<br>ダメだったのニャ～！！"""
IncidentJsApcSuccessEvo#27,"""/toge /mn37 /ci2 4 やったのニャ！<br>ありがとニャ～！！"""
IncidentJsApcBegin#28,"""/toge /ci1 1 味方きた！<br>これで勝つる！"""
IncidentJsApcSuccess#28,"""/toge /mn17 /ci2 4 やったみャ～！<br>全オレっちが泣いた！"""
IncidentJsApcFailure#28,"""/mn30 /ci4 1 これが……<br>世界の選択かみャ……"""
IncidentJsApcSuccessEvo#28,"""/toge /mn17 /ci2 4 やったみャ～！<br>全オレっちが泣いた！"""
IncidentJsApcBegin#29,"""/ci2 1 あっ、いいところに！<br>ちょっと数が多くて大変だから<br>手伝って貰えないかな？"""
IncidentJsApcSuccess#29,"""/ci2 3 ふう、なんとかなったぁ……<br>素直にありがとね、助かったよ。<br>それじゃ、またね！"""
IncidentJsApcFailure#29,"""うう……これ以上はムリ……<br>ごめんなさい、あたしは先に<br>撤退させてもらうわね……"""
IncidentJsApcBeginEvo#24,"""/ci3 1 うわっ……なんか、やばそーな<br>反応がすっごい近くに……<br>気をつけましょう！"""
IncidentJsApcSuccessEvo#29,"""/ci2 3 ふう、なんとかなったぁ……<br>素直にありがとね、助かったよ。<br>それじゃ、またね！"""
IncidentJsApcBegin#30,"""/mn15 /toge /ci2 1 ナイスタイミング！<br>ちょっと手伝ってくれないかなー！"""
IncidentJsApcSuccess#30,"""/toge /ci2 1 いやー、どうもありがとー！<br>おかげでなんとかなったよ！<br>感謝感謝、大感謝！"""
IncidentJsApcFailure#30,"""やられたーっ……！<br>ごめん、撤退するね……"""
IncidentJsApcBeginEvo#25,"""/ci4 5 おおっとぉ、まだ来る気配だね？"""
IncidentJsApcSuccessEvo#30,"""/toge /ci2 1 いやー、どうもありがとー！<br>おかげでなんとかなったよ！<br>感謝感謝、大感謝！"""
IncidentJsApcBegin#31,"""/toge /ci3 1 ……まったく、見てられない！<br>手伝ってあげるから、さっさと<br>こいつら、片付けるわよ！"""
IncidentJsApcSuccess#31,"""/ci2 2 一丁上がり、っと。<br>……あたし、もう行くから<br>あんまり無理しないようにね。"""
IncidentJsApcFailure#31,"""むぅ……あたしもまだ未熟、か。<br>ごめんなさい、先に退くわ。"""
IncidentJsApcBeginEvo#26,"""/ci3 1 ……まだ来るみたいね。<br>ほら、さっさと片付けるわよ！"""
IncidentJsApcSuccessEvo#31,"""/ci2 2 一丁上がり、っと。<br>……あたし、もう行くから<br>あんまり無理しないようにね。"""
IncidentJsApcBegin#32,"""/ci2 2 あ、センパイ！<br>悪い、ちょっと手伝ってくれ！"""
IncidentJsApcSuccess#32,"""/ci2 1 センパイ……その、助かった<br>来てくれて、ありがとな"""
IncidentJsApcFailure#32,"""……これ以上は、無理だ<br>悪いセンパイ、おれは撤退する"""
IncidentJsApcBeginEvo#27,"""/ci2 2 ちぇっ、まだ来るみたいだ"""
IncidentJsApcSuccessEvo#32,"""/ci2 1 センパイ……その、助かった<br>来てくれて、ありがとな"""
IncidentJsApcBegin#33,"""/ci1 3 ……敵がたくさん居ますね。<br>手伝いますよ、殲滅を。"""
IncidentJsApcSuccess#33,"""/ci1 5 Bueno entonces, ire a la siguiente mision."""
IncidentJsApcFailure#33,"""……こんな、僕が……？<br>なんて、無様な……"""
IncidentJsApcSuccessEvo#33,"""/ci1 5 Bueno entonces, ire a la siguiente mision."""
IncidentJsApcBegin#34,"""/ci3 2 あら、もしよかったら<br>手伝ってくれると<br>うれしいのだけれど"""
IncidentJsApcSuccess#34,"""/ci2 2 ありがとう<br>また、ロビーで会いましょう"""
IncidentJsApcFailure#34,"""ごめんなさい、限界みたい<br>撤退させてもらうわ"""
IncidentJsApcBeginEvo#28,"""あら、新手かしら？"""
IncidentJsApcSuccessEvo#34,"""/ci2 2 ありがとう<br>また、ロビーで会いましょう"""
IncidentJsApcBegin#35,"""/ci3 2 悪いが、手伝って貰えるか<br>想像以上に手間がかかっている"""
IncidentJsApcSuccess#35,"""/ci2 2 助太刀感謝する<br>この礼は、いずれ"""
IncidentJsApcFailure#35,"""くっ……こんな無様な真似を……<br>撤退する、後を頼む"""
IncidentJsApcBeginEvo#29,"""まだ来るようだな"""
IncidentJsApcSuccessEvo#35,"""/ci2 2 助太刀感謝する<br>この礼は、いずれ"""
IncidentJsApcBegin#36,"""/ci3 2 ちょうどいいところに！<br>手間取ってるの、協力して！"""
IncidentJsApcSuccess#36,"""/ci2 2 おかげで助かったわ<br>その……ありがとう"""
IncidentJsApcFailure#36,"""……ここまでなの？<br>ごめんなさい、撤退します"""
IncidentJsApcBeginEvo#30,"""まだ来るみたいね<br>少しは休ませてほしいわ"""
IncidentJsApcSuccessEvo#36,"""/ci2 2 おかげで助かったわ<br>その……ありがとう"""
IncidentJsApcBegin#37,"""/ci3 2 すみません<br>少々手間取っているので<br>協力してもらえませんか？"""
IncidentJsApcSuccess#37,"""/ci2 2 ありがとうございます<br>助かりました"""
IncidentJsApcFailure#37,"""ここまで、なんですね……<br>すみません、撤退します"""
IncidentJsApcBeginEvo#31,"""……まだ来るみたいですね"""
IncidentJsApcSuccessEvo#37,"""/ci2 2 ありがとうございます<br>助かりました"""
IncidentJsApcBegin#38,"""/ci1 3 良かった、手を貸してくれ。<br>む、どうした……？\u3000この装いか？<br>この時期の正装と聞いているが……"""
IncidentJsApcSuccess#38,"""/ci1 1 手を貸してくれて感謝する。<br>いや……確かこの場合は<br>メリークリスマス、だったか？"""
IncidentJsApcFailure#38,"""すまない……<br>これ以上は戦えそうにない。<br>不本意だが、先に退かせてもらう。"""
IncidentJsApcBeginEvo#32,"""/ci1 1 終わった……？<br>……いや、まだ来るか。<br>もうしばらく付き合ってもらえるか？"""
IncidentJsApcSuccessEvo#38,"""/ci1 1 手を貸してくれて感謝する。<br>いや……確かこの場合は<br>メリークリスマス、だったか？"""
IncidentJsApcBegin#39,"""/mn15 /ci1 2 ああ、ちょうどいいところに！<br>この格好、貴方様に見ていただきたく<br>……ってそれどころじゃないご様子！"""
IncidentJsApcSuccess#39,"""/mn15 /ci2 1 この格好ならば、無敵！<br>ご感想、お待ちしております！<br>それと、メリークリスマスですわ！"""
IncidentJsApcFailure#39,"""うう……これ以上はちょっと……<br>申し訳ありませんが<br>先に撤退させていただきます……"""
IncidentJsApcBeginEvo#33,"""/ci1 2 ふー、ようやく落ち着いて……<br>……とは、いかないようですわね！"""
IncidentJsApcSuccessEvo#39,"""/mn15 /ci2 1 この格好ならば、無敵！<br>ご感想、お待ちしております！<br>それと、メリークリスマスですわ！"""
IncidentJsApcBegin#40,"""/mn9 /ci2 2 あ、<%me>！<br>えっと……探してたんだけど……<br>と、とりあえず手伝ってもらえるかな！"""
IncidentJsApcSuccess#40,"""/mn6 /ci2 1 ふう、なんとかなったね……<br>それでさ、えっと……この服なんだけど<br>ええっと……メリークリスマスっ！"""
IncidentJsApcFailure#40,"""うう……ごめん……<br>一緒にクリスマスお祝い<br>したかったんだけど……"""
IncidentJsApcBeginEvo#34,"""/ci3 2 ふう、これでようやく……って<br>まだヘンな気配が残ってる……！<br>……もう！\u3000やりたいことあるのに！"""
IncidentJsApcSuccessEvo#40,"""/mn6 /ci2 1 ふう、なんとかなったね……<br>それでさ、えっと……この服なんだけど<br>ええっと……メリークリスマスっ！"""
IncidentJsApcBegin#41,"""/mn38 /ci2 2 すまないが、手を貸してくれ。<br>……こっそり来ているので<br>イツキたちには内密に、な。"""
IncidentJsApcSuccess#41,"""/mn37 /ci2 2 手を貸してくれて、ありがとう。<br>つい様子が気になってしまってな……<br>くれぐれも皆には内緒で頼む！"""
IncidentJsApcBeginEvo#35,"""/mn37 /ci2 2 む、新手か……！<br>皆が苦労する相手かもしれん。<br>私たちで対処するとしよう！"""
IncidentJsApcSuccessEvo#41,"""/mn37 /ci2 2 手を貸してくれて、ありがとう。<br>つい様子が気になってしまってな……<br>くれぐれも皆には内緒で頼む！"""
IncidentJsApcBegin#42,"""/ci2 2 すみません、手を貸してください！<br>お返しのプレゼントに悩んでたら<br>敵に囲まれちゃって……！"""
IncidentJsApcSuccess#42,"""/ci2 2 ありがとうございました！<br>うーん、お返しってなにをあげれば<br>喜ばれるんだろう……？"""
IncidentJsApcFailure#41,"""/ci4 2 いたた……<br>集中できてなくてダメですね。<br>すみません、出直します！"""
IncidentJsApcBeginEvo#36,"""/ci4 2 確かにプレゼント考えてたけど……<br>さすがに亀のぬいぐるみはなあ……"""
IncidentJsApcSuccessEvo#42,"""/ci2 2 ありがとうございました！<br>うーん、お返しってなにをあげれば<br>喜ばれるんだろう……？"""
IncidentJsApcBegin#43,"""/mn38 /ci2 2 あの龍、すごい全身がきらめいてる。<br>お返しって、キラキラした物の方が<br>いいのかなぁ……って、そうじゃない！"""
IncidentJsApcSuccess#43,"""/mn37 /ci2 2 協力、ありがとうございました！<br>うーん、キラキラしてるのなら<br>喜んでくれるのかなあ……"""
IncidentJsApcBeginEvo#37,"""/mn37 /ci2 2 す、すごい……！<br>さっきよりもキラキラしてる……！"""
IncidentJsApcSuccessEvo#43,"""/mn37 /ci2 2 協力、ありがとうございました！<br>うーん、キラキラしてるのなら<br>喜んでくれるのかなあ……"""
IncidentJsApcBegin#44,"""/ci2 2 我が魂の同士よ、良いところに現れた！<br>珠玉の宝物を求めし我と共に<br>この戦いに参じてくれ！"""
IncidentJsApcSuccess#44,"""/ci2 2 助かったぞ、礼を言う！<br>迷宮の解たる珠玉の宝物は<br>必ずや見つけてみせよう！"""
IncidentJsApcFailure#42,"""/ci4 2 くっ……油断が過ぎたか……！<br>なんたる無様……！<br>すまない、先に退く！"""
IncidentJsApcBeginEvo#38,"""/ci3 2 新手の気配……！<br>同士たちとの宴に誘われたか！"""
IncidentJsApcSuccessEvo#44,"""/ci2 2 助かったぞ、礼を言う！<br>迷宮の解たる珠玉の宝物は<br>必ずや見つけてみせよう！"""
IncidentJsApcBegin#45,"""/ci2 2 おお！\u3000良いところに！<br>この騒ぎで友を見失ったでござる。<br>どうかお力添え願いたい。"""
IncidentJsApcSuccess#45,"""/ci2 2 お力添え感謝申し上げる！<br>拙者は友を探しに行くでござる。<br>それではまた！"""
IncidentJsApcFailure#43,"""/ci4 2 まさか失敗に終わるとは……<br>友たちを見守るためにも、拙者は<br>一度撤退させてもらうでござる。"""
IncidentJsApcBeginEvo#39,"""/ci3 2 若き友たちを見守るためにも<br>邪魔する不埒な輩は許さんでござる！"""
IncidentJsApcSuccessEvo#45,"""/ci2 2 お力添え感謝申し上げる！<br>拙者は友を探しに行くでござる。<br>それではまた！"""
IncidentJsApcBegin#46,"""/ci2 2 イベントとか、マジで面倒くせぇな……<br>って、ちょうど良いところ来たな！<br>俺様の憂さ晴らしに付き合ってくれよ！"""
IncidentJsApcSuccess#46,"""/ci2 2 終わったな！<br>となると、お返しを考えるのか……<br>ったく、なに渡せば良いんだ？"""
IncidentJsApcFailure#44,"""/ci4 2 ちっ、考えすぎて気が散った結果が<br>このざまかよ……！<br>やってらんねー、先に帰らせてもらう！"""
IncidentJsApcBeginEvo#40,"""/ci3 2 おらおら！\u3000なんでも来やがれ！<br>まとめてぶっ倒してやるぜ！"""
IncidentJsApcSuccessEvo#46,"""/ci2 2 終わったな！<br>となると、お返しを考えるのか……<br>ったく、なに渡せば良いんだ？"""
IncidentJsApcBegin#47,"""/ci2 2 お、ちょうどよかった！<br>手伝ってくれるか！<br>仲間とはぐれちまってよ！"""
IncidentJsApcSuccess#47,"""/ci2 2 いやー、戦いに熱くなりすぎて<br>仲間とはぐれてしまってな！<br>ありがとな、助かったぜ！"""
