Emilia_01_10#0,"""おっ、どうしたんじゃ？<br>折り入って話があると？"""
11_voice_NPC_5011_101#3,"""It's no use dwelling on the past. I shall create a new weapon equally as powerful than that one! """
11_voice_NPC_5011_101#4,"""ダークファルスと対峙すると<br>いうのであれば、なおさらもっと<br>強い武器が必要じゃろう！"""
Jig_mb9_020#0,"""But how ironic that my opportunity to make use of my inspiration would come so early. """
11_voice_NPC_5011_101#5,"""創世器とまではいかずとも<br>それに酷似したものなら作れる。<br>わしにはその自信がある！"""
Jig_mb10_020#0,"""......however without the proper raw materials, it is only a hollow confidence. That's so irritating......"""
11_voice_NPC_5011_105#3,"""わしの修復したあの巨大な杖。<br>あれは、尋常ではなかったな。"""
Jig_mb11_020#0,"""It was made without considering its effect on the person who would use it. Such that it sucks up all of the users' Photons."""
Jig_mb11_030#0,"""The person who made it in the first place, what on earth were they thinking......I struggle to understand."""
11_voice_NPC_5011_100#2,"""The strength of the weaponry does not equate to the strength of the equipped. Strength is not a one-sided relationship."""
11_voice_NPC_5011_104#3,"""Hmm......I've got a bad feeling about this. Ah, no. It's not the kind of premonition that might imply we're going to be attacked or anything. """
Jig_mb13_020#0,"""It's just a craftsman's intuition. Like I feel like someone is going to make an impossible order."""
11_voice_NPC_5011_104#4,"""These bad feelings do end up being true. I thought I'd just show my face since it's been a while, and I get a spectacular present instead. """
Jig_mb14_020#0,"""......but now that I'm relied upon, I must live up to expectations!"""
Jig_mb15_010#0,"""These bad feelings do end up being true. I thought I'd just show my face since it's been a while, and I get a spectacular present instead. """
11_voice_NPC_5011_100#3,"""......but now that I'm relied upon, I must live up to expectations!"""
11_voice_NPC_5011_100#4,"""When the sign of the times desire powerful weaponry, it means that it is side-by-side with warfare. """
Jig_mb16_020#0,"""For me to be busy is a sign that it's not a great era to be in. It's sad, but true. """
Jig_mb16zeno_010#0,"""Well well, glad to see you are safe! When I heard Regius' communication I even doubted my own ears! """
11_voice_NPC_5011_101#6,"""However, thanks to you everyone has opened their eyes. This situation is to your credit. Well done, and thanks. """
11_voice_NPC_5011_100#5,"""新しいアークスとして<br>皆が未来へ歩み始めているな。<br>良きかな、良きかな。"""
Jig_mb18_020#0,"""わしもその変化に取り残されんよう<br>より一層頑張らねばならんな。"""
Jig_mb20_010#0,"""技術を独占しても意味がない。<br>次代に伝えていかなければ<br>そこで廃れてしまう。"""
11_voice_NPC_5011_104#5,"""わしだけではなく、技術者にとって<br>後継者、というのは頭痛の種じゃよ。<br>簡単に見つかるものでもないからの。"""
Jig_mb22_010#0,"""誠心誠意、魂を込めて作品を作る。<br>それが職人というものじゃ。"""
Jig_mb22_020#0,"""自分が培ってきた技術をもってして<br>作品を作るんじゃ。<br>なかなかどうして、やり甲斐はある。"""
Jig_mb22_030#0,"""今もこれからも。<br>その気持で、わしは作品を<br>作っていくつもりじゃぞ。"""
11_voice_NPC_5011_100#6,"""おお、お主か……！<br>顔を見ると安心するのう。<br>無事でよかった。"""
Jig_mb23_after_020#0,"""痛ましいことになってしまったが……<br>お主のことじゃ、もうどうするのかは<br>決めておるんじゃろう。"""
Jig_mb23_after_030#0,"""わしは、なにも心配しておらんぞ。<br>じゃが、無理はせんようにな。"""
Jig_mb24_after_010#0,"""お主ならやり遂げられると思ったが<br>やっぱり心配でな……<br>気になっていたんじゃ。"""
11_voice_NPC_5011_100#7,"""こうして顔も見れたし一安心じゃ。<br>じゃが、しばらくは無理せんようにな。"""
11_voice_NPC_5011_101#7,"""おお、おお！<br>お主は……そうか、復帰したのか！"""
st01_020#0,"""レギアスから度々連絡は受けていたが<br>……こうして面と向かって会うと<br>やはり、違うの。"""
st01_030#0,"""とはいえ病み上がりみたいなものじゃ。<br>あまり無理はせんようにの。"""
11_voice_NPC_5011_104#6,"""あのマトイという子の<br>クラリッサのように、専用のものを<br>用意してやりたいものなんじゃが……"""
st01_020#1,"""お主はフォトンの傾向が自由すぎて<br>専用の武装を定めにくくてのう。<br>万能というのも、考えものじゃな。"""
11_voice_NPC_5011_104#7,"""お主向けの武器というのも<br>色々考えてみたんじゃが……<br>どうも思い浮かばなくてのう。"""
st01_020#2,"""ずっと共に戦場を駆けられる<br>相棒のような存在を<br>与えてやりたいんじゃがなあ……"""
st01_010#0,"""お主向けの武器というのも<br>色々考えてみたんじゃが……<br>どうも思い浮かばなくてのう。"""
11_voice_NPC_5011_104#8,"""かの地球とやらで話題になっている<br>具現武装、あれはいいヒントに<br>なりそうなものなんじゃが……"""
11_voice_NPC_5011_104#9,"""先の襲撃時に、具現武装とやらを<br>この目で見られていれば<br>再現も可能だったかもしれんが……"""
st01_020#3,"""避難誘導を無視するわけにもいかず<br>……無念だが、仕方がないのう。"""
st01_010#1,"""具現武装とやらについて、情報提供<br>およびアースガイドという面々の<br>協力で、実物を拝見した。"""
11_voice_NPC_5011_104#10,"""……したのだが、再現は無理じゃな。<br>あれは個々の能力に拠りすぎていて<br>汎用化には持っていきにくい。"""
st01_030#1,"""イメージしやすいもので、簡易的に<br>具現化した共有武装などは参考に<br>なったが……普通の武器になるのう。"""
11_voice_NPC_5011_100#8,"""わしから言うことは何もない。<br>心の準備など、とうの昔から<br>しているのであろう？"""
sq00_020#0,"""行って、頑張ってこい。<br>それだけじゃよ。"""
11_voice_NPC_5011_100#9,"""うむ、帰ってきたようじゃの。<br>やはりお主は優秀じゃよ。"""
sq01_020#0,"""決戦へと向かい、帰ってこない者を<br>わしは何人も見てきた。<br>帰ってくるだけで、優秀じゃ。"""
sq13_010#0,"""レギアスの創世すら通じぬ相手が<br>出てくるとは……燃えるではないか。"""
11_voice_NPC_5011_101#8,"""既存のものが通じぬのであれば<br>通じるものを作り出せばよいのだ。<br>……ふふふ、見ておれ！"""
11_voice_NPC_5011_109#0,"""レギアスの創世すら通じぬ相手が<br>出てくるとは……燃えるではないか。"""
ep6_sq00_02#0,"""既存のものが通じぬのであれば<br>通じるものを作り出せばよいのだ。<br>……ふふふ、見ておれ！"""
ep6_sq01_01#0,"""マリアとレギアスから話は聞いたが<br>フォトンが効かない相手とは<br>厄介なものよの……"""
11_voice_NPC_5011_105#4,"""先の戦いで、破損した武器が大量に<br>舞い込んできてな、修理に大忙しよ。"""
11_voice_NPC_5011_101#9,"""お主らの活躍は聞いたぞ。<br>窮地に背水の陣を敷き<br>死地に活路を見い出すとは、天晴！"""
ep6_sq02_02#0,"""まだ気を抜いてはならんが<br>あまり無理はせんようにな。<br>武器の修理ならいつでも頼ってくれ。"""
11_voice_NPC_5011_102#0,"""拮抗は出来るようになったが<br>それでもなお、圧倒的な戦力差を<br>見せつけられてしまったか。"""
ep6_sq02_01_02#0,"""じゃが、お主の瞳から決意が消えぬ限り<br>わしも力のすべてを注ぐつもりじゃ。"""
