Npc_ShopTrade#0,"""Магазин переработки"""
Npc_ShopReform2_c#0,"""FUN-магазин (Предметы комнаты)"""
Npc_PvShopTrade1#0,"""Обмен обычных предметов"""
Npc_PvShopTrade2#0,"""Обмен огран. предметов"""
Npc_ShopTrade_ce#0,"""Обмен классовых кубов"""
Npc_CounterQuest1#0,"""Координатор"""
Npc_CounterQuest2#0,"""Координатор"""
Npc_CounterQuest3#0,"""Координатор"""
Npc_CounterQuest4#0,"""Координатор"""
Npc_CounterQuest5#0,"""Координатор"""
Npc_ShopItem#0,"""Торговец предметами"""
Npc_ShopItem2#0,"""Эксперт по оружию"""
Npc_ShopWeapon#0,"""Торговец оружием"""
Npc_ShopDisc#0,"""Торговец дисками"""
Npc_ShopCostume1#0,"""Торговец одеждой"""
Npc_ShopCostume2#0,"""Торговец юнитами"""
Npc_ShopReform1#0,"""Продавец предметов для комнаты"""
Npc_ShopReform2#0,"""Продавец FUN-магазина"""
Npc_ShopPoint#1,"""Магазин значков & воспоминаний"""
Npc_ShopPoint2#1,"""Магазин обмена фотонных частиц"""
Npc_ShopPoint3#1,"""Магазин обмена экскубов"""
Npc_ClassCounter#0,"""Управляющий классами"""
Npc_CounterArks#0,"""Координатор команд"""
Npc_CounterArks2#0,"""Координатор наград"""
Npc_CounterSalon1#0,"""Ассистент салона красоты"""
Npc_CounterSalon2#0,"""Ассистент салона красоты"""
Npc_CounterMd1#0,"""Сотрудник медицинского центра"""
Npc_CounterMd2#0,"""Сотрудник медицинского центра"""
Npc_CounterLab1#0,"""Сотрудник лаборатории предметов"""
Npc_CounterLab2#0,"""Сотрудник лаборатории предметов"""
Npc_CounterTeam1#0,"""Командный координатор"""
Npc_CounterTeam2#0,"""Командный координатор"""
Npc_CounterTeam3#0,"""Командный координатор"""
Npc_CounterTeam4#0,"""Командный координатор"""
Npc_CounterTeam5#0,"""Командный координатор"""
Npc_CounterTeam6#0,"""Командный координатор"""
Npc_CounterTeam7#0,"""Командный координатор"""
Npc_CounterTeam8#0,"""Командный координатор"""
Npc_CounterTeam9#0,"""Командный координатор"""
Npc_CounterTeam10#0,"""Командный координатор"""
Npc_CounterTeam11#0,"""Командный координатор"""
Npc_CounterTeam12#0,"""Командный координатор"""
Npc_CounterTeam13#0,"""Командный координатор"""
Npc_CounterNetCafe#0,"""Сотрудник магазина NetCafe"""
Npc_ShopTrade#1,"""Сотрудник магазина переработки"""
Npc_ShopTrade2#0,"""Сотрудник магазина редких камней"""
Npc_ShopTrade3#0,"""Сотрудник магазина маг. камней"""
Npc_49#0,"""Администратор ежедневных заданий"""
Npc_50#0,"""Администратор"""
Npc_82#0,"""Администратор оснащения"""
Npc_96#0,"""Сезонный клиент"""
Npc_98#0,"""Администратор Пути ARKS"""
Npc_99#0,"""Сезонный клиент"""
Npc_61#0,"""Сезонный клиент"""
Npc_77#0,"""Сезонный клиент"""
Npc_asia001#0,"""Сезонный клиент"""
Npc_asia002#0,"""Сезонный клиент"""
Npc_asia003#0,"""Сезонный клиент"""
Npc_asia004#0,"""Сезонный клиент"""
Npc_asia005#0,"""Сезонный клиент"""
Npc_asia006#0,"""Сезонный клиент"""
Npc_asia007#0,"""Сезонный клиент"""
Npc_asia008#0,"""Сезонный клиент"""
Npc_121#0,"""Временные заказы (~Март 8, 11:00 по японскому времени)"""
Npc_129#0,"""Seven-Eleven ORACL Branch (~Июнь 8, 11:00 по японскому времени)"""
Npc_81#0,"""Сезонный клиент"""
Npc_134#0,"""Сезонный клиент"""
Npc_97#0,"""Временные заказы (~Август 10, 11:00 по японскому времени)"""
Npc_AmExchange1#0,"""Сотрудник по выдаче призов"""
Npc_AmExchange2#0,"""Сотрудник по выдаче призов"""
Npc_AmCounterA#0,"""Работник казино"""
Npc_AmCounterB#0,"""Работник казино"""
Npc_AmCounterBarA#0,"""Бармен"""
Npc_AmShopA#0,"""Работник магазина"""
Npc_AmCounterQuestA#0,"""Координатор"""
Npc_192#0,"""Сезонный клиент"""
Npc_CQTrade1#0,"""Сотрудник магазина переработки"""
Npc_CQTrade2#0,"""Сотрудник магазина переработки"""
Npc_CQTrade3#0,"""Сотрудник магазина переработки"""
Npc_CQTrade4#0,"""Сотрудник магазина переработки"""
Npc_CQTrade5#0,"""Сотрудник магазина переработки"""
Npc_CQTrade6#0,"""Сотрудник магазина переработки"""
Npc_CQTrade7#0,"""Сотрудник магазина переработки"""
Npc_CQTrade8#0,"""Сотрудник магазина переработки"""
Npc_CQTrade9#0,"""Сотрудник магазина переработки"""
Npc_CQTrade10#0,"""Сотрудник магазина переработки"""
Npc_CQTrade11#0,"""Сотрудник магазина переработки"""
Npc_CQCounterQuestA#0,"""Координатор"""
Npc_CQCounterQuestB#0,"""Координатор"""
Npc_CQOperator#0,"""Координатор челлендж-квестов"""
Npc_CQShopPoint#0,"""Работник магазина челлендж-милей"""
Npc_203#0,"""Работник казино"""
Npc_158#0,"""PSO2es администратор"""
Npc_108#0,"""Временные заказы (~Март 9, 11:00 по японскому времени)"""
Npc_200#0,"""Временные заказы (~Октябрь 14, 11:00 по японскому времени)"""
Npc_201#0,"""Временные заказы (~Октябрь 14, 11:00 по японскому времени)"""
Npc_241#0,"""Временные заказы (~Август 5, 11:00 по японскому времени)"""
Npc_PetLab1#0,"""Сотрудник лаборатории питомцев"""
Npc_239#0,"""Администратор корабля ARKS"""
Npc_Cf_CounterQuest#0,"""Координатор"""
Npc_Cf_ShopItem#0,"""Сотрудник магазина"""
Npc_Cf_Trade#0,"""Продавец колец умений"""
Npc_307#0,"""Заказчик ежедневных заданий"""
Npc_Cf_ShopCrew#0,"""Сотрудник кулинарного магазина"""
Npc_308#0,"""Инструктор по добыче"""
Npc_206#0,"""Временные заказы (~Январь 27, 11:00 по японскому времени)"""
Npc_207#0,"""Временные заказы (~Январь 27, 11:00 по японскому времени)"""
Npc_306#0,"""Временные заказы (~Июнь 7, 11:00 по японскому времени)"""
Npc_318#0,"""Временные заказы (~Март 22, 11:00 по японскому времени)"""
Npc_316#0,"""Временные заказы (~Март 22, 11:00 по японскому времени)"""
Npc_344#0,"""Администратор ARKS Лиги"""
Npc_ShopTreasure#0,"""Продавец магазина дорогих товаров"""
Npc_319#0,"""Временные заказы (~Февраль 22, 11:00 по японскому времени)"""
Npc_320#0,"""Временные заказы (~Март 22, 11:00 по японскому времени)"""
Npc_321#0,"""Временные заказы (~Август 24, 11:00 по японскому времени)"""
Npc_322#0,"""Временные заказы (~Август 24, 11:00 по японскому времени)"""
Npc_323#0,"""Временные заказы (~Март 22, 11:00 по японскому времени)"""
Npc_346#0,"""Временные заказы (~Сентябрь 21, 11:00 по японскому времени)"""
Npc_347#0,"""Временные заказы (~Февраль 22, 11:00 по японскому времени)"""
Npc_221#0,"""Временные заказы (~Октябрь 19, 11:00 по японскому времени)"""
Npc_220#0,"""Временные заказы (~Октябрь 19, 11:00 по японскому времени)"""
Npc_348#0,"""Временные заказы (~Ноябрь 2, 11:00 по японскому времени)"""
Npc_349#0,"""Временные заказы (~Ноябрь 2, 11:00 по японскому времени)"""
Npc_222#0,"""Временные заказы (~Декабрь 21, 11:00 по японскому времени)"""
Npc_360#0,"""Временные заказы (~Декабрь 7, 11:00 по японскому времени)"""
Npc_363#0,"""Временные заказы (~Декабрь 21, 11:00 по японскому времени)"""
Npc_378#0,"""Временные заказы (~Январь 11, 11:00 по японскому времени)"""
Npc_PvCounterQuest1#0,"""Координатор боевой арены"""
Npc_PvCounterQuest2#0,"""Координатор боевой арены"""
Npc_399#0,"""Администратор боевой арены"""
Npc_314#0,"""Временные заказы (~Февраль 22, 11:00 по японскому времени)"""
Npc_PvShopPoint#0,"""Секретарь обмена боевых монет"""
Npc_407#0,"""Временные заказы (~Июнь 7, 11:00 по японскому времени)"""
Npc_408#0,"""Временные заказы (~Июнь 7, 11:00 по японскому времени)"""
Npc_223#0,"""Временные заказы (~Июнь 7, 11:00 по японскому времени)"""
Npc_412#0,"""Временные заказы (~Июнь 7, 11:00 по японскому времени)"""
Npc_CounterQuest1#1,"""Аннелиз"""
Npc_CounterQuest2#1,"""Ребекка"""
Npc_CounterQuest3#1,"""NPC"""
Npc_CounterQuest4#1,"""NPC"""
Npc_CounterQuest5#1,"""NPC"""
Npc_ShopItem#1,"""Фелиccия"""
Npc_ShopItem2#1,"""Киара"""
Npc_ShopWeapon#1,"""Арагат"""
Npc_ShopDisc#1,"""Ирум"""
Npc_ShopCostume1#1,"""Сароме"""
Npc_ShopCostume2#1,"""Эри"""
Npc_ShopReform1#1,"""Оскар"""
Npc_ShopReform2#1,"""Эдвард"""
Npc_ShopPoint#2,"""Нанон"""
Npc_ShopPoint2#2,"""Тифлис"""
Npc_ShopPoint3#2,"""Няша"""
Npc_ClassCounter#1,"""Биа"""
Npc_CounterArks#1,"""Фарма"""
Npc_CounterArks2#1,"""Лакесис"""
Npc_CounterSalon1#1,"""Ноэми"""
Npc_CounterSalon2#1,"""NPC"""
Npc_CounterMd1#1,"""Наташа"""
Npc_CounterMd2#1,"""NPC"""
Npc_CounterLab1#1,"""Дуду"""
Npc_CounterLab2#1,"""Моника"""
Npc_CounterTeam1#1,"""Эна"""
Npc_CounterTeam2#1,"""Трия"""
Npc_CounterTeam3#1,"""Пенде"""
Npc_CounterTeam4#1,"""Эния"""
Npc_CounterTeam5#1,"""Медзен"""
Npc_CounterTeam6#1,"""Тессера"""
Npc_CounterTeam7#1,"""Дуо"""
Npc_CounterTeam8#1,"""Экси"""
Npc_CounterTeam9#1,"""Бьянка"""
Npc_CounterTeam10#1,"""Рикардо"""
Npc_CounterTeam11#1,"""Cудзуран"""
Npc_CounterTeam12#1,"""Рэппи"""
Npc_CounterTeam13#1,"""Лилипанец"""
Npc_ShopPastry1#0,"""Старшая сестра Наура"""
Npc_ShopPastry2#0,"""Средняя сестра Наура"""
Npc_ShopPastry3#0,"""Младшая сестра Наура"""
Npc_ShopPastry1_H#0,"""Старшая сестра Наура"""
Npc_ShopPastry2_H#0,"""Средняя сестра Наура"""
Npc_ShopPastry3_H#0,"""Младшая сестра Наура"""
Npc_ShopPastry1_X#0,"""Старшая сестра Наура"""
Npc_ShopPastry2_X#0,"""Средняя сестра Наура"""
Npc_ShopPastry3_X#0,"""Младшая сестра Наура"""
Npc_ShopPastry1_V#0,"""Старшая сестра Наура"""
Npc_ShopPastry2_V#0,"""Средняя сестра Наура"""
Npc_ShopPastry3_V#0,"""Младшая сестра Наура"""
Npc_ShopPastry1_S#0,"""Старшая сестра Наура"""
Npc_ShopPastry2_S#0,"""Средняя сестра Наура"""
Npc_ShopPastry3_S#0,"""Младшая сестра Наура"""
Npc_ShopPastry1_TW#0,"""Старшая сестра Наура"""
Npc_ShopPastry2_TW#0,"""Средняя сестра Наура"""
Npc_ShopPastry3_TW#0,"""Младшая сестра Наура"""
Npc_ShopPastry1_TH#0,"""Старшая сестра Наура"""
Npc_ShopPastry2_TH#0,"""Средняя сестра Наура"""
Npc_ShopPastry3_TH#0,"""Младшая сестра Наура"""
Npc_CounterNetCafe#1,"""Мелани"""
Npc_ShopTrade#2,"""Камео"""
Npc_ShopTrade2#1,"""Нотбург"""
Npc_ShopTrade3#1,"""Лайнбург"""
Npc_01#0,"""Зено"""
Npc_02#0,"""Эко"""
Npc_03#0,"""Афин"""
Npc_04#0,"""Матои"""
Npc_05#0,"""Сион"""
Npc_06#0,"""Геттемхарт"""
Npc_07#0,"""Мельфосина"""
Npc_08#0,"""Фурье"""
Npc_09#0,"""Аки"""
Npc_10#0,"""Лайт"""
Npc_11#0,"""Дзиг"""
Npc_12#0,"""Роджио"""
Npc_13#0,"""Пати"""
Npc_14#0,"""Тия"""
Npc_13_14#0,"""Пати и Тия"""
Npc_15#0,"""Мария"""
Npc_16#0,"""Сара"""
Npc_17#0,"""Филия"""
Npc_18#0,"""Клото"""
Npc_19#0,"""Марлур"""
Npc_20#0,"""Оза"""
Npc_21#0,"""Жан"""
Npc_22#0,"""Реда"""
Npc_23#0,"""Бригитта"""
Npc_24#0,"""Хильда"""
Npc_25#0,"""Мелитта"""
Npc_26#0,"""Риса"""
Npc_27#0,"""Теодор"""
Npc_28#0,"""Ульк"""
Npc_29#0,"""Региус"""
Npc_30#0,"""Кларисс Крейс"""
Npc_31#0,"""Касра"""
Npc_32#0,"""Куна"""
Npc_33#0,"""Хьюи"""
Npc_34#0,"""[Персона]"""
Npc_35#0,"""[Элдер]"""
Npc_36#0,"""Хи Эн"""
Npc_37#0,"""Хи Рога"""
Npc_38#0,"""Ко Рера"""
Npc_39#0,"""Ko Риу"""
Npc_40#0,"""Ро Камиц"""
Npc_41#0,"""Чи Моб"""
Npc_42#0,"""Лилипанец"""
Npc_43#0,"""Сатори"""
Npc_44#0,"""Анри"""
Npc_45#0,"""Джозе"""
Npc_46#0,"""Вуд"""
Npc_47#0,"""Елена"""
Npc_48#0,"""Мириам"""
Npc_49#1,"""Фаина"""
Npc_50#1,"""Коффи"""
Npc_51#0,"""Франка"""
Npc_52#0,"""Ханс"""
Npc_53#0,"""Жерард"""
Npc_54#0,"""Джозеф"""
Npc_55#0,"""Эмильен"""
Npc_56#0,"""Крессида"""
Npc_57#0,"""Барбара"""
Npc_58#0,"""Лола"""
Npc_59#0,"""Лавэлль"""
Npc_60#0,"""Микаэла"""
Npc_61#1,"""Шии (Хеллоуин 2017)"""
Npc_62#0,"""Лотти"""
Npc_63#0,"""Люберт"""
Npc_64#0,"""Хадред"""
Npc_65#0,"""Куна"""
Npc_66#0,"""Куна"""
Npc_67#0,"""Теодор"""
Npc_68#0,"""Торо"""
Npc_69#0,"""Куро"""
Npc_70#0,"""[Аппрентис]"""
Npc_71#0,"""Року"""
Npc_72#0,"""Трейс"""
Npc_73#0,"""Цу"""
Npc_74#0,"""Катор"""
Npc_75#0,"""Камса"""
Npc_76#0,"""Айн"""
Npc_77#1,"""Шии (Рождество 2017)"""
Npc_78#0,"""[Мальчик-дабл]"""
Npc_79#0,"""[Девочка-дабл]"""
Npc_80#0,"""Шии (День Св. Валентина)"""
Npc_81#1,"""Шии (Белый День)"""
Npc_82#1,"""Пурин"""
Npc_83#0,"""Зено"""
Npc_84#0,"""Лютер"""
Npc_85#0,"""Сяо"""
Npc_86#0,"""Эко"""
Npc_87#0,"""Азанами"""
Npc_88#0,"""Мельфосина"""
Npc_89#0,"""Кабракан"""
Npc_90#0,"""Сара"""
Npc_91#0,"""Ио"""
Npc_92#0,"""Старшая сестра Наура"""
Npc_105#0,"""Старшая сестра Наура"""
Npc_106#0,"""Старшая сестра Наура"""
Npc_93#0,"""Средняя сестра Наура"""
Npc_94#0,"""Младшая сестра Наура"""
Npc_95#0,"""Карин"""
Npc_96#1,"""Шии (Дождливый 2017)"""
Npc_97#1,"""Шии (5-я Годовщина)"""
Npc_98#1,"""Астарта"""
Npc_99#1,"""Шии (Лето 2017)"""
Npc_100#0,"""Теодор"""
Npc_ShipBattle#0,"""Акума"""
Npc_107#0,"""Кларисс Крейс"""
Npc_111#0,"""Року"""
Npc_112#0,"""Трейс"""
Npc_113#0,"""Цу"""
Npc_114#0,"""Катор"""
Npc_115#0,"""Камса"""
Npc_116#0,"""Айн"""
Npc_117#0,"""Ульк"""
Npc_118#0,"""Ульк"""
Npc_119#0,"""[Лузер]"""
Npc_120#0,"""Сион"""
Npc_asia001#1,"""Xie (Chinese New Year)"""
Npc_asia002#1,"""シー(水かけ祭り)"""
Npc_asia003#1,"""シー(建国記念日)"""
Npc_asia004#1,"""シー(独立記念日)"""
Npc_asia005#1,"""シー(タイ国王記念日)"""
Npc_asia006#1,"""シー(端午の節句)"""
Npc_asia007#1,"""シー(七夕)"""
Npc_asia008#1,"""Xie (Gamania Festival)"""
Npc_121#1,"""Шии (Новый год 2017)"""
Npc_125#0,"""Алиса"""
Npc_126#0,"""Кейн"""
Npc_127#0,"""Лина"""
Npc_128#0,"""Марина"""
Npc_129#1,"""Нанаи"""
Npc_130#0,"""Кларисс Крейс"""
Npc_135#0,"""Кларисс Крейс"""
Npc_136#0,"""[Аппрентис]"""
Npc_137#0,"""Сара"""
Npc_138#0,"""Зено"""
Npc_139#0,"""Афин"""
Npc_140#0,"""Юкрита"""
Npc_141#0,"""Кларисс Крейс"""
Npc_142#0,"""[Аппрентис] """
Npc_134#1,"""Xie (Easter 2015)"""
Npc_131#0,"""Матои"""
Npc_132#0,"""Матои"""
Npc_133#0,"""Хьюи"""
Npc_143#0,"""Мария"""
Npc_154#0,"""Зено"""
Npc_155#0,"""Хьюи"""
Npc_156#0,"""Мария"""
Npc_157#0,"""Куна"""
Npc_174#0,"""[Мальчик-дабл]"""
Npc_175#0,"""[Девочка-дабл]"""
Npc_144#0,"""Кифус"""
Npc_145#0,"""Уиттер"""
Npc_146#0,"""Джаспер"""
Npc_147#0,"""Фрости"""
Npc_176#0,"""Ио"""
Npc_177#0,"""Пати"""
Npc_178#0,"""Тия"""
Npc_179#0,"""Азанами"""
Npc_180#0,"""Лотти"""
Npc_181#0,"""Эко"""
Npc_182#0,"""Зено"""
Npc_183#0,"""Хьюи"""
Npc_190#0,"""Генриетта"""
Npc_153#0,"""Теодор"""
Npc_AmExchange1#1,"""Чип"""
Npc_AmExchange2#1,"""Анте"""
Npc_AmCounterA#1,"""Альто"""
Npc_AmCounterB#1,"""Нарис"""
Npc_AmCounterBarA#1,"""Ивен"""
Npc_AmShopA#1,"""Фулл Хаус"""
Npc_AmCounterQuestA#1,"""Эни Пейр"""
Npc_160#0,"""Харти"""
Npc_161#0,"""Спадия"""
Npc_162#0,"""Клавдия"""
Npc_148#0,"""Котоширо"""
Npc_149#0,"""Принцесса Сукуна"""
Npc_150#0,"""Катори"""
Npc_151#0,"""Сага"""
Npc_159#0,"""принцесса Тама"""
Npc_Live#0,"""Хацунэ Мику и Мегурине Лука"""
Npc_Unknown#0,"""???"""
Npc_192#1,"""Шии (Новолуние 2015)"""
Npc_184#0,"""[Персона]"""
Npc_185#0,"""Матои"""
Npc_186#0,"""Кларисс Крейс"""
Npc_187#0,"""Сара"""
Npc_188#0,"""Эко"""
Npc_194#0,"""Сара"""
Npc_195#0,"""Матои"""
Npc_CQTrade1#1,"""Ами"""
Npc_CQTrade2#1,"""Нано"""
Npc_CQTrade3#1,"""Юу"""
Npc_CQTrade4#1,"""Мако"""
Npc_CQTrade5#1,"""Мако"""
Npc_CQTrade6#1,"""Юу"""
Npc_CQTrade7#1,"""Ами"""
Npc_CQTrade8#1,"""Нано"""
Npc_CQTrade9#1,"""Юу"""
Npc_CQTrade10#1,"""Мако"""
Npc_CQTrade11#1,"""Мако"""
Npc_CQCounterQuestA#1,"""Гран"""
Npc_CQCounterQuestB#1,"""Ролл"""
Npc_CQOperator#1,"""Инанна"""
Npc_CQShopPoint#1,"""Мутан"""
Npc_108#1,"""Нагиса"""
Npc_ShipBattleF#0,"""Аркумами"""
Npc_203#1,"""Альто"""
Npc_200#1,"""Акеони-химе Шики"""
Npc_201#1,"""Акеони-боу Одо"""
Npc_206#1,"""Аиони-химе Шики"""
Npc_207#1,"""Аиони-боу Одо"""
Npc_205#0,"""Матои"""
Npc_158#1,"""Серафи"""
Npc_202#0,"""[Элдер]"""
Npc_209#0,"""Мелрандия"""
Npc_225#0,"""Касра"""
Npc_226#0,"""Хьюи"""
Npc_230#0,"""Кизика"""
Npc_241#1,"""Клара"""
Npc_244#0,"""Никс"""
Npc_215#0,"""Диана"""
Npc_152#0,"""Лютер"""
Npc_210#0,"""Афин"""
Npc_213#0,"""Матои"""
Npc_216#0,"""Ичитаро Ай"""
Npc_217#0,"""Харуко Момои"""
Npc_218#0,"""Ацуко Эномото"""
Npc_219#0,"""Такенобу Мицуёши"""
Npc_228#0,"""Аврора"""
Npc_233#0,"""[Персона]"""
Npc_245#0,"""Нагиса"""
Npc_246#0,"""Катори"""
Npc_247#0,"""Зено"""
Npc_248#0,"""Хьюи"""
Npc_249#0,"""Теодор"""
Npc_250#0,"""Эко"""
Npc_251#0,"""Пати"""
Npc_252#0,"""Тия"""
Npc_253#0,"""Ио"""
Npc_256#0,"""Филия"""
Npc_258#0,"""Региус"""
PRESENT_POINT#0,"""Ты получил(а) подарок от $(0)."""
Npc_Live2#0,"""PSO2 Broadcast Member"""
Npc_234#0,"""Хицуги"""
Npc_235#0,"""Хицуги"""
Npc_237#0,"""Кори"""
Npc_238#0,"""Ал"""
Npc_239#1,"""Сиерра"""
Npc_242#0,"""Пьетро"""
Npc_260#0,"""Хицуги"""
Npc_262#0,"""Хицуги"""
Npc_263#0,"""Хицуги"""
Npc_264#0,"""Ал"""
Npc_265#0,"""Ал"""
Npc_267#0,"""Ал"""
Npc_269#0,"""Кори"""
Npc_270#0,"""Кори"""
Npc_272#0,"""Ио"""
Npc_275#0,"""Хагито"""
Npc_280#0,"""[Персона]"""
Npc_281#0,"""Пати"""
Npc_282#0,"""Тия"""
Npc_283#0,"""Оза"""
Npc_284#0,"""Марлур"""
Npc_285#0,"""Кларисс Крейс"""
Npc_286#0,"""Хьюи"""
Npc_287#0,"""Юкрита"""
Npc_227#0,"""Юкрита"""
Npc_259#0,"""Юкрита"""
Npc_288#0,"""Лотти"""
Npc_289#0,"""Руберт"""
Npc_291#0,"""Касра"""
Npc_292#0,"""Кларисс Крейс"""
Npc_293#0,"""Сара"""
Npc_294#0,"""Хагито"""
Npc_295#0,"""Хагито"""
Npc_271#0,"""Мать"""
Npc_254#0,"""Айка"""
Npc_296#0,"""Энга"""
Npc_PetLab1#1,"""Ариэль"""
Npc_298#0,"""Рико"""
Npc_299#0,"""Фловен"""
Npc_300#0,"""Роджио"""
Npc_306#1,"""Джина"""
Npc_Cf_CounterQuest#1,"""Пика"""
Npc_Cf_ShopItem#1,"""Скотт"""
Npc_Cf_Trade#1,"""Альте"""
Npc_307#1,"""Агнес"""
Npc_Cf_ShopCrew#1,"""Аида"""
Npc_308#1,"""София"""
Npc_309#0,"""Яркес"""
Npc_305#0,"""Франка"""
Npc_310#0,"""Анри"""
Npc_297#0,"""Хицуги"""
Npc_311#0,"""Хицуги"""
Npc_274#0,"""Бетор"""
Npc_313#0,"""Куна"""
Npc_317#0,"""Сайлеон"""
Npc_314#1,"""RINA"""
Npc_315#0,"""SORO"""
Npc_316#1,"""Ицки"""
Npc_318#1,"""Ицки"""
Npc_319#1,"""Лилика"""
Npc_320#1,"""†Coa†"""
Npc_321#1,"""Юмико"""
Npc_322#1,"""Last Samurai"""
Npc_323#1,"""Мусаши"""
Npc_327#0,"""RINA"""
Npc_328#0,"""Юмико"""
Npc_329#0,"""Пьетро"""
Npc_330#0,"""Афин"""
Npc_331#0,"""Ицки"""
Npc_332#0,"""Ицки"""
Npc_333#0,"""SORO"""
Npc_334#0,"""Last Samurai"""
Npc_335#0,"""Катори"""
Npc_336#0,"""Ио"""
Npc_337#0,"""Эко"""
Npc_338#0,"""Нагиса"""
Npc_339#0,"""Зено"""
Npc_340#0,"""Пати"""
Npc_341#0,"""Тия"""
Npc_342#0,"""Айка"""
Npc_344#1,"""Мими"""
Npc_ShopTreasure#1,"""Широна"""
Npc_273#0,"""Офиель"""
Npc_276#0,"""Араторон"""
Npc_277#0,"""Оку"""
Npc_278#0,"""Фул"""
Npc_255#0,"""Фалег"""
Npc_279#0,"""Ардем"""
Npc_345#0,"""Либер"""
Npc_346#1,"""Кидд"""
Npc_347#1,"""Сильва"""
Npc_221#1,"""Итан"""
Npc_350#0,"""Итан"""
Npc_220#1,"""Карен"""
Npc_351#0,"""Карен"""
Npc_352#0,"""Барт"""
Npc_353#0,"""Каджи"""
Npc_354#0,"""Каппа"""
Npc_355#0,"""Мага"""
Npc_356#0,"""Ник"""
Npc_357#0,"""Читан"""
Npc_358#0,"""Ванам"""
Npc_359#0,"""Айа"""
Npc_343#0,"""Хьюи"""
Npc_348#1,"""Orga Cats"""
Npc_349#1,"""Master Nezumi"""
Npc_361#0,"""Энга"""
Npc_Live3#0,"""Сачико Кобаяши"""
Npc_222#1,"""Эмилия"""
Npc_223#1,"""Люмия"""
Npc_324#0,"""Хицуги"""
Npc_325#0,"""Хицуги"""
Npc_360#1,"""Некки"""
Npc_363#1,"""Вивьен"""
Npc_364#0,"""Пати"""
Npc_365#0,"""Тия"""
Npc_366#0,"""Куна"""
Npc_367#0,"""Айка"""
Npc_368#0,"""Афин"""
Npc_369#0,"""Юкрита"""
Npc_370#0,"""Сара"""
Npc_371#0,"""Кларисс Крейс"""
Npc_372#0,"""Пьетро"""
Npc_373#0,"""Риса"""
Npc_374#0,"""Фурье"""
Npc_375#0,"""Orga Cats"""
Npc_376#0,"""Master Nezumi"""
Npc_193#0,"""Матои"""
Npc_326#0,"""Ал"""
Npc_381#0,"""Хьюи"""
Npc_378#1,"""Анетт"""
Npc_236#0,"""Кори"""
Npc_362#0,"""Кори"""
Npc_312#0,"""Кори"""
Npc_382#0,"""Айка"""
Npc_383#0,"""Катори"""
Npc_384#0,"""Матои"""
Npc_385#0,"""Кидд"""
Npc_386#0,"""SORO"""
Npc_387#0,"""Лилика"""
Npc_388#0,"""Мусаши"""
Npc_389#0,"""†Coa†"""
Npc_390#0,"""Ицки"""
Npc_266#0,"""Ал"""
Npc_PvCounterQuest1#1,"""Гретри"""
Npc_PvCounterQuest2#1,"""Фрина"""
Npc_399#1,"""Лавернат"""
Npc_400#0,"""SORO"""
Npc_401#0,"""Ицки"""
Npc_402#0,"""Ицки"""
Npc_403#0,"""†Coa†"""
Npc_404#0,"""Last Samurai"""
Npc_405#0,"""Мусаши"""
Npc_406#0,"""Кидд"""
Npc_380#0,"""Энга"""
