name01#0,"""아나운서"""
st_042060_0310#0,"""아, 아뇨, 아무리 그래도 거기까진…"""
st_042060_0320#0,"""그래? 아쉽군."""
st_042060_0330#0,"""아, 봐줘. 거기 장식한 모형은<br>2000년대 말에 정식 채용된 10식 전차.<br>…이것도 참 아름답지. 그렇게 생각하지 않아?"""
st_042060_0340#0,"""요즘은 형식이나 종류, 연대를 맞추는 데<br>강한 집착을 보이는 사람도 많다고 하지.<br>나도 그걸 나쁘다고 생각하지 않아."""
st_042060_0350#0,"""하지만 나는 옛 대전 시대의 병기도<br>지금 시대의 병기도 똑같이 사랑하고 있어.<br>역사의 흐름을 알 수 있으니까 말이지."""
st_042060_0360#0,"""자, 잘 봐줬으면 해.<br>이 모형의…"""
st_042060_0370#0,"""…오타쿠다."""
st_042060_0380#0,"""…오타쿠네."""
st_042060_0390#0,"""오타쿠라니?"""
st_042060_0400#0,"""코오리 같은 사람을 말하는 거야."""
st_042060_0410#0,"""설명이 너무 대충이야 히츠기!"""
st_042060_0420#0,"""알, 오타쿠란 건<br>취미에 열중하는 사람을 말하는 거야."""
st_042060_0430#0,"""흐음~.<br>코오리는 뭐에 열중하고 있는데?"""
st_042060_0440#0,"""그, 그건…"""
st_042060_0450#0,"""…왜 거기서 말끝을 흐리는 거야."""
st_042060_0460#0,"""…그렇군요. 「오타쿠」인가요…<br><%me> 씨는 그렇게<br>푹 빠져 있는 게 있나요?"""
st_042060_0470#0,"""아크스 임무에 열중하고 있어"""
st_042060_0480#0,"""시에라한테 열중하고 있어"""
st_042060_0490#0,"""딱히 없어"""
st_042060_0500#0,"""아크스의 모범!<br>정말, 임무를 빼먹거나 성의 없이 보고하는<br>사람들이 본받았으면 좋겠네요."""
st_042060_0510#0,"""에… 에헤헤, 감사합니다.<br>빈말인 걸 알아도 기쁘네요."""
st_042060_0520#0,"""근데근데근데근데, 물어보고서 할 말은<br>아니지만 그런 건 별로 면전에서<br>할 말은 아니니까 말이에요."""
st_042060_0530#0,"""에~, 뭔가 없나요?<br>열중까진 아니라도 뭔가 그<br>눈여겨보고 있는 거라든지…"""
st_042060_0540#0,"""업무 외에 숨 돌릴 거리를 찾는 것도<br>분명 좋은 일이라고 생각해요."""
st_042060_0550#0,"""참고로 전 지금 여러분의 관리 업무에<br>열중하고 있어요! 말하자면 관리 오타쿠죠!<br>…엥, 의미가 달라요?"""
st_042060_0560#0,"""어찌 됐든 열중할 수 있는 게 있다는 건<br>정말 행복한 일이죠~."""
