YesText#0,"""Yes"""
Etc_Ep3#0,"""EP3"""
Etc_Ep4#0,"""EP4"""
Etc_EX#0,"""EX"""
Etc#1,"""Other"""
Zeno#0,"""Zeno"""
Echo#0,"""Echo"""
Afin#0,"""Afin"""
Matoi#0,"""Matoi"""
Gettem#0,"""Gettemhart"""
Melfon#0,"""Melphonsina"""
Furie#0,"""Fourier"""
Aki#0,"""Aki"""
Rojio#0,"""Rogio"""
Pati#0,"""Tea & Patty"""
Maria#0,"""Maria"""
Sara#0,"""Sara"""
Philia#0,"""Philia"""
Clotho#0,"""Klotho"""
Ohza#0,"""Ohza"""
Marlu#0,"""Marlu"""
Jan#0,"""Jean"""
Reda#0,"""Reda"""
Risa#0,"""Lisa"""
Klaris#0,"""Claris Claes"""
Casra#0,"""Casra"""
Huey#0,"""Huey"""
Quna#0,"""Quna"""
Hien#0,"""Hi En"""
Right#0,"""Light"""
Jig#0,"""Zieg"""
Ulc#0,"""Ulc"""
Regius#0,"""Regius"""
Azanami#0,"""Azanami"""
Io#0,"""Io"""
Xiao#0,"""Xiao"""
Katori#0,"""Saga & Katori"""
year_228#0,"""A.P.228"""
year_238#0,"""A.P.238"""
year_239#0,"""A.P.239"""
year_240#0,"""A.P.240"""
year_???#0,"""A.P.???"""
day_1_7#0,"""1/7/2016"""
day_1_8#0,"""1/8/2016"""
day_1_9#0,"""1/9/2016"""
day_1_10#0,"""1/10/2016"""
day_1_11#0,"""1/11/2016"""
day_1_12#0,"""1/12/2016"""
day_1_13#0,"""1/13/2016"""
day_1_14#0,"""1/14/2016"""
day_1_15#0,"""1/15/2016"""
day_1_16#0,"""1/16/2016"""
day_1_17#0,"""1/17/2016"""
day_1_18#0,"""1/18/2016"""
day_1_19#0,"""1/19/2016"""
day_1_20#0,"""1/20/2016"""
day_1_21#0,"""1/21/2016"""
day_1_22#0,"""1/22/2016"""
day_1_23#0,"""1/23/2016"""
day_1_24#0,"""1/24/2016"""
day_1_25#0,"""1/25/2016"""
day_1_26#0,"""1/26/2016"""
day_1_27#0,"""1/27/2016"""
day_1_28#0,"""1/28/2016"""
day_1_29#0,"""1/29/2016"""
day_1_30#0,"""1/30/2016"""
day_1_31#0,"""1/31/2016"""
day_2_4#0,"""2/4/2016"""
day_2_5#0,"""2/5/2016"""
day_2_9#0,"""2/9/2016"""
day_2_10#0,"""2/10/2016"""
day_2_11#0,"""2/11/2016"""
day_2_13#0,"""2/13/2016"""
day_2_14#0,"""2/14/2016"""
day_2_18#0,"""2/18/2016"""
day_2_20#0,"""2/20/2016"""
day_2_21#0,"""2/21/2016"""
day_2_22#0,"""2/22/2016"""
day_2_23#0,"""2/23/2016"""
day_2_24#0,"""2/24/2016"""
day_2_25#0,"""2/25/2016"""
day_2_26#0,"""2/26/2016"""
day_2_27#0,"""2/27/2016"""
day_2_28#0,"""2/28/2016"""
day_3_1#0,"""3/1/2016"""
day_3_2#0,"""3/2/2016"""
day_3_3#0,"""3/3/2016"""
day_3_4#0,"""3/4/2016"""
day_3_5#0,"""3/5/2016"""
day_3_6#0,"""3/6/2016"""
day_3_7#0,"""3/7/2016"""
day_3_8#0,"""3/8/2016"""
day_3_9#0,"""3/9/2016"""
day_3_10#0,"""3/10/2016"""
day_3_11#0,"""3/11/2016"""
day_3_12#0,"""3/12/2016"""
day_3_13#0,"""3/13/2016"""
day_3_14#0,"""3/14/2016"""
day_3_15#0,"""3/15/2016"""
day_3_16#0,"""3/16/2016"""
day_3_17#0,"""3/17/2016"""
day_3_18#0,"""3/18/2016"""
day_3_19#0,"""3/19/2016"""
day_3_20#0,"""3/20/2016"""
day_3_21#0,"""3/21/2016"""
day_3_22#0,"""3/22/2016"""
day_3_23#0,"""3/23/2016"""
day_3_24#0,"""3/24/2016"""
day_3_25#0,"""3/25/2016"""
day_3_26#0,"""3/26/2016"""
day_3_27#0,"""3/27/2016"""
day_3_28#0,"""3/28/2016"""
day_3_29#0,"""3/29/2016"""
day_3_30#0,"""3/30/2016"""
day_3_31#0,"""3/31/2016"""
day_4_1#0,"""4/1/2016"""
day_4_2#0,"""4/2/2016"""
day_4_3#0,"""4/3/2016"""
day_4_4#0,"""4/4/2016"""
day_4_5#0,"""4/5/2016"""
day_4_6#0,"""4/6/2016"""
day_4_7#0,"""4/7/2016"""
day_4_8#0,"""4/8/2016"""
day_4_9#0,"""4/9/2016"""
day_4_10#0,"""4/10/2016"""
day_4_11#0,"""4/11/2016"""
day_4_12#0,"""4/12/2016"""
day_4_13#0,"""4/13/2016"""
day_4_14#0,"""4/14/2016"""
day_4_15#0,"""4/15/2016"""
day_4_16#0,"""4/16/2016"""
day_4_17#0,"""4/17/2016"""
day_4_18#0,"""4/18/2016"""
day_4_19#0,"""4/19/2016"""
day_4_20#0,"""4/20/2016"""
day_4_21#0,"""4/21/2016"""
day_4_22#0,"""4/22/2016"""
day_4_23#0,"""4/23/2016"""
day_4_24#0,"""4/24/2016"""
day_4_25#0,"""4/25/2016"""
day_4_26#0,"""4/26/2016"""
day_4_27#0,"""4/27/2016"""
day_4_28#0,"""4/28/2016"""
day_4_29#0,"""4/29/2016"""
day_4_30#0,"""4/30/2016"""
day_5_1#0,"""5/1/2016"""
day_5_2#0,"""5/2/2016"""
day_5_3#0,"""5/3/2016"""
day_5_4#0,"""5/4/2016"""
day_5_5#0,"""5/5/2016"""
day_5_6#0,"""5/6/2016"""
day_5_7#0,"""5/7/2016"""
day_5_8#0,"""5/8/2016"""
day_5_9#0,"""5/9/2016"""
day_5_10#0,"""5/10/2016"""
day_5_11#0,"""5/11/2016"""
day_5_12#0,"""5/12/2016"""
day_5_13#0,"""5/13/2016"""
day_5_14#0,"""5/14/2016"""
day_5_15#0,"""5/15/2016"""
day_5_16#0,"""5/16/2016"""
day_5_17#0,"""5/17/2016"""
day_5_18#0,"""5/18/2016"""
day_5_19#0,"""5/19/2016"""
day_5_20#0,"""5/20/2016"""
day_5_21#0,"""5/21/2016"""
day_5_22#0,"""5/22/2016"""
day_5_23#0,"""5/23/2016"""
day_5_24#0,"""5/24/2016"""
day_5_25#0,"""5/25/2016"""
day_5_26#0,"""5/26/2016"""
day_5_27#0,"""5/27/2016"""
day_5_28#0,"""5/28/2016"""
day_5_29#0,"""5/29/2016"""
day_5_30#0,"""5/30/2016"""
day_6_1#0,"""6/1/2016"""
day_6_2#0,"""6/2/2016"""
day_6_3#0,"""6/3/2016"""
day_6_4#0,"""6/4/2016"""
day_6_5#0,"""6/5/2016"""
day_6_6#0,"""6/6/2016"""
day_6_7#0,"""6/7/2016"""
day_6_8#0,"""6/8/2016"""
day_6_9#0,"""6/9/2016"""
day_6_10#0,"""6/10/2016"""
day_6_11#0,"""6/11/2016"""
day_6_12#0,"""6/12/2016"""
day_6_13#0,"""6/13/2016"""
day_6_14#0,"""6/14/2016"""
day_6_15#0,"""6/15/2016"""
day_6_16#0,"""6/16/2016"""
day_6_17#0,"""6/17/2016"""
day_6_18#0,"""6/18/2016"""
day_6_19#0,"""6/19/2016"""
day_6_20#0,"""6/20/2016"""
day_6_21#0,"""6/21/2016"""
day_6_22#0,"""6/22/2016"""
day_6_23#0,"""6/23/2016"""
day_6_24#0,"""6/24/2016"""
day_6_25#0,"""6/25/2016"""
day_6_26#0,"""6/26/2016"""
day_6_27#0,"""6/27/2016"""
day_6_28#0,"""6/28/2016"""
day_6_29#0,"""6/29/2016"""
day_6_30#0,"""6/30/2016"""
day_7_1#0,"""7/1/2016"""
day_7_2#0,"""7/2/2016"""
day_7_3#0,"""7/3/2016"""
day_7_4#0,"""7/4/2016"""
day_7_5#0,"""7/5/2016"""
day_7_6#0,"""7/6/2016"""
day_7_7#0,"""7/7/2016"""
day_7_8#0,"""7/8/2016"""
day_7_9#0,"""7/9/2016"""
day_7_10#0,"""7/10/2016"""
day_7_11#0,"""7/11/2016"""
day_7_12#0,"""7/12/2016"""
day_7_13#0,"""7/13/2016"""
day_7_14#0,"""7/14/2016"""
day_7_15#0,"""7/15/2016"""
day_7_16#0,"""7/16/2016"""
day_7_17#0,"""7/17/2016"""
day_7_18#0,"""7/18/2016"""
day_7_19#0,"""7/19/2016"""
day_7_20#0,"""7/20/2016"""
day_7_21#0,"""7/21/2016"""
day_7_22#0,"""7/22/2016"""
day_7_23#0,"""7/23/2016"""
day_7_24#0,"""7/24/2016"""
day_7_25#0,"""7/25/2016"""
day_7_26#0,"""7/26/2016"""
day_7_27#0,"""7/27/2016"""
day_7_28#0,"""7/28/2016"""
day_7_29#0,"""7/29/2016"""
day_7_30#0,"""7/30/2016"""
day_8_1#0,"""8/1/2016"""
day_8_2#0,"""8/2/2016"""
day_8_3#0,"""8/3/2016"""
day_8_4#0,"""8/4/2016"""
day_8_5#0,"""8/5/2016"""
day_8_6#0,"""8/6/2016"""
day_8_7#0,"""8/7/2016"""
day_8_8#0,"""8/8/2016"""
day_8_9#0,"""8/9/2016"""
day_8_10#0,"""8/10/2016"""
day_8_11#0,"""8/11/2016"""
day_8_12#0,"""8/12/2016"""
day_8_13#0,"""8/13/2016"""
day_8_14#0,"""8/14/2016"""
day_8_15#0,"""8/15/2016"""
day_8_16#0,"""8/16/2016"""
day_8_17#0,"""8/17/2016"""
day_8_18#0,"""8/18/2016"""
day_8_19#0,"""8/19/2016"""
day_8_20#0,"""8/20/2016"""
day_8_21#0,"""8/21/2016"""
day_8_22#0,"""8/22/2016"""
day_8_23#0,"""8/23/2016"""
day_8_24#0,"""8/24/2016"""
day_8_25#0,"""8/25/2016"""
day_8_26#0,"""8/26/2016"""
day_8_27#0,"""8/27/2016"""
day_8_28#0,"""8/28/2016"""
day_8_29#0,"""8/29/2016"""
day_8_30#0,"""8/30/2016"""
day_8_31#0,"""8/31/2016"""
day_?_?#0,"""?/?"""
time_8_00#0,"""8:00"""
time_8_10#0,"""8:10"""
time_8_20#0,"""8:20"""
time_8_30#0,"""8:30"""
time_8_40#0,"""8:40"""
time_8_50#0,"""8:50"""
time_9_00#0,"""9:00"""
time_9_10#0,"""9:10"""
time_9_20#0,"""9:20"""
time_9_30#0,"""9:30"""
time_9_40#0,"""9:40"""
time_9_50#0,"""9:50"""
time_10_00#0,"""10:00"""
time_10_10#0,"""10:10"""
time_10_20#0,"""10:20"""
time_10_30#0,"""10:30"""
time_10_40#0,"""10:40"""
time_10_50#0,"""10:50"""
time_10_55#0,"""10:55"""
time_11_00#0,"""11:00"""
time_11_10#0,"""11:10"""
time_11_20#0,"""11:20"""
time_11_30#0,"""11:30"""
time_11_40#0,"""11:40"""
time_11_50#0,"""11:50"""
time_12_00#0,"""12:00"""
time_12_10#0,"""12:10"""
time_12_20#0,"""12:20"""
time_12_30#0,"""12:30"""
time_12_40#0,"""12:40"""
time_12_50#0,"""12:50"""
time_13_00#0,"""13:00"""
time_13_10#0,"""13:10"""
time_13_20#0,"""13:20"""
time_13_30#0,"""13:30"""
time_13_40#0,"""13:40"""
time_13_50#0,"""13:50"""
time_14_00#0,"""14:00"""
time_14_10#0,"""14:10"""
time_14_20#0,"""14:20"""
time_14_30#0,"""14:30"""
time_14_40#0,"""14:40"""
time_14_50#0,"""14:50"""
time_15_00#0,"""15:00"""
time_15_10#0,"""15:10"""
time_15_20#0,"""15:20"""
time_15_30#0,"""15:30"""
time_15_40#0,"""15:40"""
time_15_50#0,"""15:50"""
time_16_00#0,"""16:00"""
time_16_10#0,"""16:10"""
time_16_20#0,"""16:20"""
time_16_30#0,"""16:30"""
time_16_40#0,"""16:40"""
time_16_50#0,"""16:50"""
time_17_00#0,"""17:00"""
time_17_10#0,"""17:10"""
time_17_20#0,"""17:20"""
time_17_30#0,"""17:30"""
time_17_40#0,"""17:40"""
time_17_50#0,"""17:50"""
time_18_00#0,"""18:00"""
time_18_10#0,"""18:10"""
time_18_20#0,"""18:20"""
time_18_30#0,"""18:30"""
time_18_40#0,"""18:40"""
time_18_50#0,"""18:50"""
time_19_00#0,"""19:00"""
time_19_10#0,"""19:10"""
time_19_20#0,"""19:20"""
time_19_30#0,"""19:30"""
time_19_40#0,"""19:40"""
time_19_50#0,"""19:50"""
time_20_00#0,"""20:00"""
time_20_10#0,"""20:10"""
time_20_20#0,"""20:20"""
time_20_30#0,"""20:30"""
time_20_40#0,"""20:40"""
time_20_50#0,"""20:50"""
time_21_00#0,"""21:00"""
time_21_10#0,"""21:10"""
time_21_20#0,"""21:20"""
time_21_30#0,"""21:30"""
time_21_40#0,"""21:40"""
time_21_50#0,"""21:50"""
time_22_00#0,"""22:00"""
time_22_10#0,"""22:10"""
time_22_20#0,"""22:20"""
time_22_30#0,"""22:30"""
time_22_40#0,"""22:40"""
time_22_50#0,"""22:50"""
time_23_00#0,"""23:00"""
time_23_10#0,"""23:10"""
time_23_20#0,"""23:20"""
time_23_30#0,"""23:30"""
time_23_40#0,"""23:40"""
time_23_50#0,"""23:50"""
time_??_??#0,"""??:??"""
ep_1#0,"""Episode 1"""
ep_2#0,"""Episode 2"""
ch_0#0,"""Intro"""
ch_1#0,"""CH 1"""
ch_2#0,"""CH 2"""
ch_3#0,"""CH 3"""
ch_4#0,"""CH 4"""
ch_5#0,"""CH 5"""
ch_6#0,"""CH 6"""
ch_7#0,"""CH 7"""
ch_8#0,"""CH 8"""
ch_9#0,"""CH 9"""
ch_10#0,"""CH 10"""
ch_11#0,"""CH 11"""
ch_12#0,"""CH 12"""
ch_ex#0,"""CH EX"""
st_010030_title#0,"""基本操作を確認しよう"""
st_010030_date#0,"""A.P.238/2/20/10:30"""
st_010040_title#0,"""原生生物とバトル"""
st_010040_date#0,"""A.P.238/2/20"""
st_010060_title#0,"""ダーカー出現直前"""
st_010060_date#0,"""A.P.238/2/20/11:00"""
st_010070_title#0,"""ゼノと合流"""
st_010070_date#0,"""A.P.238/2/20/11:30"""
st_010080_title#0,"""最後の仕上げ"""
st_010080_date#0,"""A.P.238/2/20/12:00"""
st_010090_title#0,"""修了任務達成"""
st_010090_date#0,"""A.P.238/2/20/12:30"""
st_010100_title#0,"""帰還報告をしましょう"""
st_010100_date#0,"""A.P.238/2/20/13:00"""
st_010120_title#0,"""最初のマターボード"""
st_010120_date#0,"""A.P.238/2/20/14:00"""
ra_010010_title#0,"""人影を見たような……"""
ra_010010_date#0,"""A.P.238/2/21"""
ra_010020_title#0,"""突然すぎるダーカー発生"""
ra_010020_date#0,"""A.P.238/2/21"""
un_011050_title#0,"""Somehow, It's the ARKS"""
un_011050_date#0,"""A.P.238/2/21"""
un_011120_title#0,"""残念無念！"""
un_011120_date#0,"""A.P.238/2/21"""
ra_010030_title#0,"""はじめてのクライアントオーダー"""
ra_010030_date#0,"""A.P.238/2/22"""
ra_010680_title#0,"""Meddling Instructor"""
ra_010680_date#0,"""A.P.238/2/22"""
ra_010040_title#0,"""Close ARKS Sisters"""
ra_010040_date#0,"""A.P.238/2/22"""
st_010130_title#0,"""シオンからの依頼"""
st_010130_date#0,"""A.P.238/2/27/14:00"""
st_010140_title#0,"""事象改変の告知"""
st_010140_date#0,"""A.P.238/2/20/10:00"""
st_010150_title#0,"""謎の声が届く"""
st_010150_date#0,"""A.P.238/2/20/10:30"""
st_010160_title#0,"""記憶通りのダーカー出現"""
st_010160_date#0,"""A.P.238/2/20/11:00"""
st_010170_title#0,"""倒れているマトイの保護"""
st_010170_date#0,"""A.P.238/2/20/12:00"""
st_010180_title#0,"""メディカルセンターからの連絡"""
st_010180_date#0,"""A.P.238/2/20/15:00"""
st_010210_title#0,"""不穏な声の誘う先"""
st_010210_date#0,"""A.P.238/2/20/11:30"""
st_010220_title#0,"""仮面との遭遇"""
st_010220_date#0,"""A.P.238/2/20/12:00"""
st_010190_title#0,"""ＥＰ１－２枚目の受け渡し"""
st_010190_date#0,"""A.P.238/2/28/14:00"""
ra_010070_title#0,"""A Disturbing Figure"""
ra_010070_date#0,"""A.P.238/2/20"""
ra_010230_title#0,"""Good ARKS?  Bad ARKS?"""
ra_010230_date#0,"""A.P.238/2/21"""
ra_010570_title#0,"""惑星ナベリウスの地質について"""
ra_010570_date#0,"""A.P.238/2/21"""
ra_010580_title#0,"""何かちょっとおかしいような"""
ra_010580_date#0,"""A.P.238/2/22"""
ra_010060_title#0,"""Stronger Darkers?"""
ra_010060_date#0,"""A.P.238/2/23"""
un_011060_title#0,"""Only Because of That"""
un_011060_date#0,"""A.P.238/2/24"""
un_011130_title#0,"""フォトンの使い方"""
un_011130_date#0,"""A.P.238/2/24"""
ra_010690_title#0,"""Zeno and Echo"""
ra_010690_date#0,"""A.P.238/2/28"""
ra_010710_title#0,"""Like My Teacher"""
ra_010710_date#0,"""A.P.238/3/3"""
st_010230_title#0,"""ＥＰ１－３枚目の受け渡し"""
st_010230_date#0,"""A.P.238/3/1/14:00"""
ra_010720_title#0,"""Primarily a Ranger"""
ra_010720_date#0,"""A.P.238/2/26"""
ra_010080_title#0,"""やる気をなくした刀匠"""
ra_010080_date#0,"""A.P.238/2/28"""
ra_010170_title#0,"""What the Darkers Seek?"""
ra_010170_date#0,"""A.P.238/2/28"""
ra_010090_title#0,"""刀匠を頼る！"""
ra_010090_date#0,"""A.P.238/2/28"""
ra_010180_title#0,"""Loiterer in the Tundra"""
ra_010180_date#0,"""A.P.238/2/28"""
ra_010110_title#0,"""やる気を取り戻させたいが……"""
ra_010110_date#0,"""A.P.238/3/1"""
ra_010590_title#0,"""森林の先の凍土"""
ra_010590_date#0,"""A.P.238/3/1"""
ra_010100_title#0,"""Glorious Genesis Machine"""
ra_010100_date#0,"""A.P.238/3/1"""
un_011070_title#0,"""I Hope You've Got What It Takes"""
un_011070_date#0,"""A.P.238/3/1"""
un_011140_title#0,"""アークス以外の生活"""
un_011140_date#0,"""A.P.238/3/1"""
st_010240_title#0,"""純粋な探求者"""
st_010240_date#0,"""A.P.238/3/2/9:00"""
st_010250_title#0,"""アークスを無視するダーカー"""
st_010250_date#0,"""A.P.238/3/2/10:00"""
st_010255_title#0,"""目的地に到達"""
st_010255_date#0,"""A.P.238/3/2/10:30"""
st_010280_title#0,"""佇む人影"""
st_010280_date#0,"""A.P.238/3/2/10:30"""
st_010260_title#0,"""何も起こらず、何も見えず"""
st_010260_date#0,"""A.P.238/3/2/11:00"""
st_010290_title#0,"""壊れた創世器"""
st_010290_date#0,"""A.P.238/3/2/11:00"""
st_010300_title#0,"""仮面の下には"""
st_010300_date#0,"""A.P.238/3/2/11:30"""
ra_010600_title#0,"""ナベリウスの疑問"""
ra_010600_date#0,"""A.P.238/3/3"""
ra_010310_title#0,"""Rumors of Small, Strange Shadows!"""
ra_010310_date#0,"""A.P.238/3/5"""
ra_010460_title#0,"""Cave Dragonkin Are Awesome!"""
ra_010460_date#0,"""A.P.238/3/6"""
st_010310_title#0,"""ＥＰ１－４枚目の受け渡し"""
st_010310_date#0,"""A.P.238/3/3/14:00"""
ra_010120_title#0,"""情熱の再燃"""
ra_010120_date#0,"""A.P.238/3/2"""
ra_010320_title#0,"""小さな人影に救われたんです"""
ra_010320_date#0,"""A.P.238/3/4"""
ra_010240_title#0,"""Where's that Masked Jerk?"""
ra_010240_date#0,"""A.P.238/3/4"""
ra_010330_title#0,"""Traces of Existence"""
ra_010330_date#0,"""A.P.238/3/6"""
ra_010380_title#0,"""恩人の忘れ物"""
ra_010380_date#0,"""A.P.238/3/6"""
un_011080_title#0,"""Pissed Off"""
un_011080_date#0,"""A.P.238/3/6"""
un_011150_title#0,"""やる気と才能"""
un_011150_date#0,"""A.P.238/3/7"""
ra_010390_title#0,"""恩人にあいたくて"""
ra_010390_date#0,"""A.P.238/3/8"""
ra_010400_title#0,"""We've Met, But Not Yet"""
ra_010400_date#0,"""A.P.238/3/9"""
ra_010410_title#0,"""The Coward's Dilemma"""
ra_010410_date#0,"""A.P.238/3/10"""
ra_010420_title#0,"""A Reason to Be Afraid"""
ra_010420_date#0,"""A.P.238/3/10"""
ra_010340_title#0,"""I Wonder Who's at Fault?"""
ra_010340_date#0,"""A.P.238/3/11"""
st_010320_title#0,"""一緒に調査"""
st_010320_date#0,"""A.P.238/3/12"""
st_010330_title#0,"""探索開始は……"""
st_010330_date#0,"""A.P.238/3/12"""
st_010360_title#0,"""彼らの考え方"""
st_010360_date#0,"""A.P.238/3/12/9:00"""
st_010370_title#0,"""受けた恩は忘れない"""
st_010370_date#0,"""A.P.238/3/12/10:00"""
st_010335_title#0,"""痕跡はあるけれど"""
st_010335_date#0,"""A.P.238/3/12/11:30"""
st_010340_title#0,"""きみが心を見せるまで"""
st_010340_date#0,"""A.P.238/3/12/12:00"""
st_010375_title#0,"""ＥＰ１－５枚目の受け渡し"""
st_010375_date#0,"""A.P.238/3/21/14:00"""
ra_010250_title#0,"""深き因縁"""
ra_010250_date#0,"""A.P.238/3/3"""
ra_010280_title#0,"""Unworthy Outsiders"""
ra_010280_date#0,"""A.P.238/3/5"""
ra_010470_title#0,"""先生が行方不明なんです！"""
ra_010470_date#0,"""A.P.238/3/8"""
ra_010480_title#0,"""Seeker of Truth"""
ra_010480_date#0,"""A.P.238/3/8"""
ra_010490_title#0,"""代理の情報収集"""
ra_010490_date#0,"""A.P.238/3/9"""
ra_010500_title#0,"""The Overwhelming Dragonkin"""
ra_010500_date#0,"""A.P.238/3/11"""
ra_010510_title#0,"""おかしなパラメーター"""
ra_010510_date#0,"""A.P.238/3/11"""
ra_010130_title#0,"""ひとつでは足りない"""
ra_010130_date#0,"""A.P.238/3/13"""
un_011090_title#0,"""Pretending to Fight"""
un_011090_date#0,"""A.P.238/3/13"""
un_011160_title#0,"""落ちこぼれは落ちこぼれ？"""
un_011160_date#0,"""A.P.238/3/13"""
ra_010200_title#0,"""他のパーツは一体何所に？"""
ra_010200_date#0,"""A.P.238/3/14"""
ra_010520_title#0,"""やはり自分で見なければ"""
ra_010520_date#0,"""A.P.238/3/18"""
ra_010610_title#0,"""こんなことはありえない"""
ra_010610_date#0,"""A.P.238/3/18"""
st_010380_title#0,"""龍族の調査を始めよう"""
st_010380_date#0,"""A.P.238/3/19/12:00"""
st_010395_title#0,"""排他的な龍族"""
st_010395_date#0,"""A.P.238/3/19/12:20"""
st_010430_title#0,"""狂化する龍族"""
st_010430_date#0,"""A.P.238/3/19/12:20"""
st_010400_title#0,"""ダーカーが多い"""
st_010400_date#0,"""A.P.238/3/19/12:40"""
st_010440_title#0,"""龍族の遺体"""
st_010440_date#0,"""A.P.238/3/19/12:40"""
st_010410_title#0,"""狂った龍族"""
st_010410_date#0,"""A.P.238/3/19/13:00"""
st_010450_title#0,"""龍族の掟"""
st_010450_date#0,"""A.P.238/3/19/13:00"""
st_010420_title#0,"""生まれる誤解"""
st_010420_date#0,"""A.P.238/3/19/13:30"""
st_010460_title#0,"""対話のはじまり"""
st_010460_date#0,"""A.P.238/3/19/13:30"""
st_010470_title#0,"""ＥＰ１－６枚目の受け渡し"""
st_010470_date#0,"""A.P.238/3/21/14:00"""
un_011100_title#0,"""無理しないでって……"""
un_011100_date#0,"""A.P.238/3/16"""
ra_010430_title#0,"""A Small Step Forward"""
ra_010430_date#0,"""A.P.238/3/20"""
ra_010740_title#0,"""The Final Regret"""
ra_010740_date#0,"""A.P.238/3/21"""
st_010555_title#0,"""ＥＰ１－７枚目の受け渡し"""
st_010555_date#0,"""A.P.238/3/21/14:00"""
ra_010440_title#0,"""If You Obey"""
ra_010440_date#0,"""A.P.238/3/21"""
ra_010210_title#0,"""Searching the Tunnels, a Masked Figure"""
ra_010210_date#0,"""A.P.238/3/22"""
ra_010450_title#0,"""Somehow, We're Fine"""
ra_010450_date#0,"""A.P.238/3/22"""
ra_010290_title#0,"""ゲッテムハルトの過去は……"""
ra_010290_date#0,"""A.P.238/3/22"""
st_010480_title#0,"""破損武器の探索"""
st_010480_date#0,"""A.P.238/3/24/10:00"""
st_010490_title#0,"""謎の印"""
st_010490_date#0,"""A.P.238/3/24/10:30"""
st_010500_title#0,"""存在証明"""
st_010500_date#0,"""A.P.238/3/24/11:00"""
st_010580_title#0,"""彼らの言葉とは"""
st_010580_date#0,"""A.P.238/3/24/11:00"""
st_010510_title#0,"""空振り調査"""
st_010510_date#0,"""A.P.238/3/24/11:30"""
st_010590_title#0,"""最奥への導き"""
st_010590_date#0,"""A.P.238/3/24/11:30"""
st_010600_title#0,"""二つ目の破損クラリッサ"""
st_010600_date#0,"""A.P.238/3/24/12:00"""
ra_010140_title#0,"""これは……先端部分！"""
ra_010140_date#0,"""A.P.238/3/24"""
st_010470_title#1,"""ＥＰ１－６枚目の受け渡し"""
st_010470_date#1,"""A.P.238/3/21/14:00"""
ra_010530_title#0,"""A Time-Sensitive Issue"""
ra_010530_date#0,"""A.P.238/3/21"""
ra_010540_title#0,"""Hi En's Hope"""
ra_010540_date#0,"""A.P.238/3/22"""
ra_010800_title#0,"""Resigned Bad Guy"""
ra_010800_date#0,"""A.P.238/3/22"""
st_010555_title#1,"""ＥＰ１－７枚目の受け渡し"""
st_010555_date#1,"""A.P.238/3/21/14:00"""
ra_010220_title#0,"""Searching the Skyscape, a Masked Figure"""
ra_010220_date#0,"""A.P.238/3/23"""
ra_010550_title#0,"""Balancing Pride and Life"""
ra_010550_date#0,"""A.P.238/3/23"""
ra_010560_title#0,"""The Existence of Salvation"""
ra_010560_date#0,"""A.P.238/3/24"""
st_010520_title#0,"""闇雲な調査へ"""
st_010520_date#0,"""A.P.238/3/25/10:00"""
st_010530_title#0,"""ヒ・エンとの再会"""
st_010530_date#0,"""A.P.238/3/25/10:30"""
st_010620_title#0,"""認められたもの"""
st_010620_date#0,"""A.P.238/3/25/10:30"""
st_010540_title#0,"""アークスがダーカーを招く"""
st_010540_date#0,"""A.P.238/3/25/11:00"""
st_010630_title#0,"""新たな時代"""
st_010630_date#0,"""A.P.238/3/25/11:00"""
