Gat_TitleStatus#0,"""ギャザリングステータス"""
Name_C0113#0,"""火山洞窟カボチャ採取経験1"""
Name_C0114#0,"""火山洞窟カボチャ採取経験2"""
Name_C0115#0,"""火山洞窟パイン採取経験1"""
Name_C0116#0,"""火山洞窟パイン採取経験2"""
Name_C0117#0,"""アムドゥスキア龍鱗採取経験１"""
Name_C0118#0,"""火山洞窟ガーネット採取経験1"""
Name_C0119#0,"""凍土採取経験1"""
Name_C0120#0,"""凍土採取経験2"""
Name_C0121#0,"""凍土採取経験3"""
Name_C0122#0,"""凍土ネギ採取経験1"""
Name_C0123#0,"""凍土ネギ採取経験2"""
Name_C0124#0,"""凍土青リンゴ採取経験1"""
Name_C0125#0,"""凍土青リンゴ採取経験2"""
Name_C0126#0,"""ナベルダケ採取経験１"""
Name_C0127#0,"""凍土琥珀採取経験1"""
Name_C0128#0,"""地下坑道採取経験1"""
Name_C0129#0,"""地下坑道採取経験2"""
Name_C0130#0,"""地下坑道採取経験3"""
Name_C0131#0,"""地下坑道キノコ採取経験1"""
Name_C0132#0,"""地下坑道キノコ採取経験2"""
Name_C0133#0,"""地下坑道ショウガ採取経験1"""
Name_C0134#0,"""地下坑道ショウガ採取経験2"""
Name_C0135#0,"""リリーパチョッキ採取経験１"""
Name_C0136#0,"""地下坑道ペリドット採取経験1"""
Name_C0137#0,"""白ノ領域採取経験1"""
Name_C0138#0,"""白ノ領域採取経験2"""
Name_C0139#0,"""白ノ領域採取経験3"""
Name_C0140#0,"""白ノ領域イトモヤシ採取経験1"""
Name_C0141#0,"""白ノ領域イトモヤシ採取経験2"""
Name_C0142#0,"""白ノ領域ナス採取経験1"""
Name_C0143#0,"""白ノ領域ナス採取経験2"""
Name_C0144#0,"""ハルコタンの破片採取経験１"""
Name_C0145#0,"""白ノ領域ムーンストーン採取経験1"""
Name_C0146#0,"""浮遊大陸採取経験1"""
Name_C0147#0,"""浮遊大陸採取経験2"""
Name_C0148#0,"""浮遊大陸採取経験3"""
Name_C0149#0,"""浮遊大陸インゲン採取経験1"""
Name_C0150#0,"""浮遊大陸インゲン採取経験2"""
Name_C0151#0,"""浮遊大陸クリ採取経験1"""
Name_C0152#0,"""浮遊大陸クリ採取経験2"""
Name_C0153#0,"""アムドゥスキア龍鱗採取経験１"""
Name_C0154#0,"""浮遊大陸フローライト採取経験1"""
Name_C0155#0,"""海底採取経験1"""
Name_C0156#0,"""海底採取経験2"""
Name_C0157#0,"""海底採取経験3"""
Name_C0158#0,"""海底エシャロット採取経験1"""
Name_C0159#0,"""海底エシャロット採取経験2"""
Name_C0160#0,"""海底レモン採取経験1"""
Name_C0161#0,"""海底レモン採取経験2"""
Name_C0162#0,"""ウォパルシェル採取経験１"""
Name_C0163#0,"""海底タンザナイト採取経験1"""
Name_C0164#0,"""龍祭壇採取経験1"""
Name_C0165#0,"""龍祭壇採取経験2"""
Name_C0166#0,"""龍祭壇採取経験3"""
Name_C0167#0,"""龍祭壇ダイコン採取経験1"""
Name_C0168#0,"""龍祭壇ダイコン採取経験2"""
Name_C0169#0,"""龍祭壇ホウレンソウ採取経験1"""
Name_C0170#0,"""龍祭壇ホウレンソウ採取経験2"""
Name_C0171#0,"""アムドゥスキア龍鱗採取経験１"""
Name_C0172#0,"""龍祭壇ジルコン採取経験1"""
Name_C0173#0,"""黒ノ領域採取経験1"""
Name_C0174#0,"""黒ノ領域採取経験2"""
Name_C0175#0,"""黒ノ領域採取経験3"""
Name_C0176#0,"""黒ノ領域レンコン採取経験1"""
Name_C0177#0,"""黒ノ領域レンコン採取経験2"""
Name_C0178#0,"""黒ノ領域ゴボウ採取経験1"""
Name_C0179#0,"""黒ノ領域ゴボウ採取経験2"""
Name_C0180#0,"""ハルコタンの破片採取経験１"""
Name_C0181#0,"""黒ノ領域ヘマタイト採取経験1"""
Explain_C0000#0,"""<yellow>Führe 1 Ernte durch!<c><br>　※Gebiet: Unbestimmt<br>　※Kategorie: Alle"""
Explain_C0001#0,"""<yellow>8回、採取をしよう！<c><br>\u3000※エリア：指定なし<br>\u3000※対象カテゴリ：すべて"""
Explain_C0002#0,"""<yellow>20回、採取をしよう！<c><br>\u3000※エリア：指定なし<br>\u3000※対象カテゴリ：すべて"""
Explain_C0003#0,"""<yellow>30回、採取をしよう！<c><br>\u3000※エリア：指定なし<br>\u3000※対象カテゴリ：すべて"""
Explain_C0004#0,"""<yellow>40回、採取をしよう！<c><br>\u3000※エリア：指定なし<br>\u3000※対象カテゴリ：すべて"""
Explain_C0005#0,"""<yellow>50回、採取をしよう！<c><br>\u3000※エリア：指定なし<br>\u3000※対象カテゴリ：すべて"""
Explain_C0006#0,"""<yellow>5回、追加採取をしよう！<c><br>\u3000※エリア：指定なし<br>\u3000※対象カテゴリ：すべて<br><c 73d882>\u3000※追加採取は料理「海鮮スープ」で<br>\u3000\u3000発生率上昇<c>"""
Explain_C0007#0,"""<yellow>10回、追加採取をしよう！<c><br>\u3000※エリア：指定なし<br>\u3000※対象カテゴリ：すべて<br><c 73d882>\u3000※追加採取は料理「海鮮スープ」で<br>\u3000\u3000発生率上昇<c>"""
Explain_C0008#0,"""<yellow>20回、追加採取をしよう！<c><br>\u3000※エリア：指定なし<br>\u3000※対象カテゴリ：すべて<br><c 73d882>\u3000※追加採取は料理「海鮮スープ」で<br>\u3000\u3000発生率上昇<c>"""
Explain_C0009#0,"""<yellow>30回、追加採取をしよう！<c><br>\u3000※エリア：指定なし<br>\u3000※対象カテゴリ：すべて<br><c 73d882>\u3000※追加採取は料理「海鮮スープ」で<br>\u3000\u3000発生率上昇<c>"""
Explain_C0010#0,"""<yellow>5回、レア採取をしよう！<c><br>\u3000※エリア：指定なし<br>\u3000※対象カテゴリ：すべて<br><c d468a0>\u3000※レア採取は、採取時に<br>\u3000\u3000ランダムで発生<c>"""
Explain_C0011#0,"""<yellow>10回、レア採取をしよう！<c><br>\u3000※エリア：指定なし<br>\u3000※対象カテゴリ：すべて<br><c d468a0>\u3000※レア採取は、採取時に<br>\u3000\u3000ランダムで発生<c>"""
Explain_C0012#0,"""<yellow>20回、レア採取をしよう！<c><br>\u3000※エリア：指定なし<br>\u3000※対象カテゴリ：すべて<br><c d468a0>\u3000※レア採取は、採取時に<br>\u3000\u3000ランダムで発生<c>"""
Explain_C0013#0,"""<yellow>30回、レア採取をしよう！<c><br>\u3000※エリア：指定なし<br>\u3000※対象カテゴリ：すべて<br><c d468a0>\u3000※レア採取は、採取時に<br>\u3000\u3000ランダムで発生<c>"""
Explain_C0014#0,"""<yellow>野菜を10回、採取しよう！<c><br>\u3000※エリア：指定なし<br>\u3000※対象カテゴリ：野菜<br><c 73d882>\u3000※野菜は料理「森林トマトのサラダ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0015#0,"""<yellow>果実を10回、採取しよう！<c><br>\u3000※エリア：指定なし<br>\u3000※対象カテゴリ：果実<br><c 73d882>\u3000※果実は料理「海岸ハギの塩焼き」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0016#0,"""<yellow>穀物を10回、採取しよう！<c><br>\u3000※エリア：指定なし<br>\u3000※対象カテゴリ：穀物<br><c 73d882>\u3000※穀物は料理「森林マグロのカルパッチョ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0017#0,"""<yellow>鉱石を10回、採取しよう！<c><br>\u3000※エリア：指定なし<br>\u3000※対象カテゴリ：鉱石<br><c 73d882>\u3000※鉱石は料理「お刺身」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0018#0,"""<yellow>100回、採取をしよう！<c><br>\u3000※エリア：指定なし<br>\u3000※対象カテゴリ：すべて"""
Explain_C0019#0,"""<yellow>200回、採取をしよう！<c><br>\u3000※エリア：指定なし<br>\u3000※対象カテゴリ：すべて"""
Explain_C0020#0,"""<yellow>300回、採取をしよう！<c><br>\u3000※エリア：指定なし<br>\u3000※対象カテゴリ：すべて"""
Explain_C0021#0,"""<yellow>400回、採取をしよう！<c><br>\u3000※エリア：指定なし<br>\u3000※対象カテゴリ：すべて"""
Explain_C0022#0,"""<yellow>500回、採取をしよう！<c><br>\u3000※エリア：指定なし<br>\u3000※対象カテゴリ：すべて"""
Explain_C0023#0,"""<yellow>50回、追加採取をしよう！<c><br>\u3000※エリア：指定なし<br>\u3000※対象カテゴリ：すべて<br><c 73d882>\u3000※追加採取は料理「海鮮スープ」で<br>\u3000\u3000発生率上昇<c>"""
Explain_C0024#0,"""<yellow>75回、追加採取をしよう！<c><br>\u3000※エリア：指定なし<br>\u3000※対象カテゴリ：すべて<br><c 73d882>\u3000※追加採取は料理「海鮮スープ」で<br>\u3000\u3000発生率上昇<c>"""
Explain_C0025#0,"""<yellow>100回、追加採取をしよう！<c><br>\u3000※エリア：指定なし<br>\u3000※対象カテゴリ：すべて<br><c 73d882>\u3000※追加採取は料理「海鮮スープ」で<br>\u3000\u3000発生率上昇<c>"""
Explain_C0026#0,"""<yellow>125回、追加採取をしよう！<c><br>\u3000※エリア：指定なし<br>\u3000※対象カテゴリ：すべて<br><c 73d882>\u3000※追加採取は料理「海鮮スープ」で<br>\u3000\u3000発生率上昇<c>"""
Explain_C0027#0,"""<yellow>150回、追加採取をしよう！<c><br>\u3000※エリア：指定なし<br>\u3000※対象カテゴリ：すべて<br><c 73d882>\u3000※追加採取は料理「海鮮スープ」で<br>\u3000\u3000発生率上昇<c>"""
Explain_C0028#0,"""<yellow>50回、レア採取をしよう！<c><br>\u3000※エリア：指定なし<br>\u3000※対象カテゴリ：すべて<br><c d468a0>\u3000※レア採取は、採取時に<br>\u3000\u3000ランダムで発生<c>"""
Explain_C0029#0,"""<yellow>75回、レア採取をしよう！<c><br>\u3000※エリア：指定なし<br>\u3000※対象カテゴリ：すべて<br><c d468a0>\u3000※レア採取は、採取時に<br>\u3000\u3000ランダムで発生<c>"""
Explain_C0030#0,"""<yellow>100回、レア採取をしよう！<c><br>\u3000※エリア：指定なし<br>\u3000※対象カテゴリ：すべて<br><c d468a0>\u3000※レア採取は、採取時に<br>\u3000\u3000ランダムで発生<c>"""
Explain_C0031#0,"""<yellow>125回、レア採取をしよう！<c><br>\u3000※エリア：指定なし<br>\u3000※対象カテゴリ：すべて<br><c d468a0>\u3000※レア採取は、採取時に<br>\u3000\u3000ランダムで発生<c>"""
Explain_C0032#0,"""<yellow>150回、レア採取をしよう！<c><br>\u3000※エリア：指定なし<br>\u3000※対象カテゴリ：すべて<br><c d468a0>\u3000※レア採取は、採取時に<br>\u3000\u3000ランダムで発生<c>"""
Explain_C0033#0,"""<yellow>野菜を50回、採取しよう！<c><br>\u3000※エリア：指定なし<br>\u3000※対象カテゴリ：野菜<br><c 73d882>\u3000※野菜は料理「森林トマトのサラダ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0034#0,"""<yellow>果実を50回、採取しよう！<c><br>\u3000※エリア：指定なし<br>\u3000※対象カテゴリ：果実<br><c 73d882>\u3000※果実は料理「海岸ハギの塩焼き」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0035#0,"""<yellow>穀物を50回、採取しよう！<c><br>\u3000※エリア：指定なし<br>\u3000※対象カテゴリ：穀物<br><c 73d882>\u3000※穀物は料理「森林マグロのカルパッチョ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0036#0,"""<yellow>鉱石を50回、採取しよう！<c><br>\u3000※エリア：指定なし<br>\u3000※対象カテゴリ：鉱石<br><c 73d882>\u3000※鉱石は料理「お刺身」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0037#0,"""<yellow>宝石を10回、採取しよう！<c><br>\u3000※エリア：指定なし<br>\u3000※対象カテゴリ：宝石<br><c 73d882>\u3000※宝石は料理「採掘場跡サメのスープ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0038#0,"""<yellow>森林で10回、採取しよう！<c><br>\u3000※エリア：森林<br>\u3000※対象カテゴリ：すべて"""
Explain_C0039#0,"""<yellow>森林で20回、採取しよう！<c><br>\u3000※エリア：森林<br>\u3000※対象カテゴリ：すべて"""
Explain_C0040#0,"""<yellow>森林で30回、採取しよう！<c><br>\u3000※エリア：森林<br>\u3000※対象カテゴリ：すべて"""
Explain_C0041#0,"""<yellow>「森林トマト」を3回、採取しよう！<c><br>\u3000※エリア：森林<br>\u3000※対象カテゴリ：野菜<br><c 73d882>\u3000※野菜は料理「森林トマトのサラダ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0042#0,"""<yellow>「森林トマト」を10回、採取しよう！<c><br>\u3000※エリア：森林<br>\u3000※対象カテゴリ：野菜<br><c 73d882>\u3000※野菜は料理「森林トマトのサラダ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0043#0,"""<yellow>「森林米」を3回、採取しよう！<c><br>\u3000※エリア：森林<br>\u3000※対象カテゴリ：穀物<br><c 73d882>\u3000※穀物は料理「森林マグロのカルパッチョ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0044#0,"""<yellow>「森林米」を15回、採取しよう！<c><br>\u3000※エリア：森林<br>\u3000※対象カテゴリ：穀物<br><c 73d882>\u3000※穀物は料理「森林マグロのカルパッチョ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0045#0,"""<yellow>「ナベルダケ」を3回、採取しよう！<c><br>\u3000※エリア：森林<br>\u3000※対象カテゴリ：野菜<br><c 73d882>\u3000※野菜は料理「森林トマトのサラダ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0046#0,"""<yellow>「森林エメラルド」を3回、採取しよう！<c><br>\u3000※エリア：森林<br>\u3000※対象カテゴリ：宝石<br><c 73d882>\u3000※宝石は料理「採掘場跡サメのスープ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0047#0,"""<yellow>遺跡で10回、採取しよう！<c><br>\u3000※エリア：遺跡<br>\u3000※対象カテゴリ：すべて"""
Explain_C0048#0,"""<yellow>遺跡で20回、採取しよう！<c><br>\u3000※エリア：遺跡<br>\u3000※対象カテゴリ：すべて"""
Explain_C0049#0,"""<yellow>遺跡で30回、採取しよう！<c><br>\u3000※エリア：遺跡<br>\u3000※対象カテゴリ：すべて"""
Explain_C0050#0,"""<yellow>「遺跡ブドウ」を3回、採取しよう！<c><br>\u3000※エリア：遺跡<br>\u3000※対象カテゴリ：果実<br><c 73d882>\u3000※果実は料理「海岸ハギの塩焼き」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0051#0,"""<yellow>「遺跡ブドウ」を15回、採取しよう！<c><br>\u3000※エリア：遺跡<br>\u3000※対象カテゴリ：果実<br><c 73d882>\u3000※果実は料理「海岸ハギの塩焼き」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0052#0,"""<yellow>「遺跡タマネギ」を3回、採取しよう！<c><br>\u3000※エリア：遺跡<br>\u3000※対象カテゴリ：野菜<br><c 73d882>\u3000※野菜は料理「遺跡サケの果実ソースかけ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0053#0,"""<yellow>「遺跡タマネギ」を15回、採取しよう！<c><br>\u3000※エリア：遺跡<br>\u3000※対象カテゴリ：野菜<br><c 73d882>\u3000※野菜は料理「遺跡サケの果実ソースかけ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0054#0,"""<yellow>「ナベルダケ」を3回、採取しよう！<c><br>\u3000※エリア：遺跡<br>\u3000※対象カテゴリ：野菜<br><c 73d882>\u3000※野菜は料理「遺跡サケの果実ソースかけ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0055#0,"""<yellow>「遺跡アメジスト」を3回、採取しよう！<c><br>\u3000※エリア：遺跡<br>\u3000※対象カテゴリ：宝石<br><c 73d882>\u3000※宝石は料理「採掘場跡サメのスープ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0056#0,"""<yellow>海岸で10回、採取しよう！<c><br>\u3000※エリア：海岸<br>\u3000※対象カテゴリ：すべて"""
Explain_C0057#0,"""<yellow>海岸で20回、採取しよう！<c><br>\u3000※エリア：海岸<br>\u3000※対象カテゴリ：すべて"""
Explain_C0058#0,"""<yellow>海岸で30回、採取しよう！<c><br>\u3000※エリア：海岸<br>\u3000※対象カテゴリ：すべて"""
Explain_C0059#0,"""<yellow>「海岸塩」を3回、採取しよう！<c><br>\u3000※エリア：海岸<br>\u3000※対象カテゴリ：鉱石<br><c 73d882>\u3000※鉱石は料理「お刺身」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0060#0,"""<yellow>「海岸塩」を15回、採取しよう！<c><br>\u3000※エリア：海岸<br>\u3000※対象カテゴリ：鉱石<br><c 73d882>\u3000※鉱石は料理「お刺身」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0061#0,"""<yellow>「海岸オリーブ」を3回、採取しよう！<c><br>\u3000※エリア：海岸<br>\u3000※対象カテゴリ：果実<br><c 73d882>\u3000※果実は料理「海岸ハギの塩焼き」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0062#0,"""<yellow>「海岸オリーブ」を15回、採取しよう！<c><br>\u3000※エリア：海岸<br>\u3000※対象カテゴリ：果実<br><c 73d882>\u3000※果実は料理「海岸ハギの塩焼き」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0063#0,"""<yellow>「ウォパルシェル」を3回、採取しよう！<c><br>\u3000※エリア：海岸<br>\u3000※対象カテゴリ：その他<br><c 73d882>\u3000※その他は料理「地下坑道マキガイのサラダ」<br>\u3000\u3000で取得率上昇<c>"""
Explain_C0064#0,"""<yellow>「海岸サファイア」を3回、採取しよう！<c><br>\u3000※エリア：海岸<br>\u3000※対象カテゴリ：宝石<br><c 73d882>\u3000※宝石は料理「採掘場跡サメのスープ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0065#0,"""<yellow>東京で10回、採取しよう！<c><br>\u3000※エリア：東京<br>\u3000※対象カテゴリ：すべて"""
Explain_C0066#0,"""<yellow>東京で20回、採取しよう！<c><br>\u3000※エリア：東京<br>\u3000※対象カテゴリ：すべて"""
Explain_C0067#0,"""<yellow>東京で30回、採取しよう！<c><br>\u3000※エリア：東京<br>\u3000※対象カテゴリ：すべて"""
Explain_C0068#0,"""<yellow>「東京大豆」を3回、採取しよう！<c><br>\u3000※エリア：東京<br>\u3000※対象カテゴリ：穀物<br><c 73d882>\u3000※穀物は料理「森林マグロのカルパッチョ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0069#0,"""<yellow>「東京大豆」を15回、採取しよう！<c><br>\u3000※エリア：東京<br>\u3000※対象カテゴリ：穀物<br><c 73d882>\u3000※穀物は料理「森林マグロのカルパッチョ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0070#0,"""<yellow>「アースロック」を3回、採取しよう！<c><br>\u3000※エリア：東京<br>\u3000※対象カテゴリ：鉱石<br><c 73d882>\u3000※鉱石は料理「東京マダイの照り焼き」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0071#0,"""<yellow>「アースロック」を15回、採取しよう！<c><br>\u3000※エリア：東京<br>\u3000※対象カテゴリ：鉱石<br><c 73d882>\u3000※鉱石は料理「東京マダイの照り焼き」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0072#0,"""<yellow>「アキビン」を3回、採取しよう！<c><br>\u3000※エリア：東京<br>\u3000※対象カテゴリ：その他<br><c 73d882>\u3000※その他は料理「地下坑道マキガイのサラダ」<br>\u3000\u3000で取得率上昇<c>"""
Explain_C0073#0,"""<yellow>「東京オパール」を3回、採取しよう！<c><br>\u3000※エリア：東京<br>\u3000※対象カテゴリ：宝石<br><c 73d882>\u3000※宝石は料理「採掘場跡サメのスープ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0074#0,"""<yellow>砂漠で10回、採取しよう！<c><br>\u3000※エリア：砂漠<br>\u3000※対象カテゴリ：すべて"""
Explain_C0075#0,"""<yellow>砂漠で20回、採取しよう！<c><br>\u3000※エリア：砂漠<br>\u3000※対象カテゴリ：すべて"""
Explain_C0076#0,"""<yellow>砂漠で30回、採取しよう！<c><br>\u3000※エリア：砂漠<br>\u3000※対象カテゴリ：すべて"""
Explain_C0077#0,"""<yellow>「砂漠サンショウ」を3回、採取しよう！<c><br>\u3000※エリア：砂漠<br>\u3000※対象カテゴリ：野菜<br><c 73d882>\u3000※野菜は料理「森林トマトのサラダ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0078#0,"""<yellow>「砂漠サンショウ」を15回、採取しよう！<c><br>\u3000※エリア：砂漠<br>\u3000※対象カテゴリ：野菜<br><c 73d882>\u3000※野菜は料理「森林トマトのサラダ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0079#0,"""<yellow>「砂漠マンゴー」を3回、採取しよう！<c><br>\u3000※エリア：砂漠<br>\u3000※対象カテゴリ：果実<br><c 73d882>\u3000※果実は料理「砂漠カニのコロッケ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0080#0,"""<yellow>「砂漠マンゴー」を15回、採取しよう！<c><br>\u3000※エリア：砂漠<br>\u3000※対象カテゴリ：果実<br><c 73d882>\u3000※果実は料理「砂漠カニのコロッケ」で<br>\u3000\u3000取得率上昇<c>"""
