CorrectionAssignMapTitle#0,"""조작 설정 복원"""
MenuButtonChat#0,"""채팅 설정"""
MenuButtonDirection#0,"""연출 설정"""
MenuButtonDrawFunction#0,"""품질 기능"""
MenuButtonDrawFilter#0,"""화면 필터<pict Arcscash>"""
MenuButtonDrawShadow#0,"""그림자 설정"""
MenuButtonDrawDisplay#0,"""표시 설정"""
MenuButtonSound#0,"""음성 설정"""
MenuButtonOperationType#0,"""주로 사용하는 조작기기"""
MenuButtonActionType#0,"""액션 타입 선택"""
MenuButtonSndVolume#0,"""음량"""
MenuButtonSndPlay#0,"""재생 설정"""
MenuButtonCtrl#0,"""조작 설정"""
MenuButtonWindow#0,"""윈도우 초기화"""
MenuButtonSystem#0,"""システム"""
MenuButtonReset#0,"""설정 초기화"""
MenuButtonExit#0,"""취소하고 돌아간다"""
MenuButtonExitWithSave#0,"""변경사항 저장"""
ThreeChoiceMenuTitle#0,"""종료 확인"""
ThreeChoiceMenuMessageApply#0,"""옵션 화면을 닫고 돌아갑니다.<br>변경사항을 반영하겠습니까?<br>"""
ThreeChoiceMenuButtonExit#0,"""취소하고 돌아간다"""
ThreeChoiceMenuButtonExitWithSave#0,"""변경사항 저장"""
ThreeChoiceMenuButtonCancel#0,"""취소"""
ConfirmTitleInit#0,"""초기화 확인"""
ConfirmMessageInit#0,"""모든 옵션 설정을 초기화합니다.<br>괜찮으시겠습니까?"""
ConfirmTitle#0,"""종료 확인"""
ConfirmMessageApply#0,"""변경 사항을 반영합니다.<br>괜찮으시겠습니까?"""
ConfirmMessageDisapply#0,"""변경 사항을 취소합니다.<br>괜찮으시겠습니까?"""
ConfirmButtonApply#0,"""변경을 저장하고 종료하기"""
ConfirmButtonDisapply#0,"""변경을 취소하고 종료하기"""
ConfirmButtonCancel#0,"""옵션으로 돌아가기"""
BasicTextSmutFilter#0,"""텍스트 필터링 설정"""
VitaCtrlTextSwapLR#0,"""L/Rボタン機能入れ替え（カスタム時無効）"""
VitaCtrlTextSwapStartSelect#0,"""START/SELECTボタン機能入れ替え(カスタム時無効)"""
VitaCtrlTextNormalCtrlType#0,"""通常視点操作タイプ"""
VitaCtrlTextShoulderCtrlType#0,"""肩越し視点操作タイプ"""
VitaCtrlTextSavePartySetting#0,"""파티 설정 저장"""
VitaCtrlTextLockonChange#0,"""<%RStick>によるロックオン切り替え"""
VitaCtrlTextNavi#0,"""ナビアイコン表示切り替え"""
MltPtMatchingButton#0,"""다중 블록 매칭 대상의 퀘스트를 수주할 때<br>커서 위치를 어느 버튼으로 할지 설정합니다.<br>\u3000※일부 퀘스트는 제외됩니다"""
ConfirmTitleWindowInit#0,"""윈도우 초기화 확인"""
ConfirmMessageWindowInit#0,"""모든 윈도우의 표시 위치와 표시 크기를 초기화합니다.<br>괜찮으시겠습니까?"""
ConfirmMessageWindowInitEnd#0,"""윈도우의 표시 위치와 표시 크기를 초기화 했습니다."""
WindowTitleInitText#0,"""윈도우 초기화 설정"""
WindowInitHint#0,"""모든 윈도우의 표시 위치와 사이즈를 초기화합니다."""
WindowRadioButtonInitText#0,"""모든 윈도우의 위치와 크기를 초기화한다"""
EstheTitleText#0,"""헤어스타일 및 헤드 파츠 악세서리 선택 방식"""
EstheHint#0,"""캐릭터 크리에이트 및 에스테로 선택하는<br>헤어스타일, 헤드 파츠, 악세서리 창의<br>타입을 설정합니다."""
EstheRadioButtonText1#0,"""작은 윈도우 다중 표시 가능"""
EstheRadioButtonText2#0,"""큰 윈도우 탭화 다중 표시 불가"""
CtrlKeyboardTitle#0,"""키보드 조작 설정"""
CtrlTabTitleNView#0,"""보통 시점"""
CtrlTabTitleZView#0,"""TPS 시점"""
CtrlTabTitleWindow#0,"""윈도우"""
CtrlTabTitleOther#0,"""기타"""
CtrlTabTitleShortcut#0,"""숏컷"""
CtrlTabTitleAction#0,"""액션"""
CtrlTabTitleLobbyAction#0,"""로비 액션"""
CtrlTabTitleBasicSet#0,"""기본 설정"""
CtrlMainCtgNameNView#0,"""보통 시점 조작"""
CtrlMainCtgNameZView#0,"""TPS 시점 조작"""
CtrlMainCtgNameWindow#0,"""윈도우 조작"""
CtrlMainCtgNameOther#0,"""기타 조작"""
CtrlMainCtgNameShortcut#0,"""숏컷 조작"""
CtrlMainCtgNameAction#0,"""액션 조작"""
CtrlMainCtgNameLobbyAction#0,"""로비 액션 조작"""
CtrlSubCtgNameViewMove#0,"""캐릭터 이동"""
CtrlSubCtgNameViewCamera#0,"""카메라 거리 변경"""
CtrlSubCtgNameViewAction#0,"""액션"""
CtrlSubCtgNameViewActionSupport#0,"""액션 서포트"""
CtrlSubCtgNameViewMenu#0,"""메뉴"""
CtrlSubCtgNameViewPalette#0,"""무게 팔레트 전환"""
CtrlSubCtgNameViewChat#0,"""채팅"""
CtrlSubCtgNameViewSubPalette#0,"""서브 팔레트 사용"""
CtrlSubCtgNameViewMap#0,"""맵 표시"""
CtrlSubCtgNameWindowBasic#0,"""결정/취소"""
CtrlSubCtgNameWindowChat#0,"""채팅"""
CtrlSubCtgNameWindowPage#0,"""페이지 전환"""
CtrlSubCtgNameWindowTab#0,"""탭 전환"""
CtrlSubCtgNameWindowDetailTab#0,"""상세 윈도우 탭 전환"""
CtrlSubCtgNameWindowCtrlWindow#0,"""조작 윈도우 변경"""
CtrlSubCtgNameOtherShortcut#0,"""숏컷"""
CtrlSubCtgNameOtherShortcutWord#0,"""숏컷 워드"""
CtrlSubCtgNameOtherMainPalette#0,"""무기 팔레트 직접 변경"""
CtrlSubCtgNameOtherSubPalette#0,"""서브 팔레트 사용"""
CtrlSubCtgNameCtrlCtrl#0,"""숏컷 설정"""
CtrlSubCtgNameCtrlWindow#0,"""윈도우 숏컷 설정"""
CtrlSubCtgNameBasic#0,"""기본 조작"""
CtrlSubCtgNameAssist#0,"""보조 조작"""
CtrlSubCtgNameLobbyAction#0,"""로비 액션 키 설정"""
CtrlSubCtgNameActionMenu#0,"""액션/메뉴 조작"""
CtrlPresetNameRNViewRcm#0,"""오른손잡이용 보통 시점 추천 세팅"""
CtrlPresetNameRZViewRcm#0,"""오른손잡이용 TPS 시점 추천 세팅"""
CtrlPresetNameRNViewKbd#0,"""오른손잡이용 보통 시점  추천 세팅을 키보드만 변경"""
CtrlPresetNameRZViewKbd#0,"""오슨손잡이용 TPS 시점 추천 세팅을 키보드만 변경"""
CtrlPresetNameLNViewRcm#0,"""왼손잡이용 보통 시점 추천 세팅"""
CtrlPresetNameLZViewRcm#0,"""왼손잡이용 TPS 시점 추천 세팅"""
CtrlPresetNameLNViewKbd#0,"""왼손잡이용 보통 시점 추천 세팅을 키보드만 변경"""
CtrlPresetNameLZViewKbd#0,"""왼손잡이용 TPS 시점 추천 세팅울 키보드만 변경"""
CtrlPresetNameRcm1#0,"""추천1"""
CtrlPresetNameRcm2#0,"""추천2"""
CtrlPresetNameNViewRcm1#0,"""보통 시점 추천1"""
CtrlPresetNameNViewRcm2#0,"""보통 시점 추천2"""
CtrlPresetNameZViewRcm1#0,"""TPS 시점 추천1"""
CtrlPresetNameZViewRcm2#0,"""TPS 시점 추천2"""
CtrlPresetNameRRcm#0,"""오른손잡이용 추천 세팅"""
CtrlPresetNameLRcm#0,"""왼손잡이용 추천 세팅"""
CtrlPresetNameCutom#0,"""커스텀"""
CtrlPresetNameRcm#0,"""추천"""
CtrlAssignNameMouseL#0,"""왼쪽 클릭"""
CtrlAssignNameMouseR#0,"""오른쪽 클릭"""
CtrlAssignNameMouseM#0,"""휠 클릭"""
CtrlAssignNameMouseWheel#0,"""휠"""
CtrlAssignNameMouseX1#0,"""사이드 버튼(X1)"""
CtrlAssignNameMouseX2#0,"""사이드 버튼(X2)"""
CtrlFuncNameNone#0,"""없음"""
CtrlFuncNameMoveForward#0,"""앞으로 이동"""
CtrlFuncNameMoveRight#0,"""오른쪽으로 이동"""
CtrlFuncNameMoveLeft#0,"""왼쪽으로 이동"""
CtrlFuncNameMoveBack#0,"""뒤로 이동"""
CtrlFuncNameNormalAttack#0,"""일반 공격"""
CtrlFuncNamePhotonArts#0,"""PA/테크닉"""
CtrlFuncNameAvoid#0,"""회피 액션"""
CtrlFuncNameJump#0,"""점프"""
CtrlFuncNameAccess#0,"""액세스"""
CtrlFuncNameWeponAction#0,"""무기 액션"""
CtrlFuncNameLockon#0,"""록온"""
CtrlFuncNameLockonNext#0,"""타겟 전환"""
CtrlFuncNameChangeView#0,"""시점 전환"""
CtrlFuncNameCameraDistance#0,"""카메라 거리 변경"""
CtrlFuncNameCameraSelect#0,"""카메라 선택"""
CtrlFuncNameCameraLightSetting#0,"""커스텀 라이트 설정"""
CtrlFuncNameCameraMoveUD#0,"""카메라 상하 이동"""
CtrlFuncNameAutoRun#0,"""자동 달리기"""
CtrlFuncNameRefuseFollowRun#0,"""자동 따라가기 거부"""
CtrlFuncNameOpenMainMenu#0,"""메인 메뉴"""
CtrlFuncNameOpenSelectMenu#0,"""퀵 메뉴"""
CtrlFuncNameOpenEquip#0,"""장비"""
CtrlFuncNameOpenPlayerList#0,"""주위 캐릭터"""
CtrlFuncNameMainPaletteForward#0,"""무기 팔레트를 순서대로 전환"""
CtrlFuncNameMainPaletteBack#0,"""무기 팔레트를 역순으로 전환"""
CtrlFuncNameMainPaletteA#0,"""액션1"""
CtrlFuncNameMainPaletteB#0,"""액션2"""
CtrlFuncNameMainPaletteC#0,"""액션3"""
CtrlFuncNameBackPallete#0,"""팔레트 전환"""
CtrlFuncNameMainPaletteUp#0,"""무기 팔레트를 아래로"""
CtrlFuncNameMainPaletteDown#0,"""무기 팔레트를 위로"""
CtrlFuncNameStartChat#0,"""채팅 입력"""
CtrlFuncNameStartChatPublic#0,"""주위 채팅 입력"""
CtrlFuncNameStartChatParty#0,"""파티 채팅 입력"""
CtrlFuncNameStartChatGuild#0,"""팀 채팅 입력"""
CtrlFuncNameStartChatWhisper#0,"""귓속말 채팅 입력"""
CtrlFuncNameSubpaletteChange#0,"""서브 팔레트 커서 이동"""
CtrlFuncNameSubpalette#0,"""서브 팔레트 사용"""
CtrlFuncNameSubpaletteForward#0,"""서브 팔레트를 순서대로 전환"""
CtrlFuncNameSubpaletteLeft#0,"""서브 팔레트 커서를 왼쪽으로"""
CtrlFuncNameSubpaletteRight#0,"""서브 팔레트 커서를 오른쪽으로"""
CtrlFuncNameCameraNear#0,"""캐릭터에서 가깝게 한다"""
CtrlFuncNameCameraFar#0,"""キャラクターから遠ざける"""
CtrlFuncNameCameraUp#0,"""위로 이동"""
CtrlFuncNameCameraDown#0,"""아래로 이동"""
CtrlFuncNameCameraNext#0,"""카메라 선택을 순서대로 전환"""
CtrlFuncNameCameraPrev#0,"""카메라 선택을 역순으로 전환"""
CtrlFuncNameUseCameraLight1#0,"""라이트1 사용하기"""
CtrlFuncNameUseCameraLight2#0,"""라이트2 사용하기"""
CtrlFuncNameUseCameraLight3#0,"""라이트3 사용하기"""
CtrlFuncNameUseDeafultCameraLight#0,"""일반 라이트를 사용하기"""
CtrlFuncNameScreenShoot#0,"""스크린샷 촬영"""
CtrlFuncNameMovie#0,"""영상 촬영"""
CtrlFuncNameDecide#0,"""결정"""
CtrlFuncNameCancel#0,"""취소"""
CtrlFuncNameChangeMouseMode#0,"""마우스 모드 전환"""
CtrlFuncNameAllWindowClose#0,"""메인 메뉴 닫기"""
CtrlFuncNameMultiSelect#0,"""다중 선택"""
CtrlFuncNameFunction#0,"""기능 확장"""
CtrlFuncNameMove#0,"""조작 항목의 이동"""
CtrlFuncNamePageForward#0,"""페이지를 순서대로 전환"""
CtrlFuncNamePageBack#0,"""페이지를 역순으로 전환"""
CtrlFuncNameTabForward#0,"""탭을 순서대로 전환"""
CtrlFuncNameTabBack#0,"""탭을 역순으로 전환"""
CtrlFuncNameWindowTabForward#0,"""상세 윈도우 탭을 순서대로 전환"""
CtrlFuncNameWindowTabBack#0,"""상세 윈도우 탭을 역순으로 전환"""
CtrlFuncNameChangeWindow#0,"""조작 윈도우 변경"""
CtrlFuncNameCtrlTabForward#0,"""조작 윈도우 순서대로 전환"""
CtrlFuncNameCtrlTabBack#0,"""조작 윈도우 역순으로 전환"""
CtrlFuncNameCtrlException#0,"""특수 조작"""
CtrlFuncNameCtrlException02#0,"""특수 조작2"""
CtrlFuncNameStctWord#0,"""숏컷 워드 실행"""
CtrlFuncNameChangeToMainPalette#0,"""무기 팔레트 전환"""
CtrlFuncNameChangeRadarMap#0,"""레이더 맵 전환"""
CtrlFuncNameChangeAreaMap#0,"""리전, 시티 맵 표시/비표시"""
CtrlFuncNameOpenItemPack#0,"""아이템"""
CtrlFuncNameOpenCustomize#0,"""커스텀"""
CtrlFuncNameOpenMag#0,"""마그"""
CtrlFuncNameOpenPet#0,"""펫"""
CtrlFuncNameOpenEventItem#0,"""이벤트 아이템"""
CtrlFuncNameOpenEquipWeapon#0,"""무기 장비"""
CtrlFuncNameOpenEquipArmor#0,"""방어구 장비"""
CtrlFuncNameOpenSubpalette#0,"""서브 팔레트 편집"""
CtrlFuncNameOpenFriend#0,"""프렌드 리스트"""
CtrlFuncNameOpenGuild#0,"""팀 커맨드"""
CtrlFuncNameOpenParty#0,"""파티 커맨드"""
CtrlFuncNameOpenMail#0,"""메일"""
CtrlFuncNameOpenNearCharacter#0,"""주위 캐릭터"""
CtrlFuncNameOpenCharaInfo#0,"""캐릭터 정보"""
CtrlFuncNameOpenLicense#0,"""칭호 리스트"""
CtrlFuncNameOpenMyMenu#0,"""퀵 메뉴"""
CtrlFuncNameOpenCommunicationLog#0,"""커뮤니케이션 이력"""
CtrlFuncNameOpenProfile#0,"""아크스 카드 정보"""
CtrlFuncNameOpenLibrary#0,"""도감"""
CtrlFuncNameOpenMutterBoard#0,"""스토리 보드【EP4】"""
CtrlFuncNameOpenClientOrder#0,"""클라이언트 오더"""
CtrlFuncNameOpenQuestInfo#0,"""퀘스트 정보"""
CtrlFuncNameOpenSymbolArt#0,"""심볼아트"""
CtrlFuncNameOpenMacro#0,"""채팅 설정"""
CtrlFuncNameOpenConfig#0,"""옵션"""
CtrlFuncNameOpenPayShop#0,"""AC 샵"""
CtrlFuncNameOpenACGacha#0,"""스크래치 구매"""
CtrlFuncNameOpenPayLog#0,"""구입 이력"""
CtrlFuncNameOpenRentalLimit#0,"""렌탈 유효 기간"""
CtrlFuncNameOpenLogOut#0,"""로그아웃"""
CtrlFuncNameOpenBingo#0,"""아크스 빙고"""
CtrlFuncNameOpenInformation#0,"""인포메이션"""
CtrlFuncNameOpenArksRoad#0,"""아크스 로드"""
CtrlFuncNameOpenCraftAchievement#0,"""크래프트 실행"""
CtrlFuncNameOpenShipBattle#0,"""아크스 쉽 대항전"""
CtrlFuncNameOpenRecycle#0,"""리사이클 샵"""
CtrlFuncNameOpenFashion#0,"""패션 편집"""
CtrlFuncNameOpenGatStatus#0,"""개더링 스테이터스"""
CtrlFuncNameOpenGatAchieve#0,"""달성 가능 개더링 실적"""
CtrlFuncNameOpenEquipNote#0,"""콜렉트 파일"""
CtrlFuncNameOpenBuySG#0,"""스타젬 구입"""
CtrlFuncNameOpenPokaRecord#0,"""전적 정보"""
CtrlFuncNameOpenPokaRankMatch#0,"""배틀랭크 정보"""
CtrlFuncNameOpenPokaRankMatch_Switch#0,"""배틀랭크 정보(클라우드판)"""
CtrlFuncNameOpenFashionCat#0,"""코디 카탈로그"""
CtrlFuncNameOpenArksLeague#0,"""아크스 리그"""
CtrlFuncNameOpenBasnetContentInfo#0,"""버스트 퀘스트 정보"""
CtrlFuncNameOpenPolluteEdit#0,"""다크 블래스트"""
CtrlFuncNameOpenSgShop#0,"""SG 샵"""
CtrlFuncNameOpenArksContract#0,"""아크스 미션"""
CtrlFuncNameOpenWebLink#0,"""Web 연동 이벤트"""
CtrlFuncNameOpenWorldmap#0,"""월드 맵"""
CtrlFuncNameMuteVoiceChat#0,"""마이크 뮤트 전환"""
CtrlFuncNameWinShortcut#0,"""윈도우 숏컷"""
CtrlFuncNameWinShortcutT1#0,"""1"""
CtrlFuncNameWinShortcutT2#0,"""2"""
CtrlFuncNameWinShortcutT3#0,"""3"""
CtrlFuncNameWinShortcutT4#0,"""4"""
CtrlFuncNameWinShortcutT5#0,"""5"""
CtrlFuncNameWinShortcutT6#0,"""6"""
CtrlFuncNameWinShortcutT7#0,"""7"""
CtrlFuncNameWinShortcutT8#0,"""8"""
CtrlFuncNameWinShortcutT9#0,"""9"""
CtrlFuncNameWinShortcutT10#0,"""0"""
CtrlFuncNameWinShortcutF1#0,"""F1"""
CtrlFuncNameWinShortcutF2#0,"""F2"""
CtrlFuncNameWinShortcutF3#0,"""F3"""
CtrlFuncNameWinShortcutF4#0,"""F4"""
CtrlFuncNameWinShortcutF5#0,"""F5"""
CtrlFuncNameWinShortcutF6#0,"""F6"""
CtrlFuncNameWinShortcutF7#0,"""F7"""
CtrlFuncNameWinShortcutF8#0,"""F8"""
CtrlFuncNameWinShortcutF9#0,"""F9"""
CtrlFuncNameWinShortcutF10#0,"""F10"""
CtrlFuncNameWinShortcutN1#0,"""Num1"""
CtrlFuncNameWinShortcutN2#0,"""Num2"""
CtrlFuncNameWinShortcutN3#0,"""Num3"""
CtrlFuncNameWinShortcutN4#0,"""Num4"""
CtrlFuncNameWinShortcutN5#0,"""Num5"""
CtrlFuncNameWinShortcutN6#0,"""Num6"""
CtrlFuncNameWinShortcutN7#0,"""Num7"""
CtrlFuncNameWinShortcutN8#0,"""Num8"""
CtrlFuncNameWinShortcutN9#0,"""Num9"""
CtrlFuncNameWinShortcutN10#0,"""Num0"""
CtrlLobbyActionAssignName#0,"""Alt<pict 4space>+<pict 4space>$(0)"""
CtrlAssignButtonInput#0,"""변경"""
CtrlAssignButtonWaiting#0,"""대기"""
CtrlAssignHint#0,"""키 또는 버튼을 입력해주세요.<br>([Esc] 키로 취소)"""
CtrlCtrlAssignTypeT#0,"""1～0"""
CtrlCtrlAssignTypeF#0,"""F1～F10"""
CtrlCtrlAssignTypeN#0,"""Num1～Num0"""
CtrlCtrlAssignTypeCtrlT#0,"""Ctrl+1～0"""
CtrlCtrlAssignTypeCtrlF#0,"""Ctrl+F1～F10"""
CtrlCtrlAssignTypeCtrlN#0,"""Ctrl+Num1～Num0"""
CtrlCtrlSwapMessage#0,"""「$(0)」로 교체했습니다."""
CtrlCtrlCaptionFuncName#0,"""항목명"""
CtrlCtrlCaptionAssign#0,"""현재 설정"""
CtrlPartition#0,"""/  """
CtrlVitaAccessEscape#0,""" <pict Sign_L3> ＋ <pict Sign_CIRCLE>"""
CtrlVitaPalletinfo#0,"""武器パレット切り替えの操作が一部制限されます"""
CtrlVitaSubPalletinfo#0,"""サブパレット切り替えの操作が一部制限されます"""
CtrlAnnounceTitle#0,"""조작 가이드 표시 타입 선택"""
CtrlAnnounceMessage#0,"""조작 설명에 표시되는 키 또는 버튼의<br>원하는 표현 방법을 선택해주십시오."""
CtrlAnnounceSelSymbol#0,"""기호 타입"""
CtrlAnnounceSelAlphabet#0,"""알파벳 타입"""
CtrlAnnounceSelNumber#0,"""숫자 타입"""
CtrlAnnounceSelKeyboard#0,"""키보드 타입"""
CtrlAnnounceExample#0,"""표시 방법:"""
CtrlAnnounceExampleKey#0,"""<pict Key_ENTER> [Esc] [↑] <pict Key_SPACE>"""
CtrlAnnounceExampleAlpha#0,"""<pict Alpha_A><pict 4space><pict Alpha_B><pict 4space><pict Alpha_RB><pict 4space><pict Alpha_UP>"""
CtrlAnnounceExampleSign#0,"""<pict Sign_CIRCLE><pict 4space><pict Sign_CROSS><pict 4space><pict Sign_R1><pict 4space><pict Sign_UP>"""
CtrlAnnounceExampleNumber#0,"""<pict Number_1><pict 4space><pict Number_2><pict 4space><pict Number_5><pict 4space><pict Number_UP>"""
CtrlAnnounceHint#0,"""미정"""
CtrlPadBehaviorTitle#0,"""게임패드 초기 설정"""
CtrlPadBehaviorSetting#0,"""수동으로 설정하기"""
CtrlPadBehaviorInitialize#0,"""자동으로 설정하기"""
CtrlPadBehaviorStickTitle#0,"""아날로그 스틱 동작설정"""
CtrlPadBehaviorStickPrepare#0,"""아날로그 스틱의 동작설정을 시작합니다.<br>스틱을 만지지 않고 [닫기]를 누르세요."""
CtrlPadBehaviorStickSubTitleLU#0,"""1.<%LStick>의 「상」범위 인식 테스트"""
CtrlPadBehaviorStickMessageLU#0,"""「<%LStick>」의 인식 테스트를 실시합니다.<br><%LStick>을<c ff007f>「상」<c>으로 밀면서$(0)<pict 4space>를 눌러주세요<br><br><yellow>※反応しない場合は、お手元をご確認いただき、<br><c ff007f>「ANALOG」<c><yellow>や<c ff007f>「MODE」<c><yellow>などと表記されたボタンを<br>押して、アナログモードに切り替えてください。<c>"""
CtrlPadBehaviorStickSubTitleLL#0,"""2.<%LStick>の「左」범위 인식 테스트"""
CtrlPadBehaviorStickMessageLL#0,"""次に<br><%LStick>을<green>「左」<c>으로 밀면서$(0)<pict 4space>를 눌러주세요"""
CtrlPadBehaviorStickSubTitleRU#0,"""3.<%RStick>의 「상」범위 인식 테스트"""
CtrlPadBehaviorStickMessageRU#0,"""<%LStick>の認識が終了しました。<br><br>次に、「<%RStick>」의 인식 테스트를 실시합니다.<br><%RStick>을<c ff007f>「상」<c>으로 밀면서$(0)<pict 4space>を押して下さい。"""
CtrlPadBehaviorStickSubTitleRL#0,"""4.<%RStick>の「左」범위 인식 테스트"""
CtrlPadBehaviorStickMessageRL#0,"""次に<br><%RStick>을<green>「左」<c>으로 밀면서$(0)<pict 4space>を押して下さい。"""
CtrlPadBehaviorTriggerTitle#0,"""トリガー動作設定"""
CtrlPadBehaviorTriggerMessageL#0,"""「背面左ボタン」がアナログ（トリガー）かどうかを判定します。<br>下の図で光っているボタン를 눌러주세요<br><br><yellow>押しても何も起こらない場合は、アナログ式ではありませんので、<br><c>$(0)<pict 4space><yellow>を押して、次の画面でボタン設定を行なってください。<c>"""
