Title#0,"""옵션"""
MenuButtonCtrlAnnounce#0,"""조작 아나운스"""
MenuButtonCtrlPadBehavior#0,"""게임 패드 설정"""
MenuButtonCtrlPadCtrl#0,"""게임 패드 조작"""
MenuButtonCommunication#0,"""커뮤니케이션 설정"""
MenuButtonWindow#0,"""윈도우 초기화"""
MenuButtonEsthetic#0,"""에스테 설정"""
MenuButtonRideroid#0,"""라이드로이드 설정"""
MenuButtonPollute#0,"""다크 블래스트 설정"""
MenuButtonSystem#0,"""시스템"""
MenuButtonReset#0,"""설정을 초기화한다"""
MenuButtonExit#0,"""취소하고 돌아간다"""
MenuButtonExitWithSave#0,"""변경사항을 저장"""
ThreeChoiceMenuTitle#0,"""종료 확인"""
ThreeChoiceMenuMessageApply#0,"""옵션화면을 닫고 돌아갑니다.<br>변경사항을 반영하겠습니까?<br>"""
ThreeChoiceMenuButtonExit#0,"""취소하고 돌아간다"""
ThreeChoiceMenuButtonExitWithSave#0,"""변경사항을 저장"""
ThreeChoiceMenuButtonCancel#0,"""취소"""
ConfirmTitleInit#0,"""초기화 확인"""
ConfirmMessageInit#0,"""모든 옵션 설정을 초기화합니다.<br>확인하셨습니까?"""
ConfirmTitle#0,"""종료 확인"""
ConfirmMessageApply#0,"""변경사항을 반영합니다.<br>확인하셨습니까?"""
ConfirmMessageDisapply#0,"""변경을 취소합니다. <br>확인하셨습니까?"""
ConfirmButtonApply#0,"""변경을 저장하고 종료하기"""
ConfirmButtonDisapply#0,"""변경을 취소하고 종료하기"""
ConfirmButtonCancel#0,"""옵션으로 돌아가기"""
BasicTextRadarMapDirection#0,"""레이더 맵의 회전 방법"""
BasicTextMoviePlay#0,"""대형 모니터 영상 재생 설정"""
BasicTextSmutFilter#0,"""텍스트 필터링 설정"""
BasicTextLockon#0,"""록온 조작"""
BasicTextPaletteChange#0,"""팔레트 전환 조작"""
BasicTextKeyMoveEscape#0,"""키보드 조작 시 회피 액션 조작 설정"""
BasicTextFeaturedEvents#0,"""이벤트 주시 조작"""
BasicTextMesetaAuto#0,"""메세타 자동 줍기 기능 설정"""
BasicTextCharacterColor#0,"""다른 파티에 참가된 캐릭터 이름 컬러 설정"""
BasicTextAttackProperty#0,"""데미지 공격 속성에 대한 HP 바의 컬러 설정"""
BasicTextAutoPartyName#0,"""자동 파티명 설정"""
BasicTextBeginner#0,"""레벨 20 이하일 때 로그인할 시 블록 설정"""
BasicTextSubActionPalletName#0,"""선택 중인 서브 팔레트 내용을 표시"""
BasicTextRareDrop#0,"""레어 아이템의 드랍 연출 표시 설정"""
BasicTextRareautoget#0,"""레어 아이템의 자동 습득 설정"""
BasicTextWarehouseCursor#0,"""창고의 초기 커서 위치 설정"""
BasicTextPetStatus#0,"""펫의 파라미터 정보 표시 설정"""
BasicTextEtrialMap#0,"""E트라이얼 발생 시의 레이더 맵 변경"""
BasicTextPolluteVoice#0,"""다크 블래스트 전용 보이스"""
BasicMltPtMatchingCursor#0,"""퀘스트 수주 시의 초기 커서 위치 설정"""
BasicTextPopMenu#0,"""캐릭터 메뉴의 표시 형식"""
BasicTextGatSimpleStatus#0,"""개더링 정보 표시의 간략화"""
BasicTextComeBack#0,"""복귀 플레이어 아이콘 표시 변경"""
VitaCtrlTextSwapLR#0,"""L/R 버튼 기능 변경 (조작을 변경했을 시 무효)"""
VitaCtrlTextSwapStartSelect#0,"""START/SELECT 버튼 기능 변경 (조작을 변경했을 시 무효)"""
VitaCtrlTextNormalCtrlType#0,"""보통 시점 조작 타입"""
VitaCtrlTextShoulderCtrlType#0,"""TPS 시점 조작 타입"""
VitaCtrlTextSavePartySetting#0,"""파티 설정의 저장"""
VitaCtrlTextLockonChange#0,"""<%RStick>으로 록온 변경"""
VitaCtrlTextNavi#0,"""네비 아이콘 표시 변경"""
BasicHintRadarMapDirection#0,"""레이더 맵을 카메라의 방향에<br>맞춰서 회전할지 여부를 설정합니다."""
BasicHintMoviePlay#0,"""아크스 로비에 설치된 대형 모니터에서<br>표시되는 동영상의 재생여부를 변경합니다.<br>※이 설정은 재실행 이후 적용됩니다."""
BasicHintSmutFilter#0,"""「사용한다」를 선택하면, 비속어를 표시하지 않습니다."""
BasicHintLockon#0,"""록온 조작의 전환 방법을 설정합니다.<br>할당된 키나 버튼을 눌렀을 때 바꿀지<br>누르고 있는 동안 바꿀지 설정합니다."""
BasicHintPaletteChange#0,"""뒤쪽 팔레트를 전환하는 방법을 설정합니다.<br>버튼이나 키를 누를 때마다 바꿀지<br>누르고 있는 동안만 바꿀지 선택합니다."""
BasicHintKeyMoveEscape#0,"""키보드의 캐릭터 이동키를 2회 눌렀을 때<br>「회피 액션」을 실행하는 입력 간격을 설정합니다."""
BasicHintSavePartySetting#0,"""파티 설정을 저장해서 블록 이동이나<br>로그아웃을 해도 유지할지 설정합니다.<br><br>파티 설정 저장은 게임을 종료할 때까지<br>유효합니다."""
BasicHintLockonChange#0,"""록온 하고 있을 때, <%RStick>으로 록온 대상을 전환하는 기능을 사용할지 설정합니다."""
BasicHintNavi#0,"""아크스 로드의 다음 목표를 알라는 내비 아이콘을 표시할지 설정합니다."""
BasicHintEvent#0,"""이벤트가 발생했을 때 주목하는 방법을 설정합니다.<br>엑세스키를 눌러서 이벤트를 주목할 것인지,<br>주목하지 않을 것인지 선택합니다. """
BasicHintMeseta#0,"""메세타를 자동으로 획득하는 기능을 사용할지 설정합니다."""
BasicHintColor#0,"""다른 파티에 참석 중인 캐릭터 이름에 대해서<br>색깔의 변경 여부를 설정합니다."""
BasicHintAttackProperty#0,"""피격했을 때 HP 바의 색상을 타격, 사격, 법격별로 변화시킬지 설정합니다. """
BasicHintAutoPartyName#0,"""파티 이름을 설정하지 않고 퀘스트를 수주할 시에 <br>자동으로 입력되는 파티 이름을 선택합니다. """
BasicHintBeginner#0,"""레벨 20 이하의 캐릭터로 로그인할 때<br>비기너 블록이 선택되기 쉽게 할지를 선택합니다."""
BasicHintSubActionPalletName#0,"""선택 중인 서브 팔레트 내용을 표시할지 설정합니다."""
BasicHintRareDrop#0,"""레어 아이템이 드랍 했을 때 표시되는 연출을<br>어느 레어리티 이상부터 표시할지 설정합니다."""
BasicHintautoget#0,"""레어리티 13 이상의 아이템이 드랍할 때,<br>획득 실수를 방지하기 위해서 필드에 드랍시키지 않고<br>인벤토리에 즉시 획득할지 설정합니다."""
BasicHintWarehouseCursor#0,"""창고 단말, 마이샵 출품, NPC 샵에서의<br>판매에 관해서 창고 UI가 표시되었을 때<br>초기 커서 위치를 설정합니다."""
BasicHintPetStatus#0,"""펫의 HP 바와 상태를 나타내는 아이콘을 표시할지 설정합니다."""
BasicHintEtrialMap#0,"""레이더 맵을 확대할 때 E트라이얼이 발생 시<br>레이더 맵을 자동으로 광역 표시로 전환할지<br>설정합니다."""
BasicHintPolluteVoice#0,"""다크 블래스트의 발동 중,<br>전용 보이스를 재생할지 설정합니다."""
MltPtMatchingButton#0,"""다중 블록 매칭 대상의 퀘스트를 수주할 때 <br>커서 위치를 어느 버튼으로 할지 설정합니다.<br>\u3000※일부 퀘스트는 제외됩니다."""
BasicHintPopMenu#0,"""주위의 캐릭터를 선택했을 때 <br>표시되는 캐릭터 메뉴의 표시 형식을 설정합니다."""
BasicHintGatSimpleStatus#0,"""메인 메뉴에서 간이 개더링의 표시를 설정합니다."""
BasicHintComeBack#0,"""복귀 플레이어 아이콘을 표시할지 설정합니다.<br>\u3000※아이콘을 표시하지 않아도 보너스를 받으실 수 있습니다"""
NoticeTextParty#0,"""파티 초대를 받을 때"""
NoticeTextFriend#0,"""프렌드 등록 신청을 받을 때"""
NoticeTextGuild#0,"""팀으로 초대를 받을 때"""
NoticeTextTrade#0,"""트레이드 신청을 받을 때"""
NoticeTextGroup#0,"""그룹 채팅에 초대를 받을 때"""
NoticeTextLogItem#0,"""획득한 아이템 이름을 로그에 표시"""
NoticeTextPopUpMessage#0,"""알림 메시지 설정"""
NoticeTextRecommended#0,"""추천 퀘스트를 수주했을 때"""
NoticeTextPremium#0,"""프리미엄 유효기간 만료 알림"""
NoticeTextRareItem#0,"""파티 멤버가 레어 아이템을 획득했을 때"""
NoticeTextMltPtMatching#0,"""다중 블록 매칭 퀘스트의 수주 확인 표시"""
ButtonReset_Option#0,"""게임패드 연결 알림"""
NoticeHintParty#0,"""파티 초대를 받았을 때 참여 선택 창을 표시할지 설정합니다."""
NoticeHintFriend#0,"""프렌드 등록 신청을 받았을 때 수락 선택 창을 띄울지 설정합니다."""
NoticeHintGuild#0,"""팀으로 초대를 받았을 때,<br>참여 선택 창을 띄울지 설정합니다."""
NoticeHintTrade#0,"""트레이드 신청을 받았을 때,<br>응답 선택 창을 띄울지 설정합니다."""
NoticeHintGroup#0,"""그룹 채팅에 초대되었을 때,<br>참여 선택 창을 띄울지 설정합니다."""
NoticeHintLogItem#0,"""아이템을 획득했을 때,<br>로그에 표시할지 설정합니다."""
NoticeHintPopUpMessage#0,"""알림 메시지 표시 수에 대해서,<br>단일로 한정할지 여러 개를 표시할지 설정합니다."""
NoticeHintRecommended#0,"""추천 퀘스트를 수주했을 때,<br>추천 오더의 창을 표시할지 설정합니다."""
NoticeHintRareItem#0,"""파티 멤버가 레어 아이템을 획득했을 때<br>알림을 할지 설정합니다."""
NoticeHintPremium#0,"""프리미엄 세트의 유효기간이 7일이 남았을 때<br>로그인 시의 알림을 설정합니다."""
NoticeHintMltPtMatching#0,"""파티 리더가 다중 블록 매칭으로<br>대상 퀘스트를 수주했을 때, 수주 확인 창을 자동으로 띄울지 설정합니다."""
NoticeHintButtonReset#0,"""게임패드의 설정에서 중요한 조작 할당에 문제가 있으면<br>할당된 키를 자동으로 복원시킬지<br>알림을 설정합니다."""
CameraTextSpeedX#0,"""카메라 좌우 회전 속도"""
CameraTextSpeedY#0,"""카메라 상하 회전 속도"""
CameraTextRotateX#0,"""카메라 좌우 회전"""
CameraTextRotateY#0,"""카메라 상하 회전"""
CameraTextSpeedX_v#0,"""게임 내 카메라 좌우 회전 속도"""
CameraTextSpeedY_v#0,"""게임 내 카메라 상하 회전 속도"""
CameraTextRotateX_v#0,"""게임 내 카메라 좌우 회전"""
CameraTextRotateY_v#0,"""게임 내 카메라 상하 회전"""
CameraTextMouseOperate#0,"""마우스에 의한 카메라 조작"""
CameraHintSpeedX#0,"""카메라의 좌우 회전 속도를 설정합니다."""
CameraHintSpeedY#0,"""카메라의 상하 회전 속도를 설정합니다."""
CameraHintRotateX#0,"""카메라의 좌우 회전 방향을 설정합니다."""
CameraHintRotateY#0,"""카메라의 상하 회전 방향을 설정합니다。"""
CameraHintMouseOperate#0,"""마우스를 조작했을 때 카메라 조작을 우선할지<br>마우스 커서 조작을 우선할지를 설정합니다."""
CommuTextMailQuote#0,"""메일 회신 시의 인용"""
CommuTextShowUI#0,"""스크린샷 촬영 시 인터페이스 표시"""
CommuTextEnableAutoword#0,"""오토 워드 사용 설정"""
CommuTextOtherAutoword#0,"""타인의 오토 워드 표시 설정"""
CommuTextDirectChat#0,"""다이렉트 채팅"""
CommuTextCustomTab#0,"""로그 윈도우의 「모두 표시」에 표시할 채널"""
CommuTextShowLogAutoword#0,"""오토 워드를 로그에 표시"""
CommuTextDisableScrollLock#0,"""Scroll Lock키에 의한 전환을 사용하지 않음"""
CommuTextTeamChat#0,"""팀 채팅 말풍선 설정"""
CommuTextGroupChat#0,"""그룹 채팅 말풍선 설정"""
CommuTextLoginCall#0,"""로그인 콜 전송 설정"""
CommuTextLogWindow#0,"""로그 윈도우 최신 표시 설정"""
CommuTextSymbolArt#0,"""심볼아트의 발언 표시"""
CommuTextCharaName#0,"""그룹, 팀, 귓속말 따로따로 채팅에 이름 표시"""
CommuTextChatColor#0,"""채팅 입력의 배경을 발언 대상의 채널 색으로 합니다"""
CommuTextBattleImpossibleNotification#0,"""타인의 전투불능 알림 설정"""
CommuTextMyBattleImpossibleNotification#0,"""자신의 전투불능 알림 설정"""
CommuGroupchatInvitation#0,"""그룹 채팅의 초대 설정"""
CommuRadioTeamChatAll#0,"""모두 표시"""
CommuRadioTeamChatArea#0,"""같은 에어리어의 발언만 표시한다"""
CommuRadioTeamChatNone#0,"""표시하지 않음"""
CommuTabCustomCheckPublic#0,"""주위"""
CommuTabCustomCheckParty#0,"""파티"""
CommuTabCustomCheckGuild#0,"""팀"""
CommuTabCustomCheckReply#0,"""귓속말"""
CommuTabCustomCheckSystem#0,"""시스템"""
CommuTabCustomCheckNpc#0,"""캐릭터"""
CommuTabCustomCheckGroup#0,"""그룹 채팅"""
CommuTabCustomCheckEvent#0,"""이벤트"""
CommuTabCustomCheckMember#0,"""멤버"""
CommuTabCustomCheckAction#0,"""액션"""
CommuRadioLogWindowUp#0,"""최신을 위에서부터 표시한다."""
CommuRadioLogWindowDown#0,"""최신을 아래서부터 표시한다."""
CommuRadioLogChatColorOff#0,"""발언 채널의 색으로 하지 않는다"""
CommuRadioLogChatColorOn#0,"""발언 채널의 색으로 한다"""
CommuHintMailQuote#0,"""메일을 회신 시에 인용할지 설정합니다."""
CommuHintShowUI#0,"""스크린샷 촬영 시에, 인터페이스를 표시할지 설정합니다."""
CommuHintEnableAutoword#0,"""오토 워드를 입력해도,<br>「사용하지 않음」을 선택하고 있는 동안에는<br>오토 워드 발언을 하지 않습니다."""
CommuHintOtherAutoword#0,"""화면에 표시하는 타인의 오토 워드<br>카테고리를 설정합니다."""
CommuHintDirectChat#0,"""「사용한다」를 선택하면, 키보드를<br>캐릭터 이동 등 액션용이 아닌<br>직접 채팅 입력을 할 수 있도록 설정합니다.<br>※[ScrollLock]키로 언제든지 전환 가능"""
CommuHintCustomTab#0,"""로그 윈도우의「전부 표시」탭에 표시할 내용을 선택합니다."""
CommuHintShowLogAutoword#0,"""오토 워드를 로그에 표시할지 설정합니다"""
CommuHintDisableScrollLock#0,"""다이렉트 채팅을 Scroll Lock키에<br>동기화하는 기능을 사용하지 않도록 합니다.<br><br>다이렉트 채팅이 올바르게 작동하지 않는 경우에,<br>이 설정을 ON으로 하면, 올바르게 작동할 가능성이 있습니다."""
CommuHintTeamChat#0,"""팀 채팅 말풍선의 표시 조건을<br>설정합니다."""
CommuHintGroupChat#0,"""그룹 채팅의 말풍선 표시 조건을<br>설정합니다."""
CommuHintShowSymbolArt#0,"""심볼아트의 발언 표시를 설정합니다."""
CommuHintLoginCall#0,"""자신이 로그인했을 때 프렌드에게<br>로그인 콜을 보낼지 설정합니다."""
CommuHintChatColor#0,"""채팅 입력의 배경 색상을 발언 대상에 따라서<br>변경할지 설정합니다."""
CommuHintBattleImpossible#0,"""파티를 포함해서 타인의 전투불능 알림을 설정합니다.<br>프렌드/서포트/프리 파트너는 표시에서 제외됩니다"""
CommuHintMyBattleImpossible#0,"""주위의 플레이어에게 자신이 전투불능이 되면<br>아이콘을 표시할지 설정합니다.<br>상대방이 표시 설정을 OFF로 하고 있으면<br>표시되지 않습니다."""
CommuHintGroupchatInvitation#0,"""그룹 채팅 초대를 받을지 설정합니다."""
CommuRadioIDName#0,"""플레이어 ID 네임"""
CommuRadioCharaName#0,"""캐릭터 이름"""
CommuHintWhisperIDName#0,"""그룹 채팅, 팀 채팅, 귓속말 채팅의<br>발언자 이름을 플레이어 아이디 네임과 캐릭터 이름 중<br>어느 쪽으로 표시할지 설정합니다"""
ConfirmTitleWindowInit#0,"""윈도우 초기화 확인"""
ConfirmMessageWindowInit#0,"""모든 윈도우의 표시 위치와 표시 크기를 초기화합니다.<br>괜찮으시겠습니까?"""
ConfirmMessageWindowInitEnd#0,"""윈도우의 표시 위치와 표시 크기를 초기화 했습니다."""
WindowTitleInitText#0,"""윈도우 초기화 설정"""
WindowInitHint#0,"""모든 윈도우의 표시 위치와 표시 크기를<br>초기화합니다."""
WindowRadioButtonInitText#0,"""모든 윈도우의 위치와 크기를 초기화한다"""
EstheTitleText#0,"""헤어스타일 및 헤드 파츠 악세사리 선택 방식"""
EstheTitleTextShapeSync#0,"""체형 편집 시 자동 동기화 설정"""
EstheMessageShapeSync#0,"""인간형의 체형과 캐스트형 체형은 자동으로 동기화되지만,<br>개별로 편집하고 싶은 경우에는「체형을 개별로 편집한다」를<br>선택해 주십시오. (에스테 내에서만 유효합니다)"""
EstheHint#0,"""캐릭터 크리에이트 및 에스테로 선택하는<br>헤어스타일, 헤드 파츠, 악세사리 창의<br>타입을 설정합니다."""
EstheHintShapeSync#0,"""캐스트 종족의 경우에는 입는 코스튬에 따라서<br>인간형의 체형이 됩니다만, 이때에도「인간형의 체형」과「캐스트형의 체형」을<br>자동으로 동기화할지 혹은 개별적으로 편집할지 선택할 수 있습니다."""
EstheRadioButtonText1#0,"""작은 윈도우\u3000다중 표시 가능"""
EstheRadioButtonText2#0,"""대형 윈도우\u3000탭화\u3000다중 표시 불가"""
EstheRadioButtonShapeSync1#0,"""자동으로 동기화"""
EstheRadioButtonShapeSync2#0,"""개별로 편집"""
ShootTextFileType#0,"""스크린샷 저장 형식"""
ShootTextShowUI#0,"""스크린샷 촬영 시 인터페이스 표시"""
ShootHintFileType#0,"""스크린샷 저장 시 저장 형식을 선택합니다."""
ShootHintShowUI#0,"""스크린샷 촬영시에,<br>인터페이스 (윈도우)를<br>표시할지 설정합니다.<br>※게임 내 촬영 기능 이용 시에만 유효합니다"""
DrawFuncTextLightEffect#0,"""이펙트 광원 설정"""
DrawFuncTextLightGeoGraphy#0,"""지형 광원"""
DrawFuncTextBloom#0,"""블룸 처리"""
DrawFuncTextDepth#0,"""피사계 심도"""
DrawFuncTextLightShaft#0,"""라이트 샤프트"""
DrawFuncTextBlur#0,"""블러"""
DrawFuncTextAntiAliasing#0,"""안티에일리어싱"""
DrawFuncTextSoftParticle#0,"""소프트 파티클"""
DrawFuncTextAmbientOcclusion#0,"""앰비언트 오클루전"""
DrawFuncTextLimbDarkening#0,"""주변 감광"""
DrawFuncTextCameraLight#0,"""카메라 라이트"""
DrawFuncTextColorTone#0,"""색조 톤 곡선"""
DrawFuncTextEdgeLight#0,"""윤곽 광선"""
DrawFuncTextEffectDraw#0,"""일부 이펙트의 빛을 경감한다"""
DrawFuncTextResolution#0,"""해상도 동적 변경 기능"""
DrawFuncTextOthersEffectDraw#0,"""타인의 일부 이펙트를 투과하는 범위"""
DrawFuncTextFps#0,"""-"""
DrawFuncHintLightEffect#0,"""이펙트에 관련된 라이팅 효과의 ON/OFF를 전환합니다.<br>OFF로 하면 처리가 다소 가벼워집니다."""
Cloud_DrawFuncHintLightEffect#0,"""이펙트에 관련된 라이팅 효과의 ON/OFF를 전환합니다. """
DrawFuncHintLightGeoGraphy#0,"""지형에 관련된 라이팅 효과의 ON/OFF를 전환합니다.<br>OFF로 하면 처리가 다소 가벼워집니다."""
Cloud_DrawFuncHintLightGeoGraphy#0,"""지형에 관련된 라이팅 효과의 ON/OFF를 전환합니다."""
DrawFuncHintBloom#0,"""밝은 부분에 필터를 적용시켜,<br>화면 전체를 더욱 예쁘게 보이게 하는 효과입니다.<br>OFF로 하면 처리가 다소 가벼워집니다."""
Cloud_DrawFuncHintBloom#0,"""밝은 부분에 필터를 적용시켜,<br>화면 전체를 더욱 예쁘게 보이게 하는 효과입니다."""
DrawFuncHintDepth#0,"""먼 곳의 스펙터클을 흐리게 해서 자연스러운 분위기를 낼 수 있습니다.<br>OFF로 하면 처리가 다소 가벼워집니다."""
Cloud_DrawFuncHintDepth#0,"""먼 곳의 스펙터클을 흐리게 해서 자연스러운 분위기를 낼 수 있습니다."""
DrawFuncHintLightShaft#0,"""빛이 태양을 중심으로 확산되는 표현의 ON/OFF를 전환합니다.<br>OFF로 하면 처리가 다소 가벼워집니다."""
Cloud_DrawFuncHintLightShaft#0,"""빛이 태양을 중심으로 확산되는 표현의 ON/OFF를 전환합니다."""
DrawFuncHintBlur#0,"""블러 효과의 ON/OFF를 전환합니다.<br>OFF로 하면 처리가 다소 가벼워집니다"""
Cloud_DrawFuncHintBlur#0,"""블러 효과의 ON/OFF를 전환합니다."""
DrawFuncHintAntiAliasing#0,"""안티에일리어싱 효과의 ON/OFF를 전환합니다.<br>OFF로 하면 처리가 다소 가벼워집니다."""
Cloud_DrawFuncHintAntiAliasing#0,"""안티에일리어싱 효과의 ON/OFF를 전환합니다."""
DrawFuncHintSoftParticle#0,"""소프트 파티클 효과의 ON/OFF를 전환합니다.<br>OFF로 하면 처리가 다소 가벼워집니다."""
Cloud_DrawFuncHintSoftParticle#0,"""소프트 파티클 효과의 ON/OFF를 전환합니다."""
DrawFuncHintAmbientOcclusion#0,"""모서리의 그림자를 짙게 해서 사실성을 높입니다.<br>그래픽 설정을 6으로 설정해야<br>사용할 수 있습니다.<br>OFF로 하면 처리가 다소 가벼워집니다."""
xx_DrawFuncHintAmbientOcclusion#0,"""모서리의 그림자를 짙게 해서 사실성을 높입니다.<br>OFF로 하면 처리가 다소 가벼워집니다."""
Cloud_DrawFuncHintAmbientOcclusion#0,"""모서리의 그림자를 짙게 해서 사실성을 높입니다."""
DrawFuncHintLimbDarkening#0,"""화면의 바깥쪽 가장자리를 어둡게 조정합니다.<br>그래픽 설정을 6으로 설정해야<br>사용할 수 있습니다.<br>OFF로 하면 처리가 다소 가벼워집니다."""
xx_DrawFuncHintLimbDarkening#0,"""화면의 바깥쪽 가장자리를 어둡게 조정합니다.<br>OFF로 하면 처리가 다소 가벼워집니다."""
Cloud_DrawFuncHintLimbDarkening#0,"""화면의 바깥쪽 가장자리를 어둡게 조정합니다."""
DrawFuncHintCameraLight#0,"""카메라가 향하고 있는 방향의 광량을 조절해서 화면의 밝기를 설정합니다.<br>수치를 0으로 하면 처리가 다소 가벼워집니다."""
DrawFuncHintColorTone#0,"""전체의 색조나 대비, 밝기를 필드마다 조정합니다.<br>그래픽 설정을 6으로 설정해야<br>사용할 수 있습니다.<br>OFF로 하면 처리가 다소 가벼워집니다."""
xx_DrawFuncHintColorTone#0,"""전체의 색조나 대비, 밝기를 필드마다 조정합니다.<br>OFF로 하면 처리가 다소 가벼워집니다."""
Cloud_DrawFuncHintColorTone#0,"""전체의 색조나 대비, 밝기를 필드마다 조정합니다."""
DrawFuncHintEdgeLight#0,"""오브젝트의 주위에 관련된 광량을 조정합니다.<br>그래픽 설정을 6으로 설정해야<br>사용할 수 있습니다.<br>OFF로 하면 처리가 다소 가벼워집니다."""
xx_DrawFuncHintEdgeLight#0,"""오브젝트의 주위에 관련된 광량을 조정합니다.<br>OFF로 하면 처리가 다소 가벼워집니다."""
Cloud_DrawFuncHintEdgeLight#0,"""오브젝트의 주위에 관련된 광량을 조정합니다."""
DrawFuncHintEffectDraw#0,"""일부 이펙트에 대해서 빛의 강도를 바꿉니다.<br>「경감한다」를 선택하면, 빛의 강도가 약해집니다."""
DrawFuncHintResolution#0,"""고부하가 되었을 때에 해상도를 축소해 높은 프레임을 유지하는 기능입니다.<br>OFF로 하면 전투 중에 낮은 프레임이 될 것으로 예상됩니다."""
