HELLO_FAV4#0,"""I've been waiting."""
HELLO_REPORT_FAV4#3,"""待っていたぞ。<br>報告、聞いてもらえるか"""
HELLO_REPORT_FAV3#3,"""ちょうど一段落したところだ。"""
HELLO_REPORT_FAV2#3,"""報告したいことがある"""
HELLO_REPORT_FAV1#3,"""報告したいことがある"""
HELLO_REPORT_FAV0#3,"""報告したいことがある"""
HELLO_OTHER#3,"""Good job on coming!"""
GOODBYE_OTHER#3,"""いつでも来るといい"""
HELLO_FAV4#4,"""Hehe~ I was waiting！"""
HELLO_FAV3#4,"""Yo、how are you?"""
HELLO_FAV2#4,"""Hey there!"""
HELLO_FAV1#4,"""やっほー！"""
HELLO_FAV0#4,"""やっほー！"""
GOODBYE_FAV4#4,"""もっとゆっくりしてけよー！"""
GOODBYE_FAV3#4,"""Take care！"""
GOODBYE_FAV2#4,"""そんじゃー！"""
GOODBYE_FAV1#4,"""そんじゃー！"""
GOODBYE_FAV0#4,"""そんじゃー！"""
GOTOEXP_FAV4#4,"""オッケーオッケー！<br>オレに任せとけって！"""
GOTOEXP_FAV3#4,"""よっしゃ、やってやるぜー！"""
GOTOEXP_FAV2#4,"""Roger！"""
GOTOEXP_FAV1#4,"""りょーかいっ！"""
GOTOEXP_FAV0#4,"""りょーかいっ！"""
HELLO_REPORT_FAV4#4,"""おっ、来た来た！<br>聞いてくれよ、報告があるんだ！"""
HELLO_REPORT_FAV3#4,"""いいタイミング！<br>こっちも一段落ってところだ！"""
HELLO_REPORT_FAV2#4,"""報告、してもいいか？"""
HELLO_REPORT_FAV1#4,"""報告、してもいいか？"""
HELLO_REPORT_FAV0#4,"""報告、してもいいか？"""
HELLO_OTHER#4,"""Yo！"""
GOODBYE_OTHER#4,"""See ya!"""
HELLO_FAV4#5,"""ずっと、待っていましたよ"""
HELLO_FAV3#5,"""お元気そうで、何よりです"""
HELLO_FAV2#5,"""Hello."""
HELLO_FAV1#5,"""こんにちは"""
HELLO_FAV0#5,"""こんにちは"""
GOODBYE_FAV4#5,"""もう行かれてしまうんですか？"""
GOODBYE_FAV3#5,"""Take care, have a good day."""
GOODBYE_FAV2#5,"""See you again."""
GOODBYE_FAV1#5,"""それでは、また"""
GOODBYE_FAV0#5,"""それでは、また"""
GOTOEXP_FAV4#5,"""私に任せて下さい。<br>貴方の力に、なりたいんです"""
GOTOEXP_FAV3#5,"""はい、わかりました。<br>全力を尽くしますね"""
GOTOEXP_FAV2#5,"""承りました。<br>それでは、行ってきます"""
GOTOEXP_FAV1#5,"""承りました。<br>それでは、行ってきます"""
GOTOEXP_FAV0#5,"""承りました。<br>それでは、行ってきます"""
HELLO_REPORT_FAV4#5,"""おかえりなさい。<br>あの……少しよろしいですか？<br>報告したいことがありまして"""
HELLO_REPORT_FAV3#5,"""こちら、ちょうど一段落したところです"""
HELLO_REPORT_FAV2#5,"""報告があります"""
HELLO_REPORT_FAV1#5,"""報告があります"""
HELLO_REPORT_FAV0#5,"""報告があります"""
HELLO_OTHER#5,"""Welcome!"""
GOODBYE_OTHER#5,"""See you again."""
HELLO_FAV4#6,"""待ってたよーっ！"""
HELLO_FAV3#6,"""おおっ、元気そうだね！"""
HELLO_FAV2#6,"""こんちわーっ！"""
HELLO_FAV1#6,"""こんちわーっ！"""
HELLO_FAV0#6,"""こんちわーっ！"""
GOODBYE_FAV4#6,"""えー、もう行っちゃうのー？"""
GOODBYE_FAV3#6,"""気をつけてねっ！"""
GOODBYE_FAV2#6,"""それじゃっ！"""
GOODBYE_FAV1#6,"""それじゃっ！"""
GOODBYE_FAV0#6,"""それじゃっ！"""
GOTOEXP_FAV4#6,"""あたしにお任せ！<br>あなたのために、頑張っちゃうよー！"""
GOTOEXP_FAV3#6,"""よーし、がんばっちゃうぞー！"""
GOTOEXP_FAV2#6,"""はいはいっ、りょーかい！"""
GOTOEXP_FAV1#6,"""はいはいっ、りょーかい！"""
GOTOEXP_FAV0#6,"""はいはいっ、りょーかい！"""
HELLO_REPORT_FAV4#6,"""やーっ、来た来た！<br>聞いて聞いて、報告聞いて！"""
HELLO_REPORT_FAV3#6,"""ちょうど一段落！<br>報告、しちゃおっかなー！"""
HELLO_REPORT_FAV2#6,"""報告していいかなっ？"""
HELLO_REPORT_FAV1#6,"""報告していいかなっ？"""
HELLO_REPORT_FAV0#6,"""報告していいかなっ？"""
HELLO_OTHER#6,"""いらっしゃーい！"""
GOODBYE_OTHER#6,"""それじゃまったねー！"""
HELLO_FAV4#7,"""……遅い。<br>来るならもっと早く来い<br>心配するだろ"""
HELLO_FAV3#7,"""あ……無事なら、いい"""
HELLO_FAV2#7,"""……ふん、元気そうだな"""
HELLO_FAV1#7,"""……ふん、元気そうだな"""
HELLO_FAV0#7,"""……ふん、元気そうだな"""
GOODBYE_FAV4#7,"""なんだよ、もう行くのか……？<br>べ、別に心配なんかしてない！"""
GOODBYE_FAV3#7,"""行くなら勝手にしろ。<br>……気をつけてな"""
GOODBYE_FAV2#7,"""あ……じゃあ、またな"""
GOODBYE_FAV1#7,"""あ……じゃあ、またな"""
GOODBYE_FAV0#7,"""あ……じゃあ、またな"""
GOTOEXP_FAV4#7,"""……他ならない<br>お前の頼みだ、やってやる。<br>わたしに、任せておけ"""
GOTOEXP_FAV3#7,"""……任せとけ。<br>やるからには全力だ"""
GOTOEXP_FAV2#7,"""……了解した。<br>これから出撃する"""
GOTOEXP_FAV1#7,"""……了解した。<br>これから出撃する"""
GOTOEXP_FAV0#7,"""……了解した。<br>これから出撃する"""
HELLO_REPORT_FAV4#7,"""……遅い！<br>早く報告したかったのに！<br>……と、とにかく聞いて欲しい"""
HELLO_REPORT_FAV3#7,"""ふん……こっちも一段落だよ。<br>報告、聞いていってくれるか？"""
HELLO_REPORT_FAV2#7,"""……報告があるんだけど"""
HELLO_REPORT_FAV1#7,"""……報告があるんだけど"""
HELLO_REPORT_FAV0#7,"""……報告があるんだけど"""
HELLO_OTHER#7,"""……よく来たな"""
GOODBYE_OTHER#7,"""Well... See ya."""
HELLO_FAV4#8,"""ふふっ、待ってたよ。<br>今日はどんな話をする？"""
HELLO_FAV3#8,"""大丈夫？\u3000ケガとかしてない？"""
HELLO_FAV2#8,"""I'm fine."""
HELLO_FAV1#8,"""ボクは元気だよ"""
HELLO_FAV0#8,"""ボクは元気だよ"""
GOODBYE_FAV4#8,"""え、もう行っちゃうの？<br>……でも、しょうがないか。<br>うん、頑張ってきてね！"""
GOODBYE_FAV3#8,"""ボクのことなら心配いらないよ。<br>気をつけて、いってらっしゃい"""
GOODBYE_FAV2#8,"""いってらっしゃい"""
GOODBYE_FAV1#8,"""いってらっしゃい"""
GOODBYE_FAV0#8,"""いってらっしゃい"""
GOTOEXP_FAV4#8,"""きみのためになるなら……<br>ボク、なんだってやってみせるよ！"""
GOTOEXP_FAV3#8,"""わかった。<br>ボク、がんばる！"""
GOTOEXP_FAV2#8,"""うん、了解したよ。<br>それじゃ、行ってくるね"""
GOTOEXP_FAV1#8,"""うん、了解したよ。<br>それじゃ、行ってくるね"""
GOTOEXP_FAV0#8,"""うん、了解したよ。<br>それじゃ、行ってくるね"""
HELLO_REPORT_FAV4#8,"""あ、待ってたよ！<br>きみに早く報告したかったんだ！"""
HELLO_REPORT_FAV3#8,"""ボクの報告、聞いてくれる？"""
HELLO_REPORT_FAV2#8,"""報告、してもいい？"""
HELLO_REPORT_FAV1#8,"""報告、してもいい？"""
HELLO_REPORT_FAV0#8,"""報告、してもいい？"""
HELLO_OTHER#8,"""Welcome!"""
GOODBYE_OTHER#8,"""Come back whenever you're ready!"""
